,latitude,longitude,closest_station
0,51.519342,-0.089223,"['Moorgate', 93.426]"
1,51.517387,-0.103014,"['Farringdon', 363.147]"
2,51.512806,-0.101676,"['Blackfriars', 111.17]"
3,51.515224,-0.124905,"['Covent Garden', 242.817]"
4,51.517419,-0.110003,"['Chancery Lane', 125.608]"
5,51.510587,-0.096656,"['Mansion House', 294.541]"
6,51.51723,-0.080074,"['Liverpool Street', 154.407]"
7,51.509974,-0.084025,"['Monument', 180.353]"
8,51.520576,-0.09282,"['Moorgate', 322.037]"
9,51.519915,-0.095298,"['Barbican', 150.242]"
10,51.522098,-0.079627,"['Liverpool Street', 534.663]"
11,51.522098,-0.079627,"['Liverpool Street', 534.663]"
12,51.522098,-0.079627,"['Liverpool Street', 534.663]"
13,51.522098,-0.079627,"['Liverpool Street', 534.663]"
14,51.519342,-0.089223,"['Moorgate', 93.426]"
15,51.508532,-0.081031,"['Tower Hill', 379.49]"
16,51.518603,-0.092009,"['Moorgate', 287.473]"
17,51.512049,-0.076026,"['Tower Gateway', 180.761]"
18,51.517009,-0.080538,"['Liverpool Street', 200.274]"
19,51.519495,-0.098775,"['Barbican', 123.029]"
20,51.521385,-0.096875,"['Barbican', 184.485]"
21,51.517686,-0.110004,"['Chancery Lane', 107.884]"
22,51.517392,-0.109961,"['Chancery Lane', 127.337]"
23,51.516735,-0.096065,"[""St. Paul's"", 206.651]"
24,51.516735,-0.096065,"[""St. Paul's"", 206.651]"
25,51.5171141842105,-0.0793849736842105,"['Liverpool Street', 183.615]"
26,51.5171141842105,-0.0793849736842105,"['Liverpool Street', 183.615]"
27,51.512615,-0.106671,"['Blackfriars', 245.876]"
28,51.520379,-0.084188,"['Liverpool Street', 335.265]"
29,51.522097,-0.079653,"['Liverpool Street', 533.358]"
30,51.5186,-0.100153,"['Barbican', 242.044]"
31,51.516173,-0.080184,"['Liverpool Street', 276.366]"
32,51.522009,-0.085308,"['Chesham', 448.623]"
33,51.522009,-0.085308,"['Chesham', 448.623]"
34,51.522009,-0.085308,"['Chesham', 448.623]"
35,51.5186,-0.100153,"['Barbican', 242.044]"
36,51.517392,-0.109961,"['Chancery Lane', 127.337]"
37,51.517686,-0.110004,"['Chancery Lane', 107.884]"
38,51.5174,-0.109961,"['Chancery Lane', 126.804]"
39,51.5174,-0.109961,"['Chancery Lane', 126.804]"
40,51.5174,-0.109961,"['Chancery Lane', 126.804]"
41,51.5174,-0.109961,"['Chancery Lane', 126.804]"
42,51.517597,-0.102716,"['Farringdon', 392.205]"
43,51.5212774210526,-0.0826215087719298,"['Liverpool Street', 401.014]"
44,51.518153,-0.098629,"['Barbican', 265.976]"
45,51.520379,-0.084188,"['Liverpool Street', 335.265]"
46,51.520379,-0.084188,"['Liverpool Street', 335.265]"
47,51.510647,-0.095526,"['Mansion House', 253.474]"
48,51.522097,-0.079653,"['Liverpool Street', 533.358]"
49,51.522097,-0.079653,"['Liverpool Street', 533.358]"
50,51.522097,-0.079653,"['Liverpool Street', 533.358]"
51,51.520886,-0.094049,"['Barbican', 332.76]"
52,51.5212774210526,-0.0826215087719298,"['Liverpool Street', 401.014]"
53,51.5212774210526,-0.0826215087719298,"['Liverpool Street', 401.014]"
54,51.519915,-0.095298,"['Barbican', 150.242]"
55,51.522098,-0.078848,"['Chesham', 469.519]"
56,51.522098,-0.078848,"['Chesham', 469.519]"
57,51.522098,-0.078848,"['Chesham', 469.519]"
58,51.518154,-0.098603,"['Barbican', 265.072]"
59,51.522029,-0.07882,"['Chesham', 469.519]"
60,51.508493,-0.080973,"['Tower Hill', 382.108]"
61,51.520379,-0.084188,"['Liverpool Street', 335.265]"
62,51.522045,-0.079814,"['Liverpool Street', 525.991]"
63,51.51065,-0.095529,"['Mansion House', 253.237]"
64,51.510723,-0.095641,"['Mansion House', 247.973]"
65,51.519342,-0.089223,"['Moorgate', 93.426]"
66,51.516907,-0.082855,"['Liverpool Street', 123.932]"
67,51.519913,-0.090181,"['Moorgate', 198.665]"
68,51.513979,-0.101789,"['Blackfriars', 228.171]"
69,51.518359,-0.092944,"['Moorgate', 314.194]"
70,51.518359,-0.092944,"['Moorgate', 314.194]"
71,51.522097,-0.079653,"['Liverpool Street', 533.358]"
72,51.520955,-0.097849,"['Barbican', 90.009]"
73,51.5212774210526,-0.0826215087719298,"['Liverpool Street', 401.014]"
74,51.5186,-0.100153,"['Barbican', 242.044]"
75,51.519864,-0.096692,"['Barbican', 102.352]"
