,index,Borough,date_listed,agency_name,chain_free,address,isRetirementHome,isSharedOwnership,listingCondition,price,propertyType,isAuction,tenure,title,latitude,longitude,floor_area_msq,numBedrooms,numBathrooms,numLivingRooms,firstPublishedDate,firstPublishedPrice,balcony_terrace,parking,garden,closest_station_name,closest_station_distance_sec,pub_restaurant,amenities_shop
0,0,City of London,2021-10-28,Foxtons - Clerkenwell,0,"Moor Lane, Moorgate, London EC2Y",0,0,pre-owned,1400000,flat,0,Other,2 bed flat for sale,51.519342,-0.089223,80.0,2,2,1,2021-10-28T18:06:32,1400000.0,1,0,0,Moorgate,93,90,"[11, 8, 7, 3]"
1,1,City of London,2021-10-27,Savills - Clerkenwell,1,"Cock Lane, London EC1A",0,0,pre-owned,900000,flat,0,leasehold,2 bed flat for sale,51.517387,-0.103014,73.0,2,2,1,2021-10-27T18:25:11,900000.0,0,0,1,Farringdon,363,158,"[7, 3, 1, 2]"
2,2,City of London,2021-10-27,Hamptons - City Sales,0,"Priory House, 5 Friar Street, London EC4V",0,0,pre-owned,600000,flat,0,leasehold,1 bed flat for sale,51.512806,-0.101676,54.0,1,1,1,2021-10-27T15:29:28,600000.0,0,0,0,Blackfriars,111,102,"[2, 2, 2, 1]"
3,3,City of London,2021-10-26,Foxtons - West End,0,"Endell Street, Covent Garden, London WC2H",0,0,pre-owned,650000,flat,0,Other,1 bed flat for sale,51.515224,-0.124905,46.0,1,1,2,2021-10-26T14:15:11,650000.0,1,0,1,Covent Garden,243,460,"[25, 6, 33, 9]"
4,4,City of London,2021-10-21,Circa London,1,"Dyer's Buildings, London EC1N",0,0,pre-owned,1595000,flat,0,leasehold,2 bed flat for sale,51.517419,-0.110003,86.0,2,2,1,2021-10-21T13:12:37,1595000.0,0,0,0,Chancery Lane,126,120,"[9, 4, 1, 3]"
5,5,City of London,2021-10-20,Keller Williams London Bridge,1,"Sir John Lyon House, High Timber Street, City Of London, London EC4V",0,0,new,3850000,flat,0,Other,3 bed flat for sale,51.510587,-0.096656,279.0,3,3,1,2021-10-20T20:18:18,3850000.0,0,0,0,Mansion House,295,121,"[3, 3, 3, 2]"
6,6,City of London,2021-10-20,Hurford Salvi Carr - Islington & Shoreditch,0,"New Street, London EC2M",0,0,pre-owned,1475000,flat,0,leasehold,2 bed flat for sale,51.51723,-0.080074,123.0,2,2,1,2021-10-20T11:58:41,1475000.0,0,0,0,Liverpool Street,154,212,"[10, 8, 4, 5]"
7,7,City of London,2021-10-13,Iconic Property Group,0,"Lovat Lane, Monument, London EC3R",0,0,pre-owned,860000,flat,0,leasehold,2 bed flat for sale,51.509974,-0.084025,60.0,2,2,1,2021-10-13T10:06:49,860000.0,0,0,1,Monument,180,134,"[2, 4, 1, 0]"
8,8,City of London,2021-10-12,Nicola Lee Ltd,1,"Cromwell Tower, Barbican, London EC2Y",0,0,pre-owned,1700000,flat,0,leasehold,3 bed flat for sale,51.520576,-0.09282,106.0,3,2,1,2021-10-12T10:36:42,1700000.0,1,1,0,Moorgate,322,78,"[15, 7, 4, 2]"
9,9,City of London,2021-10-06,Nicola Lee Ltd,1,"Defoe House, Barbican, London EC2Y",0,0,pre-owned,925000,flat,0,leasehold,2 bed flat for sale,51.519915,-0.095298,72.0,2,1,1,2021-10-06T13:53:19,925000.0,1,1,1,Barbican,150,94,"[14, 4, 4, 2]"
10,10,City of London,2021-10-06,Victorstone International - City,0,"Principal Tower, Worship Street, Shoreditch, London EC2A",0,0,pre-owned,5750000,flat,0,leasehold,3 bed flat for sale,51.522098,-0.079627,186.0,3,4,1,2021-10-06T10:26:37,5750000.0,1,1,0,Liverpool Street,535,172,"[13, 1, 5, 3]"
11,11,City of London,2021-10-06,Victorstone International - City,0,"3201 Principal Tower, Worship Street, Shoreditch, London EC2A",0,0,pre-owned,2989000,flat,0,leasehold,3 bed flat for sale,51.522098,-0.079627,130.0,3,3,1,2021-10-06T10:26:37,2989000.0,1,1,0,Liverpool Street,535,172,"[13, 1, 5, 3]"
12,12,City of London,2021-10-06,Victorstone International - City,0,"Principal Tower, Worship Street, Shoreditch, London EC2A",0,0,pre-owned,3195000,flat,0,leasehold,3 bed flat for sale,51.522098,-0.079627,121.0,3,3,1,2021-10-06T10:26:37,3195000.0,1,1,0,Liverpool Street,535,172,"[13, 1, 5, 3]"
13,13,City of London,2021-10-06,Victorstone International - City,0,"Principal Tower, Worship Street, Shoreditch, London EC2A",0,0,pre-owned,1523000,flat,0,leasehold,2 bed flat for sale,51.522098,-0.079627,72.0,2,2,1,2021-10-06T10:26:37,1523000.0,1,1,0,Liverpool Street,535,172,"[13, 1, 5, 3]"
14,14,City of London,2021-09-30,Foxtons - Clerkenwell,0,"Moor Lane, Moorgate, London EC2Y",0,0,pre-owned,535000,studio,0,Other,Studio for sale,51.519342,-0.089223,38.0,0,1,0,2021-09-30T18:05:55,535000.0,1,0,0,Moorgate,93,90,"[11, 8, 7, 3]"
15,15,City of London,2021-09-29,Savills - Wapping,0,"Sugar Quay, 1 Water Lane, London EC3R",0,0,pre-owned,2950000,flat,0,leasehold,2 bed flat for sale,51.508532,-0.081031,106.0,2,2,1,2021-09-29T13:03:22,2950000.0,1,0,0,Tower Hill,379,113,"[2, 5, 3, 1]"
16,16,City of London,2021-09-28,Nicola Lee Ltd,0,"Andrewes House, Barbican, London EC2Y",0,0,pre-owned,900000,flat,0,leasehold,1 bed flat for sale,51.518603,-0.092009,74.0,1,1,1,2021-09-28T10:12:48,900000.0,1,1,1,Moorgate,287,85,"[14, 10, 5, 3]"
17,17,City of London,2021-09-27,Foxtons - Shoreditch,0,"The Minories, City, London EC3N",0,0,pre-owned,600000,flat,0,Other,1 bed flat for sale,51.512049,-0.076026,61.0,1,1,0,2021-09-27T14:14:55,600000.0,0,0,0,Tower Gateway,181,135,"[7, 5, 2, 2]"
18,18,City of London,2021-09-21,Prime London (Central and Riverside),1,"One Bishopsgate Plaza, The City, London EC3A",0,0,new,1099000,flat,0,Other,1 bed flat for sale,51.517009,-0.080538,59.0,1,1,1,2021-09-21T12:24:15,1150000.0,1,0,0,Liverpool Street,200,210,"[9, 8, 4, 4]"
19,19,City of London,2021-09-20,99Home Ltd,1,"23 Middle St, London EC1A",0,0,new,974950,flat,0,leasehold,5 bed flat for sale,51.519495,-0.098775,115.0,5,3,1,2021-09-20T12:08:21,999950.0,0,1,1,Barbican,123,115,"[11, 2, 5, 3]"
