,index,Borough,date_listed,agency_name,chain_free,address,isRetirementHome,isSharedOwnership,listingCondition,price,propertyType,isAuction,tenure,title,latitude,longitude,floor_area_msq,numBedrooms,numBathrooms,numLivingRooms,firstPublishedDate,firstPublishedPrice,balcony_terrace,parking,garden,closest_station_name,closest_station_distance_sec,pub_restaurant,amenities_shop
1200,1200,Westminster,2021-07-21,Foxtons - Marylebone & Mayfair,0,"Balcombe Street, Marylebone, London NW1",0,0,pre-owned,350000.0,studio,0,Other,Studio for sale,51.52475,-0.163216,20.0,0,1,1,2021-07-21T00:15:05,360000.0,0,0,0,Marylebone,315,43,"[18, 3, 2, 2]"
1201,1201,Westminster,2021-07-20,Jonathan Arron Residential,0,"Elgin Avenue, Maida Vale W9",0,0,pre-owned,2150000.0,maisonette,0,share_of_freehold,3 bed maisonette for sale,51.527079,-0.19169,159.0,3,3,2,2021-07-20T20:04:47,2300000.0,0,0,1,Maida Vale,392,25,"[8, 4, 2, 0]"
1202,1202,Westminster,2021-07-20,Hanover,0,"Rodney Court, London W9",0,0,pre-owned,1285000.0,flat,0,leasehold,3 bed flat for sale,51.526944,-0.178511,121.0,3,2,1,2021-07-20T18:09:19,1350000.0,0,0,0,Warwick Avenue,410,28,"[4, 0, 3, 0]"
1203,1203,Westminster,2021-07-20,Rokstone Estate Agents,1,"Woodfield Road, London W9",0,0,new,1695000.0,mews,0,leasehold,3 bed mews house for sale,51.522506,-0.1994,131.0,3,3,1,2021-07-20T16:03:35,1695000.0,0,0,1,Westbourne Park,264,24,"[11, 7, 2, 3]"
1204,1204,Westminster,2021-07-20,Chestertons - Westminster & Pimlico,0,"Horseferry Road, London SW1P",0,0,pre-owned,2000000.0,flat,0,leasehold,3 bed flat for sale,51.494987,-0.128766,113.0,3,2,1,2021-07-20T14:44:33,2000000.0,0,1,1,St. James's Park,615,37,"[15, 5, 2, 0]"
1205,1205,Westminster,2021-07-20,Strike,0,"New Oxford Street, London WC1A",0,0,pre-owned,1250000.0,flat,0,leasehold,2 bed flat for sale,51.517206,-0.125719,64.0,2,1,1,2021-07-20T14:30:30,1250000.0,0,0,1,Chesham,276,293,"[47, 8, 22, 4]"
1206,1206,Westminster,2021-07-20,London House,0,"Palace Court, London W2",0,0,pre-owned,4500000.0,,0,leasehold,5 bed property for sale,51.510576,-0.192142,212.0,5,4,2,2021-07-20T12:31:03,4500000.0,0,0,1,Queensway,314,84,"[14, 2, 3, 4]"
1207,1207,Westminster,2021-07-20,Goldschmidt & Howland - Little Venice,0,"St. Johns Wood Road, St. Johns Wood, London NW8",0,0,pre-owned,1000000.0,flat,0,leasehold,2 bed flat for sale,51.5288,-0.170894,88.0,2,2,1,2021-07-20T08:56:49,1000000.0,1,1,0,St. John's Wood,633,11,"[8, 2, 2, 1]"
1208,1208,Westminster,2021-07-19,Savills - Westminster,1,"Greycoat Street, Westminster, London SW1P",0,0,new,1450000.0,flat,0,leasehold,2 bed flat for sale,51.495281,-0.134819,97.0,2,2,1,2021-07-19T19:40:30,1450000.0,0,0,1,St. James's Park,489,86,"[17, 5, 4, 2]"
1209,1209,Westminster,2021-07-19,Savills - Westminster,1,"Greycoat Street, Westminster, London SW1P",0,0,new,1695000.0,flat,0,leasehold,3 bed flat for sale,51.495281,-0.134819,92.0,3,2,1,2021-07-19T19:40:30,1695000.0,0,1,0,St. James's Park,489,86,"[17, 5, 4, 2]"
1210,1210,Westminster,2021-07-19,Savills - Westminster,1,"Greycoat Street, Westminster, London SW1P",0,0,new,800000.0,flat,0,leasehold,1 bed flat for sale,51.495281,-0.134819,44.0,1,1,1,2021-07-19T19:40:30,800000.0,0,0,0,St. James's Park,489,86,"[17, 5, 4, 2]"
1211,1211,Westminster,2021-07-19,Foxtons - Notting Hill,0,"Gloucester Gardens, Bayswater, London W2",0,0,pre-owned,850000.0,flat,0,Other,2 bed flat for sale,51.516804,-0.18534,72.0,2,2,1,2021-07-19T18:17:02,850000.0,0,0,1,Royal Oak,377,62,"[8, 5, 2, 3]"
1212,1212,Westminster,2021-07-19,Aston Chase,1,"St Edmund's Terrace, St John's Wood, London NW8",0,0,new,5950000.0,flat,0,leasehold,3 bed flat for sale,51.536829,-0.161777,189.0,3,3,1,2021-07-19T18:11:39,5950000.0,1,1,0,Chesham,797,8,"[4, 0, 0, 0]"
1213,1213,Westminster,2021-07-19,Aston Chase,1,"St Edmund's Terrace, St John's Wood, London NW8",0,0,new,6950000.0,flat,0,leasehold,3 bed flat for sale,51.536829,-0.161777,184.0,3,3,1,2021-07-19,6950000.0,1,1,0,Chesham,797,8,"[4, 0, 0, 0]"
1214,1214,Westminster,2021-07-19,Aston Chase,1,"St Edmund's Terrace, St John's Wood, London NW8",0,0,new,2950000.0,flat,0,leasehold,2 bed flat for sale,51.536829,-0.161777,130.0,2,2,1,2021-07-19T18:10:59,2950000.0,1,1,0,Chesham,797,8,"[4, 0, 0, 0]"
1215,1215,Westminster,2021-07-19,London Real Estate Office,0,"Nova Building, Buckingham Palace Road, Victoria SW1W",0,0,pre-owned,1995000.0,flat,0,Other,2 bed flat for sale,51.49714,-0.14417,106.0,2,2,0,2021-07-19T13:25:37,2100000.0,1,1,1,Victoria,79,93,"[5, 4, 4, 3]"
1216,1216,Westminster,2021-07-19,Chestertons - Little Venice,0,"Shirland Road, Maida Vale, London W9",0,0,pre-owned,1050000.0,flat,0,leasehold,3 bed flat for sale,51.525502,-0.190887,125.0,3,3,1,2021-07-19T11:10:32,1100000.0,0,1,0,Maida Vale,642,27,"[12, 3, 3, 0]"
1217,1217,Westminster,2021-07-19,Elegant Homes London,0,"Dunraven Street, Mayfair, London W1K",0,0,pre-owned,5950000.0,flat,0,Other,3 bed flat for sale,51.512401,-0.158195,166.0,3,2,1,2021-07-19T10:48:16,5950000.0,1,0,0,Marble Arch,166,81,"[8, 1, 1, 5]"
1218,1218,Westminster,2021-07-19,Elegant Homes London,1,"Queensway, London W2",0,0,pre-owned,849999.0,flat,0,Other,2 bed flat for sale,51.5111,-0.187073,61.0,2,2,1,2021-07-19T10:48:09,849999.0,0,0,0,Chesham,132,76,"[7, 2, 0, 3]"
1219,1219,Westminster,2021-07-19,Hunter Estates Victoria,0,"Ashley Gardens, Thirleby Road, London SW1P",0,0,pre-owned,895000.0,flat,0,share_of_freehold,1 bed flat for sale,51.495882,-0.137532,67.0,1,1,1,2021-07-19T09:55:10,920000.0,0,1,1,St. James's Park,450,104,"[13, 5, 7, 3]"
1220,1220,Westminster,2021-07-19,Keller Williams London Bridge,0,"West One House, Fitzrovia W1T",0,0,pre-owned,1150000.0,flat,0,share_of_freehold,2 bed flat for sale,51.518545,-0.139596,81.0,2,2,1,2021-07-19T08:27:57,1150000.0,0,1,1,Chesham,352,245,"[16, 16, 6, 4]"
1221,1221,Westminster,2021-07-16,Foxtons - West End,0,"Newton Street, Covent Garden, London WC2B",0,0,pre-owned,1200000.0,flat,0,Other,3 bed flat for sale,51.516839,-0.121308,82.0,3,2,1,2021-07-16T18:25:19,1500000.0,0,0,1,Holborn,168,224,"[26, 5, 17, 3]"
1222,1222,Westminster,2021-07-16,Foxtons - Pimlico & Westminster,0,"Cleland House, Westminster, London SW1P",0,0,pre-owned,2125000.0,flat,0,Other,2 bed flat for sale,51.493049,-0.127153,112.0,2,2,1,2021-07-16T18:17:40,2250000.0,1,0,0,Chesham,626,30,"[15, 5, 2, 1]"
1223,1223,Westminster,2021-07-16,Bunn & Co,0,"Regency Street, Westminster SW1P",0,0,pre-owned,490000.0,flat,0,leasehold,1 bed flat for sale,51.492561,-0.132841,53.0,1,1,1,2021-07-16T17:51:59,490000.0,1,1,1,Pimlico,401,47,"[18, 6, 2, 2]"
1224,1224,Westminster,2021-07-16,TEMPOCASA ESTATE AGENTS,0,"Elnathan Mews, Maida Vale, London W9",0,0,pre-owned,1625000.0,detached,0,Other,3 bed detached house for sale,51.52436,-0.187866,145.0,3,2,2,2021-07-16T14:41:35,1625000.0,1,0,1,Warwick Avenue,288,21,"[11, 3, 5, 0]"
1225,1225,Westminster,2021-07-16,Knight Frank - St John's Wood Sales,0,"Abercorn Mansions, St Johns Wood NW8.",0,0,pre-owned,750000.0,flat,0,Other,2 bed flat for sale,51.5327,-0.1808,62.0,2,2,1,2021-07-16T11:36:54,795000.0,0,0,1,Maida Vale,276,14,"[8, 4, 0, 0]"
1226,1226,Westminster,2021-07-16,The Estate Company,0,"Gloucester Terrace, London W2",0,0,pre-owned,1100000.0,flat,0,Other,2 bed flat for sale,51.517299,-0.183942,92.0,2,2,1,2021-07-16T11:16:23,1100000.0,0,1,0,Royal Oak,393,50,"[7, 6, 3, 3]"
1227,1227,Westminster,2021-07-16,Garton Jones - Westminster & Victoria,0,"Tothill House, Page Street, Westminster, London SW1P",0,0,pre-owned,525000.0,flat,0,Other,2 bed flat for sale,51.494579,-0.129248,52.0,2,1,1,2021-07-16T10:49:39,540000.0,0,0,0,St. James's Park,622,34,"[16, 5, 2, 1]"
