,level_0,index,Borough,date_listed,agency_name,chain_free,address,isRetirementHome,isSharedOwnership,listingCondition,price,propertyType,isAuction,tenure,title,latitude,longitude,floor_area_msq,numBedrooms,numBathrooms,numLivingRooms,firstPublishedDate,firstPublishedPrice,balcony_terrace,parking,garden,closest_station_name,closest_station_distance_sec,pub_restaurant,amenities_shop
3100,3100,3100,Islington,2021-05-07,Hotblack Desiato,0,"Caledonian Road, London N1",0,0,pre-owned,470000.0,flat,0,Other,1 bed flat for sale,51.538799,-0.116755,49.0,1,1,1,2021-05-07,470000.0,0,0,1,Caledonian Road,732,20,"[7, 2, 1, 2]"
3101,3101,3101,Islington,2021-05-07,Winkworth - Islington,0,"Canonbury Street, London N1",0,0,pre-owned,573000.0,flat,0,leasehold,2 bed flat for sale,51.542752,-0.095051,78.0,2,1,1,2021-05-07,585000.0,1,0,1,Highbury & Islington,779,28,"[10, 4, 1, 5]"
3102,3102,3102,Islington,2021-05-07,Fyfe Mcdade Ltd,0,"Tompion House, Percival Street, London EC1V",0,0,pre-owned,555000.0,flat,0,Other,2 bed flat for sale,51.526017,-0.101127,60.0,2,1,1,2021-05-07,555000.0,0,0,1,Barbican,630,69,"[16, 0, 2, 3]"
3103,3103,3103,Islington,2021-05-06,JLL - New Homes,1,"The Maker's, Nile Street N1",0,0,new,1053000.0,flat,0,Other,2 bed flat for sale,51.52919,-0.09065,77.0,2,2,1,2021-05-06,1053000.0,1,0,1,Old Street,345,37,"[11, 4, 0, 5]"
3104,3104,3104,Islington,2021-05-06,Hamptons - Islington Sales,0,"Highbury Place, London N5",0,0,pre-owned,6000000.0,terraced,0,freehold,6 bed terraced house for sale,51.548811,-0.101769,409.0,6,4,4,2021-05-06,6000000.0,1,0,1,Highbury & Islington,578,33,"[11, 4, 0, 3]"
3105,3105,3105,Islington,2021-05-06,Savills - Islington,1,"Copenhagen Street, London N1",0,0,pre-owned,1950000.0,terraced,0,freehold,3 bed terraced house for sale,51.535406,-0.110094,162.0,3,2,1,2021-05-06,1950000.0,1,0,1,Angel,564,88,"[9, 3, 7, 4]"
3106,3106,3106,Islington,2021-05-06,Savills - Islington,0,"Pissarro House, Augustas Lane, London N1",0,0,pre-owned,625000.0,flat,0,leasehold,1 bed flat for sale,51.543471,-0.108938,63.0,1,2,1,2021-05-06,625000.0,0,0,1,Highbury & Islington,492,50,"[8, 1, 1, 4]"
3107,3107,3107,Islington,2021-05-06,Birx Investment Agency,0,"Seven Sisters Road, Holloway N7",0,0,pre-owned,800000.0,flat,0,leasehold,7 bed flat for sale,51.558341,-0.118203,163.0,7,3,2,2021-05-06,800000.0,0,0,0,Holloway Road,614,36,"[8, 6, 1, 5]"
3108,3108,3108,Islington,2021-05-06,Reliable Homes,1,"Holloway Road, London N7",0,0,pre-owned,160000.0,studio,0,Other,Studio for sale,51.554,-0.114683,17.0,0,1,1,2021-05-06,160000.0,0,0,0,Holloway Road,210,36,"[10, 5, 1, 6]"
3109,3109,3109,Islington,2021-05-06,Reliable Homes,1,"Holloway Road, London N7",0,0,pre-owned,170000.0,studio,0,Other,Studio for sale,51.554,-0.114683,20.0,0,1,1,2021-05-06,170000.0,0,0,0,Holloway Road,210,36,"[10, 5, 1, 6]"
3110,3110,3110,Islington,2021-05-06,Reliable Homes,1,"Caledonian Road, London N1",0,0,pre-owned,149950.0,studio,0,Other,Studio for sale,51.539699,-0.116718,16.0,0,1,1,2021-05-06,149950.0,0,0,0,Caledonian Road,662,19,"[7, 2, 1, 2]"
3111,3111,3111,Islington,2021-05-06,Reliable Homes,1,"Caledonian Road, London N1",0,0,pre-owned,145000.0,studio,0,Other,Studio for sale,51.539699,-0.116718,17.0,0,1,1,2021-05-06,145000.0,0,0,0,Caledonian Road,662,19,"[7, 2, 1, 2]"
3112,3112,3112,Islington,2021-05-06,Keller Williams Prime Properties,1,"Westerdale Court, Highbury N5",0,0,pre-owned,475000.0,flat,0,leasehold,3 bed flat for sale,51.555363,-0.100995,73.0,3,1,1,2021-05-06,475000.0,1,0,0,Arsenal,412,14,"[8, 0, 0, 1]"
3113,3113,3113,Islington,2021-05-06,Savills - Hackney,0,"Popes Yard, 9 Englefield Road, London N1",0,0,pre-owned,1020000.0,mews,0,freehold,3 bed mews house for sale,51.542355,-0.078426,101.0,3,2,1,2021-05-06,1100000.0,0,1,1,Old Street,1764,26,"[8, 2, 2, 3]"
3114,3114,3114,Islington,2021-05-06,City & Urban International Shoreditch,0,"Hertford Road, London N1",0,0,pre-owned,1295000.0,town_house,0,Other,5 bed town house for sale,51.539942,-0.078268,139.0,5,4,0,2021-05-06,1295000.0,0,0,1,Old Street,1534,24,"[9, 2, 1, 2]"
3115,3115,3115,Islington,2021-05-06,City & Urban International Shoreditch,0,"Balmes Road, London N1",0,0,pre-owned,850000.0,flat,0,leasehold,3 bed flat for sale,51.538097,-0.085829,125.0,3,0,0,2021-05-06,850000.0,0,0,0,Old Street,1080,13,"[8, 5, 1, 2]"
3116,3116,3116,Islington,2021-05-06,City & Urban International Shoreditch,0,"Enfield Road, Haggerston, London N1",0,0,pre-owned,875000.0,flat,0,Other,3 bed flat for sale,51.539722,-0.077412,106.0,3,3,0,2021-05-06,875000.0,0,0,1,Old Street,1582,23,"[9, 1, 1, 2]"
3117,3117,3117,Islington,2021-05-06,Knight Frank - Islington Sales,0,"Wenlock Road, London N1",0,0,pre-owned,825000.0,flat,0,leasehold,2 bed flat for sale,51.530499,-0.093639,78.0,2,2,1,2021-05-06,825000.0,1,0,0,Old Street,532,31,"[8, 4, 1, 4]"
3118,3118,3118,Islington,2021-05-05,Hastings International - London Bridge,0,"Vicary House, Barts Square, Bartholomew Close EC1A",0,0,pre-owned,899950.0,flat,0,Other,1 bed flat for sale,51.518153,-0.098629,50.0,1,0,0,2021-05-05,925000.0,0,0,1,Barbican,263,124,"[10, 4, 4, 3]"
3119,3119,3119,Islington,2021-05-05,Savills - Clerkenwell,0,"Albemarle Way, Clerkenwell, London EC1V",0,0,pre-owned,1850000.0,flat,0,leasehold,3 bed flat for sale,51.522815,-0.102774,148.0,3,2,1,2021-05-05,1850000.0,1,0,0,Farringdon,389,141,"[13, 2, 1, 2]"
3120,3120,3120,Islington,2021-05-05,JLL - City,0,"City Road, London EC1V",0,0,pre-owned,575000.0,studio,0,leasehold,Studio for sale,51.527671,-0.0884,37.0,0,1,0,2021-05-05,575000.0,1,0,0,Old Street,167,72,"[11, 2, 2, 5]"
3121,3121,3121,Islington,2021-05-05,Knight Frank - Islington Sales,0,"Hemingford Road, Islington, London N1",0,0,pre-owned,775000.0,maisonette,0,leasehold,3 bed maisonette for sale,51.5416,-0.113745,90.0,3,1,1,2021-05-05,795000.0,1,0,0,Caledonian Road,595,22,"[6, 2, 0, 2]"
3122,3122,3122,Islington,2021-05-05,Kinleigh Folkard & Hayward - Clerkenwell Sales,1,"Finsbury Estate, London EC1R",0,0,pre-owned,420000.0,flat,0,Other,1 bed flat for sale,51.526012,-0.105308,48.0,1,1,0,2021-05-05,420000.0,1,0,1,Farringdon,601,89,"[13, 2, 2, 2]"
3123,3123,3123,Islington,2021-05-05,Kinleigh Folkard & Hayward - Clerkenwell Sales,0,"Gee Street, London EC1V",0,0,pre-owned,565000.0,flat,0,Other,2 bed flat for sale,51.524254,-0.097769,65.0,2,1,0,2021-05-05,600000.0,1,0,1,Barbican,431,93,"[16, 2, 4, 4]"
3124,3124,3124,Islington,2021-05-05,Kinleigh Folkard & Hayward - Clerkenwell Sales,0,"Shepherdess Walk, London N1",0,0,pre-owned,680000.0,flat,0,Other,1 bed flat for sale,51.533476,-0.094775,72.0,1,1,0,2021-05-05,700000.0,0,0,0,Old Street,835,25,"[7, 3, 1, 4]"
3125,3125,3125,Islington,2021-05-05,Knight Frank - Islington Sales,0,"Spencer Place, London N1.",0,0,pre-owned,1750000.0,flat,0,leasehold,3 bed flat for sale,51.542633,-0.101589,141.0,3,2,1,2021-05-05,1750000.0,1,1,0,Highbury & Islington,510,66,"[8, 2, 4, 8]"
3126,3126,3126,Islington,2021-05-05,Hotblack Desiato,0,"Hamilton Park West, London N5",0,0,pre-owned,3750000.0,semi_detached,0,Other,6 bed semi-detached house for sale,51.553798,-0.10315,295.0,6,3,2,2021-05-05,3900000.0,1,0,1,Arsenal,428,24,"[9, 3, 0, 2]"
3127,3127,3127,Islington,2021-05-05,Hotblack Desiato,1,"Mylne Street, London EC1R",0,0,pre-owned,800000.0,maisonette,0,Other,2 bed maisonette for sale,51.530601,-0.109884,67.0,2,1,1,2021-05-05,875000.0,0,0,1,Angel,528,73,"[12, 3, 4, 3]"
3128,3128,3128,Islington,2021-05-04,Winkworth - Islington,0,"King Henrys Walk, London N1",0,0,pre-owned,525000.0,flat,0,leasehold,3 bed flat for sale,51.547817,-0.081412,75.0,3,1,1,2021-05-04,525000.0,0,0,0,Chesham,1396,46,"[10, 1, 4, 2]"
3129,3129,3129,Islington,2021-05-04,Dexters New Homes - East London,1,"City Road, London EC1V",0,0,new,2000000.0,flat,0,Other,3 bed flat for sale,51.528185,-0.091381,150.0,3,3,1,2021-05-04,1850000.0,1,0,0,Old Street,282,45,"[11, 2, 0, 6]"
3130,3130,3130,Islington,2021-05-04,Dexters New Homes - East London,1,"City Road, London EC1V",0,0,new,2100000.0,flat,0,leasehold,3 bed flat for sale,51.52824,-0.091609,174.0,3,3,1,2021-05-04,1950000.0,1,0,0,Old Street,294,45,"[11, 2, 0, 6]"
3131,3131,3131,Islington,2021-05-04,Dexters New Homes - East London,1,"City Road, London EC1V",0,0,new,2350000.0,flat,0,Other,3 bed flat for sale,51.528185,-0.091381,267.0,3,3,2,2021-05-04,1650000.0,1,0,0,Old Street,282,45,"[11, 2, 0, 6]"
3132,3132,3132,Islington,2021-05-04,Dexters New Homes - East London,1,"City Road, London EC1V",0,0,new,2950000.0,flat,0,Other,3 bed flat for sale,51.528185,-0.091381,217.0,3,4,1,2021-05-04,3250000.0,1,0,1,Old Street,282,45,"[11, 2, 0, 6]"
3133,3133,3133,Islington,2021-05-04,JLL - North London,0,"Goodchild Road, London N4",0,0,pre-owned,998000.0,flat,0,leasehold,3 bed flat for sale,51.570833,-0.089375,95.0,3,2,1,2021-05-04,1150000.0,1,1,0,Manor House,392,5,"[5, 1, 0, 0]"
3134,3134,3134,Islington,2021-05-04,Carlton Estate Agents,0,"White Lion Street, Islington N1",0,0,pre-owned,675000.0,lodge,0,share_of_freehold,2 bed lodge for sale,51.532836,-0.110215,97.0,2,2,1,2021-05-04,700000.0,0,0,0,Angel,370,84,"[10, 3, 6, 3]"
3135,3135,3135,Islington,2021-05-04,Carlton Estate Agents,0,"Whistler Street, London N5",0,0,pre-owned,960000.0,terraced,0,freehold,2 bed terraced house for sale,51.552444,-0.10382,69.0,2,1,1,2021-05-04,960000.0,0,0,1,Chesham,574,29,"[14, 5, 0, 3]"
