,latitude,longitude,closest_station
0,51.523426,-0.112205,"['Chancery Lane', 455.226]"
1,51.556667,-0.179551,"['Hampstead', 127.336]"
2,51.55354,-0.187055,"['West Hampstead', 759.494]"
3,51.521541,-0.165689,"['Edgware Road (B)', 288.333]"
4,51.556968,-0.162663,"['Belsize Park', 792.009]"
5,51.546977,-0.129251,"['Caledonian Road', 753.885]"
6,51.544624,-0.169279,"['Swiss Cottage', 312.031]"
7,51.557514,-0.163832,"['Belsize Park', 789.58]"
8,51.557137,-0.189328,"['Chesham', 775.871]"
9,51.54324,-0.163764,"['Chesham', 586.393]"
10,51.514877,-0.127533,"['Leicester Square', 346.77]"
11,51.551312,-0.140389,"['Kentish Town', 113.802]"
12,51.550847,-0.208882,"['Kilburn', 477.099]"
13,51.551603,-0.185401,"['Finchley Road', 524.669]"
14,51.547698,-0.166869,"['Belsize Park', 294.746]"
15,51.558898,-0.197651,"['Upminster', 1168.847]"
16,51.544049,-0.18311,"['Finchley Road', 357.113]"
17,51.553701,-0.142474,"['Kentish Town', 338.926]"
18,51.543986,-0.150453,"['Chalk Farm', 213.695]"
19,51.545626,-0.158239,"['Chalk Farm', 341.044]"
20,51.56195,-0.150164,"['Tufnell Park', 962.691]"
21,51.548982,-0.183365,"['Finchley Road', 366.166]"
22,51.549414,-0.205876,"['Kilburn', 234.306]"
23,51.554306,-0.154043,"['Chesham', 779.491]"
24,51.552802,-0.161709,"['Belsize Park', 388.502]"
25,51.542045,-0.134984,"['Camden Town', 504.788]"
26,51.542045,-0.134984,"['Camden Town', 504.788]"
27,51.549301,-0.155266,"['Chalk Farm', 616.642]"
28,51.553612,-0.178103,"['Hampstead', 302.88]"
29,51.552253,-0.192055,"['West Hampstead', 468.504]"
30,51.548179,-0.160846,"['Belsize Park', 281.869]"
31,51.5485,-0.165391,"['Belsize Park', 191.101]"
32,51.5373,-0.137004,"['Chesham', 412.593]"
33,51.533877,-0.134842,"['Mornington Crescent', 344.487]"
34,51.547447,-0.129196,"['Caledonian Road', 776.839]"
35,51.554799,-0.19613,"['West Hampstead', 826.037]"
36,51.521463,-0.10985,"['Chancery Lane', 341.616]"
37,51.523102,-0.125512,"['Russell Square', 68.053]"
38,51.519069,-0.136125,"['Goodge Street', 200.54]"
39,51.52419,-0.13864,"['Warren Street', 100.831]"
40,51.547714,-0.150589,"['Chalk Farm', 532.816]"
41,51.539833,-0.189541,"['Kilburn Park', 491.278]"
42,51.558259,-0.186817,"['Hampstead', 681.788]"
43,51.549714,-0.154229,"['Chalk Farm', 662.001]"
44,51.570152,-0.175911,"['Hampstead', 1197.964]"
45,51.542114,-0.18044,"['Finchley Road', 514.628]"
46,51.546398,-0.146726,"['Chalk Farm', 500.775]"
47,51.5464,-0.157002,"['Chalk Farm', 296.249]"
48,51.544542,-0.168936,"['Swiss Cottage', 327.011]"
49,51.553631,-0.142617,"['Kentish Town', 341.166]"
50,51.553058,-0.189318,"['West Hampstead', 657.416]"
51,51.551271,-0.183068,"['Finchley Road', 460.389]"
52,51.543072,-0.17176,"['Swiss Cottage', 110.758]"
53,51.548875,-0.204896,"['Kilburn', 210.758]"
54,51.546948,-0.16249,"['Belsize Park', 376.516]"
55,51.517328,-0.109315,"['Chancery Lane', 181.888]"
56,51.553696,-0.18938,"['West Hampstead', 700.587]"
57,51.5606,-0.192316,"['Golders Green', 1239.859]"
58,51.549861,-0.186481,"['West Hampstead', 459.155]"
59,51.527952,-0.124431,"[""King's Cross St. Pancras"", 428.924]"
60,51.523085,-0.15754,"['Baker Street', 47.55]"
61,51.541141,-0.195718,"['Kilburn Park', 612.271]"
62,51.546306,-0.147126,"['Chalk Farm', 481.554]"
63,51.553871,-0.18753,"['West Hampstead', 796.62]"
64,51.5591,-0.196306,"['West Hampstead', 1132.491]"
65,51.546515,-0.132319,"['Kentish Town', 698.148]"
66,51.553964,-0.172982,"['Hampstead', 448.789]"
67,51.5311,-0.1338,"['Chesham', 719.3]"
68,51.548524,-0.152301,"['Chalk Farm', 517.13]"
69,51.539833,-0.18954,"['Kilburn Park', 491.292]"
70,51.554799,-0.19613,"['West Hampstead', 826.037]"
71,51.51991,-0.13406,"['Goodge Street', 106.747]"
72,51.525149,-0.161825,"['Marylebone', 344.254]"
73,51.532798,-0.137188,"['Mornington Crescent', 187.959]"
74,51.5595785930233,-0.188180203488372,"['Hampstead', 759.184]"
75,51.56687,-0.15755,"['Highgate', 1371.998]"
76,51.551799,-0.204206,"['Kilburn', 712.964]"
77,51.555011,-0.163997,"['Belsize Park', 605.809]"
78,51.542266,-0.160977,"['Chalk Farm', 529.249]"
79,51.556805,-0.176965,"['Hampstead', 122.978]"
80,51.553893,-0.115216,"['Holloway Road', 235.68]"
81,51.522555,-0.166744,"['Chesham', 314.395]"
82,51.525743626506,-0.113515144578313,"['Chancery Lane', 720.386]"
83,51.522618,-0.167624,"['Chesham', 322.92]"
84,51.560887,-0.177129,"['Hampstead', 439.617]"
85,51.552846,-0.193482,"['West Hampstead', 545.541]"
86,51.543496,-0.171747,"['Swiss Cottage', 136.24]"
87,51.553001,-0.162328,"['Belsize Park', 432.394]"
88,51.545261,-0.176618,"['Chesham', 260.292]"
89,51.523783,-0.117815,"['Russell Square', 371.873]"
90,51.542492,-0.168524,"['Swiss Cottage', 437.288]"
91,51.556255,-0.172118,"['Hampstead', 436.382]"
92,51.557491,-0.149557,"['Chesham', 805.416]"
93,51.558381,-0.141616,"['Tufnell Park', 298.987]"
94,51.551799,-0.16282,"['Belsize Park', 230.061]"
95,51.555785,-0.146915,"['Chesham', 591.449]"
96,51.540021,-0.148111,"['Camden Town', 386.728]"
97,51.557134,-0.192016,"['West Hampstead', 942.769]"
98,51.542284,-0.179414,"['Finchley Road', 467.281]"
99,51.551045,-0.173786,"['Hampstead', 607.032]"
100,51.545902773913,-0.196680043478261,"['West Hampstead', 351.272]"
101,51.551403,-0.200939,"['Kilburn', 654.588]"
102,51.543014,-0.119038,"['Caledonian Road', 479.724]"
103,51.553941,-0.165151,"['Belsize Park', 472.665]"
104,51.557223,-0.179026,"['Hampstead', 117.554]"
105,51.5418,-0.191496,"['West Hampstead', 526.379]"
106,51.551242,-0.20049,"['Kilburn', 671.244]"
107,51.546306,-0.147126,"['Chalk Farm', 481.554]"
108,51.546521,-0.144549,"['Kentish Town', 440.35]"
109,51.546188,-0.179654,"['Finchley Road', 142.549]"
110,51.543169,-0.170401,"['Swiss Cottage', 278.69]"
111,51.524566,-0.162357,"['Marylebone', 269.085]"
112,51.518756,-0.134538,"['Goodge Street', 225.844]"
113,51.557273,-0.183395,"['Hampstead', 467.03]"
114,51.55082,-0.136439,"['Kentish Town', 273.958]"
115,51.547402,-0.14507,"['Kentish Town', 448.008]"
116,51.548599,-0.162073,"['Belsize Park', 237.041]"
117,51.546704,-0.138849,"['Kentish Town', 464.065]"
118,51.557273,-0.183395,"['Hampstead', 467.03]"
119,51.542957,-0.188019,"['West Hampstead', 487.693]"
120,51.51805,-0.1261,"['Tottenham Court Road', 346.756]"
121,51.545974,-0.196726,"['West Hampstead', 354.521]"
122,51.546346,-0.170898,"['Swiss Cottage', 361.658]"
123,51.55425,-0.11694,"['Holloway Road', 371.299]"
124,51.556465,-0.193313,"['West Hampstead', 868.704]"
125,51.5588,-0.1779,"['Hampstead', 227.111]"
126,51.547685,-0.176263,"['Finchley Road', 395.965]"
127,51.546634,-0.130388,"['Chesham', 833.502]"
128,51.552144,-0.191161,"['West Hampstead', 503.41]"
129,51.551296,-0.182969,"['Finchley Road', 465.551]"
130,51.519331,-0.138596,"['Goodge Street', 212.913]"
131,51.549537,-0.162751,"['Belsize Park', 141.379]"
132,51.546298,-0.138079,"['Kentish Town', 505.078]"
133,51.519023,-0.136456,"['Goodge Street', 203.331]"
134,51.551525,-0.207337,"['Kilburn', 483.808]"
135,51.518859,-0.167545,"['Edgware Road (B)', 106.832]"
136,51.546268,-0.128033,"['Caledonian Road', 675.016]"
137,51.55333,-0.170945,"['Belsize Park', 451.45]"
138,51.555603,-0.177882,"['Hampstead', 155.345]"
139,51.556428,-0.171253,"['Hampstead', 478.766]"
140,51.550716,-0.182848,"['Finchley Road', 385.211]"
141,51.523485,-0.162256,"['Marylebone', 185.113]"
142,51.544399,-0.133827,"['Chesham', 648.475]"
143,51.546597,-0.130572,"['Kentish Town', 821.162]"
144,51.557929,-0.163519,"['Belsize Park', 825.135]"
145,51.532,-0.166,"[""St. John's Wood"", 722.912]"
146,51.547218,-0.165511,"['Belsize Park', 344.488]"
147,51.529534,-0.1209,"[""King's Cross St. Pancras"", 245.315]"
148,51.517429,-0.132488,"['Tottenham Court Road', 231.804]"
149,51.520645,-0.17054,"['Edgware Road (C)', 51.572]"
150,51.520645,-0.17054,"['Edgware Road (C)', 51.572]"
151,51.550643,-0.1829,"['Finchley Road', 380.223]"
152,51.552836,-0.193022,"['West Hampstead', 535.366]"
153,51.529209,-0.140556,"['Warren Street', 476.108]"
154,51.513801,-0.127875,"['Leicester Square', 258.742]"
155,51.549677,-0.143931,"['Kentish Town', 283.702]"
156,51.536399,-0.139923,"['Mornington Crescent', 354.023]"
157,51.523208,-0.13614,"['Warren Street', 228.563]"
158,51.544762,-0.156039,"['Chalk Farm', 199.296]"
159,51.520753,-0.119378,"['Holborn', 335.333]"
160,51.548,-0.203,"['Kilburn', 130.09]"
161,51.5376,-0.1537,"['Chesham', 687.848]"
162,51.549694,-0.181658,"['Finchley Road', 296.112]"
163,51.549681,-0.180522,"['Finchley Road', 331.175]"
164,51.54964,-0.180706,"['Finchley Road', 321.92]"
165,51.548738,-0.120362,"['Caledonian Road', 288.488]"
166,51.516546,-0.120575,"['Holborn', 110.547]"
167,51.521871,-0.160836,"['Marylebone', 163.696]"
168,51.549714,-0.132303,"['Kentish Town', 524.516]"
169,51.552982,-0.191329,"['West Hampstead', 552.149]"
170,51.516546,-0.120575,"['Holborn', 110.547]"
171,51.5469,-0.162404,"['Belsize Park', 381.259]"
172,51.553401,-0.171422,"['Chesham', 473.553]"
173,51.554666,-0.166031,"['Belsize Park', 519.407]"
174,51.570602,-0.14783,"['Highgate', 764.394]"
175,51.549613,-0.122557,"['Caledonian Road', 414.369]"
