,Link,Listed,Borough,date_listed,agency_name,agency_phone,chain_free,address,isRetirementHome,isSharedOwnership,listingCondition,listingStatus,RoomCount,price,propertyType,isAuction,priceHistory,floorArea,tenure,detailedDescription,features,furnishedState,title,latitude,longitude,statusSummary
0,/for-sale/details/59080814/,Listed on 3rd Jul 2021,Barking,2021-07-03,"Purplebricks, Head Office",024 7511 8874,True,"Weston Green, Dagenham RM9",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 1, 'numLivingRooms': 1}",385000,semi_detached,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-03 10:23:35', 'priceLabel': '£385,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '1999-01-22', 'newBuild': False, 'price': 52000, 'priceLabel': '£52,000', 'recentlySold': False}, 'priceChanges': None}",,freehold,"A fantastic spacious family home originally built as a three bedroom property with the added benefit of having no onward chain.<br>Internally this semi detached property boasts a wealth of features including an entrance porch, a great size through lounge, a fitted kitchen with custom fitted storage and a ground floor WC.<br>The first floor comprises of two spacious double bedrooms, as well as the family three piece bathroom suite.<br>Externally the property boasts good size rear garden which is partly paved and the rest is mainly laid to lawn and there is an outer building.<br>We do recommend a viewing (subject to government guideline) to fully appreciate what this property has to offer.<br>Within easy access to Dagenham Heathway Station, taking you into London Liverpool Street Station in 35 minutes.<br>Within close proximity to shopping facilities and amenities.<br><br><strong>Disclaimer For Virtual Viewings</strong><br><br>Some or all information pertaining to this property may have been provided solely by the vendor, and although we always make every effort to verify the information provided to us, we strongly advise you to make further enquiries before continuing.<br><br>If you book a viewing or make an offer on a property that has had its valuation conducted virtually, you are doing so under the knowledge that this information may have been provided solely by the vendor, and that we may not have been able to access the premises to confirm the information or test any equipment. We therefore strongly advise you to make further enquiries before completing your purchase of the property to ensure you are happy with all the information provided.","['Two bedroom semi detacthed property', 'Extended to rear', 'Ground floor wc', 'First floor bathroom', 'Orginally a three bedroom', 'No onward chain']",,2 bed semi-detached house for sale,51.552332,0.140529,Just added
1,/for-sale/details/59074013/,Listed on 2nd Jul 2021,Barking,2021-07-02,Brian Thomas,020 8128 4607,False,"Westrow Drive, Barking, Essex IG11",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 5, 'numBathrooms': 2, 'numLivingRooms': 2}",750000,semi_detached,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-02 15:58:13', 'priceLabel': '£750,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '1995-06-29', 'newBuild': False, 'price': 81250, 'priceLabel': '£81,250', 'recentlySold': False}, 'priceChanges': None}",,freehold,"Brian Thomas Estate Agents are delighted to offer for sale this unique opportunity to purchase this beautifully presented extended five bedroom semi detached family house located close to high road shops, schools and within a short walking distance to Upney district line station with excellent links into London Fenchurch Street station. Features of this property include two reception rooms, fitted kitchen/diner, ground floor cloakroom/W.C., and off-street parking for at least 4 cars as well as an attached garage and potential for further extension. A viewing is highly advised.<br><br>Entrance hall: Hardwood entrance door, laminate flooring, under stairs cupboard.<br><br>Lounge: 14'6 x 13'2 (4.42m x 4.01m) Hardwood doubled glazed bay window to front elevation, fitted carpet, feature fire surround, electric points, double radiator.<br><br>Reception two: 17'4 x 14' (5.28m x 4.26m) Hardwood double glazed casement windows to front and side elevation, part laminated flooring and part fitted carpet, double radiator, electric points, TV and aerial points.<br><br>Passageway: Leading to utility area which houses plumbed washing machine and tumble dryer.<br><br>Ground floor cloakroom/W.C: Comprising of a low-level W.C, wash hand basin in vanity unit, heated towel rail, hardwood double glazed casement window to rear elevation, ceramic tiled floor and partly tiled walls.<br><br>Fitted kitchen &amp; dining room: 19'8 x 13'6 (5.99m x 4.11m) This modern kitchen has been fitted with a range of fitted wall and floor units with integrated dishwasher, fridge and wine cooler. The granite worktop incorporates a breakfast bar, a single drainer sink with chrome mixer taps and a built-in gas hob and electric oven with extractor fan above. There is a ceramic tiled floor, part tiled walls, spot lit ceiling and a hardwood double glazed casement window to rear elevation.<br>Dining area: Hardwood double glazed French doors and windows to rear elevation, laminate flooring, electric points, double radiator with decorative cover, spot lit ceiling.<br><br>Stairs to first floor landing: Fitted carpet, dado rail, access to insulated loft.<br><br>Bedroom 1: 13'6 x 10' (4.11m x 3.04m) Fitted carpet, double radiator, hardwood double glazed casement window to rear elevation.<br>Ensuite showeroom/W.C: Comprising of shower cubicle, low level W.C., wash hand basin, extractor fan and partly tiled walls, double radiator.<br><br>Bedroom 2: 15'4 x 11'7 (4.67m x 3.53m) Fitted carpet, a range of fitted wardrobes with additional hanging cupboard space and matching bedside cabinets a dressing table, double radiator, electric points, hardwood double glazed bay window to front elevation.<br><br>Bedroom 3: 10'4 x 10'2 (3.15m x 3.1m) Fitted carpet, fitted wardrobes, fitted cupboard housing gas boiler and immersion heater, hardwood doubled glazed window to rear elevation.<br><br>Bedroom 4: 14'8 x 8' (4.47m x 2.44m) Laminate flooring, electric points, double radiator, hardwood doubled glazed window to front elevation.<br><br>Bedroom 5: 7'6 x 7'3 (2.28m x 2.2m) Fitted carpet, picture rail, electric points, hardwood doubled glazed bay window to front elevation.<br><br>Family bathroom: Half tiled walls, fitted carpet, raised spacious walk-in shower cubicle, raised paneled bath, low level W.C., pedestal wash hand basin, single radiator, hardwood double glazed windows to rear elevation.<br><br>Rear garden: (Approx. 50ft x 60ft) Laid to lawn, raised paved patio area, range of mature trees and shrubs.<br><br>Attached double garage: 17'9 x 12'8 Electric Up &amp; Over doors, power and lighting, range of shelving and cupboards, window and door to rear elevation.<br><br>Front of property: Fully paved offering off street parking via dropped kerb for up to 4 cars.<br><br>Potential for further extension and development:<br><br>Viewings: By appointment with this office, weekdays until 6.30 pm and Saturday until 5 pm.","['Five bedroom - semi detached house', 'Two reception rooms', 'Fitted kitchen / diner', 'Off street parking for 4 cars', 'Attached double garage', 'Fully double glazed', 'Gas central heating', 'Ground floor cloakroom /W.C.', 'Potential for further extension']",,5 bed semi-detached house for sale,51.544103,0.106265,Just added
2,/for-sale/details/59071551/,Listed on 2nd Jul 2021,Barking,2021-07-02,Bairstow Eves - Barking Sales,020 3463 0145,False,"4A Pickering Road, Barking, Essex IG11",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 1, 'numLivingRooms': 1}",269000,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-02 13:05:24', 'priceLabel': '£269,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2014-10-17', 'newBuild': False, 'price': 170000, 'priceLabel': '£170,000', 'recentlySold': False}, 'priceChanges': None}",,,"Calling all first time buyers and investors!Bairstow Eves are introducing this well presented first floor apartment in a fantastic location within reach of Barking Town centre and Barking train station. This property comprises of a fitted kitchen, lounge, two bedrooms, bathroom/WC and a balcony. The property has double glazing and gas central heated (untested). Do not delay registering your interest please call the team to view on .<br><br>Two bedrooms<br>Popular location<br>Fantastic Transport links<br>Close to Barking Town centre<br>Balcony",,,2 bed flat for sale,51.541942,0.077697,Just added
3,/for-sale/details/59069523/,Listed on 2nd Jul 2021,Barking,2021-07-02,Balgores Dagenham,020 8033 4480,False,"Kershaw Road, Dagenham RM10",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 3, 'numBathrooms': 1, 'numLivingRooms': 1}",280000,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-02 10:22:18', 'priceLabel': '£280,000'}, 'lastSale': None, 'priceChanges': None}",,leasehold,"• three bedroom ground floor flat<br>• maintained to A high standard<br>• close to local amenities<br>• balcony<br>• 119 year lease<br><br><strong>Entrance Via Communal Halls To Entrance Hallway</strong><br><br>Intercom system, storage heaters, storage cupboard, smooth ceiling with spotlights, wood effect flooring, doors to:<br><br><strong>Bedroom One</strong><br><br>12'1 x 11'5.<br>Double glazed window to side, storage heater, fitted wardrobes and units, smooth ceiling, cornice coving, solid wood floor.<br><br><strong>Bedroom Two</strong><br><br>12'4 x 9'.<br>Double glazed window to front, storage heater, fitted wardrobes, smooth ceiling, cornice coving, solid wood floor.<br><br><strong>Bedroom Three</strong><br><br>9'1 x 6'10.<br>Double glazed window to front, storage heater, fitted wardrobes, smooth ceiling, cornice coving, solid wood floor.<br><br><strong>Kitchen</strong><br><br>11'5 x 7'9.<br>Double glazed window to side, eye and base level units with worktops over, sink drainer unit, integrated Bosch oven, Bosch four ring gas hob with extractor over, space for further appliances, part tiled walls, smooth ceiling, cornice coving wood effect floor.<br><br><strong>Bathroom</strong><br><br>7'7 x 5'9.<br>Obscure double glazed window to front, electric heated towel rail, wash hand basin with mixer tap with floating vanity, low level WC, glazed shower cubicle with rainfall shower over and further attachment, tiled walls, smooth ceiling with spotlights, tiled floor.<br><br><strong>Lounge/Diner</strong><br><br>15'9 x 11'9.<br>Double glazed window to side, storage heaters, smooth ceiling, cornice coving, solid wood floor, door to balcony.<br><br><strong>Lease Information</strong><br><br>Lease Remaining: 119 years<br>Service Charge: £2,223 per year (including cleaning, maintenance, building insurance, sinking fund and heating)<br>Ground Rent: £10 per year<br><br><strong>Exterior</strong><br><br>Communal gardens and storage shed.",,,3 bed flat for sale,51.555916,0.153117,Just added
4,/for-sale/details/59068167/,Listed on 2nd Jul 2021,Barking,2021-07-02,Peach Properties,020 3641 5253,False,"Bastable Avenue, Barking IG11",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 1, 'numLivingRooms': 2}",270000,maisonette,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-02 08:08:13', 'priceLabel': '£270,000'}, 'lastSale': None, 'priceChanges': None}","{'__typename': 'FloorArea', 'unitsLabel': 'sq. ft', 'value': 840}",,"<em></em> Offered for sale is this large 2 double bedroom split level apartment located in Barking.<br><br>The property features a large reception room with access to dining room and a modern fitted kitchen.<br><br>The 1st floor features 2 good size double bedrooms and family bathroom.<br><br>There is a number of schools, shops and amenities close by as well as a number of transport links giving access to the City.",,,2 bed maisonette for sale,51.527,0.097574,Just added
5,/for-sale/details/59067017/,Listed on 2nd Jul 2021,Barking,2021-07-02,Primelodge Estates Ltd,020 3478 3385,False,"John Burns Drive, Barking IG11",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 1, 'numLivingRooms': 1}",235000,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-02 00:20:18', 'priceLabel': '£235,000'}, 'lastSale': None, 'priceChanges': None}",,leasehold,"<strong>Description</strong><br><br>Communal Entrance<br><br>External storage cupboard, Stairs and lift to the third floor leading to the:<br><br>Hallway<br><br>Entry phone system, storage cupboard, further built in cupboard<br><br>Lounge/Diner<br><br>11'11"" x 14'8""<br><br>Double glazed bay window to rear, radiator<br><br>Kitchen<br><br>12'2"" x 10' max<br><br>wall and base units plumbing for washing machine, wall mounted combination boiler, double glazed windows to side and rear aspect and radiator<br><br>Bedroom<br><br>12'11"" x 12'11""<br><br>Double glazed to side aspect and radiator, laminated flooring<br><br>Bedroom Two<br><br>8'9"" x 14'7"" narrowing to 11'1""<br><br>Double glazed to side aspect and radiator, laminated flooring<br><br>Bathroom<br><br>frosted double glazed window to side aspect, panel bath, wash hand basin, low level flush unit and radiator<br><br>Communal Garden<br><br>Communal garden area",,,2 bed flat for sale,51.536156,0.09361,
6,/for-sale/details/59066284/,Listed on 1st Jul 2021,Barking,2021-07-01,Stoneshaw Estates,020 8033 2283,False,"Cornwallis Road, Dagenham, Essex RM9",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': None, 'numLivingRooms': None}",335000,terraced,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-01 21:19:22', 'priceLabel': '£335,000'}, 'lastSale': None, 'priceChanges': None}",,freehold,"Excellent condition - This 2 bedroom terraced house (Originally 3 Bedrooms) is in excellent condition and has been extended to the front. The very well maintained property offers a modern fitted kitchen, modern 1st floor shower room, extended lounge/diner, well maintained garden, off street parking, modern double glazing, recently upgraded electrics and gas central heating (Untested) so would be ideal for 1st time buyers or buy to let investors. Close to local schools, shops and bus routes with easy access to Heathway Station.<br><br>From Heathway Station turn left and then turn left into Parsloes Avenue at traffic lights and then take the 10th right into Keppel Road and then take the 1st right into Cornwallis Road and the property is ont he left hand side.<br><br><em>Ground Floor</em><br><br><em>Porch</em><br><br><em></em> Via double glazed uPVC door, tiled floor, opening to<br><br><em>Hallway</em><br><br><em></em> Fitted carpet, radiator, stairs to 1st floor, built in storage cupboard, doors to<br><br><em>Lounge/Diner</em><br><br><em>17' 0'' x 11' 9'' (5.2m x 3.59m)</em> narrowing to 3.086m. Fitted carpet, double radiator, feature fire place, double glazed uPVC bay window to front aspect.<br><br><em>Kitchen</em><br><br><em>17' 8'' x 7' 5'' (5.41m x 2.28m)</em> narrowing to 1.847m. Modern kitchen with grey eye and base level units and wood effect work tops, ceramic tiled splash backs and floor, space and plumbing for washing machine, fridge freezer and duel fuel oven and hob with extractor hood, wall mounted gas boiler (Untested) mounted within wall unit, stainless steel sink with mixer tap, flat plastered ceiling and walls, 2 double glazed uPVC windows to rear aspect, double glazed uPVC door to garden.<br><br><em>First Floor</em><br><br><em>Landing</em><br><br><em></em> Fitted carpet, loft access, door to<br><br><em>Bedroom 1</em><br><br><em>17' 11'' x 9' 0'' (5.47m x 2.76m)</em> with first measurement narrowing to 4.094m. Laminate flooring, radiator, over stairs storage cupboard, flat plastered ceiling and walls, double glazed uPVC window to front aspect.<br><br><em>Bedroom 2</em><br><br><em>10' 9'' x 9' 2'' (3.3m x 2.81m)</em> with first measurement into wardrobe recess. Laminate flooring, flat plastered ceiling and walls, fitted wardrobe units (without doors), radiator, double glazed uPVC window to rear aspect.<br><br><em>Shower Room</em><br><br><em>8' 4'' x 7' 7'' (2.56m x 2.32m)</em> Originally 3rd bedroom. Modern 3 piece suite comprising low level w/c, wash hand basin with vanity unit, walk in shower cubicle with built in shower and screen, ceramic tiled splash backs, tiled wood effect floor, heated towel rail, flat plastered ceiling and walls, spot lights to ceiling, extractor fan, double glazed uPVC obscure window to rear aspect.<br><br><em>Exterior</em><br><br><em>Rear Garden</em><br><br><em></em> Approx. 50ft commencing with crazy paved patio then step up to lawn area with block paved path to further 2 block paved patios to rear with shed, flower bed borders, external tap and light.<br><br><em>Front Garden</em><br><br><em></em> Block paved giving off street parking.","['2 Bedroom Terraced House', 'Extended To Front', 'Modern Fitted Kitchen', 'Modern 1st Floor Shower Room', 'Off Street Parking', 'Approx. 50ft Rear Garden', 'Modern Double Glazing', 'Electrics Recently Upgraded', 'Gas Central Heating (Untested)', 'Close To Schools, Shops &amp; Bus Routes']",,2 bed terraced house for sale,51.550785,0.135091,
7,/for-sale/details/58564557/,Listed on 1st Jul 2021,Barking,2021-07-01,"Purplebricks, Head Office",024 7511 8874,False,"Gay Gardens, Dagenham RM10",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 3, 'numBathrooms': 1, 'numLivingRooms': 1}",425000,terraced,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-01 12:25:13', 'priceLabel': '£425,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2007-02-02', 'newBuild': False, 'price': 223500, 'priceLabel': '£223,500', 'recentlySold': False}, 'priceChanges': None}",,freehold,"Modern Family Home!<br>A well presented three bedroom terraced family home which is situated in a sought after area in Dagenham East. Set in quiet cul-de-sac which is an ideal location for any growing family. Being within easy access to some of the best local schools in the borough, good local amenities and in close proximity to Dagenham East district line station for all your commuting needs into London and Docklands. The property comprises: Spacious open plan lounge/dining room, kitchen/ breakfast and ground floor shower room . On the upper level there are three good size bedrooms and a family bathroom. Externally the property comes with a mature 80ft rear mature garden and off road parking. The property is double glazed, modern bathroom, modern shower room, modern fitted kitchen, gas central heating, modern décor, and very well maintained home.<br><br>This really is a quality home and internal viewing is highly recommended! Book a viewing today to avoid disappointment!<br><br><strong>Off Road Parking</strong><br><br>Off road parking for several cars.<br><br><strong>Entrance Porch</strong><br><br>Entrance Porch.<br><br><strong>Entrance Hallway</strong><br><br>Entrance hallway with radiator and laminated flooring.<br><br><strong>Lounge/Dining Room</strong><br><br>Double glazed bay window to front, feature fireplace, carpets as laid and radiator. Open plan to dining area.<br><br><strong>Kitchen/Breakfast</strong><br><br>Open plan double glazed windows to side aspect, modern fitted kitchen with a good range of draw, wall and eye-level base units with roll work surfaces over sink with single bowl/drainer and mixer taps over, splash tiling, space for fridge/freezer, space for washing machine and tiled flooring.<br><br>Open plan to kitchen with laminated flooring and double glazed doors to garden.<br><br><strong>Shower Room</strong><br><br>Modern three piece shower suite comprises: Shower cubical with shower over, low level W.C, hand basin with vanity unit and mixer taps, ceramic tiling and laminated flooring.<br><br><strong>Landing</strong><br><br>Landing.<br><br><strong>Bedroom One</strong><br><br>Double glazed bay window to front aspect, fitted wardrobes, carpets as laid and radiator.<br><br><strong>Bedroom Two</strong><br><br>Double glazed window to rear aspect, fitted wardrobes, carpets as laid and radiator.<br><br><strong>Bedroom Three</strong><br><br>Double glazed window to front aspect, carpets as laid and radiator.<br><br><strong>Bathroom</strong><br><br>Double glazed window to rear. Modern three piece bathroom comprises: Panelled bath, low level W.C, pedestal hand basin with mixer taps, ceramic tiling and laminated flooring.<br><br><strong>Garden</strong><br><br>80ft<br>Brick patio, lawn area, selection on shrubs, plants, shed and surround fencing.<br><br><strong>Disclaimer For Virtual Viewings</strong><br><br>Some or all information pertaining to this property may have been provided solely by the vendor, and although we always make every effort to verify the information provided to us, we strongly advise you to make further enquiries before continuing.<br><br>If you book a viewing or make an offer on a property that has had its valuation conducted virtually, you are doing so under the knowledge that this information may have been provided solely by the vendor, and that we may not have been able to access the premises to confirm the information or test any equipment. We therefore strongly advise you to make further enquiries before completing your purchase of the property to ensure you are happy with all the information provided.","['Three bedrooms', 'Terraced house', 'Modern fitted kitchen', 'Family bathroom', 'Lounge dining room', 'Central heating', '80ft mature garden', 'Shower room', 'Double glazed', 'Off road parking']",,3 bed terraced house for sale,51.549223,0.164399,
8,/for-sale/details/59058238/,Listed on 1st Jul 2021,Barking,2021-07-01,Brian Thomas,020 8128 4607,False,"Spring Close, Dagenhm, Essex RM8",True,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 1, 'numBathrooms': 1, 'numLivingRooms': 1}",125000,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-01 10:41:44', 'priceLabel': '£125,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2001-07-05', 'newBuild': False, 'price': 55000, 'priceLabel': '£55,000', 'recentlySold': False}, 'priceChanges': None}",,leasehold,"Brian Thomas are delighted to offer 'For Sale' this spacious one bedroom first floor retirement flat (occupant required to be over 55 years of age) conveniently located within a short walking distance to high road shops, schools and Chadwell Heath Lane main line station with excellent train links into Stratford and London Liverpool Street station. Features of the property include one bedroom, fitted kitchen, allocated parking space, double glazing, electric heating, a 24hr emergency pull cord system, hairdressing salon, communal lounge, garden and laundry room.<br><br>Anglia court, spring close, dagenham, essex, RM8 1SW<br><br>communal entrance: Security entry phone system leads to a communal entrance hall and well-maintained reception area and stairs and lift to first floor.<br><br>Entrance hall: Fitted carpet, electric heater, storage cupboard, emergency pull cord.<br><br>Lounge: 18' x 10'7 (5.48m x 3.22mm) Fitted carpet, feature fireplace, electric points, electric heater, TV point, telephone point, emergency pull cord, UPVC double glazing door to front elevation.<br><br>Kitchen: 8'2 x 5'6 (2.49m x 1.67m) Fitted wall and floor units, single drainer sink, plumbing for a washing machine, electric points, emergency pull cord.<br><br>Bedroom: 11'8 x 10' (3.55m x 3.04m) Fitted carpet, fitted wardrobes, electric points, electric heater, emergency pull cord, double glazed window to front elevation.<br><br>Bathroom/W.C.: Fully tiled walls, shower cubicle, low level W.C, extractor fan, wash hand basin in vanity unit, emergency pull cord.<br><br>The property also benefits from having an allocated parking space, a lift, communal lounge, laundry room, hair dressing salon and communal gardens.<br><br>Viewing: By appointment with this office, open weekdays until 6.30 pm and Saturdays until 5 pm.<br><br>Leasehold: Tbc<br>ground rent: £25 per annum<br>service charge: £3,000 per annum","['One bedroom', 'First floor retirement flat (occupant to be over 55 years of age)', 'Fitted kitchen', 'Double glazed / electric heating', '24 hr emergency pull cord system and lift to first floor', 'Allocated parking space', 'Close to chadwell heath main line station, schools and high road shops', 'Communal lounge and gardens', 'Communal hair salon and laundry room']",,1 bed flat for sale,51.567141,0.130778,
9,/for-sale/details/59057316/,Listed on 1st Jul 2021,Barking,2021-07-01,Balgores Dagenham,020 8033 4480,False,"Hunters Hall Road, Dagenham RM10",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': None, 'numLivingRooms': None}",325000,terraced,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-01 09:34:53', 'priceLabel': '£325,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2018-12-20', 'newBuild': False, 'price': 290000, 'priceLabel': '£290,000', 'recentlySold': False}, 'priceChanges': None}",,,"***guide price £325,000 - £350,000***<br><br>• situated 0.7 miles to dagenham east district line station<br>• off street parking<br>• close to shops &amp; amenities<br>• 60'+ rear garden<br><br><strong>Living Area</strong><br><br>13' x 12'08.<br>Double glazed window to front, radiator, feature fireplace, carpet.<br><br><strong>Kitchen</strong><br><br>9'10 x 8'02.<br>Double glazed window to rear, range of base level units with work surfaces over, inset sink drainer unit, 4-ring hob with extractor hood over, plumbing for washing machine, range of matching eye level cupboards, Potterton combination boiler, radiator, tiled flooring, complementary tiling.<br><br><strong>Bedroom One</strong><br><br>16'02 x 9'11.<br>Double glazed window to front, radiator, carpet.<br><br><strong>Bedroom Two</strong><br><br>11'05 x 9'04.<br>Double glazed window to rear, radiator, carpet.<br><br><strong>Family Bathroom/wc</strong><br><br>5'05 x 4'05.<br>Obscure double glazed window to rear. Suite comprising: Panelled bath, wash hand basin, low level wc. Tiled flooring, complementary tiling.",,,2 bed terraced house for sale,51.549321,0.153815,
