,Link,Listed,Borough,date_listed,agency_name,agency_phone,chain_free,address,isRetirementHome,isSharedOwnership,listingCondition,listingStatus,RoomCount,price,propertyType,isAuction,priceHistory,floorArea,tenure,detailedDescription,features,furnishedState,title,latitude,longitude,statusSummary
0,/new-homes/details/54204561/,Listed on 30th Jun 2021,Camden,2021-06-30,Savills - Margaret Street RDS,020 8022 3382,True,"Postmark, Mount Pleasant, London WC1X",False,False,new,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 2, 'numLivingRooms': 1}",1330000.0,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-06-30 23:07:17', 'priceLabel': '£1,330,000'}, 'lastSale': None, 'priceChanges': None}",,leasehold,"Postmark marks one of the most unique, central London developments where the energetic, eclectic East meets the traditional, prestigious West.<br><br><strong>Location</strong><br><br>Sitting across two postcodes, WC1 and EC1, and surrounded by Farringdon, Clerkenwell, King's Cross and Chancery Lane, Postmark is at the epicentre of the leading creative, technology and knowledge industries and will be a symbol of connectivity.<br><br><strong>Description</strong><br><br>Delivering an inspiring new neighbourhood to the heart of London and built on the foundations of a global British icon, Postmark will bring new life to the historic flagship site of the Royal Mail postal service.<br><br>Signature Place, the second phase of this iconic development will comprise of 109 one, two and three bed apartments designed by acclaimed interior architects Conran + Partners. Residents will benefit from a gym, wellness centre with 18m swimming pool. 24-hour concierge service, private lounge, rooftop terrace and a beautifully landscaped courtyard situated in the centre of the development.<br><br>Square Footage: 914 sq ft<br><br>Leasehold with approximately 996 years remaining","[""Residents' gym"", '24-hour concierge service', 'Private lounge', 'Please note some photos are computer generated images and are indicative only', 'Rooftop terrace', 'Landscaped courtyard', 'Cafes', 'Restaurants', 'Public spaces']",,2 bed flat for sale,51.523426,-0.112205,Just added
1,/for-sale/details/59054637/,Listed on 30th Jun 2021,Camden,2021-06-30,"Purplebricks, Head Office",024 7511 8874,False,"West End Lane, West Hampstead NW6",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 4, 'numBathrooms': 1, 'numLivingRooms': 1}",835000.0,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-06-30 20:55:04', 'priceLabel': '£835,000'}, 'lastSale': None, 'priceChanges': None}",,leasehold,"Very well presented four bedroom ground floor flat with own entrance and long lease, set within a well maintained portered purpose built block just moments from West Hamstead station and amenities. The property has been beautifully maintained, providing bright and spacious accommodation with modern interiors and high quality finish throughout. Features include a stunning reception room with decorative fireplace, separate well equipped metro-tiled kitchen, elegant family bathroom and separate WC, gas central heating, double glazing, original polished wood floors and access to well maintained communal gardens.<br><br>Accommodation comprises entrance hall with inbuilt storage, leading into the bright and spacious reception room with attractive fireplace surround and ample space for relaxing and dining. The separate kitchen, overlooking the communal gardens, comprises a modern range of matching white fronted wall and base units with work surfaces and metro tiling, incorporating inset sink unit, gas hob with overhead extractor and electric oven below, and further space for appliances. There are four well sized bedrooms - three doubles and a further single/study - plus a stylish family bathroom with white two piece bath suite and elegant tiling, and adjacent separate WC.<br><br>The property is very conveniently located within easy access of West Hampstead (with Thameslink, Jubilee line and overground services), as well as numerous regular bus routes providing excellent cross-London links. The area is also well served by fashionable shops, bars, cafes and restaurants in nearby West End Lane, with Hampstead Heath and Golders Hill Park also close-by for wonderful open recreational space. West Hampstead is also well served by a choice of excellent local schools.<br><br>To book a viewing instantly just visit our website or download our award-winning App.<br><br><strong>Lease Information</strong><br><br>We understand the lease on the property is 120 years remaining. All prospective purchasers are advised to make their own enquiries and verify this information with a solicitor.<br><br><strong>Service Charges</strong><br><br>We understand the service charge on the property is £2,400 per annum with ground rent of £250 per annum. All prospective purchasers are advised to make their own enquiries and verify this information with a solicitor.<br><br><strong>Disclaimer For Virtual Viewings</strong><br><br>Some or all information pertaining to this property may have been provided solely by the vendor, and although we always make every effort to verify the information provided to us, we strongly advise you to make further enquiries before continuing.<br><br>If you book a viewing or make an offer on a property that has had its valuation conducted virtually, you are doing so under the knowledge that this information may have been provided solely by the vendor, and that we may not have been able to access the premises to confirm the information or test any equipment. We therefore strongly advise you to make further enquiries before completing your purchase of the property to ensure you are happy with all the information provided.","['Beautiful four bedroom ground floor flat', 'Popular portered development in superb location', 'Well maintained communal gardens and outdoor space', 'Close to west hampstead station and thameslink', 'Moments from shops and amenities', 'Bright and spacious reception', 'Original polished wood flooring', 'Separate well equipped metro-tiled kitchen', 'Elegant family bathroom and separate wc', 'Long lease']",,4 bed flat for sale,51.544358,-0.191971,Just added
2,/for-sale/details/59054349/,Listed on 30th Jun 2021,Camden,2021-06-30,Chestertons - Hampstead,020 8115 2458,False,"Duncan House, Fellows Road, Belsize Park, London NW3",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': None, 'numBathrooms': 1, 'numLivingRooms': 1}",375000.0,studio,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-06-30 20:18:20', 'priceLabel': '£375,000'}, 'lastSale': None, 'priceChanges': None}",,leasehold,An extremely bright south facing upper floor studio apartment situated within a popular purpose built block. Duncan House is well located and benefits from a lift and communal garden.<br>Leasehold,"['Bright upper floor studio apartment', 'Purpose built block with lift', 'Communal garden', 'Long lease', '0.3 miles to Northern Line', '0.4 miles to Jubilee Line']",,Studio for sale,51.544589,-0.16058,Just added
3,/for-sale/details/59053356/,Listed on 30th Jun 2021,Camden,2021-06-30,Foxtons - Islington,020 3463 9586,False,"Staveley Close, Islington, London N7",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 4, 'numBathrooms': 1, 'numLivingRooms': 1}",550000.0,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-06-30 18:12:33', 'priceLabel': '£550,000'}, 'lastSale': None, 'priceChanges': None}",,,"Arranged over 2 floors with a separate entrance, this 4 bedroom maisonette boasts charming interiors including a large reception room, a separate kitchen and a delightful private garden.<br><br>The property is ideally located close to both Holloway Road and Caledonian Road underground stations both boasting excellent transport links and a range of fantastic local amenities.","['Well arranged 4 bedroom maisonette', 'Large reception room', 'Separate kitchen', 'Delightful private garden', '3 double bedrooms', 'Smart bathroom']",,4 bed flat for sale,51.554136,-0.120189,Just added
4,/for-sale/details/59053349/,Listed on 30th Jun 2021,Camden,2021-06-30,Foxtons - Hampstead,020 3463 7492,False,"Willow Road, Hampstead, London NW3",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 2, 'numLivingRooms': 1}",700000.0,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-06-30 18:11:05', 'priceLabel': '£700,000'}, 'lastSale': None, 'priceChanges': None}",,,"Ideally located in the heart of Hampstead Village, this stylish two bedroom raised ground floor flat has been recently refurbished to a high standard and offers ample living space with modern décor and wood floors.<br><br>Willow Road is a pleasant residential area moments from Hampstead High Street, Hampstead Heath and Hampstead Underground Station (Northern Line).","['Modern two bedroom raised ground floor flat', 'Located moments from the open spaces of Hampstead Heath', 'Spacious reception room with dining area', 'Modern semi-open-plan kitchen', 'Two well-proportioned bedrooms', 'En suite to the master bedrom', 'Presented beautifully throughout', 'Moments from local shops and amenities']",,2 bed flat for sale,51.557677,-0.174122,Just added
5,/for-sale/details/59053319/,Listed on 30th Jun 2021,Camden,2021-06-30,TK International,020 3478 2905,False,"Holly Bush Vale, Hampstead Village NW3",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 1, 'numBathrooms': 1, 'numLivingRooms': 1}",695000.0,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-06-30 18:06:20', 'priceLabel': '£695,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2018-02-21', 'newBuild': False, 'price': 465000, 'priceLabel': '£465,000', 'recentlySold': False}, 'priceChanges': None}","{'__typename': 'FloorArea', 'unitsLabel': 'sq. ft', 'value': 506}",,"Located in a discreet turning situated in the heart of Hampstead Village, a beautifully interior designed one bedroom ground floor apartment with the benefit of private front and rear gardens and the option of designated parking (not demised) for a modest annual fee.<br><br>This bright and spacious apartment has been subject to an extensive remodelling and refurbishment by the current owner. The property is accessed via a private front entrance, and enjoys the benefit of air conditioning.<br><br>This luxurious one bedroom apartment represents an ideal first time purchase or long term rental investment.<br><br>Holly Bush Vale is situated just a stones throw from the various boutiques, restaurants and amenities which Hampstead Village has to offer, including Hampstead Underground Station (Northern Line).","['Private Entrance', 'Front &amp; Rear Gardens', 'Beautiful Refurbishment', 'Parking Available (not Demised) For Modest Annual Fee', 'Air Conditioning']",,1 bed flat for sale,51.556667,-0.179551,Just added
6,/for-sale/details/59049087/,Listed on 30th Jun 2021,Camden,2021-06-30,Knight Frank - Hampstead Sales,020 8022 5635,False,"Frognal Lane, London NW3",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 1, 'numBathrooms': 1, 'numLivingRooms': 1}",595000.0,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-06-30 16:29:58', 'priceLabel': '£595,000'}, 'lastSale': None, 'priceChanges': None}","{'__typename': 'FloorArea', 'unitsLabel': 'sq. ft', 'value': 527}",,"Located within a charming period building this one bedroom apartment has a beautiful large reception that is filled with light throughout. Original wooden flooring flows through the property along with many of the properties period features.<br><br>The separate kitchen has marble counter tops, and a stunning original stain glass window. The bedroom has a beautiful bay sash windows and built in wardrobes.<br><br>This charming home has access to 2 acre communal gardens including multiple seating areas and a children's play area.<br><br>Located within easy reach of the amenities, cafes and boutiques of Hampstead Village and a short walk of Hampstead Underground and the numerous transport links of the Finchley Road.","['1 bedroom', '1 reception room', '1 bathroom', 'First Floor']","{'__typename': 'Label', 'name': 'unfurnished', 'label': 'Unfurnished'}",1 bed flat for sale,51.55354,-0.187055,Just added
7,/for-sale/details/59049079/,Listed on 30th Jun 2021,Camden,2021-06-30,Barnard Marcus - Auctions,020 3641 4905,False,"Cosway Street, London NW1",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 7, 'numBathrooms': 7, 'numLivingRooms': None}",1750000.0,block_of_flats,True,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-06-30 16:28:37', 'priceLabel': '£1,750,000'}, 'lastSale': None, 'priceChanges': None}",,leasehold,"<strong>Summary</strong><br>auction sale 27 July 2021 - This property will be sold at auction to the best bid (subject to reserve). Auctions are an exciting and the most certain way you can buy. We hold sales every month. If you are buying for your occupation, development or investment we have lots for you to see.<br><br><strong>Description</strong><br>Long leasehold six storey extended building arranged as 6 flats<br>Investment<br><br>Location:<br>Situated on Cosway Street, to the north of Marylebone and Paddington, between Hyde Park and Regents Park. Transport options include road links via the A501, A40 and A5, local bus routes and a choice of Edgware Road London Underground or Marylebone Mainline and London Underground Stations. A range of shops, bars, restaurants and recreational activities can be found within Lisson Grove, St Johns Wood, Paddington, Marylebone and the West End. The property is ideally located with close proximity to<br>Kensington Palace, Buckingham Palace and The British Museum.<br><br>Description:<br>An extended six storey former house converted to provide six self-contained flats with a rear garden serving ground floor flat 6.<br><br>Accommodation (Approx 234m2/2,519 sq ft. Gross external):<br>Unit: Flat 1 Raised ground floor. Accommodation: One bedroom flat. Size (approx.): 301sqft/28m2. EPC: C<br>Unit: Flat 2 First floor. Accommodation: One bedroom, flat. Size (approx.): 342sqft/32m2. EPC: C<br>Unit: Flat 3 Second floor. Accommodation: One bedroom flat. Size (approx.): 341sqft/32m2. EPC: C<br>Unit: Flat 4 Third floor. Accommodation: One bedroom flat. Size (approx.): 344sqft/32m2 EPC: C<br>Unit: Flat 5 Fourth floor Accommodation: One bedroom flat. Size (approx.): 351sqft/33m2.. EPC: D<br>Unit: Flat 6 – Lower ground floor (garden). Accommodation: Two bedroom flat. Size (approx.): 535sqft/50m2 EPC: C<br><br>Tenancy:<br>Let to Crownmere Limited on an original lease for a term of 5 years from 1/7/2020 at an original rent of £140,000pa with a further agreement dated 1/4/2021 in agreement to reduce the rent to £100,000pa from this date to the 31/3/2022. Bidders to refer to the legal pack for copies of leases and agreements including consent from The Royal borough of Kensington and Chelsea for under lease.<br><br>Rent Reserved: £100,000 pa (due to revert back to £140,000pa from 1/4/2022)<br><br>Lease: Held on a lease for a term of 125 years from 29/06/1990 at a peppercorn ground rent.<br><br>Important Notice:<br>For each Lot, a contract documentation fee of £1,150 (inclusive of VAT) is payable to Barnard Marcus Auctions by the buyer. The seller may charge additional fees payable upon completion. If applicable, such fees are detailed within the Special Conditions of Sale. Buyers are deemed to bid in full knowledge of this.<br><br>The Guide Price quoted must not be relied upon by prospective purchasers as a valuation or assessment of value of the property. It is intended to provide purchasers with an indication of the region at which the reserve may be set at the time of going to press. The guide price may be subject to variation and interested parties are advised to make regular checks for variations and should be aware that the reserve price may be either below or above the quoted guide price.<br><br>Prospective purchasers should also be aware that the eventual sale price may be above or below the guide level dependent upon competition, and should therefore not presume the guide to be indicative of the final expected sale price or the price the property is available at.<br><br>When setting the guide price, the auctioneers have given consideration to the seller’s instructions in respect of their indicated reserve price at the time of instruction. The reserve price, (the level below which the property will not be sold), remains confidential between the seller and the auctioneer. The guide price therefore, is intended to indicate the region at which the reserve price is intended to be set. The seller will confirm their final reserve price close to the auction date and if appropriate the auctioneers may adjust the guide price to reflect this.<br>Whilst Barnard Marcus make every effort to ensure the safety and security of viewers at properties, we have not carried out a detailed Health &amp; Safety inspection of properties in our auctions and cannot therefore guarantee the safety and security of viewers.<br>Prospective purchasers and bidders attend properties entirely at their own risk. Particular care should be taken when accessing cellars, attics, exterior grounds and outbuildings and boundaries. All non-conducted inspections of vacant sites should be made in daylight hours only and entry into such sites is entirely at the viewers risk.<br><br>1. Money laundering regulations: Intending purchasers will be asked to produce identification documentation at a later stage and we would ask for your co-operation in order that there will be no delay in agreeing the sale.<br>2. General: While we endeavour to make our sales particulars fair, accurate and reliable, they are only a general guide to the property and, accordingly, if there is any point which is of particular importance to you, please contact the office and we will be pleased to check the position for you, especially if you are contemplating travelling some distance to view the property.<br>3. Photographs and Measurements: Some images may have been taken by a wide angled lens camera. These approximate room sizes are only intended as general guidance. You must verify the dimensions carefully before ordering carpets or any built-in furniture.<br>4. Services: Please note we have not tested the services or any of the equipment or appliances in this property, accordingly we strongly advise prospective buyers to commission their own survey or service reports before finalising their offer to purchase.<br>5. These particulars are issued in good faith but do not constitute representations of fact or form part of any offer or contract. The matters referred to in these particulars should be independently verified by prospective buyers or tenants. Neither sequence (UK) limited nor any of its employees or agents has any authority to make or give any representation or warranty whatever in relation to this property.<br><br>1. Money laundering regulations: Intending purchasers will be asked to produce identification documentation at a later stage and we would ask for your co-operation in order that there will be no delay in agreeing the sale. <br>2. General: While we endeavour to make our sales particulars fair, accurate and reliable, they are only a general guide to the property and, accordingly, if there is any point which is of particular importance to you, please contact the office and we will be pleased to check the position for you, especially if you are contemplating travelling some distance to view the property. <br>3. Photographs and Measurements: Some images may have been taken by a wide angled lens camera. These approximate room sizes are only intended as general guidance. You must verify the dimensions carefully before ordering carpets or any built-in furniture. <br>4. Services: Please note we have not tested the services or any of the equipment or appliances in this property, accordingly we strongly advise prospective buyers to commission their own survey or service reports before finalising their offer to purchase. <br>5. These particulars are issued in good faith but do not constitute representations of fact or form part of any offer or contract. The matters referred to in these particulars should be independently verified by prospective buyers or tenants. Neither sequence (UK) limited nor any of its employees or agents has any authority to make or give any representation or warranty whatever in relation to this property.","['Auction sale', '27 July 2021', 'By order of the lpa receivers', 'EPC Rating - n/a', 'Investment']",,7 bed block of flats for sale,51.521541,-0.165689,Just added
8,/for-sale/details/59048723/,Listed on 30th Jun 2021,Camden,2021-06-30,Amberden Estates,020 3478 2903,False,"Parliament Hill, London NW3",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 7, 'numBathrooms': 2, 'numLivingRooms': None}",4995000.0,semi_detached,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-06-30 16:04:51', 'priceLabel': '£4,995,000'}, 'lastSale': None, 'priceChanges': None}",,freehold,"A substantial semi-detached family house (3,453 Sq Ft 320.79 Sq M), with an 80’ garden, garage and a roof terrace with breathtaking panoramic views across London.<br><br>The property which has been in the same ownership for approximately 40 years affords generous living space optimised by the central staircase and retains many period features.<br><br>35’ interconnecting reception rooms * reception room 3 * kitchen * bedroom with ensuite dressing room &amp; shower room * 7 further bedrooms (incl 6 doubles) * study * 2 bathrooms * shower room * guest cloak room * utility room * store  balcony * roof terrace with panoramic views across London * 80’ south east facing garden * garage * EPC - tbc<br><br>The South Hill Park Conservation Area is a greatly sought-after family neighbourhood, with no through-traffic, which literally abuts Hampstead Heath.<br><br>South End Green is close by, with a good mix of cafes, gastro pubs, neighbourhood restaurants and shops &amp; delicatessens, including Marks &amp; Spencer; while Hampstead Village is approximately 0.5 miles, a 10 minute stroll.<br><br>Hampstead Heath (London Overground Station) is a 2 minute walk. The nearest London Underground station is Belsize Park (Northern Line) is 0.7 miles. There are also frequent bus and night bus services from South End Green.",,,7 bed semi-detached house for sale,51.556968,-0.162663,Just added
9,/for-sale/details/59047927/,Listed on 30th Jun 2021,Camden,2021-06-30,TK International,020 3478 2905,False,"Vane Close, Hampstead Village NW3",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 4, 'numBathrooms': 2, 'numLivingRooms': 2}",1999950.0,,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-06-30 15:09:47', 'priceLabel': '£1,999,950'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '1998-12-04', 'newBuild': False, 'price': 365000, 'priceLabel': '£365,000', 'recentlySold': False}, 'priceChanges': None}",,,"A bright four bedroom (plus study) town house, presented in good decorative condition throughout and situated in a private close in the heart of Hampstead Village.<br><br>The house is entered via a delightful private patio with the ground floor enjoying an 18' reception room and fitted kitchen. The first floor offers two bedrooms and a bathroom with the second floor also providing two bedrooms, a bathroom and balcony. The lower ground floor provides a playroom and study (converted garage).<br><br>This desirable Village house is complemented by a communal garden, plus the rare benefit of an off street parking space.<br><br>Vane Close is a private development of modern houses literally located off Hampstead High Street and within walking distance of the wide choice of local shops, restaurants and cafes as well as the underground station (Northern Line). Hampstead Heath is also within a short walk.","['Hampstead Village location', 'Off street parking']",,4 bed property for sale,51.554836,-0.174141,Just added
10,/for-sale/details/59046793/,Listed on 30th Jun 2021,Camden,2021-06-30,Foxtons - Islington,020 3463 9586,False,"Manger Road, Islington, London N7",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 3, 'numBathrooms': 2, 'numLivingRooms': 1}",785000.0,terraced,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-06-30 14:14:44', 'priceLabel': '£785,000'}, 'lastSale': None, 'priceChanges': None}",,,"Ideally placed for the green open spaces of Caledonian Park and Caledonian Road Station, this 3 bed house features a delightful private garden with room to entertain. Its interiors offer attractive and spacious living.<br><br>Manger Road is within close proximity to Market Road Gardens, Paradise Park and the ever-popular Caledonian Park. Caledonian Road Station offers terrific transportation links, with a collection of shops and local amenities found nearby.","['Terraced house arranged over 3 floors', 'Stylish kitchen with smart appliances and wooden worktops', 'Stunning reception with dining space and garden access', 'Charming private rear garden with seating and a shed', '2nd Skylit bedroom features a Juliette balcony and built-in wardrobes', '2 Further well-proportioned bedrooms', 'Sleek bathroom and ensuite showerroom', 'Short distance to The Gower School and Clock Tower Park']",,3 bed terraced house for sale,51.548145,-0.120595,Just added
11,/for-sale/details/59045554/,Listed on 30th Jun 2021,Camden,2021-06-30,Heathgate,020 3478 3634,False,"North Villas, Camden NW1",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 1, 'numLivingRooms': 1}",695000.0,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-06-30 13:04:00', 'priceLabel': '£695,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2001-10-26', 'newBuild': False, 'price': 237500, 'priceLabel': '£237,500', 'recentlySold': False}, 'priceChanges': None}",,,"An elegant mid terrace Victoria conversion houses this well presented two bedroom flat situated in a prime residential location within the Camden Square Conservation Area and within easy reach of the shops, bars and restaurants of Camden Town. Camden Town Underground Station (Northern Line) and multiple bus routes providing convenient links to the city and West End.<br><br>The property offers a well proportioned 769 square feet (71.45 sq m) of accommodation including two double bedrooms, separate fitted kitchen, large bathroom and welcoming hall area. With high ceilings and large sash windows, the property also benefits from excellent levels of natural light. Share of the freehold.","['1 Bathroom', '2 Double Bedroom Apartment', 'Beautiful Victorian Building', 'Close to all amenities of Camden Square', 'Original Wooden Floors', 'Quiet picturesque location', 'Share of Freehold', 'Well Appointed Separate Kitchen']",,2 bed flat for sale,51.546977,-0.129251,Just added
