,Link,Listed,Borough,date_listed,agency_name,agency_phone,chain_free,address,isRetirementHome,isSharedOwnership,listingCondition,listingStatus,RoomCount,price,propertyType,isAuction,priceHistory,floorArea,tenure,detailedDescription,features,furnishedState,title,latitude,longitude,statusSummary
0,/for-sale/details/59109396/,Listed on 6th Jul 2021,Enfield,2021-07-06,Barnfields - Enfield,020 3463 7532,True,"Park Avenue, Enfield EN1",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 3, 'numBathrooms': 1, 'numLivingRooms': 2}",725000.0,semi_detached,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-06 15:27:17', 'priceLabel': '£725,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2004-08-20', 'newBuild': False, 'price': 320000, 'priceLabel': '£320,000', 'recentlySold': False}, 'priceChanges': None}",,freehold,"<strong>Summary</strong><br>Situated just minutes from Bush Hill Rail Station and the conservation area and within easy access of Enfield Town, we offer this spacious three bedroom halls adjoining family house with delightful south facing rear garden, three good sized bedrooms, two reception rooms and more. Chain free.<br><br><strong>Description</strong><br>Barnfields are pleased to offer this delightful, three bedroom 1930's halls adjoining, semi-detached family house situated in the popular residential tree lined turning of Park Avenue, within close proximity of shops, schools, Bush Hill Park Rail Station and within easy access of both Enfield Town with its multiple shopping facilities, transport hub and the A10 with its multiple retail parks.<br><br>The property is offered in good condition throughout and boasts a new brick driveway for three cars.<br><br><strong>Entrance Hall </strong><br>Electric meter cupboard, wood laminate floor, double radiator, coving to ceiling, easy rise turning staircase to first floor.<br><br><strong>Lounge</strong> 15' 5"" into bay x 12' 2"" max ( 4.70m into bay x 3.71m max )<br>Wood laminate floor, attractive bay window to front aspect, double radiator, coving to ceiling.<br><br><strong>Rear Reception Room </strong> 13' 5"" into bay x 10' 8"" ( 4.09m into bay x 3.25m )<br>Wood laminate floor, double radiator, coving to ceiling, double glazed French windows to garden, access to kitchen via double doors.<br><br><strong>Kitchen</strong> 10' 10"" x 7' 10"" ( 3.30m x 2.39m )<br>Fully fitted in a modern cream units, comprising a range of base units, wall cupboards and display cupboards, single bowl stainless steel sink and drainer inset to worksurface with tiled splashback, integrated electric oven and grill, halogen hob inset to worksurface with chrome extractor chimney over, plumbing for washing machine, space for fridge-freezer, integrated dishwasher, ceramic tiled floor, casement door to garden.<br><br><strong>Cloakroom / Wc </strong><br>Low flush WC, window to side, fully tiled walls, bracket basin, heated towel rail radiator.<br><br><strong>First Floor </strong><br><br><strong>Landing </strong><br>Fitted carpet, window to side, access to loft.<br><br><strong>Bedroom One </strong> 16' 1"" into bay x 12' 2"" max ( 4.90m into bay x 3.71m max )<br>Newly fitted carpet, radiator, range of built-in wardrobe cupboards.<br><br><strong>Bedroom Two </strong> 11' 11"" max x 10' 5"" max ( 3.63m max x 3.17m max )<br>Newly fitted carpet, radiator, built-in cupboard housing water tank.<br><br><strong>Bedroom Three </strong> 10' 11"" max x 7' 4"" max ( 3.33m max x 2.24m max )<br>Newly fitted carpet, radiator.<br><br><strong>Dual Aspect Bathroom </strong><br>Fitted in a modern white suite comprising panelled bath, vanity basin with cupboards under, low flush WC with concealed cistern, corner shower cubicle, heated towel rail radiator, fully tiled walls and floor.<br><br><strong>Outside </strong><br><br><strong>Front Garden</strong><br>Newly laid brick paved driveway for three cars with mature rose bushes to the side plus direct vehicular access to the side to rear garden and garage.<br><br><strong>Rear Garden </strong><br>Delightful south facing rear garden with paved patio, laid to lawn with an abundance of mature shrubs and bushes (including rose bushes) and garage.<br><br><strong>Garage</strong><br>Cast concrete garage with up and over door, power and light.<br><br>1. Money laundering regulations: Intending purchasers will be asked to produce identification documentation at a later stage and we would ask for your co-operation in order that there will be no delay in agreeing the sale. <br>2. General: While we endeavour to make our sales particulars fair, accurate and reliable, they are only a general guide to the property and, accordingly, if there is any point which is of particular importance to you, please contact the office and we will be pleased to check the position for you, especially if you are contemplating travelling some distance to view the property. <br>3. The measurements indicated are supplied for guidance only and as such must be considered incorrect. <br>4. Services: Please note we have not tested the services or any of the equipment or appliances in this property, accordingly we strongly advise prospective buyers to commission their own survey or service reports before finalising their offer to purchase. <br>5. These particulars are issued in good faith but do not constitute representations of fact or form part of any offer or contract. The matters referred to in these particulars should be independently verified by prospective buyers or tenants. Neither sequence (UK) limited nor any of its employees or agents has any authority to make or give any representation or warranty whatever in relation to this property.","['Two Spacious Reception Rooms', 'South Facing Rear Garden', 'Chain Free', 'Three Good Sized Bedrooms', 'Garage', 'Spacious Bathroom', 'Downstairs Cloakroom / WC', 'New Driveway For 3 Cars']",,3 bed semi-detached house for sale,51.639924,-0.071341,Just added
1,/for-sale/details/59108714/,Listed on 6th Jul 2021,Enfield,2021-07-06,Cottage Fields Ltd,020 3641 0333,True,"Green Lanes, London N21",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 2, 'numLivingRooms': 1}",400000.0,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-06 14:42:21', 'priceLabel': '£400,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2014-10-24', 'newBuild': True, 'price': 312000, 'priceLabel': '£312,000', 'recentlySold': False}, 'priceChanges': None}",,leasehold,"*Chain Free* Cottage Fields are delighted to present this ground floor two double bedroom apartment in this sought after development in Winchmore Hill. This property boasts an array of features to include Gated and Secure underground parking, long lease, En-Suite to Master Bedroom, Renovated and Modern Family Bathroom Juliette Balcony to Large Living and Dining Room, Lift in development, Gas Central Heating, Communal gardens and Much More. This property is not to be missed as it is ideally located within walking distance to local amenities, which include Winchmore Hill British Rail Station with links to Central London, Local Outstanding Ofsted Rated schools, shops, and more.<br><br>Cottage Fields Team Thoughts:<br><br>' Stunning Ground Floor Spacious apartment in one of North London's most affluent locations, enter via the gated underground parking and take the lift to the floor of your apartment. This property is stunning, whether you are looking for a home or investment this property would be ideal'.<br><br>Location Guide:<br><br>This property is located in the affluent and Historical area of Winchmore Hill. The area offers a strong sense of community, hosting weekly farmers markets and an annual town fair on the local green. The area boasts streets of well-maintained family houses, fine parks and an easy direct train commute into the City in just 30 minutes via Winchmore Hill br stations which is within walking distance. Local amenities include local Post Office, Library, Banks, Restaurants, Shops, whilst also being just a short journey from Enfield Town with its high sreet shopping, and local 'Outstanding' rated schools.<br><br><strong>Property additional info</strong><br><br><strong>Entrance Hall:</strong> 22' 3"" x 9' 4"" (6.8m x 2.8m)<br>Grey Laminate Flooring, Beading, Skirting Boards, Painted Walls and Ceilings, Coving, Double Convector Radiator and Thermostat Valve, Double Sockets, Dropdown pendant light, entry phone, (measurements of widest points).<br><br><strong>Master Bedroom:</strong> 15' 10"" x 9' 10"" (4.8m x 3m)<br>Grey Laminate Flooring, Beading, Skirting Boards, Painted Walls and Ceilings, Coving, Double Convector Radiator and Thermostat Valve, Double Sockets, Dropdown pendant light,<br><br><strong>En-Suite:</strong> 5' 10"" x 5' 7"" (1.8m x 1.7m)<br>Tiled flooring, skirting boards, painted walls and ceiling, tiled walls around three piece suite, granite bowel basin and mixer tap, vanity unit, heated towel rail, rainfall shower head and handheld attachment.<br><br><strong>Bathroom:</strong> 7' 9"" x 7' 9"" (2.4m x 2.4m)<br>Three piece suite, painted walls and ceiling, tiled splashback, sink vanity and mirror, light with shaving point, heated towel rail, spotlights, pull cord, extractor fan, toilet roll holder, glazed bath screen<br><br><strong>Bedroom Two:</strong> 12' 8"" x 7' 10"" (3.9m x 2.4m)<br>Grey Laminate Flooring, Beading, Skirting Boards, Painted Walls and Ceilings, Double Convector Radiator and Thermostat Valve, Double Sockets, Dropdown feature pendant light, Double Glazed Sash Window,<br><br><strong>Kitchen:</strong> 12' 8"" x 9' 4"" (3.9m x 2.8m)<br>Laminated flooring, Skirting Boards, painted walls and ceiling, double convector radiator and thermostat valve, heat alarm, built in oven and microwave, fridge freezer, hob, Vaillant combi boiler, sink and drainer, mixer tap, double glazed sash window, tiled splashback, double sockets, spotlights, light switch.<br><br><strong>Living and Dining Room:</strong> 12' 8"" x 16' 2"" (3.9m x 4.9m)<br>Grey Laminate Flooring, Beading, Skirting Boards, Painted Walls and Ceilings, Coving, Double Convector Radiator and Thermostat Valve, Double Sockets, Dropdown pendant light and wall mounted lights, dimmer switch, French double glazed double door with juliette balcony.<br><br><strong>External:</strong><br>Allocated Off Street Parking and Visitor Parking, Communal Gardens, Entry to building from ground level, lift in communal area and entry phone system.","['Long Lease', 'Juliette Balcony', 'Secure Underground Gated Parking', 'Great Location', 'Communal Garden', 'En-Suite to Master Bedroom', 'Chain Free', 'Large Kicthen and Diner', 'Gas Central Heating and Double Glazing']",,2 bed flat for sale,51.634946,-0.093626,Just added
2,/for-sale/details/59108324/,Listed on 6th Jul 2021,Enfield,2021-07-06,Havilands Estates,020 3641 4112,False,"Abbey Road, Enfield EN1",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 1, 'numLivingRooms': 1}",789999.0,bungalow,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-06 14:15:54', 'priceLabel': '£789,999'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2001-06-20', 'newBuild': False, 'price': 210000, 'priceLabel': '£210,000', 'recentlySold': False}, 'priceChanges': None}",,,"Havilands are delighted to offer this immaculate extended 2 double bed bungalow with garage, osp for several cars and moments from Bush Hill Park station (30 mins to Liverpool Street), local shops and schools. This property benefits from a bright lounge/dining room with patio doors leading to an attractive paved garden which features mature shrubs and plants. The kitchen overlooks the garden and features a separate utility room. There are 2 double bay fronted bedrooms, one of which has fitted wardrobes; plus family bathroom. The paved driveway can accommodate several vehicles and, in addition, there is a separate garage. Viewing highly recommended.","['2 double bed Bungalow', 'Through lounge/diner', 'Osp x 2 plus garage', 'Convenient location', 'Immaculate condition', 'Kitchen and utility room']",,2 bed bungalow for sale,51.645599,-0.073689,Just added
3,/for-sale/details/59107633/,Listed on 6th Jul 2021,Enfield,2021-07-06,Kings Group - Enfield Town,020 3641 8626,True,"Ayley Croft, Enfield EN1",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 1, 'numLivingRooms': 1}",200000.0,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-06 13:25:13', 'priceLabel': '£200,000'}, 'lastSale': None, 'priceChanges': None}",,,"Kings Group - Enfield Town are delighted to offer this chain free two bedroom 3rd floor purpose built flat which comprises of two double bedrooms, three piece bathroom suite, fully fitted kitchen, and a spacious living room with a balcony. The property is located within walking distance of Bush Hill Park Station and within a mile of Southbury Station offering fast links into London Liverpool Street with links to the underground (Victoria Line) at Seven Sister. In addition there is great road links close by with the A10 / A406 and an abundance of buses which offers fast links to the surrounding areas.<br>Early viewing is recommended - please call to book an appointment<br><br><strong>Entrance</strong><br><br><strong>Lounge</em> (3.35m x 4.88m (11'52 x 16'68 ))</strong><br><br>Double glazed window to the front aspect, coved and textured ceiling, carpeted flooring, phone point, TV point, power points, double glazed door leading to the balcony.<br><br><strong>Kitchen</em> (1.88m x 3.35m (6'02 x 11'19 ))</strong><br><br>Double glazed window to the front aspect, tiled flooring, tiled splash backs, base and wall units with roll tops, integrated electric hob and oven, hood extractor fan, plumbed for washing machine, space for fridge freezer, spotlights, power points, built in storage.<br><br><strong>Bathroom</em> (1.98m x 1.52m (6'06 x 5'47))</strong><br><br>Tiled walls, tiled flooring, panel enclosed bath, vanity unit wash basin, low level W.C.<br><br><strong>Bedroom One</em> (3.35m x 3.35m (11'36 x 11'15 ))</strong><br><br>Double glazed window to the front aspect, textured ceiling, carpeted flooring, power points.<br><br><strong>Bedroom Two</em> (3.05m x 3.33m (10'84 x 10'11))</strong><br><br>Double glazed window to the side aspect, textured ceiling, carpeted flooring, power points.","['Chain Free', 'Spacious Lounge With Balcony', 'Ideal Buy to Let: Potential 8-9% Annual return', 'Third Floor', 'Requires Modernisation Throughout', 'Close To Enfield Retail Park', 'Double Glazed Windows &amp; Electric Heating', 'Within Walking Distance of Bush Hill Park Station', 'Easy Access To A10, A406']",,2 bed flat for sale,51.642742,-0.061865,Just added
4,/for-sale/details/59107626/,Listed on 6th Jul 2021,Enfield,2021-07-06,Anthony Webb,020 3542 2206,True,"Crothall Close, Palmers Green, London N13",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 4, 'numBathrooms': 2, 'numLivingRooms': 2}",675000.0,detached,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-06 13:22:33', 'priceLabel': '£675,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2002-02-22', 'newBuild': False, 'price': 299999, 'priceLabel': '£299,999', 'recentlySold': False}, 'priceChanges': None}","{'__typename': 'FloorArea', 'unitsLabel': 'sq. ft', 'value': 1066}",,"A detached chain free four bedroom house requiring some cosmetic updating built in 1989 offering a through lounge, a dining area, a kitchen, utility room, two bath/shower rooms, conservatory, off street parking, garage to side and a west facing rear garden.<br><br>Crothall Close is a quiet residential cul de sac located off Fox Lane and is well positioned for Palmers Greens shops, restaurants, bus routes and mainline station into Moorgate. Southgate high road and underground station are a short ride away via the W9 bus route. Both Broomfield and Groveland parks are within easy walking distance.<br><br><strong>Living Room</em> (6.12m x 4.11m (20'1 x 13'6))</strong><br><br><strong>Dining Room</em> (3.43m x 2.62m (11'3 x 8'7))</strong><br><br><strong>Kitchen</em> (3.40m x 2.49m (11'2 x 8'2))</strong><br><br><strong>Utility Room</em> (2.67m x 2.21m (8'9 x 7'3))</strong><br><br><strong>Conservatory</em> (4.93m x 2.87m (16'2 x 9'5))</strong><br><br><strong>Bedroom</em> (3.25m x 3.15m (10'8 x 10'4))</strong><br><br><strong>Bedroom</em> (2.69m x 2.59m (8'10 x 8'6))</strong><br><br><strong>Bedroom</em> (2.69m x 1.91m (8'10 x 6'3))</strong><br><br><strong>Bedroom</em> (2.26m x 1.91m (7'5 x 6'3))</strong>","['Four bedrooms', 'Detached house', 'Garage to side/own drive', 'Two receptions', 'Conservatory', 'Utility and w.c', 'Two bath/shower rooms', 'Well maintained rear garden']",,4 bed detached house for sale,51.625476,-0.11212,Just added
5,/for-sale/details/59107396/,Listed on 6th Jul 2021,Enfield,2021-07-06,James Hayward,020 8033 1640,False,"Manor Road, Enfield EN2",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 2, 'numLivingRooms': 1}",539995.0,end_terrace,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-06 13:06:48', 'priceLabel': '£539,995'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2001-12-14', 'newBuild': False, 'price': 188000, 'priceLabel': '£188,000', 'recentlySold': False}, 'priceChanges': None}",,freehold,"James Hayward have pleasure in presenting this particularly impressive, extended two double bedroom end of terrace character home, which is ideally situated walking distance from local shops &amp; restaurants, schools for all ages and transport links. Enfield Town, sports &amp; leisure facilities are also close by. The property offers ample and versatile living space including reception-dining room, kitchen-breakfast room, family bathroom and en-suite to main bedroom and is completed by an easy maintenance garden with storage shed.","['Character end of terrace house', 'Two double bedrooms', 'Bright &amp; spacious reception-dining room', 'Modern fitted kitchen-breakfast room', 'Four piece suite family bathroom', 'En-suite shower/WC to main bedroom', 'Easy maintenance garden with patio &amp; storage shed', 'Close to shops, schools &amp; transport links', 'Within easy reach of enfield town, sports &amp; leisure facilities', 'Features include plantation blinds &amp; fireplaces']",,2 bed end terrace house for sale,51.65961,-0.08533,Just added
6,/for-sale/details/59107206/,Listed on 6th Jul 2021,Enfield,2021-07-06,Bennett-Walden,020 8033 9977,True,"Tottenhall Road, Palmers Green N13",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 3, 'numBathrooms': 1, 'numLivingRooms': 2}",575000.0,terraced,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-06 12:47:56', 'priceLabel': '£575,000'}, 'lastSale': None, 'priceChanges': None}",,freehold,This well maintained mid-terrace house is located on a popular residential road.<br><br>There are two good sized reception rooms on the ground floor with patio doors lead out to the beautiful rear garden and double garage.<br>Upstairs there are three bedrooms and shower room with separate W/C. There is scope to extend to the rear and the loft (STPP).<br><br>Close to local shops and restaurant and ideally located for popular schools and for bus links towards Palmers Green br and Wood Green tube (Piccadilly line).<br><br>Front garden: Pathway. Lawn area with flower borders.<br><br>Entrance: Porch area with double glazed aluminium door leading to main door entrance. Hardwood door leading to hallway.<br><br>Hallway: Carpet. Doors to all rooms. Radiator.<br><br>Reception 1: Carpet. UPVC double glazed window to front aspect. Electric fire (untested). Cornicing. Radiator.<br><br>Reception 2: Carpet. Feature timber fireplace with granite inset and hearth with electric fire (untested). Door to storage cupboard. UPVC double glazed patio doors leading to rear garden. Cornicing.<br><br>Kitchen: Ceramic floor tiles. Fitted wall and base units. Partly tiled walls. Integrated oven with gas hob. Cooker extractor. Plumbing for washing machine. Double glazed aluminium door to rear garden. Double glazed aluminium window to rear aspect. Cornicing.<br><br>Landing: Carpet. Loft hatch. Doors to all rooms.<br><br>Bedroom 1: Carpet. UPVC double glazed bay window to front aspect. Fitted wardrobes. Radiator.<br><br>Bedroom 2: Carpet. Double glazed aluminium window to rear aspect. Cupboard housing cylinder. Radiator.<br><br>Bedroom 3: Carpet. UPVC double glazed bay window to front aspect. Radiator.<br><br>Bathroom: Vinyl flooring. Shower with thermostatic shower. Pedestal basin. Double glazed aluminium obscure window to rear aspect. Fully tiled walls. Radiator.<br><br>Separate W/C: Vinyl flooring. Close coupled W/C. Double glazed aluminium window to rear aspect.<br><br>Rear garden: Paved patio. Small outhouse containing gas boiler. Lawn area with mature trees and shrubs. Shed to rear.<br><br>Garage: Brick built. Double. Accessed via rear service road.,"['Three bedroom mid terrace house', 'On popular residential road', 'Two good sized reception rooms', 'Shower room with separate W/C', 'Double garage accessed via rear service road', 'Potential to extend (STPP)', 'Close to local shops and restaurants', 'Offered chain free', 'Good bus links to palmers green br station/wood green tube']",,3 bed terraced house for sale,51.613574,-0.095438,Just added
7,/for-sale/details/59106982/,Listed on 6th Jul 2021,Enfield,2021-07-06,RE/MAX Right Step,020 8115 8180,False,"Firs Lane, Winchmore Hill N21",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 1, 'numLivingRooms': 1}",365000.0,maisonette,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-06 12:30:17', 'priceLabel': '£365,000'}, 'lastSale': None, 'priceChanges': None}",,leasehold,"Key features<br><br>- 2 bedrooms<br>- 976 year lease<br>- Balcony<br>- Rear garden<br>- Off street parking<br>- Great location<br>- Shops nearby<br>- Public transport within walking distance<br>- Gas central heating<br>- Double glazing throughout<br><br>remax are happy to offer for sale this 2 bedroom maisonette on the top floor with a long lease, off street parking, garden access and a balcony, situated on Firs Lane, a quiet residential road in Winchmore Hill within easy reach of Winchmore Hill Station and local shops.<br><strong>The property<br></strong><br><br>Accessed via its own front door, this 2 bedroom maisonette offers a balanced size living space and its new owner(s) a great opportunity to truly make it their own.<br><br>Within the maisonette are 2 good sized bedrooms, 1 to the front of the property and 1 to the rear, a comfortable reception space to the front of the property with a decorative fireplace feature, a kitchen with wall &amp; base units and tiled splashback with single door access to the balcony which overlooks the rear garden.<br><strong>Location<br></strong><br><br>Nearby you have a good selection of shops, bars, cafes as well as other amenities.<br><br>Within walking distance is Winchmore Hill Station for those that use public transport along with local bus routes also being close by.<br><br>For those with children, there are several schools ofsted rated good or outstanding within a short walk away as well as nurseries.<br><br>We endeavour to make our marketing particulars accurate and reliable, however, they do not constitute or form part of an offer or any contract and none is to be relied upon as statements of representation or fact. Any services, systems and appliances listed in this specification have not been tested by us and no guarantee as to their operating ability or efficiency is given. All measurements have been taken as a guide to prospective applicants only and are not precise. Please be advised that some of the particulars may be awaiting vendor approval. If you require clarification or further information on any points, please contact us, especially if you are travelling some distance to view. Fixtures and fittings other than those mentioned are to be agreed with the Vendor.<br><br>Please note: Any intending applicants that wish to offer on this property shall be required to supply identification documents, proof of address, proof of funds, conveyancing solicitor details and lender/broker details in order to satisfy the Money laundering regulations and qualification process. We would ask for your co-operation in order that there will be no delay in agreeing on the sale.<br><br><strong>Reception</em> (4.05m x 3.43m)</strong><br><br>Carpet flooring, feature fireplace, double glazed windows to front aspect, painted walls, single radiator.<br><br><strong>Main Bedroom</em> (3.68m x 3.18m)</strong><br><br>Carpet flooring, painted walls, single radiator, double glazed windows to rear aspect.<br><br><strong>Bedroom 2</em> (2.67m x 2.41m)</strong><br><br>Carpet flooring, single radiator, double glazed window to front aspect, painted walls.<br><br><strong>Kitchen</em> (3.41m x 2.38m)</strong><br><br>Fitted wall &amp; base units, lino flooring, painted walls, tiled splashback, double glazed windows to front and rear aspects, single radiator, double glazed single door access to terrace.<br><br><strong>Bathroom</strong><br><br>Tiled walls, bathtub with shower attachment, toilet, basin, double glazed frosted window to side aspect, vanity cabinet.<br><br><strong>Terrace/Balcony</em> (2.53m x 1.94m)</strong><br><br>Paved flooring, South East facing.",,,2 bed maisonette for sale,51.634492,-0.090559,Just added
8,/new-homes/details/59106925/,Listed on 6th Jul 2021,Enfield,2021-07-06,Barnard Marcus - Whetstone,020 8166 7271,True,"Astera Mews, Crescent Road, East Barnet EN4",False,False,new,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 3, 'numBathrooms': 2, 'numLivingRooms': 1}",725000.0,semi_detached,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-06 12:27:16', 'priceLabel': '£725,000'}, 'lastSale': None, 'priceChanges': None}",,freehold,"<strong>Summary</strong><br>90% reserved- Only 1 house remaining ready to move in An outstanding collection of 8 luxurious semi-detached family homes, set within a gated development off a desirable residential road in East Barnet. Benefiting allocated parking and a 10 year build warranty.<br><br><strong>Description</strong><br>With transport links and local amenities on the door step. These family homes have a downstairs guest WC, ensuite off the master bedroom and space for a private work space integrated into the living area. The kitchen overlooks the gardens with Bi-fold doors leading out to the idyllic laid lawn &amp; patio with wide side access which is perfect for a shed or bike storage. With a welcoming front laid lawn and front porch entrance leading into an incredibly spacious living area, perfect for entertaining.<br><br>1. Money laundering regulations: Intending purchasers will be asked to produce identification documentation at a later stage and we would ask for your co-operation in order that there will be no delay in agreeing the sale. <br>2. General: While we endeavour to make our sales particulars fair, accurate and reliable, they are only a general guide to the property and, accordingly, if there is any point which is of particular importance to you, please contact the office and we will be pleased to check the position for you, especially if you are contemplating travelling some distance to view the property. <br>3. The measurements indicated are supplied for guidance only and as such must be considered incorrect. <br>4. Services: Please note we have not tested the services or any of the equipment or appliances in this property, accordingly we strongly advise prospective buyers to commission their own survey or service reports before finalising their offer to purchase. <br>5. These particulars are issued in good faith but do not constitute representations of fact or form part of any offer or contract. The matters referred to in these particulars should be independently verified by prospective buyers or tenants. Neither sequence (UK) limited nor any of its employees or agents has any authority to make or give any representation or warranty whatever in relation to this property.","['Ensuite to Master Bedroom', 'Gated Development', 'Ready to Move In', 'Bi Folding Doors to Rear Garden', 'Allocated Parking With Electric Car Charging Point']",,3 bed semi-detached house for sale,51.648835,-0.164458,Just added
9,/for-sale/details/59106281/,Listed on 6th Jul 2021,Enfield,2021-07-06,Aleco Estate Agents,020 3551 3246,False,"Beresford Gardens, Enfield EN1",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 1, 'numLivingRooms': 1}",345000.0,maisonette,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-06 11:41:18', 'priceLabel': '£345,000'}, 'lastSale': None, 'priceChanges': None}",,share_of_freehold,"Aleco Estate Agents are delighted to offer for sale this 2 bedroom ground floor garden maisonette in excellent condition throughout.<br><br>The property is located only a moments walk from Enfield Town Overground Station which offers fast links into London Liverpool Street with connections to the Victoria Line at Seven Sisters.<br><br>Enfield benefits from shopping and leisure facilities close by and enfield town Shopping Centre, enfield retail park and cineworld. Beresford Gardens is within catchment areas of some of Enfield's most sought-after schools including George Spicer and St Andrews Primary schools.","['** share of freehold **', '** ground floor **', '** sole use of garden **', '** moments walk to enfield town **', '** great transport links **']",,2 bed maisonette for sale,51.649927,-0.075383,Just added
