,Link,Listed,Borough,date_listed,agency_name,agency_phone,chain_free,address,isRetirementHome,isSharedOwnership,listingCondition,listingStatus,RoomCount,price,propertyType,isAuction,priceHistory,floorArea,tenure,detailedDescription,features,furnishedState,title,latitude,longitude,statusSummary
0,/for-sale/details/59123972/,Listed on 7th Jul 2021,Hillingdon,2021-07-07,Foxtons - Pinner,020 3542 2185,False,"Breakspear Road, Ruislip HA4",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 1, 'numLivingRooms': None}",400000.0,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-07 18:23:26', 'priceLabel': '£400,000'}, 'lastSale': None, 'priceChanges': None}",,,"Set in a fantastic location, this 2 bedroom apartment is refurbished to an incredibly high standard, with stunning natural light throughout and further benefits from on site parking.<br><br>Rotary House is in a quiet suburban area, in close proximity to attractions such as the Ruislip Lido and Ruislip woods. A number of transport links offer easy city access, with schools and local amenities nearby.","['1st Floor apartment in a secure purpose-built block', 'Sleek open plan kitchen with subway tiling and integrated appliances', 'Charming open plan reception with space to dine', '2 Well-proportioned double bedrooms', 'Luxurious bathroom', 'Warm wood flooring throughout', 'On-site amenities include an entry phone system and communal gardens']",,2 bed flat for sale,51.58763,-0.437105,Just added
1,/for-sale/details/59122816/,Listed on 7th Jul 2021,Hillingdon,2021-07-07,Alex Crown Lettings & Estate Agents,020 3641 8408,False,"Hawthorne Crescent, West Drayton UB7",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': None, 'numBathrooms': 1, 'numLivingRooms': 1}",160000.0,studio,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-07 16:52:28', 'priceLabel': '£160,000'}, 'lastSale': None, 'priceChanges': None}",,share_of_freehold,"** share of freehold**<br><br>Alex Crown are delighted to offer this lovely studio with a separate kitchen situated in this popular development which is within easy reach of the town centre with mainline railway station which will benefit from Crossrail.<br><br>A first floor studio apartment offering an ideal opportunity for first time buyers or for investors looking for a property in a convenient location.<br><br>The accommodation comprises an entrance hall with handy airing cupboard, studio room with bay window, kitchen fitted with a range of wall and floor cupboard and a shower room. The property also has storage room located outside the flat. Additional bonus of a car park space.","['Guide price £160k - £170k', 'Share of freehold', 'Lease extension cost: £0', '92 Years lease remianing', 'Great for investors or first time buyers', 'Around 7% Yield - Rental valuation £925 pcm', 'Large studio flat with a separate kitchen', 'Close to Town Centre &amp; Railway Station', 'Allocated Parking Space']",,Studio for sale,51.506554,-0.464527,Just added
2,/for-sale/details/51891540/,Listed on 7th Jul 2021,Hillingdon,2021-07-07,Galaxy Real Estate,020 8115 8304,False,"Cromwell Road, Hayes UB3",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 3, 'numBathrooms': 2, 'numLivingRooms': 1}",519950.0,semi_detached,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-07 16:07:47', 'priceLabel': '£519,950'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2008-01-15', 'newBuild': False, 'price': 246950, 'priceLabel': '£246,950', 'recentlySold': False}, 'priceChanges': None}",,freehold,"Galaxy Real is pleased to introduce 3 bedroom Terraced House for Sale in UB3.<br><br>The property currently consists of 3 bedroom, 2 bathroom, Good Size living room, Open plan Kitchen, Driveway for 2 cars and rear garden. The property have further chances of extension and does require basic refurbishment.<br><br>Bus service of U4 is in 3 mins walk connecting you to Hayes and Uxbridge.<br><br>Wood End Academy and Rosedalle College are in short distance of the property.<br><br>Gp an other amenities are in walking distance.<br><br>The property have been already rented to tenants. So it is a good oppurtunity if you are looking for investment.<br><br>For more info, Call office on and we will pleased to offer you our services.","['Close To Heathrow', 'Double Glazing', 'Driveway', 'Fitted Kitchen', 'Garden', 'Open Plan Kitchen', 'Public Transport Links', 'Shops &amp; Amenities Nearby']",,3 bed semi-detached house for sale,51.518437,-0.435661,Just added
3,/for-sale/details/59121115/,Listed on 7th Jul 2021,Hillingdon,2021-07-07,Coopers Residential - Pinner,020 8033 2379,False,"Chamberlain Lane, Pinner HA5",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 3, 'numBathrooms': 1, 'numLivingRooms': 1}",520000.0,terraced,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-07 16:07:43', 'priceLabel': '£520,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '1998-05-14', 'newBuild': False, 'price': 111000, 'priceLabel': '£111,000', 'recentlySold': False}, 'priceChanges': None}",,,"A beautifully presented three bedroom terraced house, perfect for family living. Upon entering the home, you are immediately greeted by a spacious hallway which conveniently leads to all the ground floor rooms including the fitted kitchen which is located at the front of the plan. The kitchen has been well fitted with a good selection of storage, appliance space and ample worktop space. Moving through the property, you will find a 17ft living room, offering a pleasant space for the family to enjoy with neutral carpets and double-doors opening to the rear garden. Offering ample versatility, the living rooms offers space for a large dining table and chairs making for the perfect space to entertain. Completing the ground floor is a useful W.C and spacious porch with fitted shelving. Stairs rise to first floor, where there are three spacious bedrooms. The master bedroom measures at an impressive 15ft and has the additional benefit of fitted storage. Completing this home is a modern family bathroom and a large, fully insulated and boarded loft with a pull-down ladder offering a mass of storage. An ideal space for first time buyers, the growing family and downsizes alike, take advantage of this rare opportunity to acquire a superb property located in a most desirable neighbourhood, close to schools and sought after green space.<br><br><strong>Directions</strong><br><br>From our Pinner office, turn right onto Bridge Street and continue to Elm Park Road. At the traffic lights, turn left onto Pinner Road and proceed to the roundabout. At the roundabout, take the first exit and turn onto Joel Street. Proceed down Joel Street at take a left onto Middleton Drive which leads to Chamberlain Lane, the property is located on the left hand side.<br><br><strong>Situation</strong><br><br>This property on Chamberlain Lane is conveniently located between Northwood Hills and Eastcote and Pinner extensive high streets offering a selection of cafes, restaurants, and shopping amenities. The Metropolitan/Piccadilly lines are easily accessible at Eastcote Station which offers swift access into London, as well as many bus routes towards Harrow, Ruislip and Northwood. For the motorist the A40 is a short drive away providing access to Central London and the Home Counties. The charming village pub The Case is Altered and Eastcote Cricket club are a short walk away. For families, there are a number of highly regarded schools including Coteford Infant and Juniors and Haydon Senior School along with the convenience of a number of leisure facilities including Highgrove Gym and Swimming Pool.<br><br><strong>Description</strong><br><br>A beautifully presented three bedroom terraced house, perfect for family living. Upon entering the home, you are immediately greeted by a spacious hallway which conveniently leads to all the ground floor rooms including the fitted kitchen which is located at the front of the plan. The kitchen has been well fitted with a good selection of storage, appliance space and ample worktop space. Moving through the property, you will find a 17ft living room, offering a pleasant space for the family to enjoy with neutral carpets and double-doors opening to the rear garden. Offering ample versatility, the living rooms offers space for a large dining table and chairs making for the perfect space to entertain. Completing the ground floor is a useful W.C and spacious porch with fitted shelving. Stairs rise to first floor, where there are three spacious bedrooms. The master bedroom measures at an impressive 15ft and has the additional benefit of fitted storage. Completing this home is a modern family bathroom and a large, fully insulated and boarded loft with a pull-down ladder offering a mass of storage. An ideal space for first time buyers, the growing family and downsizes alike, take advantage of this rare opportunity to acquire a superb property located in a most desirable neighbourhood, close to schools and sought after green space.<br><br><strong>Outside</strong><br><br>To the rear, there is a private garden with multiple areas which can be used for entertaining and dining al fresco including a patio and lawn area. The property also benefits from an additional garden space to the front aspect of the residence.","['Terraced residence', 'Three bedrooms', '15ft living room', 'Fitted kitchen', 'Spacious master bedroom', 'Family bathroom', 'Downstairs W.C.', 'Private rear garden', 'Desirable cul-de-sac', '845 sq.ft']",,3 bed terraced house for sale,51.593467,-0.406403,Just added
4,/for-sale/details/54419317/,Listed on 7th Jul 2021,Hillingdon,2021-07-07,Savills - Northwood,01923 588905,False,"Carlton Place, Rickmansworth Road, Northwood, Middlesex HA6",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 2, 'numLivingRooms': 1}",625000.0,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-07 15:41:06', 'priceLabel': '£625,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2015-10-16', 'newBuild': False, 'price': 552000, 'priceLabel': '£552,000', 'recentlySold': False}, 'priceChanges': None}",,leasehold,"A bright and spacious two bedroom top floor apartment.<br><br><strong>Location</strong><br><br>London is just 16 miles (approx) and is reached by rail from Northwood Metropolitan Line underground railway station (Baker Street 35 minutes approx). The M40 at Uxbridge (5 miles approx). Watford (4 miles approx), and Harrow (6 miles approx) are all accessible by road and offer multiple shopping centres.<br><br>Northwood provides a wide range of shops with multiple stores including Waitrose, Boots, Costa Coffee and Baskin Robbins. There is an interesting selection of quality restaurants serving multi-cultural cuisine and several coffee/snack bars.<br><br>Sports and fitness enthusiasts are well catered for with clubs for Golf, Tennis, Football, Cricket and extensive facilities within the David Lloyd Sports and Social Club.<br><br>There is a good choice of schools in the area both state and private including St Helen’s and Northwood College for girls, St Martin’s, St John's and Merchant Taylors’ for boys.<br><br><strong>Description</strong><br><br>Located on the second floor of an attractive, gated, purpose built block, this beautifully presented apartment has very spacious and well-proportioned rooms and the benefit of two private balconies.<br><br>A well maintained communal hallway, with lift, leads to the apartment door and in turn the reception hall. This has doors to all major rooms and two large storage cupboard one of which is large enough to be used as a study area. The sitting room is of great size and has doors leading to a private balcony that has stunning Westerly views onto the communal gardens and fields thereafter.<br><br>The kitchen is separate and has been redesigned to incorporate a spacious dining area. There are extensive cupboards, plenty of granite worktop space and built-in appliances to include a double oven and gas hob, extractor, fridge freezer and integrated dishwasher and washing machine. The kitchen further boasts an Easterly facing balcony overlooking the front of the development.<br><br>The master bedroom is of good size with built in wardrobes, views overlooking the gardens to the rear and recently fitted, modern en suite shower room. The en suite has a shower cubicle, vanitory unit with sink and underfloor heating. The second bedroom is again a spacious double room with built in wardrobes.<br><br>Externally the development is accessed through electric gates. The development has communal gardens with a large, gated lawn area and well-tended flower and shrub borders.<br><br>There is also one allocated parking space and a garage.<br><br>Square Footage: 1213 sq ft<br><br>Leasehold with approximately 124 years remaining","['In excess of 1200 square foot of accommodation', 'Two balconies', 'Garage', 'Excellent decorative order throughout', 'Lift', 'Loft storage']",,2 bed flat for sale,51.617654,-0.444299,Just added
5,/for-sale/details/59120360/,Listed on 7th Jul 2021,Hillingdon,2021-07-07,Robsons - Northwood,01923 588736,True,"Hawkesworth Close, Northwood HA6",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 1, 'numLivingRooms': 1}",475000.0,terraced,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-07 15:17:56', 'priceLabel': '£475,000'}, 'lastSale': None, 'priceChanges': None}",,,"A wonderful opportunity for first time buyers and investors alike. This mid terrace two bedroom house is conveniently positioned in the heart of Northwood town centre and benefits from its own private garden and garage in nearby block. The property is offered to the market with the advantage of no onward chain.<br><br>Northwood provides a range of shopping facilities including Waitrose supermarket, a variety of restaurants and other amenities with the Metropolitan Line station providing access to Baker Street and the City. There is a plethora of state and private schooling together with a wide choice of recreational facilities, which include golf courses and fitness centres. The M1, M40 and M25 motorways are also accessible.","['Reception room', 'Kitchen', 'Two bedrooms', 'Family bathroom', 'Rear garden', 'Store room', 'Separate garage']",,2 bed terraced house for sale,51.608896,-0.42672,Just added
6,/for-sale/details/59120117/,Listed on 7th Jul 2021,Hillingdon,2021-07-07,Bens Properties Ltd,020 3641 5766,True,"The Green Way, Uxbridge UB8",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 3, 'numBathrooms': 1, 'numLivingRooms': 1}",605000.0,semi_detached,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-07 15:03:09', 'priceLabel': '£605,000'}, 'lastSale': None, 'priceChanges': None}",,freehold,"Spacious Three bedroom semi-detached house situated 2 minutes walk to Brunel University. Double glazed windows, gas central heating. Through lounge, three bedrooms, family bathroom /wc, rear garden, out building can be used as gym / office, off street parking for 2 cars. This property with potential to extend /<br>develop (STPP). Chain free.<br><br>Energy performance band : E<br>Local authority : Hillingdon<br>Council tax band : E £1,959.67<br><br>Anti Money Laundering Regulations : Buyers need to produce Identification documentation before agreeing the sale.<br>Description of the property, measurements, photographs, floor plans are used as a guide only. We have not tested any services, systems or appliances at the property. Buyers must inspect the property personally to satisfy themselves. We strongly recommend that all the information we provide be verified by you on inspection, and by your Surveyor.","['Private garden', 'Off street parking', 'Central heating', 'Double glazing', 'Out building']",,3 bed semi-detached house for sale,51.53735,-0.475416,Just added
7,/for-sale/details/59120102/,Listed on 7th Jul 2021,Hillingdon,2021-07-07,Gibbs Gillespie - Ruislip Manor,01895 262286,True,"Pavilion Way, Ruislip, Middlesex HA4",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 3, 'numBathrooms': 1, 'numLivingRooms': 2}",610000.0,detached,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-07 14:59:57', 'priceLabel': '£610,000'}, 'lastSale': None, 'priceChanges': None}",,freehold,"Perfectly positioned this three bedroom chain free detached family home is just a short distance from the shopping and transport facilities of Eastcote. In need of modernisation with potential to extend STPP. Within the catchment area of several highly regarded schools including Newnham and Field End Infant and Junior Schools.<br>The property is comprised on the ground floor of a spacious reception room, dining room and fitted kitchen. To the first floor there are three good sized bedrooms and a family bathroom with separate w/c. To the front of the property is a driveway providing off street parking and access to the garage and the private garden to the rear has a patio area and the rest is laid to lawn.<br>Pavilion Way is situated a short distance from the shops, restaurants and coffee shops of Eastcote. The Piccadilly and Metropolitan line station provides regular services into central London in under thirty minutes and the A40, M40 and M25 are easily accessible.","['No chain', 'Detached House', 'Three Bedrooms', 'Reception Room', 'Dining Room', 'Kitchen', 'Family Bathroom', 'Off Street Parking', 'Garage', 'EPC Rating E']",,3 bed detached house for sale,51.571364,-0.39629,Just added
8,/for-sale/details/59120086/,Listed on 7th Jul 2021,Hillingdon,2021-07-07,Gibbs Gillespie - Ruislip Manor,01895 262286,False,"The Croft, Ruislip, Middlesex HA4",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 1, 'numLivingRooms': 1}",550000.0,bungalow,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-07 14:58:37', 'priceLabel': '£550,000'}, 'lastSale': None, 'priceChanges': None}",,freehold,"This delightful two bedroom semi detached bungalow offers spacious, light filled interiors throughout and is located in a sought after family friendly neighbourhood, close to the vast array of shopping amenities and transport facilities of South Ruislip. Within the catchment area of several highly regarded schools including Deansfield and Queensmead.<br>The property comprises an entrance hallway, a spacious and light filled reception room, two double bedrooms and a family bathroom. Completing the property is a fitted kitchen. Externally to the front there is a low maintenance garden and shared driveway to the garage with a storage shed. The private garden to the rear has paved patio areas, laid lawn and borders with mature shrubs and bushes.<br>The Croft is perfectly positioned for South Ruislip with the Old Dairy shopping and entertainment complex and the Central and Main line station that can have you into London in thirty minutes. For the motorist the A40, M40 and M25 are easily access","['Semi Detached Bungalow', 'Two Bedrooms', 'Spacious Reception Room', 'Fitted Kitchen', 'Family Bathroom', 'Garage Via Shared Driveway', 'Private Rear Garden', 'Front Garden', 'EPC Rating D', '872 Sq. Ft (81 Sq. M)']",,2 bed bungalow for sale,51.560882,-0.396978,Just added
9,/for-sale/details/59119628/,Listed on 7th Jul 2021,Hillingdon,2021-07-07,Robsons,020 3641 5753,False,"Chamberlain Way, Pinner HA5",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 1, 'numLivingRooms': 1}",399950.0,maisonette,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-07 14:24:07', 'priceLabel': '£399,950'}, 'lastSale': None, 'priceChanges': None}",,leasehold,"Perfect for first time buyers or investors alike, is this two double bedroom, first floor maisonette benefiting from a private rear garden and a garage in a nearby block. The property is located on a popular road within close proximity to a number of high streets and excellent transport facilities.<br><br>Upon entering the accommodation there are stairs leading to the first floor landing that provides access to a generous size lounge with a feature fire place, two double bedrooms, a family bathroom and a kitchen offering a range of both base and eye level units. Externally the property benefits from a private rear garden that is laid to lawn with a garden shed for storage. The property also has a garage in a nearby block.<br><br>Situated on a peaceful road within easy reach Pinner Village, Eastcote and Northwood Hills, where you have access to a variety of shopping facilities, restaurants, coffee houses and popular supermarkets. For commuters there are excellent transport links nearby with the Metropolitan line at Pinner and Northwood Hills Station, and Eastcote station offering the Metropolitan &amp; Piccadilly line. The area is well served by primary and secondary schooling, children's parks and recreational facilities.","['First Floor Maisonette', 'Two Double Bedrooms', 'Lounge', 'Kitchen', 'Family Bathroom', 'Private Rear Garden', 'Garage in Nearby Block', 'Close to Amenities &amp; Transport Links']",,2 bed maisonette for sale,51.594682,-0.401671,Just added
