,Link,Listed,Borough,date_listed,agency_name,agency_phone,chain_free,address,isRetirementHome,isSharedOwnership,listingCondition,listingStatus,RoomCount,price,propertyType,isAuction,priceHistory,floorArea,tenure,detailedDescription,features,furnishedState,title,latitude,longitude,statusSummary
0,/for-sale/details/59125216/,Listed on 7th Jul 2021,Hounslow,2021-07-07,"Purplebricks, Head Office",024 7511 8874,False,"Chertsey Road, Feltham TW13",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 2, 'numLivingRooms': 1}",275000.0,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-07 21:44:38', 'priceLabel': '£275,000'}, 'lastSale': None, 'priceChanges': None}",,leasehold,"A wonderful, two bedroom, two bathroom, executive apartment located in this modern development of Feltham.<br><br>You can book a viewing for this property instantly, 24/7, via the Purplebricks website.<br><br>Bright, spacious and presented in immaculate condition throughout, this wonderful property is offered to the market in show home like condition throughout.<br><br>The accommodation comprises a spacious, open plan reception/dining/kitchen, modern kitchen has a range of fitted units. Both bedrooms are doubles with the master bedroom benefiting from a modern en-suite shower room.<br>Off the hallway is the master bathroom, with three-piece suite and shower over the bath.<br><br>The flat comes with the benefit of allocated parking space and ample free on road parking.<br>Service Charge - £135/ month<br>Ground Rent - £128/year<br><br>Hayden Court is a very popular development, conveniently located close to all amenities and transport links giving access into Staines, Ashford, Hounslow. Feltham high street is short distance away.<br><br><strong>Disclaimer For Virtual Viewings</strong><br><br>Some or all information pertaining to this property may have been provided solely by the vendor, and although we always make every effort to verify the information provided to us, we strongly advise you to make further enquiries before continuing.<br><br>If you book a viewing or make an offer on a property that has had its valuation conducted virtually, you are doing so under the knowledge that this information may have been provided solely by the vendor, and that we may not have been able to access the premises to confirm the information or test any equipment. We therefore strongly advise you to make further enquiries before completing your purchase of the property to ensure you are happy with all the information provided.","['Modern two bedroom apartment', 'Long lease', 'Two bathrooms', 'Allocated parking', 'Secure entry system', 'Double glazed', 'Central heating']",,2 bed flat for sale,51.435924,-0.427547,Just added
1,/for-sale/details/59124884/,Listed on 7th Jul 2021,Hounslow,2021-07-07,Gregory Brown,01784 335028,False,"Churchill Close, Feltham, Middlesex TW14",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 3, 'numBathrooms': None, 'numLivingRooms': None}",489000.0,detached,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-07 20:43:13', 'priceLabel': '£489,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2016-01-11', 'newBuild': False, 'price': 400000, 'priceLabel': '£400,000', 'recentlySold': False}, 'priceChanges': None}",,,"Spacious detached property in superb condition ideally positioned for town centre and mainline station. Presented in stunning condition throughout the property benefits from a hugely spacious lounge/diner, separate luxury fitted kitchen, downstairs W.C., three well-proportioned bedrooms, low-maintenance read garden, driveway and garage. Viewings Highly Recommended!<br><br><strong></strong><br><br><strong>Covered Porch</strong><br>With triple-glazed, stained-glass front door leading to:<br><br><strong>Entrance Hall</strong><br>Light and power points, single radiator, stairs to first floor and doors to:<br><br><strong>Downstairs W.C.</strong><br>Front aspect UPVC double glazed window, low level W.C, wash hand basin inset to cabinet, single radiator, light point.<br><br><strong>Lounge/Diner</strong><br>Rear aspect UPVC double glazed French doors to Garden, gas feature fireplace, side aspect UPVC double glazed window, three double radiators, understairs storage cupboard, glazed door to Kitchen.<br><br><strong></strong><br><br><strong>Kitchen</strong><br>Front aspect UPVC double glazed window, range of modern fitted units at eye and base level, 1 1/2 bowl sink drainer unit, built-in oven and hob, integrated fridge/freezer, microwave, space for washing machine and dryer. Single radiator, skylight window, recessed downlighters, rear aspect UPVC double glazed window and door to Garden.<br><br><strong>First Floor</strong><br><br><strong>Landing</strong><br>Side aspect UPVC triple-glazed stained-glass window, light and power points, access to loft space and doors to:<br><br><strong>Bedroom 1</strong><br>Front aspect UPVC double glazed windows, light and power points, single radiator, range of built-in wardrobes and drawers, cupboard housing hot water tank.<br><br><strong>Bedroom 2</strong><br>Rear aspect UPVC double glazed window, light and power points, single radiator.<br><br><strong>Bedroom 3</strong><br>Rear aspect UPVC double glazed window, light and power points, single radiator.<br><br><strong>Shower Room</strong><br>Side aspect UPVC double glazed window, low level W.C, wash hand basin inset to cabinet, large walk-in shower, heated towel rail, tiled walls, recessed downlighters, extractor.<br><br><strong>Outside</strong><br><br><strong>Front Garden</strong><br>Tiled pathway to front door, enclosed by brick wall.<br><br><strong>Rear Garden</strong><br>Paved courtyard-style garden enclosed by brick wall, inset Garage, with gate to driveway.<br><br><strong>Garage</strong><br>With up and over metal door, light and power, door to Garden.",['Tenure: Freehold'],,3 bed detached house for sale,51.449131,-0.41866,Just added
2,/for-sale/details/59123826/,Listed on 7th Jul 2021,Hounslow,2021-07-07,Foxtons - Chiswick,020 3542 2184,False,"Walnut Tree Road, Brentford TW8",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 3, 'numBathrooms': 1, 'numLivingRooms': 2}",449950.0,terraced,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-07 18:06:43', 'priceLabel': '£449,950'}, 'lastSale': None, 'priceChanges': None}",,,"Ideally located for the amenities of Brentford, this well proportioned 3 bedroom house benefits from a quiet location and good sized patio garden.<br><br>Brentford benefits from a large range of local shops and facilities with the Thames Path and Watermans Theatre moments away.","['Located on a residential development', 'Well-proportioned rooms', 'Spacious reception room', 'Good sized patio garden', 'Shower room, guest cloakroom and separate utility room', 'Would benefit from moderate works']",,3 bed terraced house for sale,51.48679,-0.298739,Just added
3,/for-sale/details/59122770/,Listed on 7th Jul 2021,Hounslow,2021-07-07,Forest Estate Agents,020 3641 5510,False,"Queens Road, Feltham, Middlesex TW13",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 6, 'numBathrooms': 3, 'numLivingRooms': 2}",525000.0,terraced,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-07 16:48:29', 'priceLabel': '£525,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2008-02-12', 'newBuild': False, 'price': 185000, 'priceLabel': '£185,000', 'recentlySold': False}, 'priceChanges': None}",,,"Entrance hall: Double glazed entrance door, wood laminate floor, radiator, stairs to first floor.<br>Living room: 13.9 x 11.1 (4.23 x 3.38m), Double glazed bay window, radiator, natural wood floor, archway through to.<br>Kitchen: 10.3 x 8 (3.12 x 2.44m), Fitted eye and base level units, Natural wood floor, stainless steel sink, integrated fridge/freezer, built in five ring gas hob and electric cooker with extractor hood, cupboard with plumbing for washing machine, double glazed French doors to rear garden.<br>W.C.: Low level W.C, Wall mounted hand wash basin.<br>Study/bedroom 6: 9.9 x 9.2 (3.01 x 2.80m) Two double glazed windows, radiator, natural wood floor.<br>Shower room: Double glazed window, Travertine stone walls, tiled floor, shower cubicle with multi-jet shower, vanity unit with wash hand basin, low level W.C, extractor fan.<br><strong>First floor landing</strong><br><br>Bedroom 1: 11.8 x 10.8 (3.59 x 3.29m) Two double glazed windows, walk in wardrobe, electric radiator, natural wood floor.<br>Shower room: Fully tiled shower cubicle, low level W.C., wash hand basin in vanity unit, tiled floor, extractor fan.<br>Bedroom 2: 10 x 9.4 (3.05 x 2.86m) Double glazed window, electric radiator.<br>Bedroom 3: 8.6 x 8.4 (2.62 x 2.56m), Double glazed window, electric radiator walk in wardrobe.<br>W.C.: Low level W.C, Wall mounted wash hand basin, heated towel rail, tiled walls and floor.<br>Second floor landing: Double glazed window.<br>Bedroom 4: 13.9 x 12.1 (4.23 x 3.68) Double glazed Velux windows, laminate floor, eves storage cupboard.<br>Bedroom 5: 7.8 x 7.6 (2.37 x 2.31) Double glazed window, electric radiator, laminate floor, bathroom: Panel enclosed bath with mixer tap and shower attachment, low level W.C, wash hand basin in vanity unit.<br>Rear garden: Patio area lawn with panel enclosed fence and pedestrian rear access.<br>Council tax band: D - £1702 p.a.<br>Energy efficiency rating: D<br>total floor area: Mtr Sq.<br>Stamp duty payable: £ (This figure may change if the purchase results in owning two or more properties).<br>Viewing: By appointment through this office only on . We are open Monday to Friday 9.00am till 6.00pm and Saturday 9.00am till 4.00pm.<br>Property misdescriptions act: For clarification, we wish to inform prospective purchasers that we have not carried out a detailed survey, nor tested the services, appliances and specific fittings for this property. Your solicitor should check any rights of way or planning permission for any extensions which may have been carried out.",,,6 bed terraced house for sale,51.448532,-0.404938,Just added
4,/for-sale/details/59121488/,Listed on 7th Jul 2021,Hounslow,2021-07-07,Milestone Residential,020 3641 4124,True,"Park Road, Hounslow TW3",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 3, 'numBathrooms': 1, 'numLivingRooms': 2}",625000.0,semi_detached,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-07 16:33:16', 'priceLabel': '£625,000'}, 'lastSale': None, 'priceChanges': None}",,,"An exciting opportunity to acquire one of the ever popular ""Carrington"" style 1930's semi-detached family homes, which has been lived in by the same family since the 1950s. Excellent size rooms, great potential to improve, a popular residential location and a lovely large rear garden are all features of this lovely property.<br><br><strong>For Sale:</strong><br><br>If you are looking for space and potential then this house has it! The room sizes as one can see from our floor plan below are generous and the potential to improve and extend is clear from other properties in the road which have taken advantage of these home's potential. The accommodation to the ground floor consists of two excellent size reception rooms, a conservatory, kitchen and downstairs toilet, with the living room to the front benefiting from the large bay window. To the first floor there are two big double and one sizeable single bedrooms served by a family bathroom and separate wc. The central heating is gas fired to radiators, the windows are mainly replacement double glazing although our clients have taken care to retain the lovely stained glass original windows to the side.<br>Outside: There is a good front garden with mature tree, the shared access side driveway leads to a good size garage, set slightly to the rear of the house. The lovely garden is well laid out with a decent lawned area leading to a large former vegetable plot set to the rear. In all extending to approx 70ft.<br><br><strong>Location:</strong><br><br>Park Road is a popular residential road located close to the Hounslow/Whitton borders with Hounslow main line station, local amenities and Murray park are all nearby.<br>The close proximity of Whitton, Hounslow, Twickenham and Isleworth town center's make this a conveniently located property.","['Semi Detached family home', 'Three good size bedrooms', 'Two spacious reception rooms', 'Kitchen', 'Conservatory', 'Large garden', 'Shared drive to garage', 'Gas central heating', 'Double glazing', 'No onward chain']",,3 bed semi-detached house for sale,51.460132,-0.355711,Just added
5,/for-sale/details/59120625/,Listed on 7th Jul 2021,Hounslow,2021-07-07,LiFE Residential - West London,020 3589 1768,False,"Trinity Square, 23-59 Staines Road, Hounslow TW3",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': None, 'numBathrooms': 1, 'numLivingRooms': 1}",215000.0,studio,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-07 15:33:39', 'priceLabel': '£215,000'}, 'lastSale': None, 'priceChanges': None}",,leasehold,"Studio Apartment with Seperate Sleeping Area | 384 sq.ft | 0.3 miles to Hounslow Central Station | Daytime Concierge | Allocated Parking<br><br>This apartment offers a perfect opportunity for First Time Buyers to make their move into a large and elegant studio apartment! Buy to Let Investors also have a chance to receive great returns on their investment, with high demand for rental properties and approx. 5% Rental Yield. With quality in mind the apartment comes with real oak timber flooring and brushed metallic detail giving the space an elegant finish. The open-plan layout makes the most of your space and the floor to ceiling windows ensures the apartment stays light and airy.<br><br>As well as coming with a secure video phone entry system, the living space offers the chance to install Sky and Freeview devices to suit your preference and access to the communal atrium, as well as cycle storage facilities.<br><br>On Hounslow’s doorstep, Trinity Square isn’t far from the local shopping centre and street food markets. It takes just under 5 minutes to reach Hounslow Central station, and from there Hyde Park Corner is half an hour away, and Heathrow a mere 10 minutes.&lt;br /&gt;&lt;br /&gt;","['384 Sq. Ft', 'Allocated Parking Space', 'Lease - 995 yrs remaining', 'Service Charge - £2,100 p/a approx', 'Ground Rent - £350 p/a', '0.3mi to Hounslow Central Station', 'Concierge and Communal Areas']",,Studio for sale,51.46778,-0.368065,Just added
6,/for-sale/details/55971865/,Listed on 7th Jul 2021,Hounslow,2021-07-07,Roberts Hunt Estate Agents Ltd,020 3478 3553,True,"Beattie Close, Feltham TW14",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 3, 'numBathrooms': 2, 'numLivingRooms': 1}",475000.0,terraced,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-07 14:31:25', 'priceLabel': '£475,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2012-07-26', 'newBuild': False, 'price': 218000, 'priceLabel': '£218,000', 'recentlySold': False}, 'priceChanges': None}",,freehold,"Highly recommended. A rare opportunity to acquire such A spacious and well presented three bedroom home, newly redecorated to the highest of standards. Located in A quiet and popular residential cul-de-sac, walking distance from feltham train station, bus routes and local amenities. Offered to the market with no chain, an early viewing is advised to avoid missing out.<br><br><strong>Entrance Porch</strong><br><br>A newly built with surrounding double glazed windows, wood effect front door, laminate flooring. Housing the electric meter.<br><br><strong>Entrance Hall</strong><br><br>Newly redecorated, wood effect grey laminate flooring, mirrored cupboards with integrated shoe storage, under stair storage, doors leading to ground floor shower room, kitchen/ diner and living room.<br><br><strong>Living Room</em> (12' 3'' x 15' 6'' (3.73m x 4.73m))</strong><br><br>Newly redecorated, double glazed front aspect windows and french patio doors, wood effect grey laminate flooring, vertical gas radiators.<br><br><strong>Kitchen/ Diner</em> (19' 2'' x 8' 7'' (5.83m x 2.61m))</strong><br><br>Newly redecorated, double glazed front aspect windows with interchangeable blinds, range of eye and base level kitchen units with wooden worktops, housing an electric hob and extractor fan, sink basin, washing machine, dishwasher, microwave over and space for large fridge freezer, wood effect grey laminate flooring.<br><br><strong>Shower Room</strong><br><br>Newly redecorated, double glazed side aspect frosted window, tiled walls and floor, heated shower rail, rainfall shower, sink and toilet.<br><br><strong>First Floor Landing</strong><br><br>Double glazed side aspect window, modern alarm system control pad, loft hatch to large attic, two large fitted cupboards with mirrored doors, doors to all bedrooms and bathroom.<br><br><strong>Master Bedroom</em> (17' 10'' x 8' 10'' (5.44m x 2.69m))</strong><br><br>Newly Redecorated, double glazed front aspect window, wood effect grey laminate flooring, gas radiator.<br><br><strong>Bedroom Two</em> (13' 11'' x 8' 5'' (4.24m x 2.56m))</strong><br><br>Dual double glazed rear aspect windows, wood effect laminate flooring, gas radiator.<br><br><strong>Bedroom Three</em> (10' 4'' x 6' 11'' (3.14m x 2.12m))</strong><br><br>Double glazed rear window, wood effect laminate flooring, gas radiator.<br><br><strong>Bathroom</em> (8' 11'' x 6' 2'' (2.73m x 1.89m))</strong><br><br>Newly redecorated, Double glazed front aspect windows, tiled walls and floor, heated towel rail, bath with rainfall shower, toilet with slate finish, sink with vanity unit, eye level mirrored cabinets and extractor fan.<br><br><strong>Garden</em> (32' 10'' (10m x m))</strong><br><br>Enclosed garden with built in tool shed and side access. Combination of sheltered patio and lawn area.<br><br><strong>Driveway</strong><br><br>Shrubs and foliage, driveway for one car and road parking in front.","['Newly refurbished', 'Modern kitchen/ diner', 'Large living room', 'Ground floor shower room', 'Three double bedrooms', 'Ample loft space', 'Enclosed garden with tool shed', 'Driveway', 'No chain', 'Highly recommended']",,3 bed terraced house for sale,51.449875,-0.424593,Just added
7,/for-sale/details/59119607/,Listed on 7th Jul 2021,Hounslow,2021-07-07,Harpers of Chiswick,020 3641 1721,True,"Rusthall Avenue, Central Chiswick W4",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 6, 'numBathrooms': 2, 'numLivingRooms': 2}",2300000.0,semi_detached,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-07 14:21:20', 'priceLabel': '£2,300,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2007-06-04', 'newBuild': False, 'price': 1260000, 'priceLabel': '£1,260,000', 'recentlySold': False}, 'priceChanges': None}","{'__typename': 'FloorArea', 'unitsLabel': 'sq. ft', 'value': 2232}",,"An exceptional six bedroom semi-detached family home that features a stunning kitchen/family room overlooking a private 48' lawned garden and newly built garage located within one of Chiswick's most desirable residential areas.<br><br>The accommodation comprises: Outer entrance hallway with double doors to spacious entrance hallway, 17'4 reception room with feature fireplace, guest cloakroom, 20'10 kitchen/family room with bi-folding doors overlooking garden with further potential for side return (subject to usual consents).<br><br>Stairs to First Floor<br>20'8 bedroom with private 20' terrace, 17'4 bedroom with feature bay window connecting to 11'11 dressing room<br>ursery/study and well appointed family bathroom with feature roll-top bath and separate shower cubicle.<br><br>Stairs to Second Floor<br>19'7 bedroom with attractive rooftop views, 12'6 bedroom, 10'10 bedroom, large storage/airing cupboard and well appointed family shower room.<br><br>Gardens &amp; Garage<br>The house enjoys a large decked patio area accessed directly from the kitchen/family room thus providing excellent inside/outside entertaining. Beyond the decking is a lawned garden with planted borders leading to a recently built 22'5 spacious single garage with electric roller door with direct access from Ramillies Road. The property also enjoys side access from the landscaped front garden.<br><br>Rusthall Avenue is located within an area of Chiswick known as Bedford Park Borders which is ideally situated for access to the amenities of central Chiswick including over sixty bars &amp; restaurants, extensive shopping on Chiswick High Road and Turnham Green Terrace and excellent transport connections into and out of town.<br><br>About chiswick.....<br><br>Chiswick is a hugely popular and prosperous large suburb of West London located on the northern side of the River Thames, 6 miles (9.7 km) west of Charing Cross.<br><br>Whilst retaining a wonderful village charm, Chiswick is a vibrant area brimming with the activity and opportunity typical of London.<br><br>Chiswick boasts a stunning range of property including elegant Georgian architecture, renowned Norman Shaw designed Bedford Park houses to quaint cottages in the Glebe Estate.<br><br>Chiswick High Road offers a fantastic range of bars, restaurants, supermarkets, an ever-expanding range of delis and boutiques.<br><br>About Harpers of Chiswick….<br><br>Bespoke property solutions, tailored to Chiswick clients seeking a different experience than that typically offered by generic high street estate and lettings agents.<br><br>What is the difference between Harpers of Chiswick and generic estate agents?<br>Customers expectations have moved on whilst most estate agents haven’t changed in fifty years. Harpers of Chiswick is a property consultancy and not just an estate agents. We deliver a multi-faceted ‘everything is possible’ approach to Chiswick residential property. We offer all the services that you would expect, but many more..”<br><br>We manage all the maintenance for your own home, not just the properties we let. We call it ‘Home Assist’.<br>We can feed your cat, put the bins out and open the curtains when you go on holiday. Your ‘Holiday Guardian’.<br>We can even hold a set of your house keys, just in case you lock yourself out! Fully licensed ‘Key Holding’.<br>Property Staging and Interior Design by our in-house team to maximise your investment.<br>Private Introductions for clients and customers in the public eye who seek ultimate discretion.<br><br>Even our fee structures are designed to favour our clients. “Your sense of value is more important to me than my dreams of a new Ducati.” Sales fees are tiered and linked to results, not old fashioned percentages that favour the agents pocket. Our lettings fees are charged monthly, not annually in advance, and you only pay us if your tenant pays the rent. Innovative terms for modern markets.”<br><br>We have no desire to be the largest. We consciously keep our portfolios compact so that we can successfully apply the time, high levels of detail and attention you require and deserve. Excellence for the few rather than a sausage factory for many.<br><br>Bespoke solutions, tailored to Chiswick clients seeking a different experience than that typically offered by generic high street estate and lettings agents.","['Five / Six Bedrooms', ""48' Lawned garden"", 'Garage with road access', '2232 Sq Ft | 207.3 Sq M', 'Semi-Detached', 'Highly Desirable Location', 'No Forward Purchase Chain', 'Recently Refurbished', ""Private 20'8 First Floor Terrace"", ""20'10 Kitchen | Family Room""]",,6 bed semi-detached house for sale,51.49702,-0.261558,Just added
8,/for-sale/details/59119487/,Listed on 7th Jul 2021,Hounslow,2021-07-07,Snellers - St Margarets,020 8892 8008,False,"London Road, Isleworth TW7",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 1, 'numLivingRooms': 1}",385000.0,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-07 14:11:55', 'priceLabel': '£385,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2014-09-30', 'newBuild': False, 'price': 295000, 'priceLabel': '£295,000', 'recentlySold': False}, 'priceChanges': None}",,leasehold,"A well presented, two bedroom fourth floor modern apartment set within this popular development on London Road.<br><br>London Road is conveniently located close to amenities, Isleworth mainline train station and Hounslow East tube station.","['Modern Development', 'Fourth Floor', 'Two Bedrooms', 'Balcony', 'Long Lease', 'Lift Access']",,2 bed flat for sale,51.472416,-0.347078,Just added
9,/for-sale/details/59119396/,Listed on 7th Jul 2021,Hounslow,2021-07-07,Whitman & Co,020 3463 0632,True,"Balfern Grove, London W4",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 5, 'numBathrooms': 2, 'numLivingRooms': 2}",1495000.0,terraced,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-07 14:02:21', 'priceLabel': '£1,495,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2006-04-28', 'newBuild': False, 'price': 625000, 'priceLabel': '£625,000', 'recentlySold': False}, 'priceChanges': None}","{'__typename': 'FloorArea', 'unitsLabel': 'sq. ft', 'value': 1852}",,"An immaculately presented fully extended period property located on this popular residential street within a short walk of Chiswick High Road and the River. The accommodation comprises five bedrooms, two bathrooms (one ensuite), double reception room, fully extended kitchen/breakfast room with bespoke kitchen, landscaped south facing garden, cloakroom and eaves storage. Balfern Grove is a quiet residential street with Homefield Park at the end of the road, the river 3-4 minutes walk away and Chiswick High Road's extensive facilities easily accessible. Transport links include Turnham Green and Stamford Brook stations, local bus routes and the A4/M4 for routes in and out of London. No chain.","['Immaculately presented period property', 'Fully extended', 'South facing garden', 'Five beds/two baths', 'Close to Chiswick High Road and the river', 'No chain']",,5 bed terraced house for sale,51.488815,-0.252284,Just added
