,Link,Listed,Borough,date_listed,agency_name,agency_phone,chain_free,address,isRetirementHome,isSharedOwnership,listingCondition,listingStatus,RoomCount,price,propertyType,isAuction,priceHistory,floorArea,tenure,detailedDescription,features,furnishedState,title,latitude,longitude,statusSummary
0,/new-homes/details/57581468/,Listed on 1st Jul 2021,Islington,2021-07-01,Knight Frank - City & East New Homes,020 3641 9979,True,"Apartment 9.02, The Arc, City Road, London EC1V",False,False,new,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 1, 'numBathrooms': 1, 'numLivingRooms': 1}",790000,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-01 15:37:57', 'priceLabel': '£790,000'}, 'lastSale': None, 'priceChanges': None}","{'__typename': 'FloorArea', 'unitsLabel': 'sq. ft', 'value': 538}",,"This unique one bedroom apartment is located on the 9th floor of The Arc in Shoreditch and measures 538 sq ft.<br><br>The Arc is a collection of 100 apartments, just five minutes' walk from Old Street station.<br><br>The interiors have been beautifully designed by the award-winning Bowler James Brindley and floor-to-ceiling windows mean the apartments are flooded with light.<br><br>Residents will benefit from an exclusive collection of amenities, making The Arc a perfect investment. Amenities include a landscaped 7th-floor terrace, yoga studio, cinema room, golf simulator, residents' lounge and a fitness suite.<br><br>Owing to our commitment to keeping both our colleagues and clients safe during this period of recommended isolation, we also have many virtual viewing options available to you. These include video walkthroughs, 360 virtual viewings and enhanced comprehensive photography.<br><br>*Please note that the CGIs used are for illustrative purposes only<br><br>Located in the heart of Tech City, The Arc is just a short walk to both Shoreditch and Islington. From Old Street station, Bank and King's Cross are just 3 minutes and 5 minutes away by tube, respectively.","['1 bedroom', '1 reception room', '1 bathroom', 'Leisure Facilities', 'Communal Garden', 'Gym', 'New Build', 'Town/City', 'Cinema Room']","{'__typename': 'Label', 'name': 'unfurnished', 'label': 'Unfurnished'}",1 bed flat for sale,51.528611,-0.092364,Just added
1,/for-sale/details/59062589/,Listed on 1st Jul 2021,Islington,2021-07-01,Nicola Lee Ltd,0330 038 7227,False,"Bunyan Court, Barbican, London EC2Y",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 1, 'numBathrooms': 1, 'numLivingRooms': 1}",750000,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-01 15:33:40', 'priceLabel': '£750,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2009-02-27', 'newBuild': False, 'price': 370000, 'priceLabel': '£370,000', 'recentlySold': False}, 'priceChanges': None}","{'__typename': 'FloorArea', 'unitsLabel': 'sq. ft', 'value': 715}",,"A spacious split level one bedroom apartment, located on the 2nd and 1st floors. Beautifully presented with newly refurbished kitchen and bathroom. South facing reception with full height/width windows/glass sliding door leading to a balcony with pretty views of Beech gardens, including the pond and fountain. Kitchen has a generous dining area. Bedroom has built in wardrobes. A lovely feature of the apartment a wood staircase leading down to the reception area. Underfloor heating included in the service charge. Lift. 24hr car park attendants can hold keys and receive packages. Car parking and bike storage by separate negotiation with the City of London. The Barbican Estate includes the Barbican Arts Centre, cinemas, art gallery, concert hall, restaurants, bars and cafes. Waitrose, Marks &amp; Spencer and Tesco’s are close at hand.<br>Service Charge: 31st March - 1st April 2021/2022 Estimated £3875. Lease: 125 years from July 1981.","['Spacious Split Level One Bedroom', '2nd and 1st Floors', 'Newly Refurbished Kitchen &amp; Bathroom', 'South Facing Reception', 'Pretty Views of Beech Gardens', 'Lifts']",,1 bed flat for sale,51.520962,-0.096624,Just added
2,/for-sale/details/59062367/,Listed on 1st Jul 2021,Islington,2021-07-01,Hotblack Desiato,020 8128 0510,False,"Highbury New Park, London N5",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 1, 'numLivingRooms': 1}",925000,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-01 15:19:24', 'priceLabel': '£925,000'}, 'lastSale': None, 'priceChanges': None}","{'__typename': 'FloorArea', 'unitsLabel': 'sq. ft', 'value': 1032}",,"<em>Full</em> <em>description</em> We are delighted to offer for sale this huge apartment in the heart of Highbury. Spanning over 1000 sq ft, this charming dwelling offers great accommodation with fantastic local attractions. To the quieter rear of the apartment are two good sized double bedrooms, a family bathroom is in the middle. The main selling point of the flat is the incredibly large reception and kitchen, spanning the whole width of the building. An unusually large building, this splendid conversion banks the Church on one side giving it a wonderfully light aspect.<br><br>The reception rooms overlook Highbury New Park, a wide tree lined avenue populated mainly with substantial Victorian architecture. This dwelling is presented to a tasteful and high standard throughout - and of note is the fact that this building was once the home of none other than Douglas Adams - with whom this firm has a well known association!<br><br>A lovely apartment, oozing character and timeless style.<br><br><em>Situation</em> <em>and</em> <em>tenure</em> St Augustine's path, on the other side of the church, leads almost directly through to the wide open space of Clissold Park, and then on through to the eclectic shops, restaurants and boutiques of Stoke Newington. Canonbury station, at one end of Highbury New Park gives great access to Shoreditch High St for the City on one side, and Brick Lane on the other.<br><br>A pleasant stroll across Highbury Fields transports you to Highbury &amp; Islington which has access to Victoria and Overground lines. Nearby Highbury Barn hosts perennial favourites Godfreys Butchers, Bournes Fishmongers, La Fromagerie and Da Mario's deli. Islington's trendy Upper Street is also within reach for even more shopping and dining options<br><br>This apartment enjoys a Share of the Freehold and the costs for the maintenance of the building are shared between the owners","['Lateral conversion', 'First floor apartment', 'Two bedrooms', 'Open plan living room/ kitchen', 'Bathroom', 'Permit parking']",,2 bed flat for sale,51.554599,-0.093021,Just added
3,/for-sale/details/59061288/,Listed on 1st Jul 2021,Islington,2021-07-01,Savills - Islington,020 8022 3213,False,"Liverpool Road, London N7",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 1, 'numBathrooms': 1, 'numLivingRooms': 1}",665000,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-01 14:05:45', 'priceLabel': '£665,000'}, 'lastSale': None, 'priceChanges': None}",,share_of_freehold,"Stunning one bedroom on Liverpool Road.<br><br><strong>Location</strong><br><br>Set in the St Mary Magdalene Conservation Area, this house makes up part of an elegant terrace of similar villa style houses on the east side of Liverpool Road. It is well placed for the many amenities on Upper Street and has excellent transport links including Highbury and Islington station (Victoria Line and Overground) and many bus routes. Angel Station (Northern Line) is also conveniently close by.<br><br><strong>Description</strong><br><br>Set within a Georgian conversion on the raised ground floor, this is a beautiful and extremely spacious one bedroom apartment.<br><br>Offering an abundance of modern and period features with high ceilings throughout, the property has a large reception and dining room, fully integrated kitchen, modern bathroom and a large principal bedroom with built-in custom wardrobes and large windows looking out on to a shared garden. There is a separate laundry room which also provides ample further storage.<br><br>Square Footage: 720 sq ft","['Reception', 'Kitchen', 'Bedroom', 'Bathroom', 'Storage room', 'Shared front garden', 'Set in a Georgian conversion', 'Original and period features', 'Bright and airy rooms', 'Located on a popular Islington Road']",,1 bed flat for sale,51.546001,-0.107968,Just added
4,/for-sale/details/59060967/,Listed on 1st Jul 2021,Islington,2021-07-01,Knight Frank - Islington Sales,020 8022 5643,False,"Canonbury Park North, London N1",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 1, 'numBathrooms': 1, 'numLivingRooms': 1}",585000,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-01 13:43:39', 'priceLabel': '£585,000'}, 'lastSale': None, 'priceChanges': None}","{'__typename': 'FloorArea', 'unitsLabel': 'sq. ft', 'value': 544}",,"Rarely available, this smart, well presented one bedroom garden flat offers almost 550 sq ft of accommodation and is arranged over the lower ground floor of an attractive Grade II listed late Georgian townhouse on one of Canonbury's most sought after streets.<br><br>Accommodation comprises a generous reception room with wooden floors, a modern open-plan kitchen and a large sash window with a pretty aspect on to the front courtyard.<br><br>The double bedroom is to the rear and has a pair of french doors opening to a small terrace together with an adjacent sleek contemporary bathroom.<br><br>There is an attractive paved courtyard garden to the front of the property, ideal for summer entertaining.<br><br>Please note, the lease has recently been extended and has 169 years remaining.<br><br>Canonbury Park North is an attractive residential street in the heart of leafy Canonbury running from Grange Grove to St Pauls Road. The nearest Underground station can be found at Highbury &amp; Islington (Victoria, Overground and Mainline services - 0.6 miles). Canonbury station (Overground - 0.2 miles) is also easily accessible. Islington's Upper Street with its fashionable shops, bars and restaurants is a short distance away (0.8 miles) and provides excellent bus connections to the City, the West End and beyond. Please note that all distances are approximate.","['1 bedroom', '1 reception room', '1 bathroom', 'Period', 'Garden flat', 'Courtyard Garden']","{'__typename': 'Label', 'name': 'unfurnished', 'label': 'Unfurnished'}",1 bed flat for sale,51.54665,-0.094218,Just added
5,/for-sale/details/59060915/,Listed on 1st Jul 2021,Islington,2021-07-01,Savills - Shoreditch,020 8022 3250,True,"City Approach, 190 City Road, London EC1V",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 2, 'numLivingRooms': 1}",750000,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-01 13:39:09', 'priceLabel': '£750,000'}, 'lastSale': None, 'priceChanges': None}",,leasehold,"Spacious two bedroom apartment just outside the City.<br><br><strong>Location</strong><br><br>Located at the Shoreditch end of City Road, The City Approach is perfectly positioned for those who want to be within easy reach of Old Street tube station and local amenities found in Shoreditch and Islington.<br><br>The development is also within walking distance of the shops, bars and restaurants that can be found in Angel, Hoxton, the City, Brick Lane and Clerkenwell.<br><br><strong>Description</strong><br><br>This expansive two bedroom apartment is within a beautiful mansion block on the edge of the City.<br><br>On the third floor of the building, the apartment has a floor space exceeding 1,000 square feet with two bedrooms, two bathrooms and an open plan lounge and kitchen.<br><br>There is ample storage space and the property has a bright and fresh feel throughout. The block was recently renovated and is a fantastic position to enjoy the delights of the City.<br><br>Square Footage: 1020 sq ft<br><br>Leasehold with approximately 976 years remaining","['Over 1,000 square feet', 'Two double bedrooms, two bathrooms', 'Close to Old Street tube &amp; overground station', 'Ample storage space', 'Renovated building', 'Offered chain free']",,2 bed flat for sale,51.527895,-0.091116,Just added
6,/for-sale/details/59060775/,Listed on 1st Jul 2021,Islington,2021-07-01,Keatons - Kentish Town,020 8033 5916,False,"Tufnell Park Road, Tufnell Park, London N7",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 1, 'numLivingRooms': 1}",600000,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-01 13:29:18', 'priceLabel': '£600,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2017-09-26', 'newBuild': False, 'price': 533000, 'priceLabel': '£533,000', 'recentlySold': False}, 'priceChanges': None}","{'__typename': 'FloorArea', 'unitsLabel': 'sq. ft', 'value': 789}",share_of_freehold,"A beautifully presented, split-level apartment, which occupies the top two floors, of this handsome semi-detached Victorian house. This bright apartment which consists of two bedrooms, a spacious open plan kitchen/reception, family bathroom, a useable loft space on the third floor, which is currently used as a home office/bedroom, approached via a spiral staircase from the reception and a private roof terrace offering a peaceful environment with picturesque garden views. Tufnell Park Road is well located for the vast amenities of Holloway Road, Tufnell Park and Kentish Town, with the open green spaces of Hampstead Heath only a short walk. Share of Freehold.","['Private Roof Terrace', 'Share of Freehold', 'Semi-Detached']",,2 bed flat for sale,51.558063,-0.126683,Just added
7,/for-sale/details/59058542/,Listed on 1st Jul 2021,Islington,2021-07-01,Strike,0113 482 9379,True,"Copenhagen Street, London N1",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 1, 'numBathrooms': 1, 'numLivingRooms': 1}",450000,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-01 11:01:51', 'priceLabel': '£450,000'}, 'lastSale': None, 'priceChanges': None}","{'__typename': 'FloorArea', 'unitsLabel': 'sq. ft', 'value': 441}",leasehold,"A newly decorated one bed flat with private garden in red brick mansion block in the heart of Barnsbury.<br><br>This charming ground floor flat is in a period red-brick mansion block just moments from vibrant Upper Street.<br><br>It boasts stripped wooden floors and has been recently redecorated thoughout.<br><br>The spacious lounge offers plenty of room for both a sofa and dining table for entertaining friends.<br><br>The private garden, which has direct access to the street, is accessed through double doors in the lounge and has been decked making it ideal for summer bbqs.<br><br>The fully fitted kitchen offers a washing machine, dishwasher, gas hob, oven, built in microwave and fridge freezer.<br><br>The bathroom has a full-sized bath with shower overhead.<br><br>This flat is perfectly located for the diverse array of shops, restaurants and bars on bustling Upper Street and Chapel Market.<br><br>It is also ideally located just 10 minutes walk to either King's Cross station or Angel tube station.<br><br>Offered chain free.","['Garden', 'Sought-after-location', 'Period-features-character']",,1 bed flat for sale,51.535927,-0.111589,Just added
8,/for-sale/details/59058414/,Listed on 1st Jul 2021,Islington,2021-07-01,Chestertons - Islington,020 8115 2463,False,"Lofting Road, Barnsbury, Islington, London N1",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 1, 'numLivingRooms': 1}",650000,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-01 10:49:42', 'priceLabel': '£650,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '1996-01-15', 'newBuild': False, 'price': 84000, 'priceLabel': '£84,000', 'recentlySold': False}, 'priceChanges': None}",,,"A spacious 2 double bedroom garden flat set on the ground floor of this centrally located low rise modern development, benefitting from a private patio garden and residents private off-street parking. Accommodation comprises 2 good size double bedrooms both with range of built-in wardrobes providing ample storage, spacious bathroom with 'his &amp; hers' sinks, 20ft open-plan kitchen/ dining/ reception room with double doors opening to the secluded and immensely private patio garden. The flat affords superb access to Angel Underground (Northern line) and to the transport at Highbury &amp; Islington station (National Rail &amp; Victoria Line), Caledonian road &amp; Barnsbury station (London Overground) as well as Caledonian road station (Piccadilly line Zone 2) with all the buzz and vibrancy of the amenities of Upper Street within easy reach. The celebrated Gastropubs the Duchess Of Kent, the Albion and the Drapers Arms can be found locally within Barnsbury, and the incredibly popular restaurant/café Sunday is situated just two streets away. The transport hub of Kings Cross/ St Pancras International and the new Kings Cross regeneration/development which includes Granary Square &amp; Coal Drops Yard with an array of eateries offering food from around the globe and boutique shops &amp; galleries also within close proximity.","['2 double bedroom garden flat', '20ft open-plan kitchen/ dining/ reception room', 'Private residents parking', 'Secluded 21ft patio garden', 'Superb central Islington location', 'Lease of over 900 years']",,2 bed flat for sale,51.541313,-0.108364,Just added
9,/for-sale/details/59058263/,Listed on 1st Jul 2021,Islington,2021-07-01,Chestertons - Islington,020 8115 2463,False,"Loxford Gardens, Highbury, London N5",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 1, 'numBathrooms': 1, 'numLivingRooms': 1}",525000,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-01 10:43:26', 'priceLabel': '£525,000'}, 'lastSale': None, 'priceChanges': None}",,leasehold,"A beautifully presented one double bedroom apartment situated in a secure modern development, moments from Highbury Barn. Accommodation is bright and well proportioned comprising; a spacious entrance hallway that features ample storage, family bathroom suite, double bedroom and a light filled open plan kitchen/reception room, which enjoys tranquil green views across the communal gardens. Loxford Gardens is a peaceful development which offers superb access to the community focal point of the renowned shops at Highbury Barn, which include Godfreys Butchers, La Fromagerie, Da'Mario Italian Delicatessen and the fishmongers. The options of green space are truly superb with Clissold Park nearby as well as amenities of Highbury Fields can be found on the walk to Highbury &amp; Islington station (National Rail &amp; Victoria Line), with further transport at Arsenal (Piccadilly Line) and Drayton Park station (National Rail).","['Spacious 1 double bedroom apartment', 'Beautifully presented', 'Tranquil views from the reception room', 'Secure modern development', 'Moments from Highbury Barn']",,1 bed flat for sale,51.557028,-0.099215,Just added
