,Link,Listed,Borough,date_listed,agency_name,agency_phone,chain_free,address,isRetirementHome,isSharedOwnership,listingCondition,listingStatus,RoomCount,price,propertyType,isAuction,priceHistory,floorArea,tenure,detailedDescription,features,furnishedState,title,latitude,longitude,statusSummary
0,/for-sale/details/59069942/,Listed on 2nd Jul 2021,Lewisham,2021-07-02,Yopa,01322 584475,False,"Stanstead Road, London SE23",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 1, 'numBathrooms': 1, 'numLivingRooms': 1}",325000.0,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-02 10:57:29', 'priceLabel': '£325,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2015-09-04', 'newBuild': False, 'price': 191007, 'priceLabel': '£191,007', 'recentlySold': False}, 'priceChanges': None}",,,"EPC band: C<br><br>An amazing sized one bedroom flat situated on the ground floor of a beautifully converted building. The property consists of a brilliant sized lounge perfect for entertaining guests, a great sized double bedroom with built in wardrobe space, separate bathroom and a neutrally decorated kitchen with plenty of storage.<br><br>This home further benefits from outside communal space which is perfect for the coming summer days and off street parking, with a dedicated parking space attached to the flat.<br><br>This flat is located moments away from Forest Hill station with links into London Bridge, Canada Water, Shoreditch, Whitechapel, Highbury &amp; Islington and many other locations.<br><br>Other stations surrounding include Honor Oak Park Station and Catford stations that offer links into Waterloo and the city. The high street offers plenty of shops, a variety of restaurants, coffee shops, cafes, some amazing gastro pubs, as well as multiple parks and greenery to explore. This property is a must view, please call to confirm your viewing slot now.","['Converted building', 'One double bedroom', 'Great transport links', 'Communal outside space', 'Off street parking']",,1 bed flat for sale,51.442229,-0.048355,Just added
1,/new-homes/details/59069890/,Listed on 2nd Jul 2021,Lewisham,2021-07-02,Bellway - Maybrey Works,020 8033 2878,True,"Worsley Bridge Road, Sydenham SE26",False,False,new,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 3, 'numBathrooms': 2, 'numLivingRooms': None}",560000.0,flat,False,,"{'__typename': 'FloorArea', 'unitsLabel': 'sq. ft', 'value': 926}",leasehold,"These 3 bedroom apartments are in high demand and not to be missed! Complete with an open plan living, kitchen and dining room, of which provides access to the balcony with enviable views, two double bedrooms with bedroom 1 benefiting from an en suite, an additional single bedroom and a contemporary family bathroom.<br>These homes come with allocated parking.<br><br><strong>Kitchen, living and dining area: </strong>6.752m x 5.098m (22'2"" x 16'9"")<br><strong>Bedroom 1: </strong>5.013m x 2.750m (16'5"" x 9'0"")<br><strong>Bedroom 2:</strong> 3.463m x 3.399m (11'4"" x 11'2"")<br><strong>Bedroom 3:</strong> 3.463m x 2.597m (11'4"" x 8'6"")<br><br>Plot 107 - First Floor - <strong>£560,000</strong><br>Plot 207 - Second Floor - <strong>£563,000</strong><br>Plot 307 - Third Floor - <strong>£567,000</strong><br>Plot 407 - Fourth Floor - <strong>£570,500</strong><br><br>Maybrey Works is a brand new development of 1,2 and 3 bedroom apartments in Sydenham. Wheelchair adaptable units are available and all residents' can benefit from the on-site facilities including a gym, concierge and podium gardens. Plus, all homes come with allocated parking.<br><br>All of the homes at this new development are completed to a high quality and modern specification, with many benefiting from balcony space and water views.<br><br>You'll be perfectly located for leisure and travel, close to local amenities and just a few minutes walk to the nearest station for travel into central London and The City.<br><br>Contact us today for your personal appointment.<br><br><strong>Opening times</strong><br>Monday: 10:00 - 17:00<br>Tuesday: 10:00 - 17:00<br>Wednesday: 10:00 - 17:00<br>Thursday: 10:00 - 17:00<br>Friday: 10:00 - 17:00<br>Saturday: 10:00 - 17:00<br>Sunday: 10:00 - 17:00<br><br>*Images in this listing are indicative only<br>^All offers apply to specific plots and selected developments only. Terms and conditions apply. Contact your Bellway sales advisor to find out more or see terms and conditions on our Bellway website. Express Mover and Part Exchange scheme offers are subject to status, availability and eligibility. Bellway reserve the right to refuse a Part Exchange. Any promoted offer is subject to contract.<br>^^Help to Buy is available on selected developments and plots only - speak to your Bellway sales advisor to find out where this applies. Help to Buy operates under terms and conditions imposed by the hca and may be subject to change. Help to Buy can not be used in conjunction with any other offers. Please visit for further information.","['Help To Buy available - Only 5% deposit!', 'Private balcony to enjoy your own outdoor space', 'Enviable views', 'Open plan living, kitchen and dining - perfect for socialising', 'Selection of integrated kitchen appliances', 'En suite to bedroom 1', '2 min walk to Lower Sydenham station', 'Allocated parking', 'On-site workhub, ideal for that work-from-home lifestyle']",,3 bed flat for sale,51.423785,-0.031679,Just added
2,/new-homes/details/59069841/,Listed on 2nd Jul 2021,Lewisham,2021-07-02,Bellway - Maybrey Works,020 8033 2878,True,"Worsley Bridge Road, Sydenham SE26",False,False,new,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 2, 'numLivingRooms': None}",495000.0,flat,False,,"{'__typename': 'FloorArea', 'unitsLabel': 'sq. ft', 'value': 786}",leasehold,"Type e-01 is a two bedroom apartment located in Warmsley Apartments. These apartments come complete with an open plan living, kitchen and dining room, two double bedrooms with bedroom 1 boasting an en suite, and a modern family bathroom. You'll also find a private balcony with stunning views, accessible from the living space.<br>These homes come with allocated parking.<br><br><strong>Kitchen, living and dining area: </strong>6.607m x 4.674m (21'8"" x 15'4"")<br><strong>Bedroom 1: </strong>4.663m x 3.584m (15'4"" x 11'9"")<br><strong>Bedroom 2:</strong> 4.663m x 2.832m (15'4"" x 9'3"")<br><br>Plot 106 - First Floor - <strong>£495,000</strong><br>Plot 306 - Third Floor - <strong>£501,000</strong><br>Plot 406 - Fourth Floor - <strong>£504,000</strong><br>Plot 506 - Fifth Floor - <strong>£510,000</strong><br><br>Maybrey Works is a brand new development of 1,2 and 3 bedroom apartments in Sydenham. Wheelchair adaptable units are available and all residents' can benefit from the on-site facilities including a gym, concierge and podium gardens. Plus, all homes come with allocated parking.<br><br>All of the homes at this new development are completed to a high quality and modern specification, with many benefiting from balcony space and water views.<br><br>You'll be perfectly located for leisure and travel, close to local amenities and just a few minutes walk to the nearest station for travel into central London and The City.<br><br>Contact us today for your personal appointment.<br><br><strong>Opening times</strong><br>Monday: 10:00 - 17:00<br>Tuesday: 10:00 - 17:00<br>Wednesday: 10:00 - 17:00<br>Thursday: 10:00 - 17:00<br>Friday: 10:00 - 17:00<br>Saturday: 10:00 - 17:00<br>Sunday: 10:00 - 17:00<br><br>*Images in this listing are indicative only<br>^All offers apply to specific plots and selected developments only. Terms and conditions apply. Contact your Bellway sales advisor to find out more or see terms and conditions on our Bellway website. Express Mover and Part Exchange scheme offers are subject to status, availability and eligibility. Bellway reserve the right to refuse a Part Exchange. Any promoted offer is subject to contract.<br>^^Help to Buy is available on selected developments and plots only - speak to your Bellway sales advisor to find out where this applies. Help to Buy operates under terms and conditions imposed by the hca and may be subject to change. Help to Buy can not be used in conjunction with any other offers. Please visit for further information.","['Help To Buy available - Only 5% deposit!', 'Private balcony to enjoy your own outdoor space', 'Enviable views', 'Open plan living, kitchen and dining - perfect for socialising', 'Selection of integrated kitchen appliances', 'En suite to bedroom 1', '2 min walk to Lower Sydenham station', 'Allocated parking', 'On-site workhub, ideal for that work-from-home lifestyle']",,2 bed flat for sale,51.423785,-0.031679,Just added
3,/new-homes/details/59069792/,Listed on 2nd Jul 2021,Lewisham,2021-07-02,Bellway - Maybrey Works,020 8033 2878,True,"Worsley Bridge Road, Sydenham SE26",False,False,new,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 3, 'numBathrooms': 2, 'numLivingRooms': None}",550000.0,flat,False,,"{'__typename': 'FloorArea', 'unitsLabel': 'sq. ft', 'value': 936}",leasehold,"Type d-03 is a three bedroom apartment which features an open plan living, kitchen and dining room, two double bedrooms and a single bedroom, plus a modern family bathroom. Bedroom 1 benefits from an en suite shower room, whilst bedroom 2 provides access to the private balcony, also accessible from the living space and boasting pool river and green space views.<br><br><strong>Kitchen, living and dining area: </strong>6.096m x 5.620m (20'0"" x 18'5"")<br><strong>Bedroom 1: </strong>4.120m x 2.845m (13'6"" x 9'4"")<br><strong>Bedroom 2: </strong>4.015m x 2.883m (13'2"" x 9'6"")<br><strong>Bedroom 3: </strong>4.120m x 2.150m (13'6"" x 7'1"")<br><br>Plot 103 - First Floor - <strong>£550,000</strong><br>Plot 203 - Second Floor - <strong>£553,000</strong><br>Plot 303 - Third Floor - <strong>£557,000</strong><br>Plot 403 - Fourth Floor - <strong>£560,500</strong><br>Plot 503 - Fifth Floor - <strong>£564,000</strong><br>Plot 603 - Sixth Floor - <strong>£571,000</strong><br><br>Maybrey Works is a brand new development of 1,2 and 3 bedroom apartments in Sydenham. Wheelchair adaptable units are available and all residents' can benefit from the on-site facilities including a gym, concierge and podium gardens. Plus, all homes come with allocated parking.<br><br>All of the homes at this new development are completed to a high quality and modern specification, with many benefiting from balcony space and water views.<br><br>You'll be perfectly located for leisure and travel, close to local amenities and just a few minutes walk to the nearest station for travel into central London and The City.<br><br><strong><u>This Sales Centre is open by appointment only</strong></u><br>We are currently open on an appointment only basis to help you visit our development safely whilst avoiding contact with other visitors.<br><br><strong>Opening times</strong><br>Monday: 10:00 - 17:00<br>Tuesday: 10:00 - 17:00<br>Wednesday: 10:00 - 17:00<br>Thursday: 10:00 - 17:00<br>Friday: 10:00 - 17:00<br>Saturday: 10:00 - 17:00<br>Sunday: 10:00 - 17:00<br><br>*Images in this listing are indicative only<br>^All offers apply to specific plots and selected developments only. Terms and conditions apply. Contact your Bellway sales advisor to find out more or see terms and conditions on our Bellway website. Express Mover and Part Exchange scheme offers are subject to status, availability and eligibility. Bellway reserve the right to refuse a Part Exchange. Any promoted offer is subject to contract.<br>^^Help to Buy is available on selected developments and plots only - speak to your Bellway sales advisor to find out where this applies. Help to Buy operates under terms and conditions imposed by the hca and may be subject to change. Help to Buy can not be used in conjunction with any other offers. Please visit for further information.","['Only a few 3 bedroom apartments remaining!', '2 min walk to Lower Sydenham station', 'On-site gym, concierge and podium gardens', 'On-site workhub, ideal for that work-from-home lifestyle', 'Allocated parking', 'Private balcony', 'En suite to bedroom 1', 'Open-plan kitchen, living, dining area, ideal for socialising', 'Help To Buy available - Only 5% deposit!']",,3 bed flat for sale,51.423785,-0.031679,Just added
4,/new-homes/details/59069751/,Listed on 2nd Jul 2021,Lewisham,2021-07-02,Bellway - Maybrey Works,020 8033 2878,True,"Worsley Bridge Road, Sydenham SE26",False,False,new,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 2, 'numLivingRooms': None}",493000.0,flat,False,,"{'__typename': 'FloorArea', 'unitsLabel': 'sq. ft', 'value': 775}",leasehold,"Type d-02 is a two bedroom apartment, boasting over 770 sq.m of internal space. Inside you will find an open plan living, kitchen and dining room, of which provides access to the balcony, two double bedrooms with an en suite to bedroom 1 and a modern family bathroom.<br>These homes also come with allocated parking.<br><br><strong>Kitchen, living and dining area: </strong>5.315m x 4.570m (17'5"" x 15'0"")<br><strong>Bedroom 1: </strong>5.078m x 3.528m (16'8"" x 11'7"")<br><strong>Bedroom 2:</strong>5.325m x 2.750m (17'6"" x 9'0"")<br><br>Plot 102 - First Floor - <strong>£493,000</strong><br>Plot 202 - Second Floor - <strong>£496,000</strong><br>Plot 302 - Third Floor - <strong>£499,000</strong><br>Plot 402 - Fourth Floor - <strong>£502,000</strong><br>Plot 502 - Fifth Floor - <strong>£505,000</strong><br>Plot 602 - Sixth Floor - <strong>£511,000</strong><br><br>Maybrey Works is a brand new development of 1,2 and 3 bedroom apartments in Sydenham. Wheelchair adaptable units are available and all residents' can benefit from the on-site facilities including a gym, concierge and podium gardens. Plus, all homes come with allocated parking.<br><br>All of the homes at this new development are completed to a high quality and modern specification, with many benefiting from balcony space and water views.<br><br>You'll be perfectly located for leisure and travel, close to local amenities and just a few minutes walk to the nearest station for travel into central London and The City.<br><br>Contact us today for your personal appointment.<br><br><strong>Opening times</strong><br>Monday: 10:00 - 17:00<br>Tuesday: 10:00 - 17:00<br>Wednesday: 10:00 - 17:00<br>Thursday: 10:00 - 17:00<br>Friday: 10:00 - 17:00<br>Saturday: 10:00 - 17:00<br>Sunday: 10:00 - 17:00<br><br>*Images in this listing are indicative only<br>^All offers apply to specific plots and selected developments only. Terms and conditions apply. Contact your Bellway sales advisor to find out more or see terms and conditions on our Bellway website. Express Mover and Part Exchange scheme offers are subject to status, availability and eligibility. Bellway reserve the right to refuse a Part Exchange. Any promoted offer is subject to contract.<br>^^Help to Buy is available on selected developments and plots only - speak to your Bellway sales advisor to find out where this applies. Help to Buy operates under terms and conditions imposed by the hca and may be subject to change. Help to Buy can not be used in conjunction with any other offers. Please visit for further information.","['2 min walk to Lower Sydenham station', 'On-site workhub - perfect for that work from home lifestyle', 'On-site gym, concierge and podium gardens', 'Help to Buy available for first time buyers!', 'Allocated parking', 'Private balcony', 'Modern interior - no need to decorate', 'Selection of integrated kitchen appliances', 'Open-plan kitchen, living, dining area, ideal for socialising']",,2 bed flat for sale,51.423785,-0.031679,Just added
5,/new-homes/details/59069718/,Listed on 2nd Jul 2021,Lewisham,2021-07-02,Bellway - Maybrey Works,020 8033 2878,True,"Worsley Bridge Road, Sydenham SE26",False,False,new,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 2, 'numLivingRooms': None}",456000.0,flat,False,,"{'__typename': 'FloorArea', 'unitsLabel': 'sq. ft', 'value': 549}",leasehold,"Type c-10 is a two bedroom apartment which features an open plan living, kitchen and dining space, two double bedrooms with bedroom 1 benefiting from a fitted wardrobe and a modern family bathroom. Plus all homes benefit from a balcony, accessible from the living space.<br>These homes come with allocated parking.<br><br><strong>Kitchen, living and dining area: </strong>6.763m x 4.298m (22'2"" x 14'1"")<br><strong>Bedroom 1: </strong>4.463m x 3.231m (14'8"" x 10'7"")<br><strong>Bedroom 2:</strong>3.643m x 3.067m (11'11"" x 10'1"")<br><br>Plot 116 - First Floor - <strong>£456,000</strong><br>Plot 117 - First Floor - <strong>£456,000</strong><br>Plot 216 - Second Floor - <strong>£459,000</strong><br>Plot 217 - Second Floor - <strong>£459,000</strong><br>Plot 316 - Third Floor - <strong>£462,000</strong><br>Plot 317 - Third Floor - <strong>£462,000</strong><br>Plot 416 - Fourth Floor - <strong>£465,000</strong><br>Plot 417 - Fourth Floor - <strong>£465,000</strong><br>Plot 515 - Fifth Floor - <strong>£468,000</strong><br>Plot 516 - Fifth Floor - <strong>£468,000</strong><br>Plot 616 - Sixth Floor - <strong>£474,000</strong><br>Plot 617 - Sixth Floor - <strong>£474,000</strong><br><br>Maybrey Works is a brand new development of 1,2 and 3 bedroom apartments in Sydenham. Wheelchair adaptable units are available and all residents' can benefit from the on-site facilities including a gym, concierge and podium gardens. Plus, all homes come with allocated parking.<br><br>All of the homes at this new development are completed to a high quality and modern specification, with many benefiting from balcony space and water views.<br><br>You'll be perfectly located for leisure and travel, close to local amenities and just a few minutes walk to the nearest station for travel into central London and The City.<br><br><strong><u>This Sales Centre is open by appointment only</strong></u><br>We are currently open on an appointment only basis to help you visit our development safely whilst avoiding contact with other visitors.<br><br><strong>Opening times</strong><br>Monday: 10:00 - 17:00<br>Tuesday: 10:00 - 17:00<br>Wednesday: 10:00 - 17:00<br>Thursday: 10:00 - 17:00<br>Friday: 10:00 - 17:00<br>Saturday: 10:00 - 17:00<br>Sunday: 10:00 - 17:00<br><br>*Images in this listing are indicative only<br>^All offers apply to specific plots and selected developments only. Terms and conditions apply. Contact your Bellway sales advisor to find out more or see terms and conditions on our Bellway website. Express Mover and Part Exchange scheme offers are subject to status, availability and eligibility. Bellway reserve the right to refuse a Part Exchange. Any promoted offer is subject to contract.<br>^^Help to Buy is available on selected developments and plots only - speak to your Bellway sales advisor to find out where this applies. Help to Buy operates under terms and conditions imposed by the hca and may be subject to change. Help to Buy can not be used in conjunction with any other offers. Please visit for further information.","['2 min walk to Lower Sydenham station', 'On-site workhub - perfect for that work from home lifestyle', 'On-site gym, concierge and podium gardens', 'Help to Buy available for first time buyers!', 'Allocated parking', 'Private balcony', 'Modern interior - no need to decorate', 'Selection of integrated kitchen appliances', 'Open-plan kitchen, living, dining area, ideal for socialising']",,2 bed flat for sale,51.423785,-0.031679,Just added
6,/new-homes/details/59069712/,Listed on 2nd Jul 2021,Lewisham,2021-07-02,Bellway - Maybrey Works,020 8033 2878,True,"Worsley Bridge Road, Sydenham SE26",False,False,new,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 1, 'numBathrooms': 1, 'numLivingRooms': None}",354500.0,flat,False,,"{'__typename': 'FloorArea', 'unitsLabel': 'sq. ft', 'value': 538}",leasehold,"Type c-09 is a one bedroom apartment which features an open plan living, kitchen and dining room, of which provides access to the balcony, a double bedroom with fitted wardrobe and a modern bathroom.<br>These homes come with allocated parking.<br><br><strong>Kitchen, living and dining area: </strong>6.903m x 3.966m (22'8"" x 13'0"")<br><strong>Bedroom: </strong>4.603m x 3.220m (15'1"" x 10'7"")<br><br>Plot 111 - First Floor - <strong>£354,500</strong><br>Plot 211 - Second Floor - <strong>£357,000</strong><br>Plot 311 - Third Floor - <strong>£359,500</strong><br>Plot 411 - Fourth Floor - <strong>£362,000</strong><br>Plot 524 - Fifth Floor - <strong>£364,500</strong><br>Plot 611 - Sixth Floor - <strong>£369,500</strong><br><br>Maybrey Works is a brand new development of 1,2 and 3 bedroom apartments in Sydenham. Wheelchair adaptable units are available and all residents' can benefit from the on-site facilities including a gym, concierge and podium gardens. Plus, all homes come with allocated parking.<br><br>All of the homes at this new development are completed to a high quality and modern specification, with many benefiting from balcony space and water views.<br><br>You'll be perfectly located for leisure and travel, close to local amenities and just a few minutes walk to the nearest station for travel into central London and The City.<br><br>Contact us today for your personal appointment.<br><br><strong>Opening times</strong><br>Monday: 10:00 - 17:00<br>Tuesday: 10:00 - 17:00<br>Wednesday: 10:00 - 17:00<br>Thursday: 10:00 - 17:00<br>Friday: 10:00 - 17:00<br>Saturday: 10:00 - 17:00<br>Sunday: 10:00 - 17:00<br><br>*Images in this listing are indicative only<br>^All offers apply to specific plots and selected developments only. Terms and conditions apply. Contact your Bellway sales advisor to find out more or see terms and conditions on our Bellway website. Express Mover and Part Exchange scheme offers are subject to status, availability and eligibility. Bellway reserve the right to refuse a Part Exchange. Any promoted offer is subject to contract.<br>^^Help to Buy is available on selected developments and plots only - speak to your Bellway sales advisor to find out where this applies. Help to Buy operates under terms and conditions imposed by the hca and may be subject to change. Help to Buy can not be used in conjunction with any other offers. Please visit for further information.","['Allocated parking', 'On-site gym, concierge and podium gardens', 'On-site workhub, ideal for that work-from-home lifestyle', 'Help to Buy available for first time buyers!', 'Private balcony', '2 min walk to Lower Sydenham station', 'Open-plan kitchen, living, dining area, ideal for socialising', 'Selection of integrated kitchen appliances', 'Chain free for an easy move']",,1 bed flat for sale,51.423785,-0.031679,Just added
7,/new-homes/details/59069651/,Listed on 2nd Jul 2021,Lewisham,2021-07-02,Bellway - Maybrey Works,020 8033 2878,True,"Worsley Bridge Road, Sydenham SE26",False,False,new,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 1, 'numBathrooms': 1, 'numLivingRooms': None}",361000.0,flat,False,,"{'__typename': 'FloorArea', 'unitsLabel': 'sq. ft', 'value': 592}",leasehold,"<strong><u>Home of the Month Offers</u></strong><br>Plot 619 - Type c-08<br><br>Reserve in July and receive:<br><br>* <strong>First time buyer stamp duty paid</strong><br><br>Contact our sales advisor for further details on this offer.<br><br>These apartments benefit from a spacious open plan living, kitchen and dining space, double bedroom with fitted wardrobe and a well equipped bathroom. Plot 119 benefits from a terrace space whilst plots 219,319,419,518 and 619 boast a balcony space.<br>These homes come with allocated parking.<br><br><strong>Kitchen, living and dining area: </strong>6.893m x 4.122m (22'7"" x 13'6"")<br><strong>Bedroom: </strong>4.603m x 3.138m (15'1"" x 10'4"")<br><br>Plot 119 - First Floor - <strong>£361,000</strong><br>Plot 319 - Third Floor - <strong>£366,000</strong><br>Plot 419 - Fourth Floor - <strong>£372,500</strong><br>Plot 518 - Fifth Floor - <strong>£371,000</strong><br>Plot 619 - Sixth Floor - <strong>£376,000</strong><br><br>Maybrey Works is a brand new development of 1,2 and 3 bedroom apartments in Sydenham. Wheelchair adaptable units are available and all residents' can benefit from the on-site facilities including a gym, concierge and podium gardens. Plus, all homes come with allocated parking.<br><br>All of the homes at this new development are completed to a high quality and modern specification, with many benefiting from balcony space and water views.<br><br>You'll be perfectly located for leisure and travel, close to local amenities and just a few minutes walk to the nearest station for travel into central London and The City.<br><br><strong><u>This Sales Centre is open by appointment only</strong></u><br>We are currently open on an appointment only basis to help you visit our development safely whilst avoiding contact with other visitors.<br><br><strong>Opening times</strong><br>Monday: 10:00 - 17:00<br>Tuesday: 10:00 - 17:00<br>Wednesday: 10:00 - 17:00<br>Thursday: 10:00 - 17:00<br>Friday: 10:00 - 17:00<br>Saturday: 10:00 - 17:00<br>Sunday: 10:00 - 17:00<br><br>*Images in this listing are indicative only<br>^All offers apply to specific plots and selected developments only. Terms and conditions apply. Contact your Bellway sales advisor to find out more or see terms and conditions on our Bellway website. Express Mover and Part Exchange scheme offers are subject to status, availability and eligibility. Bellway reserve the right to refuse a Part Exchange. Any promoted offer is subject to contract.<br>^^Help to Buy is available on selected developments and plots only - speak to your Bellway sales advisor to find out where this applies. Help to Buy operates under terms and conditions imposed by the hca and may be subject to change. Help to Buy can not be used in conjunction with any other offers. Please visit for further information.","['Help To Buy available - Only 5% deposit!', '2 min walk to Lower Sydenham station', 'On-site gym, concierge and podium gardens', 'On-site workhub, ideal for that work-from-home lifestyle', 'Allocated parking', 'Private balcony or terrace space', 'Modern interior - no need to decorate', 'Open-plan kitchen, living, dining area, ideal for socialising', 'Selection of integrated kitchen appliances']",,1 bed flat for sale,51.423785,-0.031679,Just added
8,/new-homes/details/59069617/,Listed on 2nd Jul 2021,Lewisham,2021-07-02,Bellway - Maybrey Works,020 8033 2878,True,"Worsley Bridge Road, Sydenham SE26",False,False,new,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 2, 'numLivingRooms': None}",461000.0,flat,False,,"{'__typename': 'FloorArea', 'unitsLabel': 'sq. ft', 'value': 764}",leasehold,"These two bedroom apartments boast a modern, open plan living, kitchen and dining room with access to the balcony, two double bedrooms with bedroom 1 benefiting from an en suite and fitted wardrobe, and a well-equipped family bathroom.<br>These homes come with allocated parking.<br><br><strong>Kitchen, living and dining area: </strong>6.743m x 3.890m (22'1"" x 12'9"")<br><strong>Bedroom 1: </strong>4.613m x 3.435m (15'2"" x 11'3"")<br><strong>Bedroom 2:</strong> 3.663m x 3.147m (12'0"" x 10'4"")<br><br>Plot 118 - First Floor - <strong>£461,000</strong><br>Plot 218 - Second Floor - <strong>£464,000</strong><br>Plot 318 - Third Floor - <strong>£468,000</strong><br>Plot 418 - Fourth Floor - <strong>£470,000</strong><br>Plot 517 - Fifth Floor - <strong>£473,000</strong><br><br>Maybrey Works is a brand new development of 1,2 and 3 bedroom apartments in Sydenham. Wheelchair adaptable units are available and all residents' can benefit from the on-site facilities including a gym, concierge and podium gardens. Plus, all homes come with allocated parking.<br><br>All of the homes at this new development are completed to a high quality and modern specification, with many benefiting from balcony space and water views.<br><br>You'll be perfectly located for leisure and travel, close to local amenities and just a few minutes walk to the nearest station for travel into central London and The City.<br><br><strong><u>This Sales Centre is open by appointment only</strong></u><br>We are currently open on an appointment only basis to help you visit our development safely whilst avoiding contact with other visitors.<br><br><strong>Opening times</strong><br>Monday: 10:00 - 17:00<br>Tuesday: 10:00 - 17:00<br>Wednesday: 10:00 - 17:00<br>Thursday: 10:00 - 17:00<br>Friday: 10:00 - 17:00<br>Saturday: 10:00 - 17:00<br>Sunday: 10:00 - 17:00<br><br>*Images in this listing are indicative only<br>^All offers apply to specific plots and selected developments only. Terms and conditions apply. Contact your Bellway sales advisor to find out more or see terms and conditions on our Bellway website. Express Mover and Part Exchange scheme offers are subject to status, availability and eligibility. Bellway reserve the right to refuse a Part Exchange. Any promoted offer is subject to contract.<br>^^Help to Buy is available on selected developments and plots only - speak to your Bellway sales advisor to find out where this applies. Help to Buy operates under terms and conditions imposed by the hca and may be subject to change. Help to Buy can not be used in conjunction with any other offers. Please visit for further information.","['Help To Buy available - Only 5% deposit!', 'On-site gym, concierge and podium gardens', 'On-site workhub, ideal for that work-from-home lifestyle', 'Allocated parking', '2 min walk to Lower Sydenham station', 'Private balcony', 'En suite to bedroom 1', 'Open-plan kitchen, living, dining area, ideal for socialising', 'Selection of integrated kitchen appliances']",,2 bed flat for sale,51.423785,-0.031679,Just added
9,/new-homes/details/59069614/,Listed on 2nd Jul 2021,Lewisham,2021-07-02,Bellway - Maybrey Works,020 8033 2878,True,"Worsley Bridge Road, Sydenham SE26",False,False,new,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 1, 'numBathrooms': 1, 'numLivingRooms': None}",353500.0,flat,False,,"{'__typename': 'FloorArea', 'unitsLabel': 'sq. ft', 'value': 549}",leasehold,"Type c-02 is a one bedroom apartment which features an open plan living, kitchen and dining room, of which provides access to the balcony, a double bedroom with fitted wardrobe and a modern bathroom.<br>These homes come with allocated parking.<br><br><strong>Kitchen, living and dining area: </strong>6.903m x 4.122m (22'8"" x 13'6"")<br><strong>Bedroom: </strong>4.603m x 3.173m (15'1"" x 10'5"")<br><br>Plot 213 - Second Floor - <strong>£353,500</strong><br>Plot 313 - Third Floor - <strong>£356,000</strong><br>Plot 413 - Fourth Floor - <strong>£358,500</strong><br>Plot 512 - Fifth Floor - <strong>£361,000</strong><br><br>Maybrey Works is a brand new development of 1,2 and 3 bedroom apartments in Sydenham. Wheelchair adaptable units are available and all residents' can benefit from the on-site facilities including a gym, concierge and podium gardens. Plus, all homes come with allocated parking.<br><br>All of the homes at this new development are completed to a high quality and modern specification, with many benefiting from balcony space and water views.<br><br>You'll be perfectly located for leisure and travel, close to local amenities and just a few minutes walk to the nearest station for travel into central London and The City.<br><br>Contact us today for your personal appointment.<br><br><strong>Opening times</strong><br>Monday: 10:00 - 17:00<br>Tuesday: 10:00 - 17:00<br>Wednesday: 10:00 - 17:00<br>Thursday: 10:00 - 17:00<br>Friday: 10:00 - 17:00<br>Saturday: 10:00 - 17:00<br>Sunday: 10:00 - 17:00<br><br>*Images in this listing are indicative only<br>^All offers apply to specific plots and selected developments only. Terms and conditions apply. Contact your Bellway sales advisor to find out more or see terms and conditions on our Bellway website. Express Mover and Part Exchange scheme offers are subject to status, availability and eligibility. Bellway reserve the right to refuse a Part Exchange. Any promoted offer is subject to contract.<br>^^Help to Buy is available on selected developments and plots only - speak to your Bellway sales advisor to find out where this applies. Help to Buy operates under terms and conditions imposed by the hca and may be subject to change. Help to Buy can not be used in conjunction with any other offers. Please visit for further information.","['On-site workhub, ideal for that work-from-home lifestyle', 'On-site gym, concierge and podium gardens', 'Allocated parking', '2 min walk to Lower Sydenham station (14 mins into London Bridge)', 'Help to Buy available for first time buyers!', 'Open-plan kitchen, living, dining area, ideal for socialising', 'Modern interior - no need to decorate', 'Selection of integrated kitchen appliances', 'Private balcony']",,1 bed flat for sale,51.423785,-0.031679,Just added
