,Link,Listed,Borough,date_listed,agency_name,agency_phone,chain_free,address,isRetirementHome,isSharedOwnership,listingCondition,listingStatus,RoomCount,price,propertyType,isAuction,priceHistory,floorArea,tenure,detailedDescription,features,furnishedState,title,latitude,longitude,statusSummary
0,/for-sale/details/59143988/,Listed on 9th Jul 2021,Richmond upon Thames,2021-07-09,"Chase Buchanan, St Margarets",020 3463 9306,False,"Dorchester Mews, Twickenham TW1",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 3, 'numBathrooms': 2, 'numLivingRooms': 2}",1050000.0,terraced,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-09 13:16:02', 'priceLabel': '£1,050,000'}, 'lastSale': None, 'priceChanges': None}",,,"A lovely three bedroom house, situated in this highly sought-after gated development close to Marble Hill Park, the house benefits from allocated off-street covered parking and a garage.<br><br>Dorchester Mews is situated off Sandycoombe Road, being within a minutes’ walk of Marble Hill Park, with St Margarets Village and Richmond town centre both within a short walk.<br><br>Properties in this private estate rarely come to the open market and as such, an early viewing is highly recommended by the vendor’s sole agents, Chase Buchanan.<br><br><strong>Bedroom</strong>","['Highly sought-after gated development', 'Three bedrooms', 'Two bathrooms', 'South facing garden', 'Allocated off-street covered parking', 'Garage', 'Close to Marble Hill Park']",,3 bed terraced house for sale,51.453041,-0.314739,Just added
1,/for-sale/details/59143545/,Listed on 9th Jul 2021,Richmond upon Thames,2021-07-09,Fine & Country - Richmond,020 3641 1527,False,"Mortlake Road, Kew TW9",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 5, 'numBathrooms': 5, 'numLivingRooms': 2}",2950000.0,detached,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-09 12:36:15', 'priceLabel': '£2,950,000'}, 'lastSale': None, 'priceChanges': None}",,freehold,"An incredible opportunity to acquire this detached home in the heart of Kew Village. The property has been intelligently re-modelled and refurbished to create a contemporary living space suitable for the needs of modern living. Currently arranged as two separate dwellings, a three bedroom house over three floors and a two bedroom apartment to the top floor, the property could be perfect for families looking for ancillary accommodation for family or staff. The ground floor offers a superb open plan reception room complete with bespoke kitchen and bi-fold doors leading onto a large private rear garden. The bedrooms are laid out over two floors, a double bedroom with en-suite shower room on the ground floor, the master bedroom with en-suite shower room and a further double bedroom with Jack and Jill style bathroom. The top floors comprises a further two double bedrooms with one benefiting from an en-suite shower, a main family bathroom and a large open plan kitchen/living room with fully integrated kitchen. Additional benefits include a wine cellar with barrel bar to the basement, utility room and off street parking for two cars.<br><br>Situated in Kew Village where you will find an array of restaurants, cafes and village shops as well as Kew Gardens station. The Royal Botanic Gardens Kew, home to the world's most diverse collection of living plants is within walking distance. Richmond town centre offers a larger selection of retail outlets, restaurants and bars as well as Richmond Park, the largest of London’s Royal Parks. Richmond Station (Mainline &amp; District Line) provides superb links into the City","['5 Bedrooms', '3 Receptions', '5 Bathrooms', 'Outbuilding', 'Detached', 'Off Street Parking']",,5 bed detached house for sale,51.481208,-0.283765,Just added
2,/for-sale/details/59143443/,Listed on 9th Jul 2021,Richmond upon Thames,2021-07-09,Barnard Marcus - East Sheen,020 8166 7288,False,"Crane Court, Sheen Gate Gardens, London SW14",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 1, 'numLivingRooms': 1}",580000.0,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-09 12:25:48', 'priceLabel': '£580,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2019-05-24', 'newBuild': False, 'price': 530000, 'priceLabel': '£530,000', 'recentlySold': False}, 'priceChanges': None}",,leasehold,"<strong>Summary</strong><br>This truly wonderful two double bedroom apartment positioned in a prime residential road on East Sheen's popular 'Parkside'. The property boasts a private garden, garage, two double bedrooms, a well equipped kitchen, large reception room and has the potential to extend into the loft STPP*<br><br><strong>description</strong><br>A wonderfully presented purpose built apartment boasting plenty of natural light, charm and spacious living throughout. The property offers two large bedrooms, a good sized family bathroom, kitchen and large reception room.<br><br>The apartment further benefits from a generous private garden, a garage and the potential to extend into the loft to make another large third double bedroom. Crane Court is situated moments from local transport links, East Sheen High Street, Richmond Park and outstanding local schools.<br><br>We currently hold lease details as displayed above, should you require further information please contact the branch. Please note additional fees could be incurred for items such as leasehold packs.<br><br>1. Money laundering regulations: Intending purchasers will be asked to produce identification documentation at a later stage and we would ask for your co-operation in order that there will be no delay in agreeing the sale. <br>2. General: While we endeavour to make our sales particulars fair, accurate and reliable, they are only a general guide to the property and, accordingly, if there is any point which is of particular importance to you, please contact the office and we will be pleased to check the position for you, especially if you are contemplating travelling some distance to view the property. <br>3. The measurements indicated are supplied for guidance only and as such must be considered incorrect. <br>4. Services: Please note we have not tested the services or any of the equipment or appliances in this property, accordingly we strongly advise prospective buyers to commission their own survey or service reports before finalising their offer to purchase. <br>5. These particulars are issued in good faith but do not constitute representations of fact or form part of any offer or contract. The matters referred to in these particulars should be independently verified by prospective buyers or tenants. Neither sequence (UK) limited nor any of its employees or agents has any authority to make or give any representation or warranty whatever in relation to this property.","['Two bedrooms', 'Garage', 'Garden', 'Parkside', 'Share of Freehold']",,2 bed flat for sale,51.463309,-0.268884,Just added
3,/for-sale/details/59143092/,Listed on 9th Jul 2021,Richmond upon Thames,2021-07-09,"Purplebricks, Head Office",024 7511 8874,False,"Manor Road, Twickenham TW2",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 1, 'numLivingRooms': 1}",349000.0,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-09 11:53:09', 'priceLabel': '£349,000'}, 'lastSale': None, 'priceChanges': None}",,leasehold,"A fantastic opportunity to purchase this spacious two double bedroom first floor flat. Positioned on a sought after road just a short walk from Twickenham high street with off road Residents parking, vast communal grounds and gardens - perfect for picnicking in warmer months! Manor Road is close to excellent schools such as Waldegrave Girls, St James Catholic and Trafalgar<br><br>The property is in excellent condition throughout and the layout comprises; smart fitted kitchen with gas hob and direct access onto a balcony, light and spacious living room with a separate area for dining, two double bedrooms and a modern bathroom with a bath and overhead shower, heated towel rail, w.c and hand basin.<br><br>Leasehold - 175 years remaining<br>Service Charge - £1,200 pa<br>Ground Rent - £55 pa<br><br>Council Tax: Band C<br><br><strong>Local Area</strong><br><br>Strawberry Hill and Fulwell mainline stations are within a short walk and the A316 is easily accessible for the commuter by car, nearby Twickenham high street has a wide range of shops, cafes, restaurants and amenities. Many bus routes are nearby for easy access to neighbouring towns including Kingston, Richmond and Heathrow.<br><br><strong>Disclaimer For Virtual Viewings</strong><br><br>Some or all information pertaining to this property may have been provided solely by the vendor, and although we always make every effort to verify the information provided to us, we strongly advise you to make further enquiries before continuing.<br><br>If you book a viewing or make an offer on a property that has had its valuation conducted virtually, you are doing so under the knowledge that this information may have been provided solely by the vendor, and that we may not have been able to access the premises to confirm the information or test any equipment. We therefore strongly advise you to make further enquiries before completing your purchase of the property to ensure you are happy with all the information provided.","['Purpose built', 'Modern interior', 'Two double bedrooms', 'First floor', 'One bathroom', 'Living /dining room', 'Balcony', 'Central heating', 'Communal gardens', 'Double glazed']",,2 bed flat for sale,51.442994,-0.35435,Just added
4,/for-sale/details/59142698/,Listed on 9th Jul 2021,Richmond upon Thames,2021-07-09,Townends - Twickenham,020 3478 2972,False,"Hampton Road, Twickenham TW2",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 1, 'numLivingRooms': 1}",385000.0,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-09 11:30:34', 'priceLabel': '£385,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2014-12-17', 'newBuild': False, 'price': 335000, 'priceLabel': '£335,000', 'recentlySold': False}, 'priceChanges': None}",,leasehold,"A two double bedroom first floor maisonette, set in the popular development of Audley Court, ideally located moments from Twickenham Green and its selection of transport links, shops and popular restaurants and pubs.<br>The accommodation, which is accessible via its own private entrance, is made up of a great sized living room with feature fireplace and space for a dining table, master bedroom with another fireplace, a second double bedroom, a separate modern kitchen and a fully tiled three piece bathroom suite.<br>Further benefits include communal gardens, double glazing throughout and a long lease. The property would make a great first purchase or investment.","['Two double bedrooms', 'Own entrance', 'Large living/dining room', 'Communal gardens', 'Long lease']",,2 bed flat for sale,51.439564,-0.347167,Just added
5,/for-sale/details/59142312/,Listed on 9th Jul 2021,Richmond upon Thames,2021-07-09,Dexters - St Margarets,020 8744 9400,False,"Ailsa Avenue, St Margarets, Twickenham TW1",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 4, 'numBathrooms': 2, 'numLivingRooms': 1}",949950.0,,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-09 10:59:45', 'priceLabel': '£949,950'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2011-08-16', 'newBuild': False, 'price': 607500, 'priceLabel': '£607,500', 'recentlySold': False}, 'priceChanges': None}",,freehold,"A beautiful Victorian four bedroom period property presented in excellent condition throughout, having been loft converted to provide two bedrooms, one with a large master bedroom and an en suite bathroom.<br><br>Ailsa Avenue is a lovely road within close proximity of St. Margarets village with a selection of restaurants/shops, train station, Marble Hill Park and Richmond Lock with access to Old Deer Park.","['Four Bedrooms', 'Period Property', 'Modern Finish', 'Potential To Extend (STPP)', 'Landscaped Garden', 'Excellent Location']",,4 bed property for sale,51.45936,-0.32439,Just added
6,/for-sale/details/59142000/,Listed on 9th Jul 2021,Richmond upon Thames,2021-07-09,Featherstone Leigh - Twickenham,020 8115 1080,True,"Lebanon Court, Richmond Road, Twickenham TW1",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 3, 'numBathrooms': 1, 'numLivingRooms': 1}",525000.0,,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-09 10:48:41', 'priceLabel': '£525,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2013-11-22', 'newBuild': False, 'price': 450000, 'priceLabel': '£450,000', 'recentlySold': False}, 'priceChanges': None}",,leasehold,"A simply stunning three bedroom apartment within a popular 1930's mansion building near Twickenham Riverside. The property is presented with pleasant neutral decor throughout and comprises a stylish fully fitted kitchen, a contemporary bathroom, separate WC, fabulous sitting room with bay windows overlooking the imposing York House Gardens with double doors into the dining room, three generous bedrooms, ample storage space and a spacious hallway.<br>Lebanon Court is a prestigious mansion development with onsite caretaker, residents parking, communal heating and hot water system. Situated in the impressive Lebanon Park, within minutes’ walk from the beauty of the River Thames towpath, famous White Swan pub, Church Street with pretty boutique shops and alfresco dining. Twickenham town centre offers an array of Cosmopolitan shops, bars and restaurants while Twickenham station provides an excellent commuter service into Waterloo. Lebanon Court apartments of this proportion seldom come to the market therefore we would strongly advise viewing as soon as possible. No onward chain. EPC= D.<br><br>A simply stunning three bedroom apartment within a popular 1930's mansion building near Twickenham Riverside. The property is presented with pleasant neutral decor throughout and comprises a stylish fully fitted kitchen, a contemporary bathroom, separate w.c, fabulous sitting room with bay windows overlooking the imposing York House Gardens and double doors into the dining room, three generous bedrooms, ample storage space and a spacious hallway.<br>Lebanon Court is a prestigious mansion development with onsite caretaker, residents parking, communal heating and hot water system. Situated in the impressive Lebanon Park, within minutes’ walk from the beauty of the River Thames towpath, famous White Swan pub, Church Street with pretty boutique shops and alfresco dining. Twickenham town centre offers an array of Cosmopolitan shops, bars and restaurants while Twickenham station provides an excellent commuter service into Waterloo. Lebanon Court apartments of this proportion seldom come to the market therefore we would strongly advise viewing as soon as possible. No onward chain. EPC= D.&lt;br /&gt;&lt;br /&gt;",,,3 bed property for sale,51.448585,-0.323704,Just added
7,/for-sale/details/59141995/,Listed on 9th Jul 2021,Richmond upon Thames,2021-07-09,Marsh & Parsons - Barnes,020 3542 2172,False,"Church Road, London SW13",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 1, 'numLivingRooms': 1}",625000.0,flat,False,,,leasehold,"Accessed from Church Walk, the apartment boasts a private entrance and accommodation arranged over two floors. The flat has been refurbished extensively and is presented in excellent order throughout. Upon entering through the private entrance, the flat comprises a newly fitted kitchen, downstairs cloakroom and a bright reception room with space for dining. The floor above offers a modern bathroom and two double bedrooms with the main bedroom featuring a private balcony with views of Barnes Green.","['Barnes Village', 'Excellent condition', 'Private entrance', 'Two double bedrooms']",,2 bed flat for sale,51.474352,-0.244088,Just added
8,/for-sale/details/59140697/,Listed on 9th Jul 2021,Richmond upon Thames,2021-07-09,Dexters - St Margarets,020 8744 9400,False,"Moor Mead Road, St Margarets, Twickenham TW1",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 1, 'numLivingRooms': 1}",649950.0,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-09 09:22:43', 'priceLabel': '£649,950'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2016-05-19', 'newBuild': False, 'price': 620000, 'priceLabel': '£620,000', 'recentlySold': False}, 'priceChanges': None}",,share_of_freehold,"A two double bedroom ground floor Edwardian maisonette has been beautifully refurbished throughout. This apartment comes with a private garden and a share of the freehold.<br><br>Moor Mead Road is in the heart of St Margaret's village. Within 0.2 miles of the mainline train station, as well as the village high street's boutique shops and cafés.","['Ground Floor Maisonette', 'Two Double Bedrooms', 'Private Garden', 'Share Of Freehold', 'Excellent Condition', 'Desirable Location']",,2 bed flat for sale,51.454362,-0.325145,Just added
9,/for-sale/details/59136516/,Listed on 8th Jul 2021,Richmond upon Thames,2021-07-08,Curchods - Teddington,020 8115 3145,False,"Park Road, Teddington TW11",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 3, 'numBathrooms': 2, 'numLivingRooms': 2}",1195000.0,detached,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-08 20:54:05', 'priceLabel': '£1,195,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2011-07-01', 'newBuild': False, 'price': 757500, 'priceLabel': '£757,500', 'recentlySold': False}, 'priceChanges': None}",,freehold,"Beautifully presented detached Victorian house oozing charm &amp; character, located moments from Bushy Park, Teddington station and High Street. The spacious and well-proportioned rooms have retained many delightful features of the period and comprises two elegant reception rooms, an excellent and well-fitted kitchen/breakfast room, a conservatory and an attractive 43' rear garden. There are three bedrooms and a shower room on the first floor, and stairs from the landing rise to a luxury bathroom on the second floor. A viewing is highly recommended of this delightful home. EPC E.","['Detached period house', 'Two reception rooms', 'Kitchen/breakfast room', 'Conservatory', 'Three bedrooms and two bathrooms', 'Attractive rear garden', 'Close to Bushy Park, station and High Street', 'Central Teddington Location']",,3 bed detached house for sale,51.423912,-0.334596,Just added
