,Link,Listed,Borough,date_listed,agency_name,agency_phone,chain_free,address,isRetirementHome,isSharedOwnership,listingCondition,listingStatus,RoomCount,price,propertyType,isAuction,priceHistory,floorArea,tenure,detailedDescription,features,furnishedState,title,latitude,longitude,statusSummary
0,/for-sale/details/59149629/,Listed on 9th Jul 2021,Sutton,2021-07-09,Express Estate Agency,0333 016 5458,False,"Chartwell Gardens, Cheam, Sutton, Surrey SM3",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 1, 'numBathrooms': None, 'numLivingRooms': None}",255000.0,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-09 19:48:31', 'priceLabel': '£255,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2016-12-16', 'newBuild': False, 'price': 250000, 'priceLabel': '£250,000', 'recentlySold': False}, 'priceChanges': None}",,,"<strong>Key features:</strong><br><ul><li>*Guide Price £255,000 - £265,000*</li><li>Contemporary Ground Floor Flat</li><li>Spacious Lounge with Patio Door</li><li>Modern Fitted Kitchen</li><li>Double Bedroom with Built-In Wardrobe</li><li>Modern Bathroom Suite</li><li>Own Patio in the Shared Communal Garden</li><li>Allocated Parking Space to the Front</li><li>Close to Amenities, Parks &amp; Transport Links</li><li>Ideal for First Time Buyers &amp; Downsizers</li></ul><br><strong>Full description:</strong><br>The Express Estate Agency is proud to offer this One Bedroom Ground Floor Flat – all interest and offers are invited.<br><br>*Guide Price £255,000 - £265,000*<br><br>internal:<br>Entrance Hall - The front entrance door opens to the hall, with two storage cupboards, one housing the hot water cylinder, and doors to the lounge, bedroom and bathroom.<br>Lounge - Offering generous space for furniture for both living and dining, a sliding door to the rear patio, and access to the kitchen.<br>Kitchen - Fitted with a range of wall and base units with complimenting worktops. Inset stainless steel sink basin with a drainer and mixer tap, and an integrated electric oven with a countertop hob and overhead extractor hood. Space and plumbing for appliances, and a front aspect window.<br>Bedroom - Double size room with a rear aspect window and a built-in wardrobe, with space for additional furniture.<br>Bathroom - Modern suite comprising a push-button WC, a wash hand basin and an integrated bath with an overhead shower and glass screen. Front aspect obscure window.<br><br>External:<br>The property features its own patio in the rear shared communal garden, which is enclosed with fencing and mature trees. To the front is another garden with hedges and shrubs, with a residential car park which has an allocated parking space for the property just in front.<br><br>Early viewing is highly recommended due to the property being realistically priced.<br><br>Disclaimer:<br><br>These particulars, whilst believed to be accurate are set out as a general guideline and do not constitute any part of an offer or contract. Intending Purchasers should not rely on them as statements of representation of fact, but must satisfy themselves by inspection or otherwise as to their accuracy. Please note that we have not tested any apparatus, equipment, fixtures, fittings or services including gas central heating and so cannot verify they are in working order or fit for their purpose. Furthermore, Solicitors should confirm moveable items described in the sales particulars and, in fact, included in the sale since circumstances do change during the marketing or negotiations. Although we try to ensure accuracy, if measurements are used in this listing, they may be approximate. Therefore if intending Purchasers need accurate measurements to order carpeting or to ensure existing furniture will fit, they should take such measurements themselves. Photographs are reproduced general information and it must not be inferred that any item is included for sale with the property.<br><strong>Tenure</strong><br><br>To be confirmed by the Vendor’s Solicitors<br><strong>Possession</strong><br><br>Vacant possession upon completion<br><strong>Viewing</strong><br><br>Viewing strictly by appointment through The Express Estate Agency",['Tenure: Leasehold'],,1 bed flat for sale,51.37032,-0.21392,Just added
1,/for-sale/details/59149561/,Listed on 9th Jul 2021,Sutton,2021-07-09,Mann - Sutton Sales,020 3463 0388,False,"Lower Road, Sutton SM1",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 3, 'numBathrooms': 1, 'numLivingRooms': 2}",500000.0,semi_detached,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-09 19:38:40', 'priceLabel': '£500,000'}, 'lastSale': None, 'priceChanges': None}",,freehold,"A three bedroom end of terrace family home, Property features include, driveway, garage, good size garden, double glazing, gas central heating and possibility for extension (STPP).<br><strong>End of terrace<br>fantastic location</strong><br><br>Extension potential (STPP)<br><strong>Good size garden<br>great transport links<br>driveway<br>catchment area<br>residential road</strong>",,,3 bed semi-detached house for sale,51.365316,-0.18379,Just added
2,/for-sale/details/59149439/,Listed on 9th Jul 2021,Sutton,2021-07-09,Fine & Country - Cheam,020 8166 7219,True,"Golf Side, Cheam, Sutton SM2",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 5, 'numBathrooms': 3, 'numLivingRooms': 4}",3250000.0,detached,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-09 19:28:35', 'priceLabel': '£3,250,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2008-06-27', 'newBuild': False, 'price': 2000000, 'priceLabel': '£2,000,000', 'recentlySold': False}, 'priceChanges': None}",,,"Fine and Country – Exceptional, Greater London executive living within a gated private road and backing a private golf course.<br><br>Golf Side is considered one of the very best roads in this affluent area. South Cheam sets a high standard; large houses, peaceful roads and excellent family orientated amenities, but Golf Side takes even this to a new level. The setting noticeably changes as you enter via the gates; houses become larger and even more seemingly immaculate, generally the road feels luxurious and pace setting.<br><br>Immediately the house fills the eye from behind the grass verge and entrance gates, the plot has a weighty kerb side presence via its 33m width. The large carriage driveway offers two entrances to the front door and garage.<br><br>Enter via the large double doors under the pillared porch and you are lead into a spectacular hallway complete with turning centre piece staircase. The ground floor has a superb spaciousness about each zone, zone because most rooms are semi open plan increasing usability and flow of energy. Gravitating around the kitchen are a host of other family areas which provide one of the most rounded and practical layouts seen; games rooms, drawing rooms, TV room give some ideas but these spaces are flexible to your own needs. Set apart, the separated ground floor rooms include the guest suite, double garage and utility room.<br><br>The first floor provides many bedrooms and bathrooms; five bedrooms, three dressing/utility rooms, four bathrooms.<br><br>The second floor, accessed via the turret turning staircase, provides the cinema room with lots of storage. In all the house measures come 6581 sq ft of immaculate décor.<br><br>Externally, the south Westerly facing rear garden measures 40m in length and completes the 0.55-acre plot. The large sliding access doors create a glass wall between the house and garden and you gain a view of the large patio and lawn. The plot backs Cuddington golf course and retains one of the exclusive gates directly onto the course available only to the residents of Golf Side.<br><br>Cheam is a small village town within Sutton. Between Greater London and Surrey, the area makes the best use of both. Green lush outdoor spaces, great schooling, excellent transport links into Central London and the South Coast all ensure this rates as one of the best places to live. Cheam bridges the best of all worlds, the small quaint high street is best known for dining, pampering and coffee with friends whilst short drives open more shopping experiences and transport options such as Gatwick and Heathrow.<br><br>As you can tell we highly rate this house as a house to define a career and life. The location, décor, potential and opportunity rarely come available and we implore you to visit as early as possible to avoid missing out.<br><br><strong>Important note to purchasers:</strong><br>We endeavour to make our sales particulars accurate and reliable, however, they do not constitute or form part of an offer or any contract and none is to be relied upon as statements of representation or fact. Any services, systems and appliances listed in this specification have not been tested by us and no guarantee as to their operating ability or efficiency is given. All measurements have been taken as a guide to prospective buyers only, and are not precise. Please be advised that some of the particulars may be awaiting vendor approval. If you require clarification or further information on any points, please contact us, especially if you are traveling some distance to view. Fixtures and fittings other than those mentioned are to be agreed with the seller.<br><br>GCH210165","['- 6581 Sq Ft', '- 0.55 Acre', '- No Onward Chain', '- Gated Road', '- Gated Private Residence', '- Backing Golf Course', '- Immaculate Décor', '- Host of Bedroom Suites', '- Double Garage']",,5 bed detached house for sale,51.3417,-0.21592,Just added
3,/for-sale/details/59149322/,Listed on 9th Jul 2021,Sutton,2021-07-09,Gascoigne Pees - Worcester Park Sales,020 3463 0288,True,"Worcester Park, Surrey, . KT4",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 1, 'numBathrooms': 1, 'numLivingRooms': 1}",290000.0,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-09 18:52:19', 'priceLabel': '£290,000'}, 'lastSale': None, 'priceChanges': None}",,,"No forward chain. A bright one double bedroom apartment well located for Worcester Park station with its frequent service to Waterloo in under thirty minutes. This spacious property is centrally located on Worcester Parks main thoroughfare and benefits from easy access to the shops, bars and restaurants of the high street. The property is on the second floor of this purpose built block and has an extensive reception room and benefits from a separate, modern kitchen and stylish bathroom.<br>Worcester Park has a family orientated residential feel but due to excellent transport links from Zone 4 to Wimbledon, Kingston and Central London it is increasing popular with first time buyers looking for value for money and a vibrant location. There are plenty of coffee shops on the high street as well as a Waitrose and a number of independent retailers.<br><br>No forward chain<br>One double bedroom<br>Central location<br>Stylish kitchen<br>Modern bathroom<br>Bright and spacious",,,1 bed flat for sale,51.379057,-0.24219,Just added
4,/for-sale/details/44847582/,Listed on 9th Jul 2021,Sutton,2021-07-09,Cubitt & West - Sutton,020 8166 7333,False,"Montana Gardens, Sutton, Surrey SM1",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 1, 'numLivingRooms': 1}",400000.0,terraced,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-09 17:15:19', 'priceLabel': '£400,000'}, 'lastSale': None, 'priceChanges': None}",,,"Looking for the right home to get you onto the property ladder? Are you searching for a sought after location? If this sounds like you then this superb house could be right up your street.<br><br>Tucked away in a hugely popular development just moments from the town centre this home is ideally situated for schools and commuters will relish the fact that they can walk to Sutton station for fast links into London in no time.<br><br>Once inside, you can relax in the lounge which is a good size and you can put your feet up on the sofa in front of the telly. If you've always wanted a decent size kitchen/diner - you'll be impressed by the one here as there is lots of room to get stuck into the recipe books and cook up a storm.<br><br>Guests can sit at the table with a glass of wine as you rustle up the meals. Upstairs the house also doesn't disappoint, with two good size bedrooms, you can easily put friends up and there is definitely room for a growing family.<br><br>On the outside it gets even better as the garden is just the place for catching some sunshine or firing up the barbecue. There is also a ""secret"" lower garden which is home to a handy shed.<br><br>Parking wise, there is an allocated private space right outside the front door as well as visitors parking for guests. What more could you need?<br><br>Room sizes:<ul><li><strong>Entrance Hall</strong></li><li><strong>Lounge</strong> 14'7 x 12'10 (4.45m x 3.91m)</li><li><strong>Kitchen/Diner</strong> 12'10 x 9'2 (3.91m x 2.80m)</li><li><strong>Landing</strong></li><li><strong>Bedroom 1</strong> 12'6 x 12'4 into fitted wardrobes (3.81m x 3.76m)</li><li><strong>Bedroom 2</strong> 11'3 x 7'10 (3.43m x 2.39m)</li></ul><ul><li><strong>Bathroom</strong> 8'9 x 4'10 (2.67m x 1.47m)</li><li><strong>Rear Garden</strong></li><li><strong>Lower Rear Garden</strong></li><li><strong>Allocated Parking</strong></li><li><strong>Visitor Parking</strong></li></ul><br><i>The information provided about this property does not constitute or form part of an offer or contract, nor may be it be regarded as representations. All interested parties must verify accuracy and your solicitor must verify tenure/lease information, fixtures &amp; fittings and, where the property has been extended/converted, planning/building regulation consents. All dimensions are approximate and quoted for guidance only as are floor plans which are not to scale and their accuracy cannot be confirmed. Reference to appliances and/or services does not imply that they are necessarily in working order or fit for the purpose.<br><br>We are pleased to offer our customers a range of additional services to help them with moving home. None of these services are obligatory and you are free to use service providers of your choice. Current regulations require all estate agents to inform their customers of the fees they earn for recommending third party services. If you choose to use a service provider recommended by Cubitt &amp; West, details of all referral fees can be found at the link below. If you decide to use any of our services, please be assured that this will not increase the fees you pay to our service providers, which remain as quoted directly to you.</i>","['Lovely starter home in quiet location', 'Close to Sutton station and the High Street', 'Allocated parking space', 'Pretty rear garden', 'Ideal for first time buyers', 'EPC energy rating C (72)']",,2 bed terraced house for sale,51.362737,-0.185659,Just added
5,/for-sale/details/59147124/,Listed on 9th Jul 2021,Sutton,2021-07-09,The Local Agent Ltd,01372 434748,False,"Park Hill, Carshalton SM5",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 4, 'numBathrooms': 2, 'numLivingRooms': 1}",600000.0,town_house,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-09 16:31:02', 'priceLabel': '£600,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2015-04-29', 'newBuild': False, 'price': 350000, 'priceLabel': '£350,000', 'recentlySold': False}, 'priceChanges': None}","{'__typename': 'FloorArea', 'unitsLabel': 'sq. ft', 'value': 1271}",,"** Viewings by appointment on Saturday 17th July **<br>This stunning contemporary townhouse has been extended and re-designed by the current owners to suit the modern family lifestyle including the use of a communal park to the rear! The property really needs to be seen to be fully appreciated! With approximately 1271 sq ft of living space split over three floors this property offers versatile accommodation. Downstairs there is a stunning kitchen/dining/living area with doors out to the garden.<br><br>On the first floor there is another reception/fourth bedroom, the third bedroom and family bathroom. On to the top floor there are two good sized bedrooms plus a shower room.<br><br>Outside there is the large communal park area fantastic for the kids to play while mum and dad can overseeing whilst dining alfresco on the private patio.<br><br>There are many more features and benefits including a garage/utility and off street parking.","['Stunning Extended Townhouse', 'Approx 1271 Sq ft', 'Three/Four Bedrooms', ""Two Bathrooms with 3 WC's"", 'Open Plan Family Living', 'Private Garden', 'Large Communal Gardens Approx 0.3 Acre', 'Close To Trains', 'Off Street Parking', 'Garage/Utility']",,4 bed town house for sale,51.360008,-0.169438,Just added
6,/new-homes/details/59146085/,Listed on 9th Jul 2021,Sutton,2021-07-09,Red Loft - Dillon Court,020 8033 3431,True,"Dillon Court Retirement Apartments, Brighton Road, Sutton SM2",True,True,new,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 1, 'numLivingRooms': 1}",247500.0,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-09 15:21:31', 'priceLabel': '£247,500'}, 'lastSale': None, 'priceChanges': None}","{'__typename': 'FloorArea', 'unitsLabel': 'sq. ft', 'value': 721}",leasehold,"Only 2 two-bedroom apartments remain at Dillon Court, a beautiful new development made for homebuyers that are 55+ years of age.<br><br>All apartments at Dillon Court have been designed with a modern specification including fully fitted kitchens with Bosch appliances and emergency pull-cord system. All homes are designed to be energy efficient ensuring all our homeowners with the comfort and conveniences of owning a brand-new home. Located a short 8-minute bus ride away from Sutton town centre which holds a thriving high street with the St Nicolas Centre shopping mall and an Empire Cinema, Dillon Court is positioned perfectly to allow our homeowners to enjoy the facilities of this sought-after town. However, if you would prefer a quiet afternoon at home Dillon Court provides a communal lounge and roof terrace. Just 3 miles away, the St Helier Hospital is located with a 24-hour A&amp;E department and comprehensive diagnostic facilities.<br><br>Dillon Court is also well located with excellent train and road connections, making local, domestic and international travel effortless. With both Sutton and Belmont train stations located less than a mile from Dillon Court, travelling by train is a great option. Fast services will have you at London Victoria in just over half an hour and at London St Pancras in less than 45 minutes. The locale is also very well-served by buses, with over 20 routes in the nearby area, going as far as Wimbledon, Croydon, Epsom and Victoria, and there are three routes on Brighton Road itself.<br><br>For motorists, it's only a 15-minute drive from Brighton Road to the M25, or ten minutes to the A24 which goes north to South West London (from where Central London is easily accessible) and south to the seaside town of Worthing.<br><br>International travellers can choose between Gatwick, which is half an hour's drive away or an hour by train, and Heathrow, which is approximately a 45-minute drive or an hour and a half by train.","[""Exclusively available to over 55's"", ""Access to residents' beautifully landscaped gardens"", 'Spacious open-plan kitchen/dining/living room', '10 minute walk to Sutton Town Centre', 'Residents Lounge', '24 Hour Emergency Call Alarm System', 'Allocated Parking', 'Large Balcony']",,2 bed flat for sale,51.3532875681818,-0.188153727272727,Just added
7,/for-sale/details/59145623/,Listed on 9th Jul 2021,Sutton,2021-07-09,British Homesellers,01727 294874,False,"Apeldoorn Drive, Wallington SM6",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 4, 'numBathrooms': 1, 'numLivingRooms': 1}",470000.0,semi_detached,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-09 14:49:45', 'priceLabel': '£470,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2007-11-05', 'newBuild': False, 'price': 263000, 'priceLabel': '£263,000', 'recentlySold': False}, 'priceChanges': None}",,freehold,"Well-presented 4 bedroom semi-detached house located on Apeldoorn Drive, Wallington.<br><br>Comprises of:<br>Bright and spacious living room<br>Well-appointed open plan kitchen/dining room area with base and wall units<br>Downstairs bedroom with en-suite<br>Generously sized master bedroom with built in storage space<br>Two additional well-proportioned bedrooms<br>Contemporary three piece bathroom suite<br><br>Additional Features:<br>Freehold<br>EPC rating C<br>Driveway providing off street parking<br>Low maintenance garden with patio area<br><br>Ideally located in the popular town of Wallington this property is a perfect family home. It is highly sought after by families due to its close proximity to both upper and lower schooling including the outstanding Wilson's Grammar School and Wallington County Grammar School. You can find all of your local amenities just a short distance away including an array of shops and various eateries. There are numerous green spaces and parks surrounding the property perfect for recreational activity. The property benefits from excellent commuter links via local rail networks and motor access from the A232.<br><br>Viewing is highly recommended to fully appreciate the size and potential of this property.<br><br>Buyer Process: Our customers use British Homebuyers to either purchase or assist in selling properties quickly and reliably. Therefore any new applicants to purchase are subject to vetting to ensure they meet strict criteria.<br><br><strong>Disclaimer</strong><br><br>The particulars are set out as a general outline only for the guidance of intended purchasers and do not constitute, any part of a contract. Nothing in these particulars shall be deemed to be a statement that the property is in good structural condition or otherwise nor that any of the services, appliances, equipment or facilities are in good working order. Purchasers should satisfy themselves of this prior to purchasing. The photograph(s) depict only certain parts of the property. It should not be assumed that any contents/furniture etc. Photographed are included in the sale. It should not be assumed that the property remains as displayed in the photograph(s). No assumption should be made with regard to parts of the property that have not been photographed. Any areas, measurements, aspects or distances referred to are given as a guide only and are not precise. If such details are fundamental to a purchase, purchasers must rely on their own enquiries. Descriptions of the property are subjective and are used in good faith as an opinion and not as a statement of fact. Please make further inquiries to ensure that our descriptions are likely to match any expectations you may have.",,,4 bed semi-detached house for sale,51.35064,-0.130787,Just added
8,/for-sale/details/59144098/,Listed on 9th Jul 2021,Sutton,2021-07-09,Auction House London,020 3641 1932,False,"8A Neville Walk, Carshalton, Surrey SM5",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 1, 'numBathrooms': None, 'numLivingRooms': None}",60000.0,flat,True,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-09 13:23:11', 'priceLabel': '£60,000'}, 'lastSale': None, 'priceChanges': None}",,leasehold,"<strong></strong><strong>Guide Price =</strong> <strong>£60,000+<br><br>**For Sale By Public Auction 28th July 2021 10:30 am. To inspect the legal documents for this property go to our website to download the legal pack**<br><br>A Vacant One Bedroom First Floor Flat<br><br></strong><strong>Tenure</strong><br>Leasehold. The property is held on a 125 year lease from 29th November 2005 (thus approximately 110 years unexpired).<br><br><strong>Location</strong><br>The property is situated on predominantly commercial high street close to local shops and amenities. The open spaces of St HelierPark are within easy reach. Transport links are provided by Hackbridge rail station<br><br><strong>Description</strong><br>The property comprises a one bedroom first floor flat situated within a mid terrace building arranged over ground and two upper floors.<br><br><strong>Accommodation</strong><br><strong>First Floor</strong><br>Reception Room<br>Kitchen<br>Bedroom<br>Bathroom<br><br><strong></strong><strong>Viewing Schedule (No Booking Required)</strong><br><br>Wednesday 14 July 2021 11:00 am - 11:30<br>Monday 19 July 2021 11:00 am - 11:30<br>Wednesday 21 July 2021 11:00 am - 11:30<br>Friday 23 July 2021 11:00 am - 11:30<br>Tuesday 27 July 2021 11:00 am - 11:30",,,1 bed flat for sale,51.38464,-0.173816,Just added
9,/for-sale/details/59143699/,Listed on 9th Jul 2021,Sutton,2021-07-09,Martin & Co Sutton,020 3641 4134,True,"Paget Avenue, Sutton SM1",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 1, 'numLivingRooms': 1}",275000.0,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-09 12:50:13', 'priceLabel': '£275,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2020-11-16', 'newBuild': False, 'price': 317000, 'priceLabel': '£317,000', 'recentlySold': True}, 'priceChanges': None}",,,"A well presented, 2 bedroom ground floor flat with allocated parking, in the popular Water Gardens Development, close to Sutton Station, B &amp; Q Store &amp; Sutton town centre. Immediately available with no chain, the flat has been freshly re-decorated and is ideal for a first time buyer or as a buy to let investment. Living/dining room, separate kitchen, modern bathroom, 2 good sized bedrooms, entry phone security, double glazed windows and a Long 900 year + Lease. One of the better presented blocks in this development, early viewing is highly recommended. Sole Agent. Keys held.","['Ground floor flat', '2 good sized bedrooms', 'Allocated parking', 'Ideal first purchase', 'Suit buy to let investor', 'Entry phone security', 'Close to sutton station', 'Long 900 + year lease', 'Just redecorated', 'No chain']",,2 bed flat for sale,51.3698,-0.179729,Just added
