,level_0,index,Borough,date_listed,agency_name,chain_free,address,isRetirementHome,isSharedOwnership,listingCondition,price,propertyType,isAuction,tenure,title,latitude,longitude,floor_area_msq,numBedrooms,numBathrooms,numLivingRooms,firstPublishedDate,firstPublishedPrice,balcony_terrace,parking,garden,closest_station_name,closest_station_distance_sec,pub_restaurant,amenities_shop
11800,11800,11800,Barnet,2021-04-01,Sean Heaney Homes and Property,1,"Hadley Highstone, Barnet EN5",0,0,pre-owned,899950.0,cottage,0,Other,3 bed cottage for sale,51.663997,-0.199259,192.0,3,2,4,2021-04-01,950000.0,0,1,1,High Barnet,1284,0,"[0, 0, 0, 0]"
11801,11801,11801,Barnet,2021-04-01,Nest Seekers International,0,"Winnington Road, London N2",0,0,pre-owned,10950000.0,detached,0,Other,8 bed detached house for sale,51.57893,-0.173714,953.0,8,0,0,2021-04-01,10950000.0,0,0,1,East Finchley,1020,0,"[1, 0, 0, 0]"
11802,11802,11802,Barnet,2021-04-01,LiFE Residential - Royal Wharf,0,"Reverence House, 8 Lismore Boulevard, London NW9",0,0,pre-owned,425000.0,flat,0,leasehold,2 bed flat for sale,51.59305,-0.242477,66.0,2,2,1,2021-04-01,475000.0,1,0,1,Colindale,906,3,"[5, 2, 0, 2]"
11803,11803,11803,Barnet,2021-04-01,Statons - Barnet,0,"Rowley Green Road, Arkley, Hertfordshire EN5",0,0,pre-owned,8500000.0,detached,0,freehold,6 bed detached house for sale,51.64736,-0.235649,1022.0,6,8,5,2021-04-01,8500000.0,1,0,1,High Barnet,2235,0,"[0, 1, 0, 0]"
11804,11804,11804,Barnet,2021-04-01,Statons - Totteridge,0,"Dancers Lane, Bentley Heath, Hertfordshire EN5",0,0,pre-owned,6975000.0,detached,0,freehold,6 bed detached house for sale,51.678212,-0.214759,698.0,6,6,7,2021-04-01,7250000.0,0,0,1,High Barnet,2660,1,"[0, 0, 0, 0]"
11805,11805,11805,Barnet,2021-04-01,Fine & Country,0,"Chandos Way, Wellgarth Road, London NW11",0,0,pre-owned,3500000.0,detached,0,Other,5 bed detached house for sale,51.57257,-0.18949,350.0,5,3,3,2021-04-01,3500000.0,0,1,1,Golders Green,770,5,"[2, 0, 0, 3]"
11806,11806,11806,Barnet,2021-04-01,"Adam Hayes Estate Agents, East Finchley",1,"Willow Way, London N3",0,0,pre-owned,950000.0,semi_detached,0,Other,3 bed semi-detached house for sale,51.603698,-0.186274,128.0,3,1,2,2021-04-01,950000.0,0,1,1,Upminster,514,3,"[1, 0, 0, 1]"
11807,11807,11807,Barnet,2021-04-01,Beauchamp Estates (New Homes),1,"Rowley Green Road, Barnet EN5",0,0,new,8500000.0,detached,0,freehold,6 bed detached house for sale,51.647186,-0.235163,1014.0,6,6,5,2021-04-01,8500000.0,0,1,1,High Barnet,2226,0,"[0, 1, 0, 0]"
11808,11808,11808,Barnet,2021-04-01,Chancellors - Stanmore,0,"Edgware, London HA8",0,0,pre-owned,575000.0,semi_detached,0,freehold,2 bed semi-detached house for sale,51.614162,-0.268016,96.0,2,0,0,2021-04-01,595000.0,0,1,0,Edgware,574,0,"[4, 0, 0, 1]"
11809,11809,11809,Barnet,2021-03-31,Mischa & Co,0,"Station Road, Edgware, Middlesex HA8",0,0,pre-owned,299950.0,flat,0,Other,2 bed flat for sale,51.615167,-0.275275,11.0,2,0,0,2021-03-31,299950.0,0,0,0,Edgware,238,4,"[1, 1, 0, 1]"
11810,11810,11810,Barnet,2021-03-31,Statons,0,"Sebright Road, Barnet, Hertfordshire EN5",0,0,pre-owned,825000.0,detached,0,freehold,4 bed detached house for sale,51.657156,-0.208605,148.0,4,3,2,2021-03-31,825000.0,0,0,1,High Barnet,983,7,"[7, 3, 0, 2]"
