,level_0,index,Borough,date_listed,agency_name,chain_free,address,isRetirementHome,isSharedOwnership,listingCondition,price,propertyType,isAuction,tenure,title,latitude,longitude,floor_area_msq,numBedrooms,numBathrooms,numLivingRooms,firstPublishedDate,firstPublishedPrice,balcony_terrace,parking,garden,closest_station_name,closest_station_distance_sec,pub_restaurant,education
18400,18400,18400,Waltham Forest,2021-04-14,Newlon Living - Nest,1,"Linnet House, Dunedin Road, London E10",0,1,new,108750.0,flat,0,leasehold,2 bed flat for sale,51.557464,-0.013628,74.0,2,2,0,2021-04-14,108750.0,1,1,0,Leyton,537,4,"[1, 1, 0, 1]"
18401,18401,18401,Waltham Forest,2021-04-14,Nested Ltd,1,"Mornington Road, Leytonstone, London E11",0,0,pre-owned,350000.0,flat,0,share_of_freehold,2 bed flat for sale,51.569379,0.014272,57.0,2,0,0,2021-04-14,350000.0,0,0,0,Leytonstone,402,18,"[3, 1, 0, 2]"
18402,18402,18402,Waltham Forest,2021-04-14,Butler & Stag,0,"Endlebury Road, London E4",0,0,pre-owned,800000.0,Other,0,Other,5 bed property for sale,51.624179,-0.000609,158.0,5,2,2,2021-04-14,900000.0,0,1,1,Woodford,2530,0,"[4, 2, 0, 0]"
18403,18403,18403,Waltham Forest,2021-04-14,Central Estate Agents,1,"Moreno House, Marlowe Road, Walthamstow, London E17",0,0,new,375000.0,flat,0,leasehold,1 bed flat for sale,51.587636,-0.004958,50.0,1,1,1,2021-04-14,375000.0,1,0,0,Walthamstow Central,978,11,"[5, 3, 0, 3]"
18404,18404,18404,Waltham Forest,2021-04-14,The Stow Brothers - E17,0,"Beresford Road, London E17",0,0,pre-owned,275000.0,flat,0,leasehold,1 bed flat for sale,51.597599,-0.012768,16.0,1,1,1,2021-04-14,275000.0,0,1,1,Walthamstow Central,1475,3,"[5, 0, 0, 0]"
18405,18405,18405,Waltham Forest,2021-04-13,Central Estate Agents,0,"Farnan Avenue, Walthamstow, London E17",0,0,pre-owned,650000.0,detached,0,freehold,4 bed detached house for sale,51.593756,-0.016246,111.0,4,1,1,2021-04-13,675000.0,0,0,1,Walthamstow Central,1031,7,"[6, 1, 0, 1]"
18406,18406,18406,Waltham Forest,2021-04-13,Barratt London - Blackhorse View,1,"""Alder Point"" at Forest Road, Walthamstow, London E17",0,0,new,488000.0,flat,0,leasehold,2 bed flat for sale,51.587982,-0.042966,70.0,2,2,1,2021-04-13,488000.0,1,0,1,Blackhorse Road,189,4,"[5, 0, 0, 2]"
18407,18407,18407,Waltham Forest,2021-04-12,Allen Davies,1,"High Road, Leyton E10",0,0,pre-owned,380000.0,flat,0,leasehold,2 bed flat for sale,51.568782,-0.008222,74.0,2,1,1,2021-04-12,400000.0,0,0,0,Chesham,1062,0,"[5, 4, 0, 1]"
18408,18408,18408,Waltham Forest,2021-04-09,Kings Group - North Chingford,0,"Kings Head Hill, London E4",0,0,pre-owned,305000.0,flat,0,leasehold,1 bed flat for sale,51.634574,-0.009434,6.0,1,1,1,2021-04-09,315000.0,0,1,0,Woodford,3461,1,"[1, 1, 0, 0]"
18409,18409,18409,Waltham Forest,2021-04-08,Coultons Estate Agents,1,"The Ridgeway, London E4",0,0,pre-owned,575000.0,end_terrace,0,leasehold,4 bed end terrace house for sale,51.625999,-0.010559,130.0,4,2,1,2021-04-08,599950.0,0,1,1,Chesham,3133,1,"[2, 1, 0, 0]"
18410,18410,18410,Waltham Forest,2021-04-07,Barratt London - Blackhorse View,1,"""Alder Point"" at Forest Road, Walthamstow, London E17",0,0,new,575000.0,flat,0,leasehold,3 bed flat for sale,51.587982,-0.042966,91.0,3,2,1,2021-04-07,575000.0,1,0,1,Blackhorse Road,189,4,"[5, 0, 0, 2]"
18411,18411,18411,Waltham Forest,2021-04-05,Central Estate Agents,0,"Gosport Road, Walthamstow, London E17",0,0,pre-owned,825000.0,terraced,0,freehold,4 bed terraced house for sale,51.579232,-0.026725,122.0,4,2,1,2021-04-05,825000.0,0,0,1,Walthamstow Central,653,17,"[7, 2, 0, 6]"
18412,18412,18412,Waltham Forest,2021-04-01,Estates 10 Ltd,1,"Coopers Lane, Leyton, London E10",0,0,pre-owned,649950.0,detached,0,leasehold,4 bed detached house for sale,51.569381,-0.00951,107.0,4,2,1,2021-04-01,675000.0,1,1,1,Leyton,1269,1,"[5, 5, 0, 0]"
18413,18413,18413,Waltham Forest,2021-03-28,Estates 10 Ltd,1,"Pretoria Road, Leytonstone, London E11",0,0,pre-owned,650000.0,terraced,0,leasehold,4 bed terraced house for sale,51.566535,0.000658,101.0,4,2,2,2021-03-28,675000.0,1,0,1,Leytonstone,479,3,"[5, 3, 0, 0]"
18414,18414,18414,Waltham Forest,2021-03-25,Estates 10 Ltd,0,"Malvern Road, Leytonstone, London E11",0,0,pre-owned,650000.0,terraced,0,leasehold,3 bed terraced house for sale,51.562957,0.010982,98.0,3,1,1,2021-03-25,675000.0,1,0,1,Leytonstone,532,14,"[9, 0, 0, 2]"
18415,18415,18415,Waltham Forest,2021-03-25,Your Nxt Place,1,"Dames Road, Forest Gate E7",0,0,pre-owned,560000.0,terraced,0,freehold,3 bed terraced house for sale,51.557185,0.018941,109.0,3,1,2,2021-03-25,560000.0,0,1,1,Leytonstone,1209,6,"[2, 0, 0, 0]"
18416,18416,18416,Waltham Forest,2021-03-24,L&Q - The Chain,1,"South Grove, London E17",0,1,new,123750.0,flat,0,leasehold,2 bed flat for sale,51.581398,-0.028426,72.0,2,2,0,2021-03-24,123750.0,0,0,1,Walthamstow Central,507,19,"[6, 3, 0, 6]"
18417,18417,18417,Waltham Forest,2021-03-23,Dexters - Hackney,1,"Hoe Street, London E17",0,0,pre-owned,330000.0,flat,0,Other,1 bed flat for sale,51.586787,-0.020172,42.0,1,1,1,2021-03-23,350000.0,0,0,0,Walthamstow Central,356,30,"[4, 1, 2, 4]"
