,Link,Listed,Borough,date_listed,agency_name,agency_phone,chain_free,address,isRetirementHome,isSharedOwnership,listingCondition,listingStatus,RoomCount,price,propertyType,isAuction,priceHistory,floorArea,tenure,detailedDescription,features,furnishedState,title,latitude,longitude,statusSummary
0,/for-sale/details/59090325/,Listed on 5th Jul 2021,Bexley,2021-07-05,Your Move - Petty Freeman,020 3589 2939,False,"Sidcup High Street, Sidcup DA14",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 1, 'numLivingRooms': 1}",290000,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-05 13:02:50', 'priceLabel': '£290,000'}, 'lastSale': None, 'priceChanges': None}",,leasehold,"Your Move Petty Freeman are delighted to offer to the market this spacious, beautifully presented two double bedroom flat. Accommodation comprises of two double bedrooms, fully fitted kitchen opening onto lounge, and bathroom. Benefits central heating and double-glazing, convenient to Sidcup Station. Ideal as an investment to rent out or first time purchase.<br><br><strong>Entrance Hall</strong><br><br><strong>Lounge</em> (3.78m x 5.12m)</strong><br><br><strong>Kitchen</em> (1.81m x 3.33m)</strong><br><br><strong>Bedroom 1</em> (2.88m x 3.96m)</strong><br><br><strong>Bedroom 2</em> (2.0m x 4.3m)</strong><br><br><strong>Bathroom</strong><br><br>Important note to purchasers:<br><br>We endeavour to make our sales particulars accurate and reliable, however, they do not constitute or form part of an offer or any contract and none is to be relied upon as statements of representation or fact. Any services, systems and appliances listed in this specification have not been tested by us and no guarantee as to their operating ability or efficiency is given. All measurements have been taken as a guide to prospective buyers only, and are not precise. Please be advised that some of the particulars may be awaiting vendor approval. If you require clarification or further information on any points, please contact us, especially if you are travelling some distance to view. Fixtures and fittings other than those mentioned are to be agreed with the seller.<br><br>/3","['2 Double Bedroom First Floor Flat', 'Beautifully Presented Throughout', 'Long Lease', 'Convenient To High Street', 'Convenient To Sidcup Station', 'High Ceilings', 'EPC Rating D']",,2 bed flat for sale,51.425434,0.102911,Just added
1,/for-sale/details/59090196/,Listed on 5th Jul 2021,Bexley,2021-07-05,Alan De Maid - Chislehurst,020 3463 0101,True,"Shelbury Close, Sidcup DA14",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 3, 'numBathrooms': 1, 'numLivingRooms': 2}",400000,semi_detached,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-05 12:57:20', 'priceLabel': '£400,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '1998-09-18', 'newBuild': False, 'price': 122000, 'priceLabel': '£122,000', 'recentlySold': False}, 'priceChanges': None}",,freehold,"Chain free/garage &amp; parking:<br><br>Ideal opportunity to purchase this deceptively spacious three bedroom family home.<br><br>The property offers a welcoming entrance hall, WC, large living room and a kitchen/breakfast room to the ground floor.<br><br>The first floor benefits from three bedrooms and a family bathroom.<br><br>Outside offers a low maintenance rear garden and a garage with parking to the rear.<br><br>Viewing essential.&lt;br /&gt;&lt;br /&gt;",,,3 bed semi-detached house for sale,51.428873,0.10191,Just added
2,/for-sale/details/59090104/,Listed on 5th Jul 2021,Bexley,2021-07-05,Able Estates,020 3478 2990,True,"Willersley Avenue, Sidcup DA15",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 4, 'numBathrooms': 2, 'numLivingRooms': 1}",525000,semi_detached,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-05 12:48:17', 'priceLabel': '£525,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2006-09-01', 'newBuild': False, 'price': 287500, 'priceLabel': '£287,500', 'recentlySold': False}, 'priceChanges': None}","{'__typename': 'FloorArea', 'unitsLabel': 'sq. ft', 'value': 1206}",freehold,"Call now to view this well presented Chain Free 4 / 5 Bedroom Semi Detached Family House that is located in a popular residential road in Sidcup.<br><br>Step inside to find a Handy Porch Area, Entrance Hall, Reception Room / Bedroom 5, Lovely Open Plan Living Room which incorporates a Fitted Kitchen with Built In Oven &amp; Hob, Integrated Fridge, Freezer, Washing Machine &amp; Dishwasher.plus you also have a Utility Room on the Ground Floor.<br><br>Moving upstairs you will find the main Family Bathroom, 4 Bedrooms - the master with En Suite Shower Room.<br><br>Benefits to note include Double Glazing, Gas Central Heating, Security Alarm System, Driveway / Off Street Parking plus a 80 Foot Rear Garden.<br><br>The property is conveniently located for all amenities including the Oval with its Shops and Restaurants, Local Park, Schools, Bus Routes and Sidcup Train Station ( zone 5 ) which can get you into the London Stations in approximately 30 minutes.<br><br>All in all this property adds up to making an Ideal Family Home in a very sought after area.<br><br>If you have any questions or would like to view then please call us on and we will be happy to help you.<br><br><strong>Reception Room / Ground Floor Bedroom. - 15'6"" (4.72m) x 12'0"" (3.66m)</strong><br>Measured to Furthest points.<br><br><strong>Kitchen / Lounge Area. - 23'0"" (7.01m) x 15'0"" (4.57m)</strong><br>Irregular Shape Room.<br><br><strong>Utility Room. - 7'0"" (2.13m) x 5'0"" (1.52m)</strong><br><br><strong>Bedroom 1. - 15'0"" (4.57m) x 10'0"" (3.05m)</strong><br><em>L</em> - Shaped so measured to furthest points.<br><br><strong>Bedroom 2. - 9'0"" (2.74m) x 9'0"" (2.74m)</strong><br><br><strong>Bedroom 3. - 12'0"" (3.66m) x 7'0"" (2.13m)</strong><br><br><strong>Bedroom 4. - 10'0"" (3.05m) x 5'0"" (1.52m)</strong><br><br><strong>Notice</strong><br>Please note we have not tested any apparatus, fixtures, fittings, or services. Purchasers must undertake their own due diligence into the working order of these items. All measurements are approximate and photographs provided for guidance only.","['4/ 5 bedroom semi detached family house.', 'Double glazing &amp; gas central heating.', 'Off street parking to front for 2 cars.', 'Approximate 80 foot rear garden.', 'Bedroom 1 has en suite shower room.', 'Close to local parks, schools &amp; bus routes.', 'Walking distance to the oval - shops &amp; restaurants', 'Close to sidcup shops &amp; train station - zone 5.', '30 minutes into the london stations.', 'Call now to arrange your viewing.']",,4 bed semi-detached house for sale,51.443267,0.099247,Just added
3,/for-sale/details/57312615/,Listed on 5th Jul 2021,Bexley,2021-07-05,Redwood Estates,020 3641 2410,True,"Willersley Avenue, Sidcup DA15",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 4, 'numBathrooms': 1, 'numLivingRooms': 1}",525000,semi_detached,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-05 12:33:04', 'priceLabel': '£525,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2006-09-01', 'newBuild': False, 'price': 287500, 'priceLabel': '£287,500', 'recentlySold': False}, 'priceChanges': None}","{'__typename': 'FloorArea', 'unitsLabel': 'sq. ft', 'value': 1206}",freehold,"Redwood Estates are delighted to present to the market this spacious 4/5 bedroom semi detached family home which is situated in a sought after road which is conveniently located for all amenities including the Oval which is home to some lovely restaurants and a range of shopping facilities.<br><br>Sidcup train station is within walking distance (zone 5) and can get you into London stations within 30 minutes. There are several local parks a short walk away and a selection of primary and secondary schools nearby.<br><br>Step inside and you will find: A fully enclosed Entrance Porch, Entrance Hall, Reception Room (could be used as a 5th Bedroom), a spacious Open Plan Living Room which incorporates a Fitted Kitchen with Appliances to remain and a good size Utility Room.<br><br>Upstairs you will find a Landing, main family Bathroom and 4 well proportioned Bedrooms, the master with an EnSuite Shower Room.<br><br>This lovely home is ideal for the growing family or investment purchaser and also benefits from Double Glazing, Gas Central Heating System (nt), Driveway to front, an 80' Garden to the rear with raised Decked Area and Storage Shed and a Security Entryphone System.<br><br>What are vou waiting for? Call us now for further information or to arrange an appointment to view.<br><br><strong>Reception Room/Ground Floor Bedroom - 15'6"" (4.72m) x 12'0"" (3.66m)</strong><br><br><strong>Kitchen/Living Room - 23'0"" (7.01m) x 15'0"" (4.57m)</strong><br><br><strong>Utility Room - 7'0"" (2.13m) x 5'0"" (1.52m)</strong><br><br><strong>Bedroom 1 - 15'0"" (4.57m) x 10'0"" (3.05m)</strong><br><br><strong>Bedroom 2 - 9'0"" (2.74m) x 9'0"" (2.74m)</strong><br><br><strong>Bedroom 3</strong><br><br><strong>Bedroom 4 - 10'0"" (3.05m) x 5'0"" (1.52m)</strong><br><br><strong>Notice</strong><br>Please note we have not tested any apparatus, fixtures, fittings, or services. Interested parties must undertake their own investigation into the working order of these items. All measurements are approximate and photographs provided for guidance only.",,,4 bed semi-detached house for sale,51.443267,0.099247,Just added
4,/for-sale/details/59089043/,Listed on 5th Jul 2021,Bexley,2021-07-05,Park Estates,01322 584393,False,"Arcadian Road, Bexley DA5",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 4, 'numBathrooms': 2, 'numLivingRooms': 1}",700000,semi_detached,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-05 11:35:21', 'priceLabel': '£700,000'}, 'lastSale': None, 'priceChanges': None}",,freehold,"Guide Price £700,000 - £725,000<br><br>Park Estates are delighted to offer onto the market this stunning extended four bedroom semi detached 'Mock Tudor' house. An ideal family home, the property offers spacious and versatile living accommodation comprising of porch, entrance hall, ground floor shower room and wc, utility room, one reception room and a luxury fitted kitchen / breakfast room. To the first floor there is a landing, generous bathroom and four well proportioned bedrooms - the master with a private balcony overlooking the rear garden. The property is well presented by the current vendor and is located within a quiet cul de sac, conveniently accessing local amenities including popular local schools, shops, Albany Park and Bexley Stations, as well as all other transport links. Benefits to note include double glazing, gas central heating, off street parking and a stunning rear garden. Viewing is highly recommended.<br><br><strong>Entrance Porch</strong><br><br>Original oak single glazed front door. Tiled flooring. Single glazed window to front. Light.<br><br><strong>Entrance Hall</strong><br><br>Solid oak flooring. Original stain glass front door. Frosted window to front. Understairs storage cupboard. Radiator.<br><br><strong>Reception Room</em> (25' 0'' x 12' 0'' (7.61m x 3.65m))</strong><br><br>Double glazed leaded window to front. Single glazed original leaded window to rear. Picture rail. Two radiators. Solid oak flooring. Gas fire with feature fireplace surround.<br><br><strong>Kitchen / Breakfast Room</em> (20' 0'' x 9' 0'' (6.09m x 2.74m))</strong><br><br>Herringbone wood flooring. Range of white high gloss wall and base units with granite work surfaces. Extractor hood. Two double glazed leaded windows to side. Double glazed leaded window to rear. Double glazed leaded door to rear leading to garden. Inset sink, drainer and mixer taps. Heated towel rail. Plumbed for dishwasher. Integral double electric fan oven. Electric ceramic hob. Spotlights.<br><br><strong>Utility Room</em> (14' 0'' x 13' 0'' (4.26m x 3.96m))</strong><br><br>Solid oak flooring. Wall mounted 'Worcester Bosch' combi boiler. Heated towel rail. Plumbed for washing machine. Space for tumble dryer. Double glazed leaded window to rear. Range of wall and base units. Part tiled walls.<br><br><strong>Shower Room And WC</strong><br><br>Solid oak flooring. Shower cubicle. Part tiled walls. Low level wc. Pedestal wash hand basin.<br><br><strong>Landing</strong><br><br>Carpet. Loft access.<br><br><strong>Bedroom 1</em> (19' 0'' x 9' 0'' (5.79m x 2.74m))</strong><br><br>Laminate flooring. Double glazed frosted leaded window to side. Double glazed leaded window to front. Double glazed leaded French doors to rear leading to balcony overlooking rear garden. Radiator. Spotlights.<br><br><strong>Balcony</em> (9' 0'' x 5' 0'' (2.74m x 1.52m))</strong><br><br>Light. Tiled flooring. Wrought iron hand rail. Views to rear garden.<br><br><strong>Bedroom 2</em> (11' 0'' x 10' 0'' (3.35m x 3.05m))</strong><br><br>Double glazed leaded window to rear. Picture rail. Coving. Radiator. Carpet.<br><br><strong>Bedroom 3</em> (10' 0'' x 10' 0'' (3.05m x 3.05m))</strong><br><br>Double glazed leaded window to front. Coving. Fitted wardrobes. Radiator. Access to bedroom 1. Carpet.<br><br><strong>Bedroom 4</em> (9' 0'' x 7' 0'' (2.74m x 2.13m))</strong><br><br>Double glazed leaded window to front. Picture rail. Radiator. Laminate flooring.<br><br><strong>Bathroom</em> (10' 3'' x 7' 3'' (3.12m x 2.21m))</strong><br><br>Part tiled walls. Double glazed frosted leaded window to rear. Panelled bath. Shower cubicle. Low level wc. Wash hand basin in vanity unit. Wall lights. Radiator. 'Amtico' flooring.<br><br><strong>Rear Garden</em> (84' 0'' x 64' 0'' (25.58m x 19.49m))</strong><br><br>Stunning secluded rear garden. Patio. Decking. Pond. Side access. Greenhouse. Outside tap. Feature lighting. Laid to lawn. Mature shrubs and trees. Shed.<br><br><strong>Front Garden</strong><br><br>Block paved with off street parking for one car. Shrubs.<br><br><strong>Garage / Storage</strong><br><br>Power and light. Single glazed hardwood double doors. Storage.<br><br><strong>Council Tax</strong><br><br>Band E.","['Stunning extended four bedroom semi detached house', 'Reception room', 'Luxury fitted kitchen / breakfast room', 'Utility room', 'Ground floor shower room and wc', 'Master bedroom with private balcony', 'Generous bathroom', 'Stunning rear garden', 'Garage / storage', 'Off street parking']",,4 bed semi-detached house for sale,51.445904,0.129417,Just added
5,/for-sale/details/59088387/,Listed on 5th Jul 2021,Bexley,2021-07-05,Drewerys Property Consultants,020 3641 5006,False,"Knoll Road, Sidcup DA14",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 4, 'numBathrooms': 1, 'numLivingRooms': 3}",900000,semi_detached,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-05 10:44:15', 'priceLabel': '£900,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2010-05-07', 'newBuild': False, 'price': 499950, 'priceLabel': '£499,950', 'recentlySold': False}, 'priceChanges': None}",,,"<em>Full</em> <em>description</em> guide price: £900,000 - £925,000<br>Offered for sale is this stunning 4 bedroom Edwardian house that offers so much space and character throughout. The property is beautifully presented throughout and sits in a highly desirable location close to Merton Court Preparatory school as well as giving easy access to other great schools along with local shops and the train station. The house is well set back from the road offering a grand approach and parking for several cars.<br><br>The house itself briefly comprises of: Entrance hall, large lounge leading to separate dining area, breakfast room and separate kitchen giving direct access to the garden, whilst to the first floor can be found three double bedrooms, fourth single bedroom, bathroom and separate wc.<br><br>Externally there is the large driveway to the front and a large lawned rear garden with patio area.<br><br>This is a great chance to purchase an Edwardian house that offers space, character and that has been beautifully maintained by its current owners.<br><br><em>Entrance</em> <em>hall</em><br><br><em>Lounge</em> <em>14' 9"" x 14' 0"" (4.5m x 4.27m)</em> leading directly into<br><br><em>Dining</em> <em>area</em> <em>13' 11"" x 13' 4"" (4.24m x 4.06m)</em><br><br><em>Breakfast</em> <em>room</em> <em>10' 3"" x 9' 11"" (3.12m x 3.02m)</em><br><br><em>Kitchen</em> <em>11' 1"" x 9' 11"" (3.38m x 3.02m)</em><br><br><em>First</em> <em>floor</em> <em>landing</em><br><br><em>Master</em> <em>bedroom</em> <em>13' 0"" x 12' 6"" (3.96m x 3.81m)</em><br><br><em>Bedroom</em> <em>two</em> <em>13' 2"" x 11' 0"" (4.01m x 3.35m)</em><br><br><em>Bedroom</em> <em>three</em> <em>12' 4"" x 9' 11"" (3.76m x 3.02m)</em><br><br><em>Bedroom</em> <em>four</em> <em>9' 5"" x 6' 2"" (2.87m x 1.88m)</em><br><br><em>Bathroom</em> <em>6' 5"" x 5' 7"" (1.96m x 1.7m)</em><br><br><em>Separate</em> <em>wc</em><br><br><em>Outside</em> Large driveway to the front.<br>Large lawned rear garden with patio area.","['4 bedrooms', 'Off street parking for at least 4 cars', 'Excellent condition throughout', 'Close to Merton Court Preparatory School', 'Potential to extend further (STPP)', 'Wooden floors', 'Feature fireplaces', 'Large Garden']",,4 bed semi-detached house for sale,51.4225,0.111481,Just added
6,/for-sale/details/59087741/,Listed on 5th Jul 2021,Bexley,2021-07-05,Acorn - Northumberland Heath,020 3641 7138,True,"Park Crescent, Erith DA8",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 3, 'numBathrooms': 1, 'numLivingRooms': 2}",400000,semi_detached,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-05 09:57:34', 'priceLabel': '£400,000'}, 'lastSale': None, 'priceChanges': None}",,freehold,"** Guide Price £400,000 - £410,000 **<br>Set on one of Erith's premium roads is this three bedroom extended, semi detached family home which is offered with no onward chain. The property does require some modernisation throughout allowing the new owner to put their own stamp on the property.<br><br>Accommodation comprises to the ground floor spacious through lounge with fireplace, extended kitchen, sun room, car port and W.C. To the first floor are two double bedrooms with fitted wardrobes, single bedroom and a shower room.<br><br>Externally to the front there is ample off road parking with access to a car port. The rear garden is mainly laid to lawn with a detached garage which has power and light. Further benefits include being situated close to Erith station, double glazing throughout, desirable road and well positioned for popular local schools.<br><br>Energy Efficiency Rating E.","['No Onward Chain', 'Detached Garage', 'Car Port', 'Extended Kitchen', 'Sun Room', 'Desirable Road', 'Off Road Parking', 'Energy Efficiency Rating E']",,3 bed semi-detached house for sale,51.478581,0.177673,Just added
7,/for-sale/details/51416261/,Listed on 5th Jul 2021,Bexley,2021-07-05,Village Estates (Bexley) Ltd,01322 584834,True,"North Cray Road, Bexley DA5",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 4, 'numBathrooms': 2, 'numLivingRooms': 2}",670000,semi_detached,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-05 08:30:00', 'priceLabel': '£670,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2001-10-25', 'newBuild': False, 'price': 227500, 'priceLabel': '£227,500', 'recentlySold': False}, 'priceChanges': None}",,freehold,"Guide price £670,000 - £690,000 Village Estates are pleased to offer to the market this well presented and spacious four double bedroom family home. Situated within a short walk of the River Cray, Bexley Village and its many local restaurants and pubs, train station and schools. Offering a large garden and generous living accommodation, with the benefit of no forward chain viewing comes highly recommended.....<br><br><strong>Entrance Hall</em> (16' 9'' x 6' 1'' (5.10m x 1.85m))</strong><br><br>Double glazed front door. Under stairs storage cupboard. Radiator. Laminate floor. Coved ceiling.<br><br><strong>Cloakroom</strong><br><br>Low flush wc. Wash hand basin. Extractor fan. Tiled walls. Laminate floor.<br><br><strong>Reception 1</em> (17' 10'' x 13' 0'' (5.43m x 3.96m))</strong><br><br>Double glazed window to front. Feature fire place. Fitted carpet. Two radiators. Coved ceiling.<br><br><strong>Reception 2</em> (19' 3'' x 13' 11'' (5.86m x 4.24m))</strong><br><br>Double glazed French doors to garden. Double glazed French doors to Conservatory. Radiator. Laminate floor. Coved ceiling.<br><br><strong>Conservatory</em> (11' 10'' x 10' 0'' (3.60m x 3.05m))</strong><br><br>Double glazed. Double glazed French doors to garden. Laminate floor.<br><br><strong>Kitchen</em> (12' 9'' x 7' 9'' (3.88m x 2.36m))</strong><br><br>Double glazed window to rear. Range of fitted wall, base and drawer units with granite work surfaces. Space for range cooker. 1.5 bowl sink unit with drainer and mixer tap. Cupboard housing boiler. Integrated dishwasher. Wine cooler. Amtico floor. Coved ceiling.<br><br><strong>Utility Room</em> (7' 8'' x 6' 4'' (2.34m x 1.93m))</strong><br><br>Door to garden. Plumbed for washing machine and tumble dryer. Plumbed for American fridge freezer. Wall units. Part tiled walls. Amtico floor.<br><br><strong>Landing</em> (17' 11'' x 7' 3'' (5.46m x 2.21m))</strong><br><br>Double glazed window to side. Office area. Double glazed window to front. Carpet. Radiator.<br><br><strong>Master Bedroom</em> (16' 6'' x 12' 4'' (5.03m x 3.76m))</strong><br><br>Double glazed bay window to front. Fitted carpet. Radiator.<br><br><strong>Bedroom 2</em> (13' 4'' x 10' 8'' (4.06m x 3.25m))</strong><br><br>Double glazed window to rear. Fitted wardrobes. Fitted carpet. Radiator.<br><br><strong>Bedroom 3</em> (14' 6'' x 12' 6'' (4.42m x 3.81m))</strong><br><br>Double glazed window to front. Fitted carpet. Radiator.<br><br><strong>Bedroom 4</em> (14' 3'' x 12' 8'' (4.34m x 3.86m))</strong><br><br>Double glazed window to rear. Eave storage. Fitted carpet. Radiator.<br><br><strong>Bathroom</em> (8' 9'' x 6' 11'' (2.66m x 2.11m))</strong><br><br>Double glazed window to front. Shower cubicle. Low flush wc. Vanity sink unit. Airing cupboard. Panelled bath. Tiled floor. Tiled walls.<br><br><strong>Garden</em> (Approx 180' (54.82m))</strong><br><br>Mainly laid to lawn. Patio area. Vegetable garden area. Outside tap. Side access. Four timber sheds, Greenhouse. Office/summerhouse. Mature bushes, shrubs and trees. Backing on to River Cray.<br><br><strong>Front Garden</strong><br><br>Off road parking for 5/6 cars.<br><br><strong>Ecp Rating D</strong>","['Four double bedrooms', 'Off road parking for 5/6 cars', 'Large garden', 'Office/summerhouse', 'Conservatory', 'Utility room', 'Close to local amenities &amp; schools', 'Close to the river cray', 'No forward chain', 'Bexley village location']",,4 bed semi-detached house for sale,51.437084,0.149914,Just added
8,/for-sale/details/54621750/,Listed on 5th Jul 2021,Bexley,2021-07-05,Village Estates (Sidcup) Ltd,020 8115 9944,False,"Templemore, 73 Sidcup Hill DA14",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 1, 'numBathrooms': 1, 'numLivingRooms': 1}",215000,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-05 08:15:03', 'priceLabel': '£215,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2017-06-28', 'newBuild': False, 'price': 222000, 'priceLabel': '£222,000', 'recentlySold': False}, 'priceChanges': None}",,leasehold,"* * guide price £215,000 - £225,000 * * Conveniently located for sidcup high street and offered with a share of freehold, this one bedroom ground floor apartment comes to the market in excellent decorative order and has the added benefit of a garage.","['**360 virtual tour available**', 'Gas central heating', 'Ideal for A first time buyer', 'Garage en bloc', 'Modern kitchen', 'Close to sidcup high street']",,1 bed flat for sale,51.422489,0.110335,Just added
9,/for-sale/details/59086236/,Listed on 5th Jul 2021,Bexley,2021-07-05,Acorn - Belvedere,01322 584027,False,"Elstree Gardens, Belvedere DA17",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 3, 'numBathrooms': 1, 'numLivingRooms': 1}",400000,semi_detached,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-05 00:57:20', 'priceLabel': '£400,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2015-10-29', 'newBuild': False, 'price': 299000, 'priceLabel': '£299,000', 'recentlySold': False}, 'priceChanges': None}",,freehold,"** Guide Price £400,000 - £410,000 **<br>Occupying a generous plot, located in a sought after road backing onto allotments and woodland, within close reach of Abbey Wood train station, is this well presented three bedroom semi-detached home. There is huge potential for a double story extension (STPP) the current owners already have extension plans drawn up which will be submitted to the council.<br><br>Boasting modern décor throughout the property boasts an entrance hall, bright and airy 23ft lounge/diner and modern fitted kitchen to the ground floor. To the first floor are three well-proportioned bedrooms and three piece bathroom suite.<br><br>Externally the property boasts a low maintenance rear garden and street parking. Further benefits to note include double glazing, central heating throughout and garage to the side.<br><br>The property is situated close to a number of local amenities, primary schools and transport links including Abbey Wood train station just an 0.7mile walk on the flat which is soon to become a Crossrail with fast links into London.<br>Energy Efficiency Rating D.","['Three Bedrooms', 'Semi Detached', '23ft Lounge/Diner', 'Modern Kitchen', 'Garage to side', 'Large Garden', 'Huge extension potential (STPP)', 'Energy Efficiency Rating D']",,3 bed semi-detached house for sale,51.489801,0.135309,Just added
