,Link,Listed,Borough,date_listed,agency_name,agency_phone,chain_free,address,isRetirementHome,isSharedOwnership,listingCondition,listingStatus,RoomCount,price,propertyType,isAuction,priceHistory,floorArea,tenure,detailedDescription,features,furnishedState,title,latitude,longitude,statusSummary
0,/for-sale/details/59036831/,Listed on 29th Jun 2021,Hammersmith,2021-06-29,The London Broker,020 8115 8791,False,"Chesson Road, London W14",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 1, 'numBathrooms': 1, 'numLivingRooms': 1}",595000,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-06-29 16:06:44', 'priceLabel': '£595,000'}, 'lastSale': None, 'priceChanges': None}",,leasehold,"With the advantage of its own access, the flat has been completely renovated to a very high standard throughout and boasts a sunny south facing garden.<br><br>With the advantage of its own access, the flat has been completely renovated to a very high standard throughout and boasts a sunny south facing garden.<br><br>The accommodation comprises a bright double bedroom with built in wardrobe, modern bathroom, open reception room with French doors leading out to the garden. The kitchen is well equipped and benefits from a breakfast bar and further French doors to the garden.&lt;br /&gt;&lt;br /&gt;Chesson Road is a tree-lined street, situated moments from West Kensington and Barons Court and Earls Court. With fantastic transport links from West Kensington, West Brompton (Overground and District line), Earls Court and Barons Court stations (District and Piccadilly line). The famous Queens Club is within walking distance.",,,1 bed flat for sale,51.486115,-0.203511,Just added
1,/for-sale/details/59036191/,Listed on 29th Jun 2021,Hammersmith,2021-06-29,Dexters - West Kensington,020 7381 6381,True,"Edith Road, London W14",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 3, 'numBathrooms': 2, 'numLivingRooms': 2}",995000,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-06-29 15:18:35', 'priceLabel': '£995,000'}, 'lastSale': None, 'priceChanges': None}",,share_of_freehold,"A substantial three bedroom property situated over two floors with a great size garden. The property has a large double reception with separate kitchen and two bathroom and a separate WC.<br><br>Located in one of the best roads in West Kensington and within easy reach of Barons Court, West Kensington and Olympia stations.","['Share Of Freehold', 'No Chain', 'Potential To Extend Subject To Planning', 'Three Bedrooms', 'Over 1200 Sq/Ft', 'Fantastic Location']",,3 bed flat for sale,51.492066,-0.20866,Just added
2,/for-sale/details/59036146/,Listed on 29th Jun 2021,Hammersmith,2021-06-29,Portico - Hammersmith,020 3478 3367,False,"Percy Road, London W12",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 1, 'numBathrooms': None, 'numLivingRooms': None}",379500,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-06-29 15:16:42', 'priceLabel': '£379,500'}, 'lastSale': None, 'priceChanges': None}",,share_of_freehold,"A beautiful, spacious one bedroom first floor Victorian conversion on a lovely residential road just a short walk from Ravenscourt Park and the District Line. The property includes a stylish open plan kitchen ⁄ reception room which is incredibly light and modern. The kitchen has plenty of storage space and built in appliances. The double bedroom has double doors which lets in plenty of natural light and the bathroom is modern and neutrally decorated.<br><br>The ideal location offers easy access into central London and surrounding areas. Shepherds Bush Market or Goldhawk Road underground servicing the Hammersmith and City and Circle lines are within walking distance. Numerous bus routes are also available from Askew Road, Goldhawk Road and Uxbridge Road, making access into central London or neighbouring suburbs such as Fulham, Notting Hill and Hammersmith really easy. Major roads including the A40 and M4 are also easily accessible.<br><br>Percy Road has an abundance of amenities nearby. Nestled between Ravenscourt park, Askew Road and Shepherds Bush, a wonderful range of restaurants, shops and pubs are all within walking distance. Askew Road offers both independent cafes and restaurants as well as the more popular high street names. For those who would like outside space within walking distance, Ravenscourt Park offers tennis courts, basketballs courts and a cafe.<br><br>The property is perfect for first time buyers or investors.","['1 Bedroom', 'Bright and Spacious', 'Open Plan Kitchen Reception', 'Walk to Ravenscourt Park', 'District Line Nearby', 'Excellent Shops and Restaurants', 'Modern Condition']",,1 bed flat for sale,51.502546,-0.239474,Just added
3,/for-sale/details/59035920/,Listed on 29th Jun 2021,Hammersmith,2021-06-29,Chestertons - Parsons Green,020 8115 2457,False,"Fulham Park Gardens, Parsons Green, London SW6",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 1, 'numBathrooms': 1, 'numLivingRooms': 1}",550000,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-06-29 15:00:58', 'priceLabel': '£550,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2007-08-10', 'newBuild': False, 'price': 357000, 'priceLabel': '£357,000', 'recentlySold': False}, 'priceChanges': None}",,leasehold,"A very bright apartment accessed through a private front door leading to a spacious bay fronted reception room with kitchen area, double bedroom with built in wardrobes, bathroom, and a 30ft south facing landscaped garden shared with flat above.<br><br>Fulham Park Gardens is a picturesque residential street within easy reach of Fulham High Street, New Kings Road and Fulham Road, each providing a large selection of boutiques shops and restaurants. Parsons Green and Putney Bridge underground stations (District Line) are also both a short walk away.","['Bright and spacious apartment', 'Open plan kitchen/reception room', 'Double bedroom, bathroom', 'South facing communal garden']",,1 bed flat for sale,51.471898,-0.206688,Just added
4,/for-sale/details/59035762/,Listed on 29th Jun 2021,Hammersmith,2021-06-29,Savills - Bishops Park,020 8022 3391,False,"Ranelagh Mansions, New Kings Road, London SW6",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 1, 'numLivingRooms': 1}",799950,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-06-29 14:47:09', 'priceLabel': '£799,950'}, 'lastSale': None, 'priceChanges': None}",,share_of_freehold,"An impressive two bedroom apartment, located within a beautifully presented mansion block.<br><br><strong>Location</strong><br><br>Ranelagh Mansions is conveniently located just off the New Kings Road benefiting from extensive local amenities including cafes, restaurants and boutique shops.<br><br>The property is approximately 0.4 miles from Putney Bridge and approximately 0.5 miles from Parsons Green Underground Stations, both of which have access to the District Line. Local bus links are accessible on both the New Kings Road and Fulham Road that offer routes to central London.<br><br>Ranelagh Mansions has also very recently undergone extensive refurbishments to the internal and external areas<br><br><strong>Description</strong><br><br>On entering the property you'll find a wide entrance hallway, leading you through to a bright reception room.<br><br>There is then a large separate kitchen with ample storage/ surface space and plenty of room for a dining table.<br><br>There are two large double bedrooms both benefiting from built in wardrobes and a modern family bathroom.<br><br>Square Footage: 890 sq ft","['Share of freehold', 'Excellent ceiling height', 'Sought after mansion block', 'Lateral living', 'Sought after location']",,2 bed flat for sale,51.471738,-0.204491,Just added
5,/new-homes/details/57390578/,Listed on 29th Jun 2021,Hammersmith,2021-06-29,Foxtons - New Homes West,020 8115 8068,True,"Fulham Reach, Fulham, London W6",False,False,new,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 1, 'numBathrooms': 1, 'numLivingRooms': 1}",795000,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-06-29 14:18:16', 'priceLabel': '£795,000'}, 'lastSale': None, 'priceChanges': None}",,,"Offering a distinctive style in superb surrounding by the River Thames, this amazing 1 bedroom ground floor apartment boasts a modern open-plan integrated kitchen, private terrace and access to on-site facilities.<br><br>Fulham Reach is superbly located by the riverside and a 2 minute walk along a Boulevard for buzzing cafes, shops and spaces to socialise. Fulham Palace Road is nearby and the many shops, eateries and bars around Hammersmith and Barons Court.","['Outstanding 1 bedroom ground floor apartment', 'Carefully designed detail and high specification', 'Modern open-plan fully integrated European kitchen', 'Includes a private terrace', '10 year NHBC warranty', 'Exclusive membership of Tamesis lifestyle club', 'Wine cellar, swimming pool, gym, screening room, spa, virtual golf', 'Fulham Reach Boat Club offering rowing and paddle sports']",,1 bed flat for sale,51.48575,-0.225099,Just added
6,/for-sale/details/59033699/,Listed on 29th Jun 2021,Hammersmith,2021-06-29,Knight Frank - Fulham Sales,020 8022 5632,False,"Fulham Park Road, Fulham SW6",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 6, 'numBathrooms': 4, 'numLivingRooms': 4}",5750000,detached,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-06-29 12:08:14', 'priceLabel': '£5,750,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2012-02-29', 'newBuild': False, 'price': 3650000, 'priceLabel': '£3,650,000', 'recentlySold': False}, 'priceChanges': None}","{'__typename': 'FloorArea', 'unitsLabel': 'sq. ft', 'value': 4109}",,"Located on Fulham Park Road, The Turret is one of the most unique houses on the street due to its distinguishing spiral tower and beautiful period architecture. The property is gated with access from a private entrance and sliding driveway gate that allows for off-street parking.<br><br>Opening on the ground floor into an entrance hall that leads through to two reception rooms, an expansive kitchen/dining room, utility room, WC, and cloakroom. The smaller reception room boasts a grand bay window, fireplace, bookshelves and could be used as a large home office. The larger reception room spans 23'1 ft with natural light flooding through from the identical bay window and is a wonderful family room.<br><br>This opens through to the kitchen and dining room, which has additional reception space and spans an impressive 31'7ft. The elegant kitchen has been designed to an exceptional standard with a large central kitchen island, fully integrated appliances, a gas stove, an abundance of storage, and leads through to the useful utility room. The reception and dining area has been fitted with a feature shelving wall, large skylights and wide bi-folding doors. The impressive gardens has been landscaped with patio in the forefront, decking and grass area, whilst surrounded with a wide variety of planting to create a delightful outdoor area to enjoy throughout the year.<br><br>The lower ground floor has direct access into the house and can be access via a private entrance. There is a large reception room that benefits from wall-length storage, a mirrored feature wall and LED coving lighting. This room could also be used for a home gym. The double bedroom has been newly decorated and includes a private ensuite with a bathtub and shower. There is a second kitchen/utility room, WC and plant room on this floor. There is good ceiling height throughout and as it can be self-contained, it is ideal for an au pair or live in nanny.<br><br>On the first floor lays the principal bedroom which features a beautiful balcony, a large walk-in wardrobe and an impressive ensuite bathroom. Within the ensuite, the turret is located above the free-standing bathtub that elegantly holds a chandelier. There is a glass walk-in shower, wide vanity unit with a small LED beauty mirror, and further storage. There are two further double bedrooms and an ensuite shower room on this floor. On the second floor there are two double bedroom fitted with built-in wardrobes, a family bathroom and a storage room.<br><br>The entire house boasts natural light throughout and has been designed to a sophisticated style, perfect for a large family.<br><br>Fulham Park Road is a quiet residential street that is primely located for many amenities of the New Kings Road and the Fulham Road. These include Parsons Green, The Hurlingham Club, Bishops Park, restaurants, shops, bars, coffee houses.<br><br>The property is situated within close walking distance of Parsons Green and Putney Bridge underground stations (District line), as well as many useful bus links into Central London close by.","['6 bedrooms', '3 - 4 reception rooms', '4 bathrooms', 'Period', 'Balcony', 'Detached', 'Garden', 'Parking', 'Town/City', 'Private Parking']","{'__typename': 'Label', 'name': 'unfurnished', 'label': 'Unfurnished'}",6 bed detached house for sale,51.4726,-0.2071,Just added
7,/for-sale/details/59032707/,Listed on 29th Jun 2021,Hammersmith,2021-06-29,Chestertons - Munster Road Sales,020 8115 2514,False,"Munster Road, Fulham, London SW6",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 2, 'numLivingRooms': 1}",700000,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-06-29 10:58:31', 'priceLabel': '£700,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2019-09-26', 'newBuild': False, 'price': 740000, 'priceLabel': '£740,000', 'recentlySold': False}, 'priceChanges': None}",,share_of_freehold,"A fantastic 2 bedroom ground floor flat with a west facing private garden. The property is in good decorative order throughout benefiting from a share of the freehold with the bedrooms to the front including an en-suite bathroom to the principal bedroom. The family bathroom is in the middle and the open plan kitchen/reception room is at the rear leading onto the garden.<br><br>Located on Munster Road, just off the Fulham Road, in the desirable 'Munster Village' the property offers doorstep access to the cafes, restaurants and shops both on Munster Road and Fulham Road whilst remaining within easy reach of the Parsons Green area including extensive transport links.<br><br>The property is well served by local parks including Bishops Park taking in the open lawns &amp; recreational amenities of Fulham Palace, and highly rated nearby schools including Kensington Prep, Fulham Prep, Parsons Green Prep and Lady Margaret’s as well as a range of well-regarded local nurseries.","['A Stunning 2 Bedroom 2 Bathroom Ground Floor Garden Flat', 'West Facing Garden: Share Of Freehold: Good Decorative Order', 'Sought After Location In The Munster Village Area Of Fulham']",,2 bed flat for sale,51.477869,-0.210831,Just added
8,/new-homes/details/59032550/,Listed on 29th Jun 2021,Hammersmith,2021-06-29,Latymers,020 8033 1919,True,"Higham House West, Carnwath Road, Fulham SW6",False,False,new,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 2, 'numLivingRooms': 1}",1050000,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-06-29 10:44:27', 'priceLabel': '£1,050,000'}, 'lastSale': None, 'priceChanges': None}","{'__typename': 'FloorArea', 'unitsLabel': 'sq. ft', 'value': 827}",,"<strong>Detailed Description</strong><br><br>This St. James designed mansion style apartment living has arrived in Fulham and the development is overlooking a beautifully landscaped private courtyard garden. This property is on the second floor features a spacious living room with a open plan kitchen, with access onto a balcony, it has two double bedrooms with ample storage and has two bathrooms (one being en-suite) and boasts a superb specification and exceptional quality finish throughout.<br><br>The development has a concierge service and dedicated underground parking included.","['New build development', 'Two double bedrooms', 'Two bathrooms (one being an en-suite)', 'Spacious living room with access onto a terrace', 'Lovely fully fitted open plan kitchen', 'Superb specification and exceptional quality finish throughout', 'Ample built in storage', 'Beautifully landscaped private courtyard garden', 'Dedicated underground parking included', 'Concierge service']",,2 bed flat for sale,51.465531,-0.195974,Just added
9,/for-sale/details/59032175/,Listed on 29th Jun 2021,Hammersmith,2021-06-29,Thorgills - Brentford,020 8022 4654,False,"Emlyn Road, London W12",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 4, 'numBathrooms': 2, 'numLivingRooms': 1}",950000,maisonette,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-06-29 10:16:19', 'priceLabel': '£950,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2013-05-28', 'newBuild': False, 'price': 462500, 'priceLabel': '£462,500', 'recentlySold': False}, 'priceChanges': None}",,,"A wonderful maisonette with residents parking and a private garden on a well-connected road in Shepherds Bush. This property benefits from ample fitted storage, spot-lighting, and consists of an open-plan living room, fitted kitchen, two modern bathrooms, an office, and four double bedrooms, three featuring fitted storage, and one benefitting from a Juliet balcony.<br><br>Emlyn Road is a well-connected road that occupies an excellent location on the border of shepherds bush, Acton, and Chiswick. Turnham Green Underground station is easily located within an eight minute walk, while motorists can access the Uxbridge Road. The development is also on the borders of Shepherds Bush, and the array of shopping, dining and leisure opportunities of Westfield Shopping Centre are only a short bus ride away.","['Maisonette', 'Residents Parking', 'Garden', 'Large Open-Plan Living Room', 'Fitted Kitchen', '2 Modern Bathrooms', '4 Double Bedrooms', 'Ample Fitted Storage', 'Skylights', 'Spot-Lighting']",,4 bed maisonette for sale,51.501552,-0.251574,Just added
