,Link,Listed,Borough,date_listed,agency_name,agency_phone,chain_free,address,isRetirementHome,isSharedOwnership,listingCondition,listingStatus,RoomCount,price,propertyType,isAuction,priceHistory,floorArea,tenure,detailedDescription,features,furnishedState,title,latitude,longitude,statusSummary
0,/for-sale/details/59122775/,Listed on 7th Jul 2021,Havering,2021-07-07,"Purplebricks, Head Office",024 7511 8874,False,"Halbutt Street, Dagenham RM9",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 3, 'numBathrooms': 1, 'numLivingRooms': 2}",450000.0,end_terrace,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-07 16:48:32', 'priceLabel': '£450,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2004-05-11', 'newBuild': False, 'price': 160000, 'priceLabel': '£160,000', 'recentlySold': False}, 'priceChanges': None}",,freehold,"Superb Quality Modern Home!<br>We are delighted to present this superb three bedroom light and spacious end terraced property to the market. The property has been, carefully modernised by the owner in our opinion is to a first class standard. Being close to shopping facilities and within easy access to Chadwell Heath main line station. Also, if education is important to your move the property is located catchment area of some of the best schools in the Borough. With recreation being so important today the property offers easy access to local parks and a leisure centre . The property comprises of front reception, open plan kitchen diner, living room with a downstairs W, C. On the first floor three bedrooms and modern family three piece bathroom. Externally a good size superb garden and secure off road parking. Benefits: Triple glazing, gas central heating, modern fitted kitchen, modern bathroom, Siemens appliances 6 months old, air conditioning in the lounge, smart heating system with smart smoke alarm system and smart intruder alarm connected 24 hrs assist CCTV 24 hour observation, modern fitted wardrobes and superb modern décor.<br><br>This really is a property not to be missed, book your viewing today as properties like this, will not stay on the market long!<br><br><strong>Off Road Parking</strong><br><br>Off road parking secured by security gates<br><br><strong>Porch</strong><br><br>Porch. Via door.<br><br><strong>Entrance Hallway</strong><br><br>Via front door, access to hallway, radiator and laminated flooring, spot lighting, open plan into kitchen/dining room and stairs to first floor.<br><br><strong>W.c.</strong><br><br>W.C. Low level W.C and pedestal hand basin.<br><br><strong>Kitchen/Diner</strong><br><br>Modern kitchen comprising of draw, wall, base units and integral units, roll top work surfaces, space American style fridge / freezer, four point hob and extractor hood over, with built in oven, bowel sink unit with mixer tap over, breakfast bar, undercounter lighting, spot lighting, plumbed for washing machine, part tiled floor, splash brick style and laminated flooring. Open plan from kitchen to dining room into living room.<br><br><strong>Living Room</strong><br><br>Glazed bay window to rear aspect, glazed door to garden, spot lighting, feature brick wall, laminated flooring and radiator.<br><br><strong>Reception Room</strong><br><br>Double glazed bay window to front aspect, fitted wardrobes, spot lighting, laminated flooring and radiator.<br><br><strong>Landing</strong><br><br>Access to all first floor rooms.<br><br><strong>Bedroom One</strong><br><br>Double glazed window to front aspect, spot lighting, radiator, laminated wood affect flooring.<br><br><strong>Bedroom Two</strong><br><br>Double glazed window to rear aspect, two fitted wardrobes, spot lighting, laminated flooring and radiator.<br><br><strong>Bedroom Three</strong><br><br>Double glazed window to rear aspect, wall to wall fitted wardrobes, spot lighting radiator and laminated wood affect flooring.<br><br><strong>Bathroom</strong><br><br>Glazed window to front aspect, modern three piece bathroom comprises panel enclosed bath with shower attachment over with shower screen, wash hand basin, low level close coupled W/C fully ceramic tiled walls, extractor fan, tiled flooring and heated towel rail.<br><br><strong>Garden</strong><br><br>Fenced borders with rear decked patio area, fitted storage with seating, shed, gated door to rear and laid lawn.<br><br><strong>General Information</strong><br><br>Siemens appliances 6ths old<br><br>Air conditioning lounge.<br><br>Smart heating system and smart smoke alarm system and smart intruder alarm connected 24 hrs assist CCTV 24 hour observation.<br><br><strong>Disclaimer For Virtual Viewings</strong><br><br>Some or all information pertaining to this property may have been provided solely by the vendor, and although we always make every effort to verify the information provided to us, we strongly advise you to make further enquiries before continuing.<br><br>If you book a viewing or make an offer on a property that has had its valuation conducted virtually, you are doing so under the knowledge that this information may have been provided solely by the vendor, and that we may not have been able to access the premises to confirm the information or test any equipment. We therefore strongly advise you to make further enquiries before completing your purchase of the property to ensure you are happy with all the information provided.","['Three bedrooms', 'End of terrace house', 'Modern fitted kitchen', 'Two receptions', 'Triple glazed', 'Superb garden', 'Central heating', 'Living room', 'Open plan living', 'Secure off road parking']",,3 bed end terrace house for sale,51.553078,0.143002,Just added
1,/for-sale/details/52729864/,Listed on 7th Jul 2021,Havering,2021-07-07,"Purplebricks, Head Office",024 7511 8874,False,"Tavistock Close, Romford RM3",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 1, 'numLivingRooms': 2}",325000.0,semi_detached,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-07 15:59:03', 'priceLabel': '£325,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2018-08-15', 'newBuild': False, 'price': 305000, 'priceLabel': '£305,000', 'recentlySold': False}, 'priceChanges': None}",,freehold,"* Guide Price £325,000 - £350,000 *<br>(Essential In person viewings available subject to following government guidelines )<br>This exceptionally well presented and modernised two double bedroom house boasts an array of benefits throughout and in our opinion a buyer could move straight in as there is a modern fitted kitchen, new doors, flooring/carpets throughout, modern shower room with a large walk in shower, fitted wardrobes to both bedrooms, garage with an electric door and a new driveway.<br><br>The property is located within a quiet residential road but within easy access to local amenities to Gallows Corner plus Harold Wood station which links into London Liverpool Street Station.<br><br><strong>Entrance Porch</strong><br><br>Via the front door, storage cupboard, front door and door to the garage.<br><br><strong>Dining Area</strong><br><br>8'10"" x 5'11""<br>Radiator, access into the hallway and kitchen.<br><br><strong>Kitchen</strong><br><br>11'6"" x 8'10""<br>Double glazed window to front aspect, fitted kitchen comprising of wall and base units with lightening under neath the wall units and plinth lighting, sink unit with mixer tap over, built in oven and grill, four point induction hob with extractor hood over, integrated fridge/freezer, washing machine and dishwasher.<br><br><strong>Lounge</strong><br><br>14'5"" x 11'6""<br>Double glazed windows to rear aspect, radiator, french doors to rear leading to the conservatory.<br><br><strong>Conservatory</strong><br><br>9'10"" x 8'2""<br>Double glazed windows to side and rear aspect, french doors to side leading to the garden.<br><br><strong>First Floor Landing</strong><br><br>Doors leading to all first floor rooms, access to the loft and a built in cupboard.<br><br><strong>Bedroom One</strong><br><br>14'1"" x 8'10""<br>Double glazed window to rear aspect, fitted wardrobes, radiator and a walk in cupboard.<br><br><strong>Bedroom Two</strong><br><br>14'9"" x 8'10""<br>Double glazed window to front aspect, fitted wardrobes, radiator.<br><br><strong>Shower Room</strong><br><br>8'2"" x 7'7""<br>Frosted double glazed window to front aspect, walk in shower cubicle, heated towel rail, wash hand basin, heated towel rail.<br><br><strong>Garden</strong><br><br>Mainly paved with a shed.<br><br><strong>Disclaimer For Virtual Viewings</strong><br><br>Some or all information pertaining to this property may have been provided solely by the vendor, and although we always make every effort to verify the information provided to us, we strongly advise you to make further enquiries before continuing.<br><br>If you book a viewing or make an offer on a property that has had its valuation conducted virtually, you are doing so under the knowledge that this information may have been provided solely by the vendor, and that we may not have been able to access the premises to confirm the information or test any equipment. We therefore strongly advise you to make further enquiries before completing your purchase of the property to ensure you are happy with all the information provided.","['Two double bedroom house', 'Extremely high finish throughout', 'Modern first floor shower room', 'Garage', 'Central heating', 'Newly fitted kitchen', 'Conservatory', 'Garden', 'Off road parking']",,2 bed semi-detached house for sale,51.593986,0.215184,Just added
2,/for-sale/details/59120428/,Listed on 7th Jul 2021,Havering,2021-07-07,Auction House London,020 3641 1932,False,"144 Stanley Avenue, Romford, Essex RM2",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 3, 'numBathrooms': None, 'numLivingRooms': None}",300000.0,terraced,True,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-07 15:25:06', 'priceLabel': '£300,000'}, 'lastSale': None, 'priceChanges': None}",,freehold,"<strong></strong><strong>Guide Price =</strong> <strong>£300,000+<br><br>**For Sale By Public Auction 28th July 2021 12:00 pm. To inspect the legal documents for this property go to our website to download the legal pack**<br><br>A Vacant Three Bedroom Mid Terrace House<br><br></strong><strong>Tenure</strong><br>Freehold<br><br><strong>Location</strong><br>The property is situated on a residential road close to local shops and amenities. The open spaces of Lodge Farm Park are within easy reach. Transport links are provided by Gidea Park rail station.<br><br><strong>Description</strong><br>The property comprises a three bedroom mid terrace house arranged over ground and first floors.<br><br><strong>Accommodation</strong><br><strong>Ground Floor</strong><br>Reception Room<br>Kitchen<br><br><strong>First Floor</strong><br>Three Bedrooms<br>Bathroom<br><br><strong>Exterior</strong><br>The property benefits from both front and rear gardens.<br><br><strong></strong><strong>Viewing Appointments to be Confirmed - Please ensure you watch the video walkthrough available prior to enquiring about viewings</strong>",,,3 bed terraced house for sale,51.579712,0.195401,Just added
3,/for-sale/details/59120228/,Listed on 7th Jul 2021,Havering,2021-07-07,"Purplebricks, Head Office",024 7511 8874,False,"Arlington Gardens, Romford RM3",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 4, 'numBathrooms': 1, 'numLivingRooms': 1}",500000.0,semi_detached,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-07 15:09:00', 'priceLabel': '£500,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2000-03-01', 'newBuild': False, 'price': 147500, 'priceLabel': '£147,500', 'recentlySold': False}, 'priceChanges': None}",,freehold,"Situated in a desirable location, is this four bedroom semi-detached family home with an abundance of potential.<br><br>Accommodation comprises four bedrooms, a bright &amp; airy living room, separate sitting room, kitchen, master bathroom, shower room and a utility room. The property also benefits from a driveway for numerous vehicles cars and a substantial south-west facing garden.<br><br>It also has bundles of potential to extend in various ways (subject to planning permission) including to the side, rear and loft. The property does require some modernisation in places but would make the ideal family home<br><br>Situated within easy access to local amenities, transport links to include Harold Wood station which benefits from Crossrail connectivity, bus routes to Romford and Brentwood along with road links to the A12/A127/M25.<br><br>A viewing is highly advised.<br><br><strong>Disclaimer For Virtual Viewings</strong><br><br>Some or all information pertaining to this property may have been provided solely by the vendor, and although we always make every effort to verify the information provided to us, we strongly advise you to make further enquiries before continuing.<br><br>If you book a viewing or make an offer on a property that has had its valuation conducted virtually, you are doing so under the knowledge that this information may have been provided solely by the vendor, and that we may not have been able to access the premises to confirm the information or test any equipment. We therefore strongly advise you to make further enquiries before completing your purchase of the property to ensure you are happy with all the information provided.","['Potential to extend in various ways (stpp)', 'Off street parking for numerous cars', 'Great room proportions', 'Walking distance to harold wood station', 'Quiet residential location', 'School catchment area']",,4 bed semi-detached house for sale,51.594938,0.226175,Just added
4,/for-sale/details/59119332/,Listed on 7th Jul 2021,Havering,2021-07-07,"Purplebricks, Head Office",024 7511 8874,True,"Camborne Way, Romford RM3",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 3, 'numBathrooms': 1, 'numLivingRooms': 1}",400000.0,semi_detached,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-07 13:57:04', 'priceLabel': '£400,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2017-12-19', 'newBuild': False, 'price': 300000, 'priceLabel': '£300,000', 'recentlySold': False}, 'priceChanges': None}",,freehold,"A delightful fully refurbished throughout three bedroom end of terraced house boasting bright and modern interiors, great room proportions and a wonderful private garden.<br><br>Composed of a charming reception room with a separate modern kitchen/dining area opening to a good sized garden. Three bedrooms and a front driveway complete this fantastic property.<br><br>The location is ideal for a family as it is in close proximity to a local primary school, and playing grounds. Harold Wood Station is just a short walk and provides great train links, including Crossrail which is due to commence soon. If you want to venture out a little then you have easy access to major road links including A12/A127 and M25.<br><br>Offered chain free.<br><br><strong>Disclaimer For Virtual Viewings</strong><br><br>Some or all information pertaining to this property may have been provided solely by the vendor, and although we always make every effort to verify the information provided to us, we strongly advise you to make further enquiries before continuing.<br><br>If you book a viewing or make an offer on a property that has had its valuation conducted virtually, you are doing so under the knowledge that this information may have been provided solely by the vendor, and that we may not have been able to access the premises to confirm the information or test any equipment. We therefore strongly advise you to make further enquiries before completing your purchase of the property to ensure you are happy with all the information provided.","['Well presented throughout', 'Off street parking', 'Walking distance to harold wood station', 'Offered chain free', 'Potential to extend to the rear and loft (stpp)', 'Perfect for first time buyers']",,3 bed semi-detached house for sale,51.599186,0.228837,Just added
5,/for-sale/details/59118052/,Listed on 7th Jul 2021,Havering,2021-07-07,Your Move - Chadwell Heath,020 3478 3602,False,"Edith Road, Chadwell Heath, Romford RM6",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 3, 'numBathrooms': None, 'numLivingRooms': None}",450000.0,,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-07 12:16:25', 'priceLabel': '£450,000'}, 'lastSale': None, 'priceChanges': None}",,freehold,"Your Move Glenwood estate agents are pleased to offer for sale this three bedroom mid-terraced house for sale in Chadwell Heath. The property comprises: Two 12ft reception rooms, 17ft dining area, 8ft kitchen, two 12ft bedrooms, 8ft bedroom, and a first floor shower room/WC. The property also benefits from an approximately 30ft rear garden, and off-street parking. EPC Rating- E. The property is located within approximately 0.3 miles of Chadwell Heath Station (which is part of the Crossrail project).<br><br>The property is located within the London Borough of Redbridge, which is renowned for its award-winning parks, excellent transport links, thriving shopping areas, and high-performing schools.<br><br><strong>Reception Room</em> (3.68m x 3.73m)</strong><br><br><strong>Reception Room 2</em> (3.30m x 3.86m)</strong><br><br><strong>Dining Area</em> (2.01m x 5.18m)</strong><br><br><strong>Kitchen</em> (2.16m x 2.57m)</strong><br><br><strong>Bedroom 1</em> (3.51m x 3.71m)</strong><br><br><strong>Bedroom 2</em> (3.66m x 4.32m)</strong><br><br><strong>Bedroom 3</em> (1.98m x 2.59m)</strong><br><br><strong>Shower Room / WC</em> (1.78m x 1.80m)</strong><br><br><strong>Rear Garden</strong><br><br>Approximately 30ft x 18ft<br><br>Important note to purchasers:<br><br>We endeavour to make our sales particulars accurate and reliable, however, they do not constitute or form part of an offer or any contract and none is to be relied upon as statements of representation or fact. Any services, systems and appliances listed in this specification have not been tested by us and no guarantee as to their operating ability or efficiency is given. All measurements have been taken as a guide to prospective buyers only, and are not precise. Please be advised that some of the particulars may be awaiting vendor approval. If you require clarification or further information on any points, please contact us, especially if you are travelling some distance to view. Fixtures and fittings other than those mentioned are to be agreed with the seller.<br><br>/3","['Mid-Terraced House', 'Three Bedrooms', 'Off-Street Parking', 'EPC Rating- E', 'Two Reception Rooms', 'First Floor Shower Room/WC', '17ft Dining Area', 'Approx 30ft Rear Garden', '0.3 Miles To Chadwell Heath Station', 'Redbridge borough']",,3 bed property for sale,51.57066,0.128367,Just added
6,/for-sale/details/59117459/,Listed on 7th Jul 2021,Havering,2021-07-07,Carter & Willow,020 8128 9425,True,"Ludlow Court, Dagenham RM10",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 1, 'numBathrooms': 1, 'numLivingRooms': 1}",190000.0,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-07 11:54:41', 'priceLabel': '£190,000'}, 'lastSale': None, 'priceChanges': None}","{'__typename': 'FloorArea', 'unitsLabel': 'sq. ft', 'value': 491}",leasehold,"Carter &amp; Willow offer for sale this 1 bedroom purpose built flat located on the ground floor of a modern block in the St Marks Place development which is located within a 10-minute walk (0.2 miles) from Dagenham Heathway Station (District line). The property also offers allocated parking, secure entry, gas central heating, open plan reception room/kitchen and double glazing. Chain Free. EPC rating C.<br><br>Hall<br><br>Reception room 5.39m (17' 8"") x 3.33m (10' 11"")<br><br>Kitchen 2.71m (8' 11"") x 2.43m (8' 0"")<br><br>Bedroom One 4.21m (13' 10"") x 3.62m (11' 11"")<br><br>Bathroom<br><br>Consumer Protection<br>Carter &amp; Willow Estate Agents is the seller's agent for this property. Your conveyancer is legally responsible for ensuring any purchase agreement fully protects your position. We make detailed enquiries of the seller to ensure the information provided is as accurate as possible. Please inform us if you become aware of any information being inaccurate.","['Ground floor flat', 'One bedroom', 'Open plan living room/kitchen', 'Allocated parking', 'Modern block', 'Secure entry', 'Chain free', '0.2 miles to dagenham heathway station']",,1 bed flat for sale,51.542249,0.15292,Just added
7,/new-homes/details/59117376/,Listed on 7th Jul 2021,Havering,2021-07-07,William H Brown Incorporating Porter Glenny - Gidea Park,01708 629398,True,"Walden Road, Hornchurch RM11",False,False,new,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 2, 'numLivingRooms': 1}",625000.0,detached_bungalow,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-07 11:27:41', 'priceLabel': '£625,000'}, 'lastSale': None, 'priceChanges': None}",,freehold,"<strong>Summary</strong><br>goodrington mews, walden road, hornchurch - A select development of stunning 2 bedroom/2 bathroom detached bungalows with private parking and landscaped gardens. Open plan lounge/dining/kitchen with bi-fold doors overlooking the rear garden with patio area, large hallway leading to bedrooms.<br><br><strong>Description</strong><br>Goodrington Mews is within walking distance to Hornchurch Town Centre with its excellent shopping facilities, large supermarkets, wine bars and restaurants.<br>Situated in an excellent location and within walking distance to Emerson Park Station with good connecting road and bus links.<br>Fairkytes Arts Centre is a community arts centre in the heart of Hornchurch offering a wide range of activities for adults and children.<br>The Queens Theatre is also within walking distance of Goodrington Mews and produces shows and entertainment to suit all ages.<br><br><strong>Lounge/kitchen/diner</strong> 14' 5"" x 35' ( 4.39m x 10.67m )<br>Grey emulsion walls, white satinwood skirting and architraves, grey laminate flooring, oak style door with chrome handle, bi-fold doors to rear garden with stone patio.<br>Handless fitted kitchen with quartz glitz stone worktop, AEG integrated fridge/freezer, AEG dishwasher, AEG gas hob with extractor and electric oven.<br><br><strong>Bedroom One</strong> 16' 4"" x 12' ( 4.98m x 3.66m )<br>Grey emulsion walls, white satinwood skirting and architraves, oak style door with chrome handle.<br><br><strong>En-Suite</strong><br>Shower cubicle, wash hand basin &amp; w/c, tiled walls and flooring.<br><br><strong>Bedroom Two</strong> 10' 6"" x 8' 6"" ( 3.20m x 2.59m )<br>Grey emulsion walls, white satinwood skirting and architraves, oak style door with chrome handle.<br><br><strong>Bathroom</strong><br>Contemporary bathroom suite comprising of bath, vanity wash hand basin, w/c, white tiling to walls and grey tiling to floor.<br><br><strong>Agents Notes</strong><br>CGI's, images, dimensions, specifications and plans are provided for guidance purposes only, may be of the surrounding area and not specific to this plot and may differ from the finished development.<br><br>1. Money laundering regulations: Intending purchasers will be asked to produce identification documentation at a later stage and we would ask for your co-operation in order that there will be no delay in agreeing the sale. <br>2. General: While we endeavour to make our sales particulars fair, accurate and reliable, they are only a general guide to the property and, accordingly, if there is any point which is of particular importance to you, please contact the office and we will be pleased to check the position for you, especially if you are contemplating travelling some distance to view the property. <br>3. The measurements indicated are supplied for guidance only and as such must be considered incorrect. <br>4. Services: Please note we have not tested the services or any of the equipment or appliances in this property, accordingly we strongly advise prospective buyers to commission their own survey or service reports before finalising their offer to purchase. <br>5. These particulars are issued in good faith but do not constitute representations of fact or form part of any offer or contract. The matters referred to in these particulars should be independently verified by prospective buyers or tenants. Neither sequence (UK) limited nor any of its employees or agents has any authority to make or give any representation or warranty whatever in relation to this property.","['Brand new two bedroom detached bungalow', 'Parking for two vehicles', 'Bi-fold doors to rear garden with indian stone patio', 'Contemporary white bathroom suite', 'Integrated AEG appliances &amp; quartz glitz stone worktop', 'Viewing highly recommended']",,2 bed detached bungalow for sale,51.57083,0.21755,Just added
8,/for-sale/details/59117139/,Listed on 7th Jul 2021,Havering,2021-07-07,L&Q,020 8022 5439,False,"Simmons Drive, Dagenham RM8",False,True,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 3, 'numBathrooms': 2, 'numLivingRooms': None}",192500.0,semi_detached,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-07 11:06:30', 'priceLabel': '£192,500'}, 'lastSale': None, 'priceChanges': None}",,leasehold,"Full Market Value<br>£385,000<br><br>Share Value(50%)<br>£192,500<br><br>Monthly Rent<br>£389<br><br>Service Charge<br>£26<br><br>Minimum Income<br>£43,313<br><br><em>Shared ownership</em><br><br>Full market value – £385,000<br><br>You pay (50%) - £192,500<br><br>Monthly rent – £389.07<br><br>Service charge - £25.93<br><br>99 year lease commenced in December 2002 (80 years remaining)<br><br>allocated parking (1 space)<br><br>There are an excellent selection of shops in close proximity to this end-terrace home, over three floors. There is a wide variety of high street shops, supermarkets, restaurants and takeaway options nearby, plus two local leisure centres.<br><br>There are excellent primary and scondary schools nearby, with Becontree Primary School and St Theresa Catholic Primary School within 0.4 miles. Secondary schools include The Sydney Russell School within 1.0 miles or Mayfield School within 1.4 miles.<br><br>Local Chadwell Heath Train Station offers services to Liverpool Street. Plus Becontree Underground Station, on the District Line connects you to the City and West End. Local bus links include 368 stopping in Becontree Avenue.<br><br><em>The buyer will require a deposit to obtain a mortgage for this property.</em><br><br>To meet the requirements for this property we require as a guideline, a minimum household income of £43,313. If you are offered the apartment, your ability to afford this property will be assessed at your financial interview. Please note that applicants should purchase the maximum share that they can afford and sustain.<br><br>Only applicants who are registered with London and Quadrant will be eligible to be offered a property in one of our schemes. If you are not registered please visit our website and register to obtain your unique reference number.<br><br><em>Your home is at risk if you fail to keep up repayments on a mortgage, rent or other loan secured on it. Please make sure you can afford the repayments before you take out a mortgage.</em><br><br>These particulars are of opinion only, are intended to give a fair description and do not form the basis of a contract. The descriptions and all other information are believed to be correct as at July 2021.","['Lounge to rear, with patio doors leading to garden laid with lawn', 'Kitchen/diner to front, fitted with beech effect wall and base units with granite effect worktops. Integrated oven and hob, and spaces for fridge freezer and washing machine.', 'Two double bedrooms, and third bedroom on top floor', 'Family bathroom fitted with white suite and glass shower screen.', 'Downstairs toilet on ground floor', 'Downstairs cloakroom.', 'Gas central heating (not tested).', 'Private garden.', 'One allocated parking space.']",,3 bed semi-detached house for sale,51.554189,0.137412,Just added
9,/for-sale/details/59116779/,Listed on 7th Jul 2021,Havering,2021-07-07,The Good Estate Agent,0330 038 9340,False,"Woodshire Road, Dagenham RM10",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 3, 'numBathrooms': 2, 'numLivingRooms': 2}",390000.0,terraced,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-07 10:34:29', 'priceLabel': '£390,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2001-08-17', 'newBuild': False, 'price': 90000, 'priceLabel': '£90,000', 'recentlySold': False}, 'priceChanges': None}",,,"<strong>Situated Within Throwing Distance Of Central Park Is This Extended 3 Bedroom Terraced House. Boasting Ground Floor Cloakroom &amp; First Floor Modern Bathroom, Lounge And Seperate Dining Room, Great Sized Kithcen Plus Gated Side Access From Rear Garden To Front And Off Street Parking. A Short Distance From Dagenham East District Line Staion, Bus Routes To Many Locations, Walking Distance To Central Park With It's Pitch &amp; Put Golf Course And The Chase With Fishing Lakes And Nature Trail. One Not To Be Missed</strong><br><br>Exterior Front:<br><br><ul><br><li>Paved Off Street Parking</li><li>Dropped Kerb</li><li>Gated Side Access to Garden</li></ul><br><br>Hallway:<br><br><ul><br><li>Storage Cupboard Housing Meters</li><li>Radiator</li><li>Stairs to First Floor</li><li>Under Stairs Cupboard</li><li>Doors Leading to Lounge &amp; Dining Room</li></ul><br><br>Lounge: 11'2 x 16'6<br><br><ul><br><li>Double Glazed Windows</li><li>Radiator</li></ul><br><br>Dining Room: 8'2 x 11'<br><br><ul><br><li>Wood Style Flooring</li><li>Radiator</li><li>Fan Ceiling Light</li><li>Door to Kitchen</li><li>Door to Cloakroom</li><li>Archway to Study </li></ul><br><br>Study: 8'2 x 9'8<br><br><ul><br><li>Wood Style Flooring</li><li>Radiator</li><li>Fan Ceiling Light</li><li>Double Glazed Door and Window to Rear Garden</li></ul><br><br>Cloakroom:<br><br><ul><br><li>Tiled Floor</li><li>Part Tiled Walls</li><li>WC</li><li>Wash Hand Basin</li></ul><br><br>Kitchen: 8'4&gt;7'1 x 21'4<br><br><ul><br><li>Double Glazed Window to Rear</li><li>Double Glazed Door to Side</li><li>Eye &amp; Base Level Units</li><li>1 1/2 Bowl Sink &amp; Drainer</li><li>Mixer Tap</li><li>Laminated Worktops</li><li>Integral Dish Washer</li><li>Part Tiled Walls</li><li>Built in Pantry</li><li>Space for Range Cooker, Washing Machine, Fridge &amp; Freezer</li><li>Spot Lights to Ceiling</li><li>Wood Style Flooring</li></ul><br><br>First Floor<br><br>Bedroom 1: 10'3 x 12'7<br><br><ul><br><li>Double Glazed Windows to Front</li><li>Radiator</li><li>Fitted Wardrobes &amp; Draws</li><li>Storage Cupboard</li><li>Fan Ceiling Light</li></ul><br><br>Bedroom 2: 10'2 x 9'6<br><br><ul><br><li>Double Glazed Wndow to Rear</li><li>Radiator</li><li>Storage Cupboard</li><li>Wall Mounted Boiler</li></ul><br><br>Bedroom 3: 8'4 x 8'9<br><br><ul><br><li>Double Glazed Window to Front</li><li>Radiator</li></ul><br><br>Bathroom: 8'2 x 5'3<br><br><ul><br><li>Obscure Double Glazed Window to Rear</li><li>WC</li><li>Wash Hand Basin set into Vanity Unit with Mixer Tap</li><li>Shower Bath with Glass Screen</li><li>Waterfall Shower Attachment &amp; Mixer Tap</li><li>Heated Towel Rail</li><li>Extractor</li><li>Tiled Walls &amp; Floor</li></ul><br><br>Garden: 40ft approx<br><br><ul><br><li>Brick Built Shed</li><li>Gate to Side Access</li><li>Wooden Shed</li><li>Paved Patio Area</li><li>Lawn Area</li><li>Outside Tap &amp; Electric Socket</li><li>Plants, Shrubs &amp; Trees</li></ul><br><br>Agents Notes:<br><br>Great house in a really good location for everything you could need.<br><br>The loft is part boarded with electric light and the boiler has been serviced regulary<br><br>The current owners have been here for around 20 years and in that time have extended the property and refurbished the bathroom &amp; kitchen<br><br>Solar Panels Installed<br><br>Average rental income on a property like this is £1,500 to £1,600 per month.<br><br>Council Tax Band C = £1,522.28 2021/2022","['Three Bedrooms', 'Extended to Front &amp; Rear', 'Gas Central Heating', 'Double Glazing', 'Off Street Parking', 'Two Reception Rooms', '40ft Garden with Side Access', 'Modern Bathroom &amp; Kitchen', 'Great Location', 'Freehold']",,3 bed terraced house for sale,51.555558,0.161728,Just added
