,Link,Listed,Borough,date_listed,agency_name,agency_phone,chain_free,address,isRetirementHome,isSharedOwnership,listingCondition,listingStatus,RoomCount,price,propertyType,isAuction,priceHistory,floorArea,tenure,detailedDescription,features,furnishedState,title,latitude,longitude,statusSummary
0,/for-sale/details/59135599/,Listed on 8th Jul 2021,Redbridge,2021-07-08,Portico - Woodford,020 8128 1048,True,"Love Lane, Woodford Green IG8",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 4, 'numBathrooms': None, 'numLivingRooms': None}",700000.0,end_terrace,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-08 18:42:38', 'priceLabel': '£700,000'}, 'lastSale': None, 'priceChanges': None}",,freehold,"Guide price £700,000 - £725,000 This wonderful four bedroom, end of terrace home has been well maintained by its current owners and is a fantastic addition to the martket. Walking in from the quiet residential street you are welcomed into a large hallway, on the right is the reception which is very spacious and provides fantastic living space. On the left is the Dining room which is perfect for entertaining guests. The kitchen has fitted appliances and leads onto the lush green garden, perfect for children and those summer BBQ&amp;rsquo;s. The garage is larger than average with ample storage space and potential to use as an office. On the first floor you will find four well proportioned bedrooms, on suite and a separate family bathroom. Love Lane is an ideal residential location benefiting from charming public green spaces, excellent local amenities, walking distance to Chigwell Underground Station and close by to West Hatch School.","['4 Bedrooms', 'Four bedroom end of terrace', 'Quiet location', 'Larger than average garage', 'Off street parking for 2 cars', 'Utility Area and cloakroom', 'Charming Garden', 'En-suite bathroom to master bedroom', 'Double glazed', 'Sought after location']",,4 bed end terrace house for sale,51.608804,0.062334,Just added
1,/for-sale/details/59133173/,Listed on 8th Jul 2021,Redbridge,2021-07-08,The Stow Brothers,020 8115 8610,False,"Woodford Road, London E18",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 1, 'numLivingRooms': 1}",390000.0,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-08 16:10:17', 'priceLabel': '£390,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2015-06-18', 'newBuild': False, 'price': 370000, 'priceLabel': '£370,000', 'recentlySold': False}, 'priceChanges': None}",,,"A superlative two double bedroom apartment on the first floor of a purpose built development, all sat in a great position minutes from Snaresbrook Station. Everything's in excellent decorative order, with bright and generous living spaces, this is a secure, serene home ready for new people to make their own.<br><br>The development sits in neatly kept communal gardens surrounded by trees, perfect for picnics in summer, and a beautiful calming setting year round. Your apartment also comes with the gold dust addition of a separate garage, so no more worries about parking near home. Plenty of extra storage space too.<br><br>If you lived here…<br><br>You'll step into your entrance hall, note the storage to your right and step into your bathroom to the left. Fully tiled in white and red, it has a modern white suite with shower over the tub, and plenty of natural light. The next door takes you into the semi open plan living space, with the eighty five square foot kitchen to the left and 270 square foot lounge to the right. Your kitchen has an abundance of creamy white units and light grey metro tiled backsplashes.<br><br>The lounge has blonde engineered flooring underfoot, and two windows filled with greenery. Your first bedroom of seventy five square feet is past the kitchen on the left, with engineered flooring underfoot. Back through the entrance hall you'll find your second bedroom, close to 150 square foot of relaxing space with another soothing view of mature trees.<br><br>It's just half a mile to Snaresbrook Station for the Central Line, from where you can be at Liverpool Street in twenty minutes or Stratford for shopping at Westfield in just eight. If you're driving you'll find it's handy for the North Circular. Within ten minutes you can be exploring Epping Forest, meeting new feathered friends at Eagle Pond or boating on Hollow Ponds.<br><br>What else?<br><br>- Your new local is The Duke in Wanstead, a gorgeous chilled-out pub that does a splendid Sunday roast and offers discounts for hospitality workers.<br>- There's a long lease to give you peace of mind from the start.<br>- Once you're in and settled, why not go for some restorative yoga or pilates at Wellness Yoga Conscious school? Just ten minutes walk away.<br><br><strong>Entrance Hall</strong><br><br><strong>Storage</strong><br><br><strong>Bedroom</em> (4.5m x 3.3m (14'9"" x 10'9""))</strong><br><br><strong>Bathroom</em> (3.4m x 1.9m (11'1"" x 6'2""))</strong><br><br><strong>Living Room</em> (5.5m x 4.7m (18'0"" x 15'5""))</strong><br><br><strong>Kitchen</em> (3.8m x 2.4m (12'5"" x 7'10""))</strong><br><br><strong>Bedroom</em> (3.8m x 2.1m (12'5"" x 6'10""))</strong><br><br>Sat just inside the North Circular, South Woodford blends metropolitan bustle with suburban tranquility and easy routes out of London. Flanked by the endlessly explorable open green spaces of Epping Forest, here you'll find an eclectic mix of contemporary developments, stout vintage properties and conversions.<br><br>As well a thriving community in its own right, centred around the social hub of George Lane, you also have both Wanstead and Walthamstow Villages within easy reach, for some of the finest wining and dining spots North East London has to offer.<br><br>South Woodford tube station sits in the heart of the area, situated in Zone 4 on the Central line, putting Liverpool Street just eighteen minutes away and the West End just nine minutes further.","['Two Double Bedrooms', 'Close to Snaresbrook &amp; South Woodford Station', 'First Floor', 'Garage', 'Long Lease', 'Good decorative order', 'Lift']",,2 bed flat for sale,51.586112,0.021558,Just added
2,/for-sale/details/59132600/,Listed on 8th Jul 2021,Redbridge,2021-07-08,Bairstow Eves - Woodford Green Sales,020 3463 0153,True,"Lechmere Avenue, Woodford Green IG8",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 1, 'numLivingRooms': 2}",400000.0,maisonette,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-08 15:47:03', 'priceLabel': '£400,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2002-10-15', 'newBuild': False, 'price': 150000, 'priceLabel': '£150,000', 'recentlySold': False}, 'priceChanges': None}",,freehold,"A first floor purpose built maisonette currently set out as three bedrooms and one reception room but originally two bedrooms and two reception rooms. The property has a modern kitchen and spacious family bathroom. This property is unique to others along the road as it owns the freehold for this property and the ground floor maisonette. There is direct access to the property's own rear garden. The property owns the front garden as well which provides off street parking. The property has its own loft which could be converted subjected to planning permission. This property is being offered chain free.<br><br><strong>Two double bedrooms<br>Two reception rooms<br>Chain free<br>Owns the freehold for the ground floor maisonette<br>Own rear garden<br>Off street parking to the front of the property<br>Loft which could be converted STPP<br></strong><br><br><strong>Porch</strong>2'7"" x 10'9"" (0.79m x 3.28m).<br><br><strong>Reception Room</strong>12'9"" x 11'4"" (3.89m x 3.45m).<br><br><strong>Kitchen</strong>11'10"" x 6'9"" (3.6m x 2.06m).<br><br><strong>Bedroom One/Reception Room Two</strong>15'5"" x 12'3"" (4.7m x 3.73m).<br><br><strong>Bedroom Two</strong>11'10"" x 9'10"" (3.6m x 3m).<br><br><strong>Bedroom Three</strong>11'10"" x 7'5"" (3.6m x 2.26m).<br><br><strong>Bathroom</strong>7'7"" x 8'2"" (2.31m x 2.5m).<br><br><strong>Landing</strong>11'2"" x 11'5"" (3.4m x 3.48m).",,,2 bed maisonette for sale,51.594058,0.041641,Just added
3,/for-sale/details/59132029/,Listed on 8th Jul 2021,Redbridge,2021-07-08,Neil King Residential,020 8115 9790,True,"Gordon Road, Wanstead, London E11",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 3, 'numBathrooms': 1, 'numLivingRooms': 1}",775000.0,terraced,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-08 15:06:14', 'priceLabel': '£775,000'}, 'lastSale': None, 'priceChanges': None}",,freehold,"Guide Price £775,000 - £800,000 - Launch Day Saturday 24th July by Appointment - Situated close to central Wanstead is this three/four bedroom period family home that would benefit from some internal modernisation. The property measures 1200 sq ft and is being sold with the benefit of no onward chain.<br>Located in Gordon Road, this property offers easy access to Wanstead High Street shops, restaurants, cafe bars and Christchurch Green and playground, plus Snaresbrook and Wanstead Central Line stations with both offering an easy commute into Canary Wharf, the City and West End.<br><br>Neil King Residential Registered No: 5245340. Registered Office: Neil King Residential, 10 Electric Parade, George Lane, South Woodford, London E18 2LY. Neil King Residential is the selling agent for the sale and marketing of the property described on these particulars. Your conveyancer is legally responsible for insuring that the purchase agreement fully protects you. We the Agent have not tested any apparatus, equipment, fixtures or services for this property. These details are intended merely as a guide.","['No onward chain', 'Prime location', 'Three/four bedrooms', 'Spacious kitchen/breakfast room', 'Double glazed']",,3 bed terraced house for sale,51.575683,0.020737,Just added
4,/for-sale/details/58047106/,Listed on 8th Jul 2021,Redbridge,2021-07-08,"Purplebricks, Head Office",024 7511 8874,False,"Hawthorn Crescent, Ilford IG5",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 1, 'numLivingRooms': 1}",350000.0,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-08 14:09:55', 'priceLabel': '£350,000'}, 'lastSale': None, 'priceChanges': None}",,leasehold,"Offered to the market is this beautifully presented two bedroom apartment in a newly built development in a popular location.<br><br>This stunning flat offers lounge area with modern fitted kitchen and private balcony, there are two good sized bedrooms and lovely family bathroom.<br><br>Externally there is allocated parking and own private balcony with stunning views over parkland.<br><br>Situated close to all schooling and transport amenities a early internal inspection is strongly recommended.<br><br>Viewings can be booked 24/7 via the Purplebricks website<br><br><strong>Disclaimer For Virtual Viewings</strong><br><br>Some or all information pertaining to this property may have been provided solely by the vendor, and although we always make every effort to verify the information provided to us, we strongly advise you to make further enquiries before continuing.<br><br>If you book a viewing or make an offer on a property that has had its valuation conducted virtually, you are doing so under the knowledge that this information may have been provided solely by the vendor, and that we may not have been able to access the premises to confirm the information or test any equipment. We therefore strongly advise you to make further enquiries before completing your purchase of the property to ensure you are happy with all the information provided.","['Two good sized bedrooms', 'Stunning apartment', 'Modern bathroom', 'Open plan reception', 'Fully fitted kitchen', 'Great location', 'Central heating', 'Immaculate decor throughout', 'Private balcony', '24/7 viewing availability']",,2 bed flat for sale,51.598063,0.061025,Just added
5,/for-sale/details/59130964/,Listed on 8th Jul 2021,Redbridge,2021-07-08,PER Westray,020 3641 6734,True,"Sylvan Road, Wanstead, London E11",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 6, 'numBathrooms': 3, 'numLivingRooms': 2}",1175000.0,terraced,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-08 13:41:12', 'priceLabel': '£1,175,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2004-03-08', 'newBuild': False, 'price': 395000, 'priceLabel': '£395,000', 'recentlySold': False}, 'priceChanges': None}","{'__typename': 'FloorArea', 'unitsLabel': 'sq. ft', 'value': 1948}",freehold,"Lovely 6 bed House arranged over three floors, in need of some updating as currently tenanted, he property has a large garden in excess of 80 ft.<br>We believe this property would make an ideal family home. The property is located in a quiet road moments from Snaresbrook station and bustling Wanstead high street with it array of restaurants and local amenities.","['Freehold House', 'Chain free', '6 Bedrooms', '3 Bathrooms', 'Large Garden', 'Off street parking']",,6 bed terraced house for sale,51.583175,0.023586,Just added
6,/for-sale/details/59130953/,Listed on 8th Jul 2021,Redbridge,2021-07-08,PER Westray,020 3641 6734,True,"Sylvan Road, Wanstead, London E11",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 6, 'numBathrooms': 3, 'numLivingRooms': 2}",1175000.0,terraced,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-08 13:41:05', 'priceLabel': '£1,175,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2004-03-08', 'newBuild': False, 'price': 395000, 'priceLabel': '£395,000', 'recentlySold': False}, 'priceChanges': None}","{'__typename': 'FloorArea', 'unitsLabel': 'sq. ft', 'value': 1948}",freehold,"Lovely 6 bed House arranged over three floors, in need of some updating as currently tenanted, he property has a large garden in excess of 80 ft.<br>We believe this property would make an ideal family home. The property is located in a quiet road moments from Snaresbrook station and bustling Wanstead high street with it array of restaurants and local amenities.","['Freehold House', 'Chain free', '6 Bedrooms', '3 Bathrooms', 'Off street parking', 'Large Garden']",,6 bed terraced house for sale,51.583175,0.023586,Just added
7,/for-sale/details/59130793/,Listed on 8th Jul 2021,Redbridge,2021-07-08,William H Brown Incorporating Porter Glenny - Rainham,01708 629400,True,"Copford Close, Woodford Green IG8",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 1, 'numLivingRooms': 1}",275000.0,maisonette,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-08 13:27:06', 'priceLabel': '£275,000'}, 'lastSale': None, 'priceChanges': None}",,leasehold,"<strong>Summary</strong><br>guide price £275,000 to £295,000 - chain free! Excellent two bedroom maisonette with private garden - newly refurbished throughout including lovely new carpets and wood flooring - wonderfully bright and airy - in the heart of woodford bridge conservation area close to station and shops - act fast!<br><br><strong>Description</strong><br><br><strong>Entrance Porch</strong><br>secure communal entrance<br><br><strong>Entrance Hall</strong><br>door to communal entrance, wood floor<br><br><strong>Lounge</strong> 17' 10"" max x 10' 2"" ( 5.44m max x 3.10m )<br>window to front, radiator, storage cupboard, wood floor, patio door to garden<br><br><strong>Kitchen</strong> 10' x 6' ( 3.05m x 1.83m )<br>wall and base units, sink and drainer, window to front, wooden floor, storage cupboard<br><br><strong>Bedroom One</strong> 14' max x 9' 6"" ( 4.27m max x 2.90m )<br>window to front, radiator, built in wardrobes<br><br><strong>Bedroom Two</strong> 14' max x 6' 7"" ( 4.27m max x 2.01m )<br>window to front, radiator<br><br><strong>Bathroom</strong><br>W.C, wash hand basin, bath and mixer taps with shower attached, extractor fan, wood laminate floor, radiator<br><br><strong>Front Garden</strong><br>gated paved private garden with artificial grass<br><br>We currently hold lease details as displayed above, should you require further information please contact the branch. Please note additional fees could be incurred for items such as leasehold packs.<br><br>1. Money laundering regulations: Intending purchasers will be asked to produce identification documentation at a later stage and we would ask for your co-operation in order that there will be no delay in agreeing the sale. <br>2. General: While we endeavour to make our sales particulars fair, accurate and reliable, they are only a general guide to the property and, accordingly, if there is any point which is of particular importance to you, please contact the office and we will be pleased to check the position for you, especially if you are contemplating travelling some distance to view the property. <br>3. The measurements indicated are supplied for guidance only and as such must be considered incorrect. <br>4. Services: Please note we have not tested the services or any of the equipment or appliances in this property, accordingly we strongly advise prospective buyers to commission their own survey or service reports before finalising their offer to purchase. <br>5. These particulars are issued in good faith but do not constitute representations of fact or form part of any offer or contract. The matters referred to in these particulars should be independently verified by prospective buyers or tenants. Neither sequence (UK) limited nor any of its employees or agents has any authority to make or give any representation or warranty whatever in relation to this property.","['Guide price £275,000 to £295,000', 'Chain free!', 'Private garden', 'Newly refurbished', 'Wonderfully bright and airy', 'Brilliant location close to station and shops', 'Excellent condition - move straightin!', 'Call to view today!']",,2 bed maisonette for sale,51.604963,0.052095,Just added
8,/for-sale/details/59130753/,Listed on 8th Jul 2021,Redbridge,2021-07-08,Lawlors - Woodford,020 3641 7910,False,"The Green, Woodford Green, Essex IG8",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 11, 'numBathrooms': 4, 'numLivingRooms': 4}",2500000.0,detached,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-08 13:22:07', 'priceLabel': '£2,500,000'}, 'lastSale': None, 'priceChanges': None}",,freehold,"Lawlor’s are pleased to offer to the market this substantial and imposing eleven bedroom detached period house that is situated on a rarely available very enviably sized plot.<br><br>The Green is a highly sought-after location on the Monkhams Estate being within the Monkhams Conservation Area. Ideally placed for local transport both road and tube. There are several well regarded state and independent schools within easy reach and a wide range of leisure activities including sports clubs and a golf course.<br><br>Internally the accommodation has an abundance of grandeur that extends to circa 4,000 sq. Ft and is arranged over three floors. The ground floor provides a grand entrance hall, lobby area, four reception rooms, kitchen, pantry, utility room, cellar, conservatory, shower room, two guest cloakrooms and a study. The first floor boasts seven bedrooms and two shower rooms. On the second floor there are a further four bedrooms, bathroom and eaves storage.<br><br>Externally, to the front of the house there is a carriage driveway providing off street parking for several cars. The landscaped mature rear garden of circa 150 ft is a standout feature of the house.<br><br>Agents Note – The property would lend itself to extensive remodelling and extension, if required, and subject to planning permission.<br><br>An early viewing is advised of this exceptional house.&lt;br /&gt;&lt;br /&gt;<br>&lt;b&gt;Important note to purchasers:&lt;/b&gt;&lt;br/&gt; We endeavour to make our sales particulars accurate and reliable, however, they do not constitute or form part of an offer or any contract and none is to be relied upon as statements of representation or fact. Any services, systems and appliances listed in this specification have not been tested by us and no guarantee as to their operating ability or efficiency is given. All measurements have been taken as a guide to prospective buyers only, and are not precise. Please be advised that some of the particulars may be awaiting vendor approval. If you require clarification or further information on any points, please contact us, especially if you are traveling some distance to view. Fixtures and fittings other than those mentioned are to be agreed with the seller.<br><br>LWO210078/2","['EPC:', 'Eleven Bedroom Detached House', 'Spacious Entrance Hall', '150 ft Rear Garden', 'Four Reception Rooms', 'Fitted Kitchen', 'Conservatory', 'Study', 'Two Guest Cloakrooms', 'Cellar']",,11 bed detached house for sale,51.613264,0.027076,Just added
9,/for-sale/details/59130665/,Listed on 8th Jul 2021,Redbridge,2021-07-08,"Purplebricks, Head Office",024 7511 8874,False,"Capstan Close, Romford RM6",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 1, 'numLivingRooms': 1}",260000.0,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-08 13:14:38', 'priceLabel': '£260,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2020-01-31', 'newBuild': False, 'price': 225000, 'priceLabel': '£225,000', 'recentlySold': False}, 'priceChanges': None}",,leasehold,"Guide Price £260,000**<br>A beautifully presented two-bedroom ground floor apartment, situated at the end of a quiet cul-de-sac.<br>This ideal first time purchase boasts a wealth of features to include an entrance hall way, a double bedroom with dressing area, a second single bedroom, a three piece bathroom suite, a spacious lounge and a modern kitchen with custom fitted storage.<br>Externally the property benefits from communal green space, and there is an allocated parking space to the front of the property.<br>Bright, airy and immaculately presented throughout, we do recommend a viewing ( subject to government guidelines ) to fully appreciate what this property has to offer.<br>Enjoy easy access to Chadwell Heath, taking you into London Liverpool Street station in just 20 minutes, making this ideal for the London commuter. Located next to a park with children's play areas and within walking distance to amenities and shopping facilities.<br><br><strong>Disclaimer For Virtual Viewings</strong><br><br>Some or all information pertaining to this property may have been provided solely by the vendor, and although we always make every effort to verify the information provided to us, we strongly advise you to make further enquiries before continuing.<br><br>If you book a viewing or make an offer on a property that has had its valuation conducted virtually, you are doing so under the knowledge that this information may have been provided solely by the vendor, and that we may not have been able to access the premises to confirm the information or test any equipment. We therefore strongly advise you to make further enquiries before completing your purchase of the property to ensure you are happy with all the information provided.","['Two bedroom ground floor flat', 'Beautifully presented throughout', 'Modern fitted kitchen', 'Communial gardens', 'Energy efficient smart heaters', 'Within walking distance to chadwell heath station']",,2 bed flat for sale,51.573825,0.118189,Just added
