,Link,Listed,Borough,date_listed,agency_name,agency_phone,chain_free,address,isRetirementHome,isSharedOwnership,listingCondition,listingStatus,RoomCount,price,propertyType,isAuction,priceHistory,floorArea,tenure,detailedDescription,features,furnishedState,title,latitude,longitude,statusSummary
0,/for-sale/details/59149195/,Listed on 9th Jul 2021,Waltham Forest,2021-07-09,Foxtons - Walthamstow,020 8022 6458,False,"Chingford Road, Walthamstow, London E17",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 3, 'numBathrooms': 1, 'numLivingRooms': 1}",550000,terraced,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-09 18:27:23', 'priceLabel': '£550,000'}, 'lastSale': None, 'priceChanges': None}",,,"This three bedroom house boasts an impressive living space with a good-sized reception room, a kitchen leading onto a private garden. Located moments away from the local amenities of Walthamstow Central.<br><br>This property is ideally located on the doorstep to Lloyd Park while also moments from the amenities on Hoe Street.","['Three bedroom house', 'Kitchen with integrated appliances', 'Three good sized bedrooms', 'Access to a private garden', 'Moments away from local amenities']",,3 bed terraced house for sale,51.593164,-0.018724,Just added
1,/for-sale/details/59148586/,Listed on 9th Jul 2021,Waltham Forest,2021-07-09,Trading Places,020 3551 3271,True,"Lister Road, Leytonstone, London E11",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 1, 'numBathrooms': 1, 'numLivingRooms': 1}",275000,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-09 16:54:25', 'priceLabel': '£275,000'}, 'lastSale': None, 'priceChanges': None}",,,"This first floor one bedroom flat for sale in Leytonstone is located in a converted corner property in the popular E11 area of Bushwood, with easy access to both Leytonstone High Road Overground and Leytonstone Underground. It also puts you on the doorstep of the wonderful Wanstead Flats for the best that the great outdoors can offer.<br><br><em></em> This first floor one bedroom flat for sale in Leytonstone is located in a converted corner property in the popular E11 area of Bushwood, with easy access to both Leytonstone High Road Overground and Leytonstone Underground. It also puts you on the doorstep of the wonderful Wanstead Flats for the best that the great outdoors can offer.<br><br>As you enter the flat into your small entrance hallway, directly to your right you'll see the lovely bright bathroom, perfectly furnished with the essentials of WC, sink and bath, and with a handy over-bath shower for when you're in a rush. The fresh white walls and neutral bath tiles are complemented by the sense of warmth provided by the charming engineered wooden flooring. A rustic shelf over the WC also provides a handy space for your toothbrush and toiletries.<br><br>As you exit the bathroom, walk straight across the hallway to the double sized bedroom that lies opposite. The beautiful flooring continues into this space, and the large, front aspect triple window bathes the room in natural light, opening up this room even further. An unusual, quirky and useful feature comes in the form of a large recessed space - much like an internal side return - allowing a huge amount of room to purpose as a wardrobe and/or shelving storage, so you can keep the main area free of clutter. This room can comfortably accommodate a double bed, bedside unit, and drawers or a dressing table – plus there's a second recessed area that can serve as a clothes hanging area and also space for another drawer unit or even perhaps a TV table.<br><br>Heading back into the hallway and turn left into your reception… and what a reception awaits you! The two things you'll immediately notice are the immense amount of space available and the incredible sense of light. It's a real showstopper. The room features the same beautiful wood flooring as seen in the bathroom and bedroom, along with fresh, bright, white walls to further accentuate the airy atmosphere that promises many happy days and nights. With sprawling walls largely unencumbered by interruptions, this is a space that offers the flexibility for a wide range of furniture configurations – there's almost no limit. The room is easily large enough for a good-sized dining table too, for casual dinners, remote working, games nights or socialising with friends.<br><br>To the rear left of the living room is the open doorway into the wonderfully equipped kitchen, decorated in a stylish combination of white and dark grey. There's a range of base and wall units in bright glossy white, white walls and wall tiles, and mottled charcoal grey countertops and harmonising floor tiles. A washing machine and fridge are already in-situ for your move, so you can chill that celebration bottle of bubbly and keep the milk fresh for those essential brews. From the sink you can look out of the large sunny window onto the street and there's a dedicated space ready for your cooker.<br><br>While the beautiful windows in this property are not double-glazed, central heating throughout will ensure you're cosy even in the colder months.<br><br>This gorgeous one bedroom flat is also a stone's throw away from Bushwood's gorgeous green spaces, the natural expanses of Wanstead Flats and park. For those day-to-day essentials, the bustling and friendly high road is just at the top of your street, where you can access an Argos, Matalan, Post Office, a gym, a McDonald's and both a Tesco superstore and Express. Popular local pubs like The Birds and The North Star are also a short stroll away, and there's plenty of fabulous restaurants and takeaways for those days when you just don't feel like cooking.<br><br>What the owner said...<br>'i've lived in this flat for almost seven years and loved it from the start. There is a warm and relaxed vibe about the flat and the neighnourhood. I particularly love spending time in the bright and silent living room overlooking the greens of the garden. In the late spring when the sweet mock orange tree is in full bloom there is a wonderful scent throughout the flat. I like my neighbours - very nice and respectful people. Everyone in the building owns their flat and have been there for over ten years (despite being young and international) making it an unusually friendly community for London.<br><br>I'll miss immensely walking home in my street late at night and being greeted by at least two cats and sometimes a fox. It will be difficult to find a better weekend morning routine than going to run to Wanstead Flats - just behind the corner - carrying on in Wanstead park and having breakfast at the Wild Goose, a lovely local cafè.<br><br>In more pragmatic terms, i've appreciated the very low expenses associated with my flat, its convenience to the city centre (I used to work at the lse in Holborn and it took me 25 minues to get there by Central line), easy parking when I got guests, and reaching Stansted airport in 30 minutes. I hope you'll enjoy and appreciate this flat as much as I did'!","['One Bedroom Flat', 'First Floor', 'Neutral Décor', 'Bushwood Location', 'Leasehold', 'Excellent Transport Links', 'Close To Amenities', 'Nearby Green Open Spaces', 'Chain Free', 'EPC Rating - E']",,1 bed flat for sale,51.565078,0.013385,Just added
2,/for-sale/details/59148169/,Listed on 9th Jul 2021,Waltham Forest,2021-07-09,The Stow Brothers - E17,020 8128 4610,False,"Leucha Road, London E17",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 1, 'numLivingRooms': 1}",415000,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-09 16:45:08', 'priceLabel': '£415,000'}, 'lastSale': None, 'priceChanges': None}",,,"A smart and spacious two double bedroom first floor ex Warner apartment with a balcony and shared garden in our Coppermill neighbourhood. Both Walthamstow High Street and social hub crate St James are less than five minutes' walk, there's a wealth of potential and you're well-placed for transport, too.<br><br>St James Street overground station is a four minute stroll away and will get you directly to Liverpool Street in twenty. Alternatively, ride one stop in the other direction and you're at Walthamstow Central, for direct twenty minute West End access via the Victoria line, or cyclists can join the same line at Blackhorse Road in four minutes. Two-wheeled enthusiasts can also hit the Q2 cycleway from Glenthorne Road (literally around the corner) to speed you to Hackney and the City.<br><br>If you lived here...<br><br>You'll be relaxing in your 130 square foot lounge with a triple set of sash windows framing lovely leafy street views and filling the space with natural light, plush grey carpet under your toes and a blank canvas on which to realise all your interior design inspirations. There's plenty of room for a dining area or home office here too, with a canny use of space. Next door bedroom one is similarly attired and suitable for a child or study, depending on your needs.<br><br>Continue across the hallway and your bedroom's a generous double of 130 square feet with built-in storage and a garden view. The kitchen comes with slate-effect flooring underfoot, matching worktops and a pine suite of cabinets, while the bathroom's decked out in a traditional white suite. Step out of the door to the rear here for your balcony - it's another spot set to sing and ideal for coffee in the morning. Next, descend the stairs for your shared rear garden. With some landscaping and/or green-fingered know-how this is a space set to transform into an urban solace.<br><br>Outside and our latest social hub of crate St James is just around the corner with an eclectic collection of independent entrepreneurs with offerings currently including mouth-watering vegan fast food, delicious burgers and authentic Vietnamese cuisine, plus St Best Jamaican Cuisine is coming soon. Walthamstow High Street is right next door, with its renowned street market and array of supermarkets and shops. Take the ten minute stroll up the High Street and you come to the Walthamstow Mall, nine screen Empire Cinema, a vast choice of fine restaurants and the aforementioned Walthamstow Central station.<br><br>What else?<br><br>- You're well served for local schools here, with nineteen primary/secondaries within a one mile radius, all rated 'Good' or better by Ofsted including the 'Outstanding' South Grove Primary a mere ten minute stroll away.<br>- You've a wealth of open green spaces within easy reach with St James Park and Stoneydown Park, which plays host to the Stoneydown Park Festival in the summer, both within a nine minute walk.<br>- Fancy a lengthier stroll? London's largest nature reserve, the wildlife haven of our 500 acre Walthamstow Wetlands, is just three quarters of a mile on foot. Free to enter all year round, it's an incredible urban retreat.<br><br><strong>Bedroom</em> (1.82m x 2.61m (5'11"" x 8'6""))</strong><br><br><strong>Reception Room</em> (3.22m x 3.94m (10'6"" x 12'11""))</strong><br><br><strong>Bedroom</em> (3.59m x 3.39m (11'9"" x 11'1""))</strong><br><br><strong>Kitchen</em> (3.43m x 3.07m (11'3"" x 10'0""))</strong><br><br><strong>Bathroom</strong><br><br><strong>Garden</em> (6.4m (20'11""))</strong><br><br>A word from the owner...<br><br>""It is a lovely neighbourhood with lovely people around, convenient for travelling as we have the underground tube station with takes about a 10minute walk and a overground which is a 1minute walk schools and parks in walking distant and Walthamstow market which is 1 minute walk.""","['Two Bedrooms', 'First Floor', 'Ex Warner Maisonette', 'Shared Garden', 'Long Lease', 'Short walk to St James Street Station', 'Balcony']",,2 bed flat for sale,51.580638,-0.036067,Just added
3,/for-sale/details/59147233/,Listed on 9th Jul 2021,Waltham Forest,2021-07-09,Sincere Property Services,020 3641 5800,True,"Sinclair Road, London E4",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 4, 'numBathrooms': 2, 'numLivingRooms': 2}",575000,terraced,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-09 16:38:24', 'priceLabel': '£575,000'}, 'lastSale': None, 'priceChanges': None}",,,"This three bedroom chalet bungalow offers an abundance of history and heritage, whilst allowing for ample living space and substantial potential to re develop and build the property up. Further benefits include a self contained one bedroom flat (sold with tenants or vacant), has a 110ft garden, and is being sold on a chain free basis.<br><br><em></em> This three bedroom chalet bungalow offers an abundance of history and heritage, whilst allowing for ample living space and substantial potential to re develop and build the property up. Further benefits include a self contained one bedroom flat (sold with tenants or vacant), has a 110ft garden, and is being sold on a chain free basis.<br><br>The main house comprises of a spacious entrance hallway with the through lounge welcoming you on the left hand side and offering the ideal space to entertain friends and family. The three piece shower room greets you on the right hand side with the kitchen located to the rear. Whilst the kitchen is spacious there is much more you can do to open it out and create a more open flow to the property. The conservatory completes the ground floor of this charming home and gives access to the stunning garden.<br><br>The garden is a wonderful place to unwind in after a long day's work. Such is the size of the garden (110ft and 33ft wide), should you wish to do a rear extension (STPP) there is still ample garden space to enjoy.<br>The first floor of the property simple houses the three bedrooms, two of which are doubles and a good size single bedroom. The master bedroom also includes the luxury of spacious en suite WC room that can be turned into a shower room. Further loft space can be located on the first floor and is a great space for storage as it is.<br><br>The one bedroom self contained flat which has been added to the side of the property includes its own front door and rear access into the garden meaning you will never be disturbed should you wish to rent the property out. If you're looking to add the space of the one bedroom flat to the main house you can very simply link the two properties through the historical doorway that was previously in use. The flat itself is made up of a shower room, kitchen, reception room, dressing room and bedroom.<br><br>In terms of locality, you are ideally situated between Hall Lane and Chingford Road both offering an array of local amenities including a selection of bars, restaurants, and coffee shops. Highams Park station is within walking distance or even a short drive should you prefer, which gives access to the overground station.<br><br>When it comes to schools you are truly spoilt for choice including Chase Lane Primary School, Ainslie Wood Primary School, Salisbury Manor, Burnside Secondary School and many more to choose from.","['Three Bedrooms', 'Chalet Bungalow', 'One Bedroom Self Contained Flat With Own Entrance', '110ft Garden', 'Potential To Add Space &amp; Value', 'Chain Free']",,4 bed terraced house for sale,51.611,-0.02566,Just added
4,/for-sale/details/59146458/,Listed on 9th Jul 2021,Waltham Forest,2021-07-09,Petty Son & Prestwich,020 8033 7734,False,"Makepeace Road, London E11",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 2, 'numLivingRooms': 1}",420000,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-09 15:46:44', 'priceLabel': '£420,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '1998-01-30', 'newBuild': False, 'price': 94500, 'priceLabel': '£94,500', 'recentlySold': False}, 'priceChanges': None}","{'__typename': 'FloorArea', 'unitsLabel': 'sq. ft', 'value': 776}",,"<em></em> Located on the third floor of this modern, purpose built development, this two double bedroom apartment is located close to Wanstead High Street and Snaresbrook Station (0.4 Miles) as well as being within easy walking distance of South Woodford Station and George Lane shops (0.7 Miles). With all rooms leading from a central hallway which benefits from large storage cupboards, the apartment is well laid out with natural light flooding all main living spaces. There are two double bedrooms with the main bedroom benefiting from a handy en-suite shower room, a contemporary fitted kitchen, family bathroom and large lounge/diner which currently accommodates a good sized sofa suite and six seater dining table comfortably. Externally there is one allocated parking space and visitors parking available within the development.<br><br><em>Lounge/diner</em> <em>16' 9"" x 12' 0"" (5.11m x 3.66m)</em><br><br><em>kitchen</em> <em>12' 0"" x 5' 11"" (3.66m x 1.8m)</em><br><br><em>bedroom</em> <em>one</em> <em>13' 4"" x 11' 5"" (4.06m x 3.48m)</em><br><br><em>bedroom</em> <em>two</em> <em>12' 0"" x 8' 6"" (3.66m x 2.59m)</em>","['Third floor apartment', 'Purpose built', 'Two Double bedrooms', 'En-suite to master', 'Contemporary kitchen', 'Bright and spacious throughout', 'Allocated parking and visitors parking', '0.4 Miles to Wanstead High Street and Station', '0.7 Miles to South Woodford Station and shops', 'EPC rating: C70']",,2 bed flat for sale,51.583198,0.025097,Just added
5,/for-sale/details/59108049/,Listed on 9th Jul 2021,Waltham Forest,2021-07-09,Sincere Property Services,020 3641 5800,False,"St. John's Road, London E17",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 3, 'numBathrooms': 1, 'numLivingRooms': 2}",630000,end_terrace,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-09 15:40:38', 'priceLabel': '£625,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '1998-03-27', 'newBuild': False, 'price': 86995, 'priceLabel': '£86,995', 'recentlySold': False}, 'priceChanges': [{'__typename': 'PriceHistoryChange', 'isMinorChange': False, 'isPriceDrop': False, 'isPriceIncrease': True, 'percentageChangeLabel': '0.8', 'priceChangeDate': '2021-07-09 15:41:15', 'priceChangeLabel': '£5,000', 'priceLabel': '£630,000'}]}",,,"This three bedroom end of terrace house is the perfect family home that offers a very practical layout and can be moved into immediately due to the excellent condition throughout. Further benefits include two reception rooms, a summer house located in the garden, and with the incredible garden space there is an abundance of potential to unearth with the property either by extending to the rear or into the loft space (STPP).<br><br><em></em> This three bedroom end of terrace house is the perfect family home that offers a very practical layout and can be moved into immediately due to the excellent condition throughout. Further benefits include two reception rooms, a summer house located in the garden, and with the incredible garden space there is an abundance of potential to unearth with the property either by extending to the rear or into the loft space (STPP).<br><br>The property comprises of a spacious entrance hallway with the first reception room greeting you on the right hand side. The reception room is a great space and has been superbly finished with the hardwood laminate running underfoot throughout the two reception rooms and the crisp white walls allowing for someone to come in and put their own stamp on the property.<br><br>The bay window in the front reception room floods the room with natural and allows for more usable space. Should you prefer a more open feel to the property you can very easily open the two reception rooms giving you a through lounge, but as it is, the second reception room offers a great space for dining and entertaining friends and family. The galley kitchen completes the ground floor of this charming property and includes space for all appliances. The kitchen is complemented by the eye catching gloss black spashback tiles and vinyl flooring.<br><br>Access to the garden is provided via the kitchen and second reception room. You are firstly welcomed by the patio area with the rest of garden laid to lawn. To the rear of the garden is the brick built summer house with a fully functional electricity supply. In today's world this is an incredibly useful space which can offer a multifunctional room – a play room, home office, or a gym – whatever suits your needs.<br><br>The first floor of the property comprises of two double bedrooms with the master bedroom again including the bay window giving more light and space. The hardwood laminate flooring continues underfoot throughout both bedrooms and the third bedroom as well, accompanied with the unadorned walls. Rounding off this charming home is the three piece family bathroom suite completed with polished grey tiled splashbacks.<br><br>In terms of locality, you are ideally situated within a mile to Walthamstow Central and half a mile away from Wood Street station. Wood Street itself is a stone's throw away where you will find an abundance of local amenities on offer including plenty of bars, restaurants, shops, and the indoor Georgian market, often described as the gem of Wood Street.<br><br>You are truly spoilt for choice when it comes to schools including Frederick Bremmer School, Thorpe Hall Primary School, Woodside Primary Academy and many many more.","['Three Bedrooms', 'End Of Terrace House', 'Two Reception Rooms', 'Summer House In Garden', 'Potential To Extend Into The Loft &amp; Rear (STPP)', 'Side Access']",,3 bed end terrace house for sale,51.5955,-0.010452,Just added
6,/for-sale/details/59146185/,Listed on 9th Jul 2021,Waltham Forest,2021-07-09,The Stow Brothers E4,020 3641 0906,False,"Parade Gardens, London E4",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 1, 'numLivingRooms': 1}",350000,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-09 15:27:06', 'priceLabel': '£350,000'}, 'lastSale': None, 'priceChanges': None}",,,"A handsome two bedroom apartment on the second floor of this highly sought after development on the site of Walthamstow's iconic dog racing track. The access road follows the layout of the track itself and there's plenty of original architecture amongst the communal grounds, plus an on site gym and store.<br><br>As well as your private balcony overlooking the original Toteboard, you have access to the beautiful communal roof terrace. A great spot to enjoy the views and meet your new neighbours, a real community with an active residents' association and Facebook group.<br><br>If you lived here…<br><br>You'll be stretching out in over 700 square feet of living space in one of our wonderful borough's most legendary locales. First impressions are immediately impressive, with your spacious hallway providing plenty of incidental space and a welcome wealth of integrated storage. Your bathroom's immediately on your left, boutique-chic with recessed overhead lighting and a wall-filling mirror reflecting the floor to ceiling tiling.<br><br>At the other end of the hall's your living room/kitchen, topping out at around 250 square feet. Your kitchen sits on one corner, a subtle right angle of glossy battleship grey cabinets below chrome fittings and matching smoky grey countertops, all home to a full complement of integrated appliances. Blonde hardwood runs underfoot throughout, while patio doors and extra windows usher in light from the balcony, where you have lovely views of the grounds. Finally, each bedroom is a solid double, carpeted and bright.<br><br>Outside and whenever venturing forth from your legendary location there're plenty of bus routes right outside; the 357 and 34 will get you straight to Walthamstow Central in about ten minutes for the top of the Victoria line (just fifteen minutes to Kings Cross and you'll always get a seat) and twenty minute runs to Liverpool Street via the Overground. Plus, next door to the station you have the Empire Cinema, Walthamstow Mall and Europe's longest street market.<br><br>What else?<br><br>- Your new local is The Dog &amp; Duck, less than half mile on foot with charming beach huts in the lovely, large beer garden.<br>- The landscaped gardens and open green spaces of Lloyd park are just a ten minute walk and home to cafes, courts, babbling brooks, an outdoor gym, regular farmers market and, of course, the famous William Morris Gallery.<br>- The lease is long enough not to cause you any renewal worries.<br><br><strong>Storage X3</strong><br><br><strong>Kitchen/Lounge/Dining Room</em> (5.67m x 5.80m (18'7"" x 19'0""))</strong><br><br><strong>Balcony</em> (4.55m x 1.43m (14'11"" x 4'8""))</strong><br><br><strong>Bedroom</em> (2.72m x 3.69m (8'11"" x 12'1""))</strong><br><br><strong>Bedroom</em> (3.37m x 3.69m (11'0"" x 12'1""))</strong><br><br><strong>Bathroom</em> (2.21m x 2.00m (7'3"" x 6'6""))</strong><br><br>A word from the owner.....<br><br>""I have absolutely loved living in this flat for the last 5 years. The huge open-plan living area and balcony are great for entertaining family and friends, as is showing off the communal roof terrace when the weather is nice!<br>Living on the iconic site of the old Walthamstow Dog Stadium has been brilliant and I love the features that have been retained on the development, including the amazing street sign. There's a real sense of community on the development too, with an active residents' association and Facebook group. It's a perfect location with two supermarkets and a gym on your doorstep, as well as easy access to Walthamstow, Highams Park and Chingford. So many nice outside spaces to explore nearby too, including the famous Walthamstow Wetlands.""","['Walthamstow Stadium', 'Purpose Built Apartments', 'Long Lease', 'Excellent Condition', 'Easy Access to Walthamstow and Chingford', 'On Site Gym Facilities', 'Private Balcony, Communal Gardens &amp; Roof Terrace', 'Two Bedroom Apartment', 'Easy Access To Walthamstow', 'Secure Bike Storage']",,2 bed flat for sale,51.603633,-0.014855,Just added
7,/for-sale/details/59145903/,Listed on 9th Jul 2021,Waltham Forest,2021-07-09,Churchill Estates - Wanstead,020 8033 2388,False,"Brading Crescent, Wanstead, London E11",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 1, 'numLivingRooms': 1}",340000,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-09 15:08:17', 'priceLabel': '£340,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2016-08-30', 'newBuild': False, 'price': 270000, 'priceLabel': '£270,000', 'recentlySold': False}, 'priceChanges': None}",,leasehold,"Churchill Estates are pleased to offer this wonderfully presented two double bedroom, purpose built flat set within close proximity of both Wanstead Flats and Wanstead Park.<br><br>This top floor flat has a been maintained to a high standard by the current owners and boasts a sizeable living space with balcony, generous fully fitted kitchen, tiled three piece family bathroom, two spacious double bedrooms and adapted home office space / large storeroom. Whilst also offering loft space, external storage cupboard, secure entry phone system, open aspect communal garden, external shed, double glazing and gas central heating.<br><br>The location is ideal for first time buyers and young families alike, being within walking distance of both Wanstead Park and Wanstead Flats and set within catchment of the ever sought after Ofsted ""Outstanding"" Aldersbrook School.<br><br>For more information or to arrange an appointment to view please contact the office at your earliest convenience to avoid disappointed.<br><br>Room Dimensions:<br><br>Lounge: 12ft 4in x 14ft 7in (3.75m x 4.46m)<br><br>Kitchen: 8ft 9in x 12ft 9in (2.67m x 3.89m)<br><br>Bedroom One: 10ft 9in x 12ft 7in (3.29m x 3.82m)<br><br>Reception Two: 12ft 8in x 8ft 2in (3.86m x 2.49m)<br><br>Bathroom: 6ft 11in x 6 ft 3in (2.10m x 1.9m)<br><br>Office / Store Room: 6ft 1 in x 3ft 7in (1.8m x 1.09m)<br><br>External Store Cupboard: Ft in x ft in (m x m)<br><br>Two Bedroom - Top Floor Flat - Leasehold<br><br>You may download, store and use the material for your own personal use and research. You may not republish, retransmit, redistribute or otherwise make the material available to any party or make the same available on any website, online service or bulletin board of your own or of any other party or make the same available in hard copy or in any other media without the website owner's express prior written consent. The website owner's copyright must remain on all reproductions of material taken from this website.",,,2 bed flat for sale,51.564144,0.031332,Just added
8,/for-sale/details/59144865/,Listed on 9th Jul 2021,Waltham Forest,2021-07-09,Central Estate Agents,020 3478 3332,False,"Coppermill Lane, Walthamstow, London E17",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 1, 'numLivingRooms': 1}",390000,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-09 14:15:43', 'priceLabel': '£390,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2015-09-18', 'newBuild': False, 'price': 310000, 'priceLabel': '£310,000', 'recentlySold': False}, 'priceChanges': None}",,leasehold,"This is a stylish two bedroom first floor flat. The property is part of this popular development in the sought after coppermill lane. Benefits include a spacious open plan lounge/dining room, modern fitted kitchen and bathroom and two bedrooms. There is also a handy loft space for extra storage. This development has security entry system with off street and residents underground parking. To the rear there is a fabulous green communal garden space.<br><br>The property is located in Coppermill Lane, a stone’s throw from Coppermill Lane park. This is also within a short walk to the reservoir and the Walthamstow Wetlands. The property within easy access to the local shops, including the famous walthamstow high street. St James Street station and Blackhorse Road station. Just a short distance from walthamstow central Tube Station and Walthamstow's shopping centre.","['Approx. 615 sq. Ft.', 'Two Bedrooms', 'First Floor', 'Residents Parking', 'Modern Fitted Kitchen', 'Great Location', 'Beautifully Presented', 'Storage Loft']",,2 bed flat for sale,51.580198,-0.041095,Just added
9,/for-sale/details/59144867/,Listed on 9th Jul 2021,Waltham Forest,2021-07-09,Central Estate Agents,020 3478 3332,True,"Ching Way, Chingford, London E4",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 4, 'numBathrooms': 1, 'numLivingRooms': 1}",400000,terraced,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-09 14:15:43', 'priceLabel': '£400,000'}, 'lastSale': None, 'priceChanges': None}",,freehold,"This four bedroom terraced family home offers easy access to all local amenities and is being offered for sale with no onward chain. The property comprises a good sized lounge and a conservatory that opens directly on to the 30ft rear garden. There is a modern fitted kitchen and a cloakroom to the ground floor. On the first floor you'll find two good sized bedrooms and a family bathroom to the first floor. There are two further bedrooms on the second floor.<br><br>There are some good local schools and just around the corner is a play area and there are great parks nearby such as Chase Lane Park &amp; Memorial Park.<br><br>From the property you are around a 5 minute drive to the A406 from which you can quickly connect to other major roads such as M11, M25, A10 and more. The property is nearby local bus routes which can connect you to Walthamstow Central which is serviced by the Victoria Line from where you are around 15 minutes to central London.","['Approx. 1126 sq. Ft.', 'Four Bedrooms', 'Terraced Family Home', 'Conservatory', 'Ground Floor Cloakroom', 'First Floor Bathroom', 'Great Local Schools', 'No Onward Chain']",,4 bed terraced house for sale,51.607304,-0.027738,Just added
