,index,Borough,date_listed,agency_name,chain_free,address,isRetirementHome,isSharedOwnership,listingCondition,price,propertyType,isAuction,tenure,title,latitude,longitude,floor_area_msq,numBedrooms,numBathrooms,numLivingRooms,firstPublishedDate,firstPublishedPrice,balcony_terrace,parking,garden,closest_station_name,closest_station_distance_sec,pub_restaurant
5000,5000,Lambeth,2021-05-05,Kinleigh Folkard & Hayward - Fulham and Chelsea Sales,1,"Gray Street, London SE1",0,0,pre-owned,535000.0,flat,0,Other,2 bed flat for sale,51.501142,-0.107161,61.0,2,1,0,2021-05-05,535000.0,0,0,0,Southwark,110,83
5001,5001,Lambeth,2021-05-05,Kinleigh Folkard & Hayward - Clerkenwell Sales,1,"Gray Street, London SE1",0,0,pre-owned,535000.0,flat,0,Other,2 bed flat for sale,51.501142,-0.107161,61.0,2,1,0,2021-05-05,535000.0,0,0,0,Southwark,110,83
5002,5002,Lambeth,2021-05-05,Chestertons - Battersea Rise,0,"Liberty Street, Stockwell, London SW9",0,0,pre-owned,500000.0,maisonette,0,leasehold,2 bed maisonette for sale,51.475832,-0.116345,84.0,2,2,1,2021-05-05,515000.0,0,0,0,Chesham,553,14
5003,5003,Lambeth,2021-05-05,Dexters - Streatham,0,"Barcombe Avenue, London SW2",0,0,pre-owned,530000.0,flat,0,leasehold,2 bed flat for sale,51.438451,-0.122356,81.0,2,1,1,2021-05-05,565000.0,0,0,0,Brixton,2227,5
5004,5004,Lambeth,2021-05-05,Keating Estates,0,"Leander Road, London SW2",0,0,pre-owned,1149950.0,Other,0,Other,4 bed property for sale,51.450866,-0.116017,171.0,4,2,2,2021-05-05,1185000.0,1,0,1,Brixton,1090,10
5005,5005,Lambeth,2021-05-04,Pedder - Crystal Palace,1,"Camden Hill Road, London SE19",0,0,pre-owned,895000.0,terraced,0,Other,5 bed terraced house for sale,51.420858,-0.081872,161.0,5,3,2,2021-05-04,895000.0,0,0,0,Brixton,3983,30
5006,5006,Lambeth,2021-05-04,Savills - Northcote Road,0,"Brook House, 47-48 Clapham Common South Sid, London SW4",0,0,pre-owned,475000.0,flat,0,share_of_freehold,1 bed flat for sale,51.458397,-0.141836,42.0,1,1,1,2021-05-04,475000.0,0,0,0,Clapham Common,353,32
5007,5007,Lambeth,2021-05-04,Pedder - West Norwood,1,"Waylett Place, West Norwood, London SE27",0,0,pre-owned,550000.0,flat,0,Other,2 bed flat for sale,51.434581,-0.104518,101.0,2,2,1,2021-05-04,600000.0,1,0,0,Brixton,2408,9
5008,5008,Lambeth,2021-05-04,Keating Estates,1,"Josephine Avenue, London SW2",0,0,pre-owned,675000.0,flat,0,Other,2 bed flat for sale,51.454746,-0.11857,103.0,2,2,1,2021-05-04,699950.0,1,1,0,Brixton,692,9
5009,5009,Lambeth,2021-05-04,Keating Estates,1,"Josephine Avenue, London SW2",0,0,pre-owned,625000.0,flat,0,Other,2 bed flat for sale,51.454746,-0.11857,99.0,2,2,1,2021-05-04,650000.0,1,1,0,Brixton,692,9
5010,5010,Lambeth,2021-05-04,Knight Frank - Wandsworth Sales,0,"Clapham Common North Side, Clapham, London SW4",0,0,pre-owned,7950000.0,terraced,0,Other,7 bed terraced house for sale,51.4615,-0.148484,647.0,7,6,4,2021-05-04,7950000.0,1,0,1,Chesham,533,9
5011,5011,Lambeth,2021-05-04,Dexters - Streatham,0,"Gracefield Gardens, London SW16",0,0,pre-owned,535000.0,flat,0,leasehold,2 bed flat for sale,51.432265,-0.125501,74.0,2,1,1,2021-05-04,575000.0,0,0,1,Balham,2070,9
5012,5012,Lambeth,2021-05-04,Dexters - Kennington,0,"Clapham Road, London SW9",0,0,pre-owned,625000.0,flat,0,leasehold,2 bed flat for sale,51.478554,-0.115637,67.0,2,2,1,2021-05-04,625000.0,0,0,1,Oval,302,13
5013,5013,Lambeth,2021-04-30,Ludlow Thompson - Kennington / Oval,1,"De Laune Street, London SE17",0,0,pre-owned,1200000.0,terraced,0,Other,4 bed terraced house for sale,51.485807,-0.107033,12.0,4,2,2,2021-04-30,1200000.0,1,0,1,Kennington,268,23
5014,5014,Lambeth,2021-04-30,Savills - Waterfront,0,"Albert Embankment, London SE1",0,0,pre-owned,1900000.0,flat,0,leasehold,3 bed flat for sale,51.49094,-0.121974,133.0,3,3,1,2021-04-30,1900000.0,1,1,0,Vauxhall,483,14
5015,5015,Lambeth,2021-04-30,Prime London (Central and Riverside),1,"Damac Tower, Nine Elms, London SW8",0,0,new,6500000.0,flat,0,leasehold,4 bed flat for sale,51.48352,-0.125089,330.0,4,4,2,2021-04-30,7000000.0,0,0,1,Vauxhall,290,22
