,Link,Listed,Borough,date_listed,agency_name,agency_phone,chain_free,address,isRetirementHome,isSharedOwnership,listingCondition,listingStatus,RoomCount,price,propertyType,isAuction,priceHistory,floorArea,tenure,detailedDescription,features,furnishedState,title,latitude,longitude,statusSummary
0,/for-sale/details/59060098/,Listed on 1st Jul 2021,Hackney,2021-07-01,Castles - Hackney,020 3463 8353,False,"Chippendale Street, London E5",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 3, 'numBathrooms': 1, 'numLivingRooms': 1}",600000.0,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-01 13:00:54', 'priceLabel': '£600,000'}, 'lastSale': None, 'priceChanges': None}",,share_of_freehold,"<em>Guide Price £600,000 - £625,000 Share of Freehold </em><br><br>Enviably located Chippendale Street is a quiet, residential street in E5, just a short walk from the eclectic mix of independent shops, bars and restaurants along popular Chatsworth Road.<br><br>Superbly remodelled from top to bottom by the current owners, this charming share of freehold upper-maisonette arranged over three floors of a handsome mid-terraced Victorian home.<br><br>Bathed in an abundance of natural light and boasting a stylish finish throughout. The interior offers an elegant blend of original character and modern finishes. This perfect starter home boasts a stunning open-plan living room with stylish modern kitchen, Wood Flooring, polished plaster feature wall and views over gardens on the top floor. The first-floor hosts three bright and airy bedrooms with wood flooring and a modern family bathroom.<br><br>Located moments from Milfields Park where you follow the River Lea tow path down to The East, Crate Brewery and the Olympic Park.<br><br>Outstanding local primary schools are close by, and connections into the City and Central London are swift and simple with Clapton Station (Overground) within easy reach.<br><br>Offered with a share of Freehold.","['Arranged Over Three Floors', 'Three Bedrooms', 'Open Plan Kitchen / Reception', 'Upper Maisonette', 'Moment From Chatsworth Road', 'Share of Freehold']",,3 bed flat for sale,51.556583,-0.044416,Just added
1,/for-sale/details/59059849/,Listed on 1st Jul 2021,Hackney,2021-07-01,Julian Reid Estate Agents,020 8033 0361,False,"Ayrsome Road, London N16",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 4, 'numBathrooms': 2, 'numLivingRooms': 1}",1175000.0,terraced,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-01 12:36:51', 'priceLabel': '£1,175,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2007-07-31', 'newBuild': False, 'price': 540500, 'priceLabel': '£540,500', 'recentlySold': False}, 'priceChanges': None}","{'__typename': 'FloorArea', 'unitsLabel': 'sq. ft', 'value': 1449}",,"<em></em> Charming, late Victorian terraced house located on this quiet and very popular road just south of Stoke Newington Church Street. The accommodation, which is beautifully presented has been extremely well extended to provide bright and well proportioned accommodation. There is a good sized 'through' living room which leads into a nicely fitted kitchen/diner which has been extended across the width of the house. Glass doors open onto a pretty, patio garden. There are four bedrooms in total and two bathrooms. A large, family bathroom on the mezzanine with two bedrooms at first floor level. A further bedroom has been created on the level above and finally a super loft conversion which provides a generous bedroom with en-suite shower room. Ayrsome Road is located just south of Stoke Newington Church Street with easy access to all the vibrant shops, bars and restaurants that this interesting part of London has to offer. Clissold Park and regular bus routes are also close by","['4 Bedrooms', 'Large Reception room', 'Extended Kitchen/diner', 'Patio Garden']",,4 bed terraced house for sale,51.560699,-0.081224,Just added
2,/for-sale/details/59057280/,Listed on 1st Jul 2021,Hackney,2021-07-01,Home Malone,020 8115 4908,False,"Kingsland High Street, Dalston E8",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 1, 'numLivingRooms': 1}",570000.0,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-01 09:43:16', 'priceLabel': '£570,000'}, 'lastSale': None, 'priceChanges': None}","{'__typename': 'FloorArea', 'unitsLabel': 'sq. ft', 'value': 693}",leasehold,"Situated on the 4th (Top) floor of a development in Dalston with far reaching views via the floor to ceiling West facing Juliet balcony - this generously proportioned apartment offers two great sized bedrooms, a fully equipped kitchen and a striking communal roof terrace.<br><br>A lovely open plan living space with a floor to ceiling west facing Juliet balcony which is usable all year round and a perfect spot to enjoy those beautiful evening sunsets.<br>Featuring a fully equipped modern open plan kitchen, two generous double bedrooms with plenty of built in storage, a family bathroom with shower over the bath and a communal roof terrace which is accessed on the same level.<br>Located a few seconds from Dalston Kingsland &amp; Dalston Junction stations, perfectly placed for access to London Fields, Stoke Newington, Shoreditch &amp; Highbury with everything that Dalston has to offer on your doorstep.<br><br>Ground Rent: £250 pa<br>Service Charge: £2,400 pa<br>Remaining Lease: 120 Years<br><br>Please note: All sizes, distances and costs are approximate.","['Two Double Bedrooms', 'Top Floor Apartment', 'Lovely &amp; Bright', 'Floor To Ceiling Juliet Balcony', 'Double Glazed Throughout', 'Secure Entryphone System', 'Communal Roof Terrace', 'Great Location']",,2 bed flat for sale,51.546813,-0.075512,Just added
3,/for-sale/details/59056989/,Listed on 1st Jul 2021,Hackney,2021-07-01,Julian Reid Estate Agents,020 8033 0361,False,"Caryfort Road, London N16",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 1, 'numLivingRooms': 1}",725000.0,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-01 09:07:37', 'priceLabel': '£725,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2010-08-23', 'newBuild': False, 'price': 410500, 'priceLabel': '£410,500', 'recentlySold': False}, 'priceChanges': None}",,,"<em></em> Located on this much admired road just south of Clissold Park, a beautifully presented and very spacious two bedroom split level maisonette arranged on the upper floors of this elegant, late Victorian terraced house. The flat boasts large rooms with excellent natural light and to the rear, a pleasant, leafy outlook. On the top floor there are two double bedrooms. The first floor has a generous Reception room across the full width of the house with large, light bay window. Behind is a well fitted and nicely equipped kitchen/breakfast room and finally a good sized bathroom on the mezzanine level. Carysfort Road is located just off Albion Road with excellent bus routes to central London and within walking distance of a vibrant selection of shops, bars and restaurants on both Stoke Newington Church Street and Newington Green.","['Split level', 'Beautifully presented', 'Large Reception room', 'Super location']",,2 bed flat for sale,51.556198,-0.085738,Just added
4,/for-sale/details/59056437/,Listed on 1st Jul 2021,Hackney,2021-07-01,Castles - Hackney,020 3463 8353,True,"Denver Road, London N16",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 3, 'numBathrooms': 1, 'numLivingRooms': 1}",760000.0,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-07-01 08:16:45', 'priceLabel': '£760,000'}, 'lastSale': None, 'priceChanges': None}",,share_of_freehold,"Forming part of this imposing four storey period property conversion and enjoying sole use of the mature rear garden. The property is located on a no through road and boasts a bright neutral interior throughout. Comprising; inviting entrance hall, access to three bright well-proportioned bedrooms, wonderful lounge, with sumptuous grand original features opening to the wonderful private rear garden, fitted kitchen and three-piece bathroom suite. Enviably located in this tree-lined street, only moments away from the open green spaces of Hackney Downs and A host of transport links into the City and West End can also be sourced nearby. Denver Road is a quiet, residential road around 10 to 15 minutes’ walk from Stoke Newington Church Street and within a short distance of Stamford Hill Overground Station.","['Arranged on the Ground Floor', 'Three Bedrooms', 'Period Conversion', 'Positioned on a No Through Road', 'Quiet Residential Turning', 'Own Entrance', 'No Onward Chain']",,3 bed flat for sale,51.573402,-0.080291,Just added
5,/for-sale/details/59054755/,Listed on 30th Jun 2021,Hackney,2021-06-30,Keatons - Hackney (Mare Street),020 8115 1423,False,"Ellington House, Southwold Road, London E5",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 2, 'numLivingRooms': 1}",475000.0,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-06-30 21:24:07', 'priceLabel': '£475,000'}, 'lastSale': None, 'priceChanges': None}","{'__typename': 'FloorArea', 'unitsLabel': 'sq. ft', 'value': 686}",,"Enviably appointed with far-reaching tranquil views, is this striking modern apartment situated on the top floor of this secure development. Bathed in natural light with elegant proportions. Composed of an inviting reception hall with built-in storage, a fitted kitchen with integrated appliances, leading to a delightful living/entertaining space with access to a balcony with glorious views over-looking Millfield's Park and the River Lea. Principal bedroom with en-suite bathroom, a second double bedroom and a shower room. Conveniently appointed for Clapton Overground Station offering swift City access. Vibrant Upper and Lower Clapton Roads and Chatsworth Road offer a host of amenities.",,,2 bed flat for sale,51.56294,-0.049063,Just added
6,/for-sale/details/59054728/,Listed on 30th Jun 2021,Hackney,2021-06-30,Keatons - Hackney (Mare Street),020 8115 1423,True,"Amhurst Road, Hackney, London E8",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 3, 'numBathrooms': 2, 'numLivingRooms': 1}",725000.0,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-06-30 21:22:44', 'priceLabel': '£725,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2017-07-28', 'newBuild': False, 'price': 622000, 'priceLabel': '£622,000', 'recentlySold': False}, 'priceChanges': None}","{'__typename': 'FloorArea', 'unitsLabel': 'sq. ft', 'value': 957}",share_of_freehold,"Occupying the raised and lower levels of this enchanting four-storey Victorian semi-detached residence, is this delightful garden flat. Retaining a host of grand Victorian features, exceptional ceiling heights and bespoke modern designs. Composed of a reception hall, a glorious living/entertaining space opening to a newly fitted kitchen/diner with integrated appliances, three double bedrooms, bathroom, separate shower room, guest cloakroom and extensive storage. Courtyard gardens to front and rear. Ideally located for Hackney Downs Park and a host of vibrant amenities on Stoke Newington High Street, and transport links including Hackney Downs, Dalston-Kingsland and Dalston Junction stations.","['Huge Sash Windows/Shutters and Bathed in an Abundance Of Natural Light', 'Grand Open Fireplace and Sumptuous Wooden Floors Secluded Private Courtyard Gardens to the Front and Rear', 'Moments from the Leafy Green Spaces of Hackney Downs Park', 'Offered with No On-going Chain']",,3 bed flat for sale,51.554057,-0.068167,Just added
7,/for-sale/details/59053602/,Listed on 30th Jun 2021,Hackney,2021-06-30,Rayners,020 3544 8008,True,"Sutton Square, London E9",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 3, 'numBathrooms': 2, 'numLivingRooms': 1}",875000.0,terraced,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-06-30 18:41:48', 'priceLabel': '£875,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2015-08-21', 'newBuild': False, 'price': 715000, 'priceLabel': '£715,000', 'recentlySold': False}, 'priceChanges': None}",,freehold,"***no onward chain - available now with vacant possession***<br><br>Rayners are delighted to offer for sale a beautifully presented three bedroom town house with accommodation over 3 floors, located in the sought-after, award-winning Sutton Square development. The property has been well-maintained and modernised to a high standard throughout and provides a lovely family home in a quiet but convenient location.<br><br>The house is offered freehold. The front of the property is enclosed by a wall and wrought iron gate which leads into a small courtyard.<br><br>Inside the property, on the ground floor, the bright hallway provides access to an under-stairs storage cupboard. Off the hallway, the kitchen/diner is exceptional with a wonderful bespoke kitchen supplied and fitted by John Lewis. Work tops and up-stands are corian with an incorporated sink. Fitted appliances include induction hob; integrated oven with a hide and slide door; integrated microwave; integrated fridge freezer, washer/dryer and dishwasher. The dining area features attractive shelving and the floor throughout the kitchen and dining area is slate-coloured porcelain tiles. The spacious reception room on the ground floor has french doors to the garden.<br><br>The first floor landing has a further storage cupboard and leads to the large principal bedroom which has views over the rear garden, ceiling spot lights and bespoke wardrobes supplied and fitted by John Lewis. The other bedroom on this floor, currently used as a home-office overlooks the communal garden to the front of the house. The family bathroom is half tiled and has a panelled bath with shower attachment, WC, and the washbasin sits in a bespoke-built vanity unit which incorporates shelving, an abundance of storage and inset lighting and a mirror.<br><br>From the top floor landing there is access to the loft and a large eaves space, mainly boarded, which could be used as storage or, subject to planning consent, could be converted into a further room. The bright, sunny bedroom at the top of the house overlooks the communal gardens and contains another storage cupboard. There is a luxurious, recently fitted shower room with a vanity unit with washbasin, shower cubicle and WC. Walls and floor are fully tiled with porcelain tiles.<br><br>The rear garden is mainly paved with a brick built raised flower bed. It is exceptionally pretty with a secluded feel, provided by the bordering shrubs and planting. There’s a small shed and the garden has delightful views of St John’s church clock tower.<br><br>The house has gas central heating with Nest smart home connectivity and the main flooring areas are fitted with quality laminated flooring. The property is situated in a prominent central position in the square with great views of the beautifully maintained central communal garden with ornamental fish pond and has a private designated parking bay directly opposite the house. There is also perimeter parking around the square.<br><br>Sutton Square is a popular private square located in a conservation area close to Hackney Central Station. With direct access to the picturesque St John’s Churchyard via a private gate, the square is within walking distance of St John and St James C of E Nursery and Primary School and the City Academy, Hackney - both rated Outstanding by ofsted. Close-by is the popular town centre of Hackney with its many shops, restaurants and bars. The popular National Trust Sutton House, with its famous children’s garden is just around the corner and Hackney Empire is a short walk away as is the multi-cinema complex. Transport links are well catered for with local buses and Hackney Central station is close by. There is also a direct line from Hackney Downs to Liverpool Street.","['3 Bedrooms', 'Beautifully fitted John Lewis kitchen', 'Magnificent communal gardens', 'Bathroom/WC', 'Private allocated parking bay', 'Reception Room', 'Freehold', 'Shower Room/WC', 'Gas central heating']",,3 bed terraced house for sale,51.549082,-0.051733,Just added
8,/for-sale/details/59053590/,Listed on 30th Jun 2021,Hackney,2021-06-30,Rayners,020 3544 8008,True,"Sutton Square, London E9",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 3, 'numBathrooms': 2, 'numLivingRooms': 1}",875000.0,terraced,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-06-30 18:39:48', 'priceLabel': '£875,000'}, 'lastSale': {'__typename': 'PriceHistoryLastSale', 'date': '2015-08-21', 'newBuild': False, 'price': 715000, 'priceLabel': '£715,000', 'recentlySold': False}, 'priceChanges': None}",,freehold,"<strong>No onward chain - available now with vacant possession<br></strong><br><br>Rayners are delighted to offer for sale a beautifully presented three bedroom town house with accommodation over 3 floors, located in the sought-after, award-winning Sutton Square development. The property has been well-maintained and modernised to a high standard throughout and provides a lovely family home in a quiet but convenient location.<br><br>The house is offered freehold. The front of the property is enclosed by a wall and wrought iron gate which leads into a small courtyard.<br><br>Inside the property, on the ground floor, the bright hallway provides access to an under-stairs storage cupboard. Off the hallway, the kitchen/diner is exceptional with a wonderful bespoke kitchen supplied and fitted by John Lewis. Work tops and up-stands are corian with an incorporated sink. Fitted appliances include induction hob; integrated oven with a hide and slide door; integrated microwave; integrated fridge freezer, washer/dryer and dishwasher. The dining area features attractive shelving and the floor throughout the kitchen and dining area is slate-coloured porcelain tiles. The spacious reception room on the ground floor has french doors to the garden.<br><br>The first floor landing has a further storage cupboard and leads to the large principal bedroom which has views over the rear garden, ceiling spot lights and bespoke wardrobes supplied and fitted by John Lewis. The other bedroom on this floor, currently used as a home-office overlooks the communal garden to the front of the house. The family bathroom is half tiled and has a panelled bath with shower attachment, WC, and the washbasin sits in a bespoke-built vanity unit which incorporates shelving, an abundance of storage and inset lighting and a mirror.<br><br>From the top floor landing there is access to the loft and a large eaves space, mainly boarded, which could be used as storage or, subject to planning consent, could be converted into a further room. The bright, sunny bedroom at the top of the house overlooks the communal gardens and contains another storage cupboard. There is a luxurious, recently fitted shower room with a vanity unit with washbasin, shower cubicle and WC. Walls and floor are fully tiled with porcelain tiles.<br><br>The rear garden is mainly paved with a brick built raised flower bed. It is exceptionally pretty with a secluded feel, provided by the bordering shrubs and planting. There’s a small shed and the garden has delightful views of St John’s church clock tower.<br><br>The house has gas central heating with Nest smart home connectivity and the main flooring areas are fitted with quality laminated flooring. The property is situated in a prominent central position in the square with great views of the beautifully maintained central communal garden with ornamental fish pond and has a private designated parking bay directly opposite the house. There is also perimeter parking around the square.<br><br>Sutton Square is a popular private square located in a conservation area close to Hackney Central Station. With direct access to the picturesque St John’s Churchyard via a private gate, the square is within walking distance of St John and St James C of E Nursery and Primary School and the City Academy, Hackney - both rated Outstanding by ofsted. Close-by is the popular town centre of Hackney with its many shops, restaurants and bars. The popular National Trust Sutton House, with its famous children’s garden is just around the corner and Hackney Empire is a short walk away as is the multi-cinema complex. Transport links are well catered for with local buses and Hackney Central station is close by. There is also a direct line from Hackney Downs to Liverpool Street.","['3 Bedrooms', 'Beautifully fitted John Lewis kitchen', 'Magnificent communal gardens', 'Bathroom/WC', 'Private allocated parking bay', 'Reception Room', 'Freehold', 'Shower Room/WC', 'Gas central heating']",,3 bed terraced house for sale,51.549082,-0.051733,Just added
9,/for-sale/details/59050941/,Listed on 30th Jun 2021,Hackney,2021-06-30,Keatons - Shoreditch,020 8115 1424,True,"Charles Gardner Court, Haberdasher Street, London N1",False,False,pre-owned,for_sale,"{'__typename': 'RoomCount', 'numBedrooms': 2, 'numBathrooms': 1, 'numLivingRooms': 1}",400000.0,flat,False,"{'__typename': 'PriceHistory', 'firstPublished': {'__typename': 'PriceHistoryFirstPublished', 'firstPublishedDate': '2021-06-30 16:56:47', 'priceLabel': '£400,000'}, 'lastSale': None, 'priceChanges': None}","{'__typename': 'FloorArea', 'unitsLabel': 'sq. ft', 'value': 760}",leasehold,"A fantastic two double bedroom apartment set within a purpose built block with stunning views across London. Situated on the 10th floor it has an abundance of natural light pouring into the property which is aided by the dual aspect windows in the living area and the private balcony. The property comprises; a modern kitchen, large reception area, two double bedrooms &amp; a family bathroom. An array of superb amenities on your doorstep including bars, restaurants &amp; eateries. Old Street Station is located 0.3 miles away. Offered with no onward chain.","['Chain Free', 'Stunning Views', 'Light &amp; Airy', 'Two Double Bedrooms', 'Modern Finish', '0.3 Miles To Old Street Station']",,2 bed flat for sale,51.52892,-0.086099,Just added
